"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,123.87646257,117.387695483,125.056238404,1818514.35303692,1500,19.5,1
"result.3313",0,15,12,123.87646257,118.567471317,123.286574653,1810798.55543586,1497,19.5,0.957750675291909
"result.3553",0,14,13,123.87646257,117.9775834,123.87646257,1810410.61030508,1497,19.5,0.955626407569156
"result.3538",1,13,13,124.466350487,117.387695483,123.87646257,1809936.45514524,1500,19.5,0.953030080352458
"result.3793",0,13,14,123.87646257,117.387695483,124.466350487,1809936.45514524,1497,19.5,0.953030080352458
"result.3778",1,12,14,124.466350487,116.797807566,124.466350487,1809416.73182718,1500,19.5,0.950184235974674
"result.4033",0,12,15,123.87646257,116.797807566,125.056238404,1809376.08995633,1497,19.5,0.949961693641815
"result.4018",1,11,15,124.466350487,116.207919649,125.056238404,1808810.38795611,1500,19.5,0.946864084200594
"result.3057",0,15,11,123.87646257,118.567471317,122.696686736,1802134.44751511,1494,19.5,0.910308696150422
"result.2802",1,15,10,124.466350487,118.567471317,122.106798819,1802010.67454482,1497,19.5,0.909630953591257
"result.3297",0,14,12,123.87646257,117.9775834,123.286574653,1801789.60739886,1493,19.5,0.90842045817464
"result.3042",1,14,11,124.466350487,117.9775834,122.696686736,1801707.50260928,1497,19.5,0.907970877704216
"result.2787",2,14,10,125.056238404,117.9775834,122.106798819,1801543.29303012,1500,19.5,0.907071716763369
"result.3537",0,13,13,123.87646257,117.387695483,123.87646257,1801358.55725355,1493,19.5,0.906060160704915
"result.3282",1,13,12,124.466350487,117.387695483,123.286574653,1801317.71012074,1497,19.5,0.905836494420879
"result.3027",2,13,11,125.056238404,117.387695483,122.696686736,1801195.16872228,1500,19.5,0.905165495568771
"result.3522",1,12,13,124.466350487,116.797807566,123.87646257,1800841.29707918,1497,19.5,0.903227803741244
"result.3777",0,12,14,123.87646257,116.797807566,124.466350487,1800841.29707918,1493,19.5,0.903227803741244
"result.3267",2,12,12,125.056238404,116.797807566,123.286574653,1800760.01333749,1500,19.5,0.902782719075524
"result.3762",1,11,14,124.466350487,116.207919649,124.466350487,1800278.26348462,1496,19.5,0.900144805665312
"result.4085",4,15,15,124.60768674,117.03806091,123.44312892,1800275.09192367,1497,19,0.900127439177075
"result.3507",2,11,13,125.056238404,116.207919649,123.87646257,1800237.82687575,1500,19.5,0.899923387283628
"result.4017",0,11,15,123.87646257,116.207919649,125.056238404,1800237.82687575,1493,19.5,0.899923387283628
"result.3747",2,10,14,125.056238404,115.618031732,124.466350487,1799628.60933704,1500,19.5,0.896587500193082
"result.4002",1,10,15,124.466350487,115.618031732,125.056238404,1799628.60933704,1496,19.5,0.896587500193082
"result.3987",2,9,15,125.056238404,115.028143815,125.056238404,1798932.36072138,1499,19.5,0.892775057803888
"result.3409",0,5,13,125.4540021,114.10340191,125.4540021,1795839.96961918,1500,20,0.875842079185702
"result.3649",0,4,14,125.4540021,113.5060019,126.05140211,1794944.51214243,1500,20,0.870938830597088
"result.3889",0,3,15,125.4540021,112.90860189,126.64880212,1793959.50891801,1500,20,0.865545257149613
"result.2801",0,15,10,123.87646257,118.567471317,122.106798819,1793470.33959437,1490,19.5,0.862866717008933
"result.2546",1,15,9,124.466350487,118.567471317,121.516910902,1793305.30896731,1494,19.5,0.861963060263381
"result.3041",0,14,11,123.87646257,117.9775834,122.696686736,1793168.60449265,1490,19.5,0.861214508780125
"result.2291",2,15,8,125.056238404,118.567471317,120.927022985,1793057.76302671,1497,19.5,0.860607575145053
"result.2786",1,14,10,124.466350487,117.9775834,122.106798819,1793045.44730828,1493,19.5,0.86054013807449
"result.2531",2,14,9,125.056238404,117.9775834,121.516910902,1792840.18533432,1497,19.5,0.85941618689843
"result.3281",0,13,12,123.87646257,117.387695483,123.286574653,1792780.65936187,1490,19.5,0.859090241057372
"result.2036",3,15,7,125.646126321,118.567471317,120.337135068,1792727.70177259,1500,19.5,0.858800261653948
"result.3026",1,13,11,124.466350487,117.387695483,122.696686736,1792698.96509624,1493,19.5,0.8586429084893
"result.2276",3,14,8,125.646126321,117.9775834,120.927022985,1792552.81857078,1500,19.5,0.857842655251946
"result.2771",2,13,10,125.056238404,117.387695483,122.106798819,1792535.57656496,1497,19.5,0.857748243353156
"result.3521",0,12,13,123.87646257,116.797807566,123.87646257,1792306.50420203,1490,19.5,0.856493913840674
"result.2516",3,13,9,125.646126321,117.387695483,121.516910902,1792290.49376806,1500,19.5,0.856406245648941
"result.3266",1,12,12,124.466350487,116.797807566,123.286574653,1792265.86233118,1493,19.5,0.856271371507814
"result.3011",2,12,11,125.056238404,116.797807566,122.696686736,1792143.93671865,1497,19.5,0.855603744509234
"result.2756",3,12,10,125.646126321,116.797807566,122.106798819,1791940.72736444,1500,19.5,0.854491032844935
"result.4084",3,15,15,124.02540783,117.03806091,123.44312892,1791862.59149412,1490,19,0.854063184950644
"result.3829",4,15,14,124.60768674,117.03806091,122.86085001,1791783.22828252,1494,19,0.853628616514546
"result.3506",1,11,13,124.466350487,116.207919649,123.87646257,1791746.13901312,1493,19.5,0.853425527130031
"result.3761",0,11,14,123.87646257,116.207919649,124.466350487,1791746.13901312,1489,19.5,0.853425527130031
"result.3251",2,11,12,125.056238404,116.207919649,123.286574653,1791665.26579538,1496,19.5,0.852982690366662
"result.3574",5,15,13,125.18996565,117.03806091,122.2785711,1791624.50185932,1497,19,0.852759479642349
"result.2996",3,11,11,125.646126321,116.207919649,122.696686736,1791503.51935991,1500,19.5,0.852097016839928
"result.4069",4,14,15,124.60768674,116.455782,123.44312892,1791318.49942654,1494,19,0.851083904826547
"result.3814",5,14,14,125.18996565,116.455782,122.86085001,1791200.04687191,1497,19,0.850435295220429
"result.3746",1,10,14,124.466350487,115.618031732,124.466350487,1791139.79514205,1493,19.5,0.850105375355949
"result.3491",2,10,13,125.056238404,115.618031732,123.87646257,1791099.56379516,1496,19.5,0.849885080925441
"result.4001",0,10,15,123.87646257,115.618031732,125.056238404,1791099.56379516,1489,19.5,0.849885080925441
"result.3559",6,14,13,125.77224456,116.455782,122.2785711,1791002.62594753,1500,19,0.849354279210235
"result.3236",3,10,12,125.646126321,115.618031732,123.286574653,1790978.86975447,1500,19.5,0.849224197633919
"result.993",0,14,3,125.4540021,119.480002,119.480002,1790914.95349706,1498,20,0.848874211948327
"result.753",0,15,2,125.4540021,120.07740201,118.88260199,1790870.18062323,1498,20,0.848629049518896
"result.1233",0,13,4,125.4540021,118.88260199,120.07740201,1790870.18062323,1498,20,0.848629049518896
"result.1473",0,12,5,125.4540021,118.28520198,120.67480202,1790735.86200171,1498,20,0.847893562230604
"result.4054",5,13,15,125.18996565,115.87350309,123.44312892,1790690.70088702,1497,19,0.847646273914127
"result.3799",6,13,14,125.77224456,115.87350309,122.86085001,1790533.55383121,1500,19,0.846785785170011
"result.1713",0,11,6,125.4540021,117.68780197,121.27220203,1790511.99763253,1498,20,0.846667750083451
"result.3731",2,9,14,125.056238404,115.028143815,124.466350487,1790446.83071797,1496,19.5,0.846310916185571
"result.3986",1,9,15,124.466350487,115.028143815,125.056238404,1790446.83071797,1492,19.5,0.846310916185571
"result.3476",3,9,13,125.646126321,115.028143815,123.87646257,1790366.77854813,1499,19.5,0.845872575226908
"result.1953",0,10,7,125.4540021,117.09040196,121.86960204,1790198.58751567,1498,20,0.844951613077436
"result.4039",6,12,15,125.77224456,115.29122418,123.44312892,1789979.19587556,1500,19,0.843750292213384
