"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,124.07710157,86.14270109,127.23830161,1359965.80526489,1299,40,1
"result.3840",15,15,14,124.07710157,86.14270109,126.4480016,1351518.81268561,1294,40,0.978778127073296
"result.4095",14,15,15,123.28680156,86.14270109,127.23830161,1351303.60268359,1290,40,0.978237442412743
"result.4080",15,14,15,124.07710157,85.35240108,127.23830161,1347489.05475788,1293,40,0.968653930814685
"result.3584",15,15,13,124.07710157,86.14270109,125.65770159,1343071.82010632,1290,40,0.957556254146593
"result.3839",14,15,14,123.28680156,86.14270109,126.4480016,1342910.41260481,1286,40,0.957150740651178
"result.4094",13,15,15,122.49650155,86.14270109,127.23830161,1342641.40010228,1282,40,0.956474884825487
"result.3824",15,14,14,124.07710157,85.35240108,126.4480016,1339119.55752335,1289,40,0.947626753969878
"result.4079",14,14,15,123.28680156,85.35240108,127.23830161,1338906.32192502,1284,40,0.947091029719055
"result.4064",15,13,15,124.07710157,84.56210107,127.23830161,1335012.30425086,1287,40,0.937307861629371
"result.3328",15,15,12,124.07710157,86.14270109,124.86740158,1334624.82752704,1286,40,0.936334381219889
"result.3583",14,15,13,123.28680156,86.14270109,125.65770159,1334517.22252603,1282,40,0.936064038889612
"result.3838",13,15,14,122.49650155,86.14270109,126.4480016,1334302.01252401,1278,40,0.935523354229059
"result.4093",12,15,15,121.70620154,86.14270109,127.23830161,1333979.19752098,1274,40,0.93471232723823
"result.3568",15,14,13,124.07710157,85.35240108,125.65770159,1330750.06028883,1284,40,0.92659957712507
"result.3823",14,14,14,123.28680156,85.35240108,126.4480016,1330590.13359008,1280,40,0.926197783936953
"result.4078",13,14,15,122.49650155,85.35240108,127.23830161,1330323.58909217,1276,40,0.925528128623425
"result.3808",15,13,14,124.07710157,84.56210107,126.4480016,1326720.3023611,1283,40,0.91647538086646
"result.4063",14,13,15,123.28680156,84.56210107,127.23830161,1326509.04116646,1278,40,0.915944617025366
"result.3072",15,15,11,124.07710157,86.14270109,124.07710157,1326177.83494775,1282,40,0.915112508293185
"result.3327",14,15,12,123.28680156,86.14270109,124.86740158,1326124.03244725,1278,40,0.914977337128047
"result.3582",13,15,13,122.49650155,86.14270109,125.65770159,1325962.62494573,1274,40,0.914571823632632
"result.3837",12,15,14,121.70620154,86.14270109,126.4480016,1325693.61244321,1270,40,0.913895967806941
"result.4092",11,15,15,120.91590153,86.14270109,127.23830161,1325316.99493967,1265,40,0.912949769650973
"result.4048",15,12,15,124.07710157,83.77180106,127.23830161,1322535.55374384,1281,40,0.905961792444056
"result.3312",15,14,12,124.07710157,85.35240108,124.86740158,1322380.56305431,1280,40,0.905572400280263
"result.3567",14,14,13,123.28680156,85.35240108,125.65770159,1322273.94525515,1276,40,0.905304538154851
"result.3822",13,14,14,122.49650155,85.35240108,126.4480016,1322060.70965681,1272,40,0.904768813904028
"result.4077",12,14,15,121.70620154,85.35240108,127.23830161,1321740.85625932,1268,40,0.903965227527794
"result.3552",15,13,13,124.07710157,84.56210107,125.65770159,1318428.30047134,1279,40,0.895642900103549
"result.3807",14,13,14,123.28680156,84.56210107,126.4480016,1318269.85457536,1274,40,0.895244827222728
"result.4062",13,13,15,122.49650155,84.56210107,127.23830161,1318005.77808206,1270,40,0.894581372421362
"result.2816",15,15,10,124.07710157,86.14270109,123.28680156,1317730.84236847,1278,40,0.893890635366481
"result.3071",14,15,11,123.28680156,86.14270109,124.07710157,1317730.84236847,1274,40,0.893890635366481
"result.3326",13,15,12,122.49650155,86.14270109,124.86740158,1317623.23736746,1270,40,0.893620293036205
"result.3581",12,15,13,121.70620154,86.14270109,125.65770159,1317408.02736544,1266,40,0.893079608375652
"result.3836",11,15,14,120.91590153,86.14270109,126.4480016,1317085.21236241,1261,40,0.892268581384822
"result.4091",10,15,15,120.12560152,86.14270109,127.23830161,1316654.79235837,1257,40,0.891187212063716
"result.3792",15,12,14,124.07710157,83.77180106,126.4480016,1314321.04719885,1277,40,0.885324007763041
"result.4047",14,12,15,123.28680156,83.77180106,127.23830161,1314111.76040789,1272,40,0.884798204331678
"result.3056",15,14,11,124.07710157,85.35240108,124.07710157,1314011.06581979,1276,40,0.884545223435456
"result.3311",14,14,12,123.28680156,85.35240108,124.86740158,1313957.75692021,1272,40,0.88441129237275
"result.3566",13,14,13,122.49650155,85.35240108,125.65770159,1313797.83022146,1268,40,0.884009499184633
"result.3821",12,14,14,121.70620154,85.35240108,126.4480016,1313531.28572355,1264,40,0.883339843871104
"result.4076",11,14,15,120.91590153,85.35240108,127.23830161,1313158.12342646,1260,40,0.882402326432163
"result.3296",15,13,12,124.07710157,84.56210107,124.86740158,1310136.29858159,1274,40,0.874810419340638
"result.4032",15,11,15,124.07710157,82.98150105,127.23830161,1310058.80323682,1274,40,0.874615723258741
"result.3551",14,13,13,123.28680156,84.56210107,125.65770159,1310030.66798427,1270,40,0.874545037420091
"result.3806",13,13,14,122.49650155,84.56210107,126.4480016,1309819.40678962,1266,40,0.874014273578998
"result.4061",12,13,15,121.70620154,84.56210107,127.23830161,1309502.51499766,1262,40,0.873218127817358
"result.2815",14,15,10,123.28680156,86.14270109,123.28680156,1309337.65228969,1270,40,0.872803933604916
"result.2560",15,15,9,124.07710157,86.14270109,122.49650155,1309283.84978918,1274,40,0.872668762439777
"result.3070",13,15,11,122.49650155,86.14270109,124.07710157,1309283.84978918,1266,40,0.872668762439777
"result.3325",12,15,12,121.70620154,86.14270109,124.86740158,1309122.44228767,1262,40,0.872263248944363
"result.3580",11,15,13,120.91590153,86.14270109,125.65770159,1308853.42978514,1258,40,0.871587393118672
"result.3835",10,15,14,120.12560152,86.14270109,126.4480016,1308476.81228161,1253,40,0.870641194962704
"result.4090",9,15,15,119.33530151,86.14270109,127.23830161,1307992.58977706,1249,40,0.86942465447646
"result.3536",15,12,13,124.07710157,83.77180106,125.65770159,1306106.54065386,1273,40,0.864686223082027
"result.3791",14,12,14,123.28680156,83.77180106,126.4480016,1305949.57556064,1268,40,0.864291870508504
"result.4046",13,12,15,122.49650155,83.77180106,127.23830161,1305687.96707194,1264,40,0.8636346162193
"result.2800",15,14,10,124.07710157,85.35240108,123.28680156,1305641.56858527,1272,40,0.863518046590648
"result.3055",14,14,11,123.28680156,85.35240108,124.07710157,1305641.56858527,1268,40,0.863518046590648
"result.3310",13,14,12,122.49650155,85.35240108,124.86740158,1305534.9507861,1264,40,0.863250184465237
"result.3565",12,14,13,121.70620154,85.35240108,125.65770159,1305321.71518777,1260,40,0.862714460214414
"result.3820",11,14,14,120.91590153,85.35240108,126.4480016,1305001.86179028,1256,40,0.861910873838179
"result.4075",10,14,15,120.12560152,85.35240108,127.23830161,1304575.39059361,1251,40,0.860839425336533
"result.3776",15,11,14,124.07710157,82.98150105,126.4480016,1301921.79203659,1270,40,0.854172634659623
"result.3040",15,13,11,124.07710157,84.56210107,124.07710157,1301844.29669183,1270,40,0.853977938577727
"result.3295",14,13,12,123.28680156,84.56210107,124.86740158,1301791.48139317,1266,40,0.853845247617453
"result.4031",14,11,15,123.28680156,82.98150105,127.23830161,1301714.47964933,1266,40,0.85365179163799
"result.3550",13,13,13,122.49650155,84.56210107,125.65770159,1301633.03549719,1262,40,0.853447174736633
"result.3805",12,13,14,121.70620154,84.56210107,126.4480016,1301368.95900388,1258,40,0.852783719935267
"result.4060",11,13,15,120.91590153,84.56210107,127.23830161,1300999.25191326,1254,40,0.851854883213353
"result.2559",14,15,9,123.28680156,86.14270109,122.49650155,1300944.46221091,1266,40,0.85171723184335
"result.2814",13,15,10,122.49650155,86.14270109,123.28680156,1300944.46221091,1262,40,0.85171723184335
"result.2304",15,15,8,124.07710157,86.14270109,121.70620154,1300836.8572099,1270,40,0.851446889513074
"result.3069",12,15,11,121.70620154,86.14270109,124.07710157,1300836.8572099,1258,40,0.851446889513074
"result.3324",11,15,12,120.91590153,86.14270109,124.86740158,1300621.64720788,1254,40,0.850906204852521
"result.3579",10,15,13,120.12560152,86.14270109,125.65770159,1300298.83220485,1249,40,0.850095177861691
"result.3834",9,15,14,119.33530151,86.14270109,126.4480016,1299868.41220081,1245,40,0.849013808540585
"result.4089",8,15,15,118.5450015,86.14270109,127.23830161,1299330.38719576,1241,40,0.847662096889203
"result.3280",15,12,12,124.07710157,83.77180106,124.86740158,1297892.03410886,1269,40,0.844048438401012
"result.3535",14,12,13,123.28680156,83.77180106,125.65770159,1297787.39071338,1264,40,0.84378553668533
"result.4016",15,10,15,124.07710157,82.19120104,127.23830161,1297582.05272981,1268,40,0.843269654073426
"result.3790",13,12,14,122.49650155,83.77180106,126.4480016,1297578.10392243,1260,40,0.843259733253967
"result.2799",14,14,10,123.28680156,85.35240108,123.28680156,1297325.38025033,1264,40,0.842624800808547
"result.2544",15,14,9,124.07710157,85.35240108,122.49650155,1297272.07135075,1268,40,0.842490869745841
"result.3054",13,14,11,122.49650155,85.35240108,124.07710157,1297272.07135075,1260,40,0.842490869745841
"result.4045",12,12,15,121.70620154,83.77180106,127.23830161,1297264.173736,1256,40,0.842471028106922
"result.3309",12,14,12,121.70620154,85.35240108,124.86740158,1297112.144652,1256,40,0.842089076557724
"result.3564",11,14,13,120.91590153,85.35240108,125.65770159,1296845.60015409,1252,40,0.841419421244195
"result.3819",10,14,14,120.12560152,85.35240108,126.4480016,1296472.43785701,1247,40,0.840481903805254
"result.4074",9,14,15,119.33530151,85.35240108,127.23830161,1295992.65776076,1243,40,0.839276524240902
"result.3520",15,11,13,124.07710157,82.98150105,125.65770159,1293784.78083637,1267,40,0.833729546060505
"result.3775",14,11,14,123.28680156,82.98150105,126.4480016,1293629.29654592,1262,40,0.83333891379428
"result.2784",15,13,10,124.07710157,84.56210107,123.28680156,1293552.29480207,1266,40,0.833145457814816
"result.3039",14,13,11,123.28680156,84.56210107,124.07710157,1293552.29480207,1262,40,0.833145457814816
"result.3294",13,13,12,122.49650155,84.56210107,124.86740158,1293446.66420475,1258,40,0.832880075894269
"result.4030",13,11,15,122.49650155,82.98150105,127.23830161,1293370.15606183,1258,40,0.832687860017237
"result.3549",12,13,13,121.70620154,84.56210107,125.65770159,1293235.40301011,1254,40,0.832349312053176
"result.3804",11,13,14,120.91590153,84.56210107,126.4480016,1292918.51121814,1250,40,0.831553166291536
"result.2558",13,15,9,122.49650155,86.14270109,122.49650155,1292605.07463263,1258,40,0.830765701246923
"result.2303",14,15,8,123.28680156,86.14270109,121.70620154,1292551.27213213,1262,40,0.830630530081785
"result.2813",12,15,10,121.70620154,86.14270109,123.28680156,1292551.27213213,1254,40,0.830630530081785
"result.4059",10,13,15,120.12560152,84.56210107,127.23830161,1292495.98882886,1246,40,0.830491638609349
"result.2048",15,15,7,124.07710157,86.14270109,120.91590153,1292389.86463061,1266,40,0.83022501658637
"result.3068",11,15,11,120.91590153,86.14270109,124.07710157,1292389.86463061,1250,40,0.83022501658637
"result.3323",10,15,12,120.12560152,86.14270109,124.86740158,1292120.85212809,1245,40,0.829549160760679
"result.3578",9,15,13,119.33530151,86.14270109,125.65770159,1291744.23462455,1241,40,0.828602962604711
"result.3833",8,15,14,118.5450015,86.14270109,126.4480016,1291260.01212001,1237,40,0.827386422118467
"result.4088",7,15,15,117.75470149,86.14270109,127.23830161,1290668.18461445,1232,40,0.825899539301946
"result.3024",15,12,11,124.07710157,83.77180106,124.07710157,1289677.52756387,1264,40,0.823410653719997
"result.3279",14,12,12,123.28680156,83.77180106,124.86740158,1289625.20586613,1260,40,0.823279202862157
"result.3760",15,10,14,124.07710157,82.19120104,126.4480016,1289522.53687434,1264,40,0.823021261556205
"result.3534",13,12,13,122.49650155,83.77180106,125.65770159,1289468.24077291,1256,40,0.822884850288634
"result.4015",14,10,15,123.28680156,82.19120104,127.23830161,1289317.19889076,1260,40,0.822505378944301
"result.3789",12,12,14,121.70620154,83.77180106,126.4480016,1289206.63228422,1252,40,0.82222759599943
"result.2543",14,14,9,123.28680156,85.35240108,122.49650155,1289009.19191539,1260,40,0.821731555026445
"result.2798",13,14,10,122.49650155,85.35240108,123.28680156,1289009.19191539,1256,40,0.821731555026445
"result.2288",15,14,8,124.07710157,85.35240108,121.70620154,1288902.57411623,1264,40,0.821463692901034
"result.3053",12,14,11,121.70620154,85.35240108,124.07710157,1288902.57411623,1252,40,0.821463692901034
"result.4044",11,12,15,120.91590153,83.77180106,127.23830161,1288840.38040005,1248,40,0.821307439994544
"result.3308",11,14,12,120.91590153,85.35240108,124.86740158,1288689.3385179,1248,40,0.82092796865021
"result.3563",10,14,13,120.12560152,85.35240108,125.65770159,1288369.4851204,1244,40,0.820124382273976
"result.3818",9,14,14,119.33530151,85.35240108,126.4480016,1287943.01392374,1239,40,0.81905293377233
"result.4073",8,14,15,118.5450015,85.35240108,127.23830161,1287409.92492791,1235,40,0.817713623145272
"result.3264",15,11,12,124.07710157,82.98150105,124.86740158,1285647.76963614,1263,40,0.813286457461386
"result.3519",14,11,13,123.28680156,82.98150105,125.65770159,1285544.1134425,1258,40,0.813026035950569
"result.3774",13,11,14,122.49650155,82.98150105,126.4480016,1285336.80105524,1254,40,0.812505192928936
"result.2783",14,13,10,123.28680156,84.56210107,123.28680156,1285313.10821098,1258,40,0.812445668012178
"result.2528",15,13,9,124.07710157,84.56210107,122.49650155,1285260.29291232,1262,40,0.812312977051905
"result.3038",13,13,11,122.49650155,84.56210107,124.07710157,1285260.29291232,1254,40,0.812312977051905
"result.4000",15,9,15,124.07710157,81.40090103,127.23830161,1285105.30222279,1262,40,0.811923584888112
"result.3293",12,13,12,121.70620154,84.56210107,124.86740158,1285101.84701633,1250,40,0.811914904171084
"result.4029",12,11,15,121.70620154,82.98150105,127.23830161,1285025.83247434,1250,40,0.811723928396486
"result.3548",11,13,13,120.91590153,84.56210107,125.65770159,1284837.77052303,1246,40,0.811251449369718
"result.3803",10,13,14,120.12560152,84.56210107,126.4480016,1284468.0634324,1242,40,0.810322612647805
"result.2302",13,15,8,122.49650155,86.14270109,121.70620154,1284265.68705436,1254,40,0.809814170650496
"result.2557",12,15,9,121.70620154,86.14270109,122.49650155,1284265.68705436,1250,40,0.809814170650496
"result.2047",14,15,7,123.28680156,86.14270109,120.91590153,1284158.08205335,1258,40,0.809543828320219
"result.2812",11,15,10,120.91590153,86.14270109,123.28680156,1284158.08205335,1246,40,0.809543828320219
"result.4058",9,13,15,119.33530151,84.56210107,127.23830161,1283992.72574446,1237,40,0.809128394005345
"result.1792",15,15,6,124.07710157,86.14270109,120.12560152,1283942.87205133,1262,40,0.809003143659666
"result.3067",10,15,11,120.12560152,86.14270109,124.07710157,1283942.87205133,1241,40,0.809003143659666
"result.3322",9,15,12,119.33530151,86.14270109,124.86740158,1283620.0570483,1237,40,0.808192116668837
"result.3577",8,15,13,118.5450015,86.14270109,125.65770159,1283189.63704426,1233,40,0.807110747347731
"result.3832",7,15,14,117.75470149,86.14270109,126.4480016,1282651.61203921,1228,40,0.805759035696348
"result.4087",6,15,15,116.96440148,86.14270109,127.23830161,1282005.98203315,1224,40,0.80413698171469
"result.2768",15,12,10,124.07710157,83.77180106,123.28680156,1281463.02101888,1260,40,0.802772869038983
"result.3023",14,12,11,123.28680156,83.77180106,124.07710157,1281463.02101888,1256,40,0.802772869038983
"result.3504",15,10,13,124.07710157,82.19120104,125.65770159,1281463.02101888,1260,40,0.802772869038983
"result.3278",13,12,12,122.49650155,83.77180106,124.86740158,1281358.3776234,1252,40,0.802509967323301
"result.3759",14,10,14,123.28680156,82.19120104,126.4480016,1281309.01753119,1256,40,0.802385957080055
"result.3533",12,12,13,121.70620154,83.77180106,125.65770159,1281149.09083244,1248,40,0.801984163891938
"result.4014",13,10,15,122.49650155,82.19120104,127.23830161,1281052.34505172,1252,40,0.801741103815175
"result.3788",11,12,14,120.91590153,83.77180106,126.4480016,1280835.16064601,1244,40,0.801195458744893
"result.2542",13,14,9,122.49650155,85.35240108,122.49650155,1280746.31248004,1252,40,0.800972240307049
"result.2287",14,14,8,123.28680156,85.35240108,121.70620154,1280693.00358046,1256,40,0.800838309244344
"result.2797",12,14,10,121.70620154,85.35240108,123.28680156,1280693.00358046,1248,40,0.800838309244344
"result.2032",15,14,7,124.07710157,85.35240108,120.91590153,1280533.07688171,1260,40,0.800436516056226
"result.3052",11,14,11,120.91590153,85.35240108,124.07710157,1280533.07688171,1244,40,0.800436516056226
