"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,75.07850095,69.54640088,132.77040168,693252.62302076,721,40,1
"result.3840",15,15,14,75.07850095,69.54640088,131.98010167,689126.119312303,719,40,0.98363864098951
"result.4095",14,15,15,74.28820094,69.54640088,132.77040168,685955.226988963,713,40,0.971066228276186
"result.4080",15,14,15,75.07850095,68.75610087,132.77040168,685374.752304615,717,40,0.968764678252701
"result.3584",15,15,13,75.07850095,69.54640088,131.18980166,684999.615603846,717,40,0.96727728197902
"result.3839",14,15,14,74.28820094,69.54640088,131.98010167,681872.160161647,711,40,0.954877094097386
"result.3824",15,14,14,75.07850095,68.75610087,131.98010167,681295.140683754,715,40,0.952589243776421
"result.3328",15,15,12,75.07850095,69.54640088,130.39950165,680873.111895389,714,40,0.95091592296853
"result.4094",13,15,15,73.49790093,69.54640088,132.77040168,678657.830957165,706,40,0.942132456552372
"result.4079",14,14,15,74.28820094,68.75610087,132.77040168,678160.281227724,709,40,0.940159699389385
"result.3583",14,15,13,74.28820094,69.54640088,131.18980166,677789.093334332,709,40,0.938687959918585
"result.4064",15,13,15,75.07850095,67.96580086,132.77040168,677496.88158847,713,40,0.937529356505402
"result.3568",15,14,13,75.07850095,68.75610087,131.18980166,677215.529062893,713,40,0.936413809300141
"result.3072",15,15,11,75.07850095,69.54640088,129.60920164,676746.608186932,712,40,0.93455456395804
"result.3838",13,15,14,73.49790093,69.54640088,131.98010167,674618.201010991,704,40,0.926115547205261
"result.3823",14,14,14,74.28820094,68.75610087,131.98010167,674123.612887083,707,40,0.924154532644434
"result.3327",14,15,12,74.28820094,69.54640088,130.39950165,673706.026507017,707,40,0.922498825739784
"result.3808",15,13,14,75.07850095,67.96580086,131.98010167,673464.162055205,711,40,0.921539846563332
"result.3312",15,14,12,75.07850095,68.75610087,130.39950165,673135.917442032,710,40,0.920238374823861
"result.2816",15,15,10,75.07850095,69.54640088,128.81890163,672620.104478475,710,40,0.91819320494755
"result.4093",12,15,15,72.70760092,69.54640088,132.77040168,671360.434925367,698,40,0.913198684828558
"result.4078",13,14,15,73.49790093,68.75610087,132.77040168,670945.810150834,702,40,0.911554720526069
"result.3582",13,15,13,73.49790093,69.54640088,131.18980166,670578.571064818,702,40,0.91009863785815
"result.4063",14,13,15,74.28820094,67.96580086,132.77040168,670365.335466486,705,40,0.909253170502583
"result.3567",14,14,13,74.28820094,68.75610087,131.18980166,670086.944546442,705,40,0.908149365899483
"result.3071",14,15,11,74.28820094,69.54640088,129.60920164,669622.959679701,705,40,0.906309691560984
"result.4048",15,12,15,75.07850095,67.17550085,132.77040168,669619.010872325,709,40,0.906294034758102
"result.3552",15,13,13,75.07850095,67.96580086,131.18980166,669431.442521941,708,40,0.905550336621262
"result.3056",15,14,11,75.07850095,68.75610087,129.60920164,669056.305821172,708,40,0.904062940347581
"result.2560",15,15,9,75.07850095,69.54640088,128.02860162,668493.600770019,708,40,0.90183184593706
"result.3837",12,15,14,72.70760092,69.54640088,131.98010167,667364.241860336,696,40,0.897354000313136
"result.3822",13,14,14,73.49790093,68.75610087,131.98010167,666952.085090412,700,40,0.895719821512447
"result.3326",13,15,12,73.49790093,69.54640088,130.39950165,666538.941118644,699,40,0.894081728511038
"result.3807",14,13,14,74.28820094,67.96580086,131.98010167,666375.065612519,703,40,0.893431971191483
"result.3311",14,14,12,74.28820094,68.75610087,130.39950165,666050.276205801,703,40,0.892144199154533
"result.3792",15,12,14,75.07850095,67.17550085,131.98010167,665633.183426656,706,40,0.890490449350243
"result.2815",14,15,10,74.28820094,69.54640088,128.81890163,665539.892852386,703,40,0.890120557382183
"result.3296",15,13,12,75.07850095,67.96580086,130.39950165,665398.722988676,706,40,0.889560826679192
"result.2800",15,14,10,75.07850095,68.75610087,128.81890163,664976.694200311,706,40,0.887887505871301
