"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,75.07850095,44.25680056,210.21980266,698504.536831523,724,40,1
"result.3840",15,15,14,75.07850095,44.25680056,209.42950265,695878.579926142,722,40,0.991011084076778
"result.3584",15,15,13,75.07850095,44.25680056,208.63920264,693252.62302076,721,40,0.982022168153555
"result.4095",14,15,15,74.28820094,44.25680056,210.21980266,691151.857496455,716,40,0.974831035414977
"result.3328",15,15,12,75.07850095,44.25680056,207.84890263,690626.666115378,720,40,0.973033252230332
"result.3839",14,15,14,74.28820094,44.25680056,209.42950265,688553.542242708,715,40,0.965936739659367
"result.3072",15,15,11,75.07850095,44.25680056,207.05860262,688000.709209997,718,40,0.96404433630711
"result.4080",15,14,15,75.07850095,43.46650055,210.21980266,686031.24153096,717,40,0.957302649364693
"result.3583",14,15,13,74.28820094,44.25680056,208.63920264,685955.226988963,713,40,0.957042443903758
"result.2816",15,15,10,75.07850095,44.25680056,206.26830261,685374.752304615,717,40,0.955055420383888
"result.4094",13,15,15,73.49790093,44.25680056,210.21980266,683799.178161386,708,40,0.949662070829954
"result.3824",15,14,14,75.07850095,43.46650055,209.42950265,683452.176713175,716,40,0.948474249797242
"result.3327",14,15,12,74.28820094,44.25680056,207.84890263,683356.911735216,712,40,0.948148148148148
"result.2560",15,15,9,75.07850095,44.25680056,205.4780026,682748.795399233,715,40,0.946066504460665
"result.3838",13,15,14,73.49790093,44.25680056,209.42950265,681228.504559275,707,40,0.940862395241957
"result.3568",15,14,13,75.07850095,43.46650055,208.63920264,680873.111895389,714,40,0.939645850229792
"result.3071",14,15,11,74.28820094,44.25680056,207.05860262,680758.59648147,711,40,0.939253852392538
"result.2304",15,15,8,75.07850095,44.25680056,204.68770259,680122.838493852,714,40,0.937077588537442
"result.4079",14,14,15,74.28820094,43.46650055,210.21980266,678809.860041161,710,40,0.932583130575831
"result.3582",13,15,13,73.49790093,44.25680056,208.63920264,678657.830957165,706,40,0.93206271965396
"result.3312",15,14,12,75.07850095,43.46650055,207.84890263,678294.047077604,713,40,0.930817450662341
"result.2815",14,15,10,74.28820094,44.25680056,206.26830261,678160.281227724,709,40,0.930359556636929
"result.2048",15,15,7,75.07850095,44.25680056,203.89740258,677496.88158847,713,40,0.92808867261422
"result.4093",12,15,15,72.70760092,44.25680056,210.21980266,676446.498826317,701,40,0.924493106244931
"result.3823",14,14,14,74.28820094,43.46650055,209.42950265,676257.943274089,708,40,0.923847661530143
"result.3326",13,15,12,73.49790093,44.25680056,207.84890263,676087.157355055,704,40,0.923263044065964
"result.3056",15,14,11,75.07850095,43.46650055,207.05860262,675714.982259818,712,40,0.92198905109489
"result.2559",14,15,9,74.28820094,44.25680056,205.4780026,675561.965973978,708,40,0.921465260881319
"result.1792",15,15,6,75.07850095,44.25680056,203.10710257,674870.924683088,711,40,0.919099756690998
"result.3837",12,15,14,72.70760092,44.25680056,209.42950265,673903.466875842,699,40,0.915788050824547
"result.3567",14,14,13,74.28820094,43.46650055,208.63920264,673706.026507017,707,40,0.915112192484455
"result.4064",15,13,15,75.07850095,42.67620054,210.21980266,673557.946230397,711,40,0.914605298729386
"result.3070",13,15,11,73.49790093,44.25680056,207.05860262,673516.483752944,703,40,0.914463368477967
"result.2800",15,14,10,75.07850095,43.46650055,206.26830261,673135.917442032,710,40,0.91316065152744
"result.2303",14,15,8,74.28820094,44.25680056,204.68770259,672963.650720232,707,40,0.91257096512571
"result.1536",15,15,5,75.07850095,44.25680056,202.31680256,672244.967777707,710,40,0.910110840767775
"result.4078",13,14,15,73.49790093,43.46650055,210.21980266,671588.478551361,702,40,0.90786361178697
"result.3581",12,15,13,72.70760092,44.25680056,208.63920264,671360.434925367,698,40,0.907082995404163
"result.3311",14,14,12,74.28820094,43.46650055,207.84890263,671154.109739945,706,40,0.906376723438767
"result.3808",15,13,14,75.07850095,42.67620054,209.42950265,671025.773500208,709,40,0.905937415517707
"result.2814",13,15,10,73.49790093,44.25680056,206.26830261,670945.810150834,702,40,0.90566369288997
"result.2544",15,14,9,75.07850095,43.46650055,205.4780026,670556.852624247,709,40,0.904332251959989
"result.2047",14,15,7,74.28820094,44.25680056,203.89740258,670365.335466486,705,40,0.9036766693701
"result.1280",15,15,4,75.07850095,44.25680056,201.52650255,669619.010872325,709,40,0.901121924844552
"result.4092",11,15,15,71.91730091,44.25680056,210.21980266,669093.819491249,693,40,0.899324141659908
"result.3822",13,14,14,73.49790093,43.46650055,209.42950265,669063.709835003,701,40,0.899221073263044
"result.3325",12,15,12,72.70760092,44.25680056,207.84890263,668817.402974893,697,40,0.898377939983779
"result.3055",14,14,11,74.28820094,43.46650055,207.05860262,668602.192972873,704,40,0.897641254393079
"result.3552",15,13,13,75.07850095,42.67620054,208.63920264,668493.600770019,708,40,0.897269532306029
"result.2558",13,15,9,73.49790093,44.25680056,205.4780026,668375.136548723,700,40,0.896864017301973
"result.2288",15,14,8,75.07850095,43.46650055,204.68770259,667977.787806461,708,40,0.895503852392539
"result.1791",14,15,6,74.28820094,44.25680056,203.10710257,667767.02021274,704,40,0.89478237361449
"result.1024",15,15,3,75.07850095,44.25680056,200.73620254,666993.053966943,707,40,0.89213300892133
"result.3836",11,15,14,71.91730091,44.25680056,209.42950265,666578.429192409,692,40,0.890713706407137
"result.3566",13,14,13,73.49790093,43.46650055,208.63920264,666538.941118644,699,40,0.890578534739119
"result.4063",14,13,15,74.28820094,42.67620054,210.21980266,666467.862585867,703,40,0.890335225736686
"result.3069",12,15,11,72.70760092,44.25680056,207.05860262,666274.371024418,696,40,0.889672884563396
"result.2799",14,14,10,74.28820094,43.46650055,206.26830261,666050.276205801,703,40,0.888905785347391
"result.3296",15,13,12,75.07850095,42.67620054,207.84890263,665961.428039829,707,40,0.88860164909435
"result.2302",13,15,8,73.49790093,44.25680056,204.68770259,665804.462946613,699,40,0.888064341713977
"result.2032",15,14,7,75.07850095,43.46650055,203.89740258,665398.722988676,706,40,0.886675452825088
"result.1535",14,15,5,74.28820094,44.25680056,202.31680256,665168.704958994,702,40,0.885888077858881
"result.768",15,15,2,75.07850095,44.25680056,199.94590253,664367.097061562,706,40,0.883144092998108
"result.4077",12,14,15,72.70760092,43.46650055,210.21980266,664367.097061562,695,40,0.883144092998108
"result.3580",11,15,13,71.91730091,44.25680056,208.63920264,664063.03889357,691,40,0.882103271154366
"result.3310",13,14,12,73.49790093,43.46650055,207.84890263,664014.172402286,698,40,0.881935996215193
"result.3807",14,13,14,74.28820094,42.67620054,209.42950265,663962.344305469,702,40,0.881758583400919
"result.2813",12,15,10,72.70760092,44.25680056,206.26830261,663731.339073943,694,40,0.880967829143011
"result.2543",14,14,9,74.28820094,43.46650055,205.4780026,663498.359438729,702,40,0.880170316301703
"result.3040",15,13,11,75.07850095,42.67620054,207.05860262,663429.25530964,705,40,0.879933765882671
"result.2046",13,15,7,73.49790093,44.25680056,203.89740258,663233.789344502,698,40,0.87926466612598
"result.1776",15,14,6,75.07850095,43.46650055,203.10710257,662819.65817089,705,40,0.877847053257637
"result.1279",14,15,4,74.28820094,44.25680056,201.52650255,662570.389705248,701,40,0.876993782103271
"result.3821",12,14,14,72.70760092,43.46650055,209.42950265,661869.476395917,693,40,0.874594484995945
"result.512",15,15,1,75.07850095,44.25680056,199.15560252,661741.14015618,704,40,0.874155177074885
