"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3281",0,13,12,121.20714342,123.65577258,123.65577258,1853348.13944365,1498,21,1
"result.3041",0,14,11,121.20714342,124.26792987,123.04361529,1853302.71869717,1498,21,0.999731267285302
"result.3521",0,12,13,121.20714342,123.04361529,124.26792987,1853302.71869717,1498,21,0.999731267285302
"result.2801",0,15,10,121.20714342,124.88008716,122.431458,1853166.45645773,1498,21,0.998925069141208
"result.3761",0,11,14,121.20714342,122.431458,124.88008716,1853166.45645773,1498,21,0.998925069141208
"result.4001",0,10,15,121.20714342,121.81930071,125.49224445,1852939.35272532,1498,21,0.997581405567719
"result.3828",3,15,14,121.568581614,123.383038056,123.383038056,1850683.99427622,1499,20.5,0.984237534196398
"result.4068",3,14,15,121.568581614,122.778219242,123.98785687,1850639.52378424,1499,20.5,0.983974423680617
"result.4083",2,15,15,120.9637628,123.383038056,123.98785687,1850503.45735355,1496,20.5,0.98316938404278
"result.3010",1,12,11,121.81930071,123.04361529,123.04361529,1844311.47547316,1498,21,0.946534404898505
"result.2770",1,13,10,121.81930071,123.65577258,122.431458,1844265.82532897,1498,21,0.946264314947875
"result.3250",1,11,12,121.81930071,122.431458,123.65577258,1844265.82532897,1498,21,0.946264314947875
"result.3025",0,13,11,121.20714342,123.65577258,123.04361529,1844173.14865433,1495,21,0.945715991631015
"result.3265",0,12,12,121.20714342,123.04361529,123.65577258,1844173.14865433,1495,21,0.945715991631015
"result.2530",1,14,9,121.81930071,124.26792987,121.81930071,1844128.87489639,1498,21,0.945454045095981
"result.3490",1,10,13,121.81930071,121.81930071,124.26792987,1844128.87489639,1498,21,0.945454045095981
"result.2785",0,14,10,121.20714342,124.26792987,122.431458,1844082.30716137,1495,21,0.94517852620162
"result.3505",0,11,13,121.20714342,122.431458,124.26792987,1844082.30716137,1495,21,0.94517852620162
"result.2290",1,15,8,121.81930071,124.88008716,121.20714342,1843900.62417544,1498,21,0.944103595342829
"result.2545",0,15,9,121.20714342,124.88008716,121.81930071,1843900.62417544,1494,21,0.944103595342829
"result.3730",1,9,14,121.81930071,121.20714342,124.88008716,1843900.62417544,1498,21,0.944103595342829
"result.3745",0,10,14,121.20714342,121.81930071,124.88008716,1843900.62417544,1494,21,0.944103595342829
"result.3985",0,9,15,121.20714342,121.20714342,125.49224445,1843628.09969655,1494,21,0.942491199054641
"result.3970",1,8,15,121.81930071,120.59498613,125.49224445,1843581.0731661,1498,21,0.942212965688413
"result.3557",4,14,13,122.173400428,122.778219242,122.778219242,1841701.839881,1500,20.5,0.931094446038853
"result.3317",4,15,12,122.173400428,123.383038056,122.173400428,1841657.14814279,1500,20.5,0.930830026515531
"result.3797",4,13,14,122.173400428,122.173400428,123.383038056,1841657.14814279,1500,20.5,0.930830026515531
"result.3572",3,15,13,121.568581614,123.383038056,122.778219242,1841612.01391212,1496,20.5,0.930562988977127
"result.3812",3,14,14,121.568581614,122.778219242,123.383038056,1841612.01391212,1496,20.5,0.930562988977127
"result.4037",4,12,15,122.173400428,121.568581614,123.98785687,1841523.07292816,1499,20.5,0.930036767945565
"result.4052",3,13,15,121.568581614,122.173400428,123.98785687,1841523.07292816,1496,20.5,0.930036767945565
"result.3827",2,15,14,120.9637628,123.383038056,123.383038056,1841476.61122012,1492,20.5,0.929761876361914
"result.4067",2,14,15,120.9637628,122.778219242,123.98785687,1841432.36197437,1492,20.5,0.929500074853674
"result.4082",1,15,15,120.358943986,123.383038056,123.98785687,1841250.94006678,1488,20.5,0.928426688669892
"result.1937",0,9,7,122.64107427,122.64107427,122.021674905,1835307.64659668,1500,21.5,0.893263079258333
"result.2177",0,8,8,122.64107427,122.021674905,122.64107427,1835307.64659668,1500,21.5,0.893263079258333
"result.1697",0,10,6,122.64107427,123.260473635,121.40227554,1835213.54273335,1500,21.5,0.892706311952288
"result.2417",0,7,9,122.64107427,121.40227554,123.260473635,1835213.54273335,1500,21.5,0.892706311952288
"result.2739",2,11,10,122.431458,122.431458,122.431458,1835181.67603261,1498,21,0.892517772008286
"result.2499",2,12,9,122.431458,123.04361529,121.81930071,1835135.79649071,1498,21,0.892246324821721
"result.2754",1,12,10,121.81930071,123.04361529,122.431458,1835135.79649071,1495,21,0.892246324821721
"result.2979",2,10,11,122.431458,121.81930071,123.04361529,1835135.79649071,1498,21,0.892246324821721
"result.2994",1,11,11,121.81930071,122.431458,123.04361529,1835135.79649071,1495,21,0.892246324821721
"result.2514",1,13,9,121.81930071,123.65577258,121.81930071,1835044.49620232,1495,21,0.891706144920461
"result.3234",1,10,12,121.81930071,121.81930071,123.65577258,1835044.49620232,1495,21,0.891706144920461
"result.3009",0,12,11,121.20714342,123.04361529,123.04361529,1835043.57861149,1491,21,0.891700715976729
"result.1457",0,11,5,122.64107427,123.879873,120.782876175,1835025.33500668,1500,21.5,0.891592777340198
"result.2657",0,6,10,122.64107427,120.782876175,123.879873,1835025.33500668,1500,21.5,0.891592777340198
"result.2259",2,13,8,122.431458,123.65577258,121.20714342,1834998.157865,1498,21,0.891431983262031
"result.2769",0,13,10,121.20714342,123.65577258,122.431458,1834998.157865,1491,21,0.891431983262031
"result.3219",2,9,12,122.431458,121.20714342,123.65577258,1834998.157865,1498,21,0.891431983262031
"result.3249",0,11,12,121.20714342,122.431458,123.65577258,1834998.157865,1491,21,0.891431983262031
"result.2274",1,14,8,121.81930071,124.26792987,121.20714342,1834861.89562556,1495,21,0.890625785117937
"result.2529",0,14,9,121.20714342,124.26792987,121.81930071,1834861.89562556,1491,21,0.890625785117937
"result.3474",1,9,13,121.81930071,121.20714342,124.26792987,1834861.89562556,1495,21,0.890625785117937
"result.3489",0,10,13,121.20714342,121.81930071,124.26792987,1834861.89562556,1491,21,0.890625785117937
"result.2019",2,14,7,122.431458,124.26792987,120.59498613,1834768.7601555,1498,21,0.890074747329214
"result.3459",2,8,13,122.431458,120.59498613,124.26792987,1834768.7601555,1498,21,0.890074747329214
"result.1217",0,12,4,122.64107427,124.499272365,120.16347681,1834743.02341668,1500,21.5,0.889922475422063
"result.2897",0,5,11,122.64107427,120.16347681,124.499272365,1834743.02341668,1500,21.5,0.889922475422063
"result.2289",0,15,8,121.20714342,124.88008716,121.20714342,1834634.79189315,1491,21,0.889282121544448
"result.3729",0,9,14,121.20714342,121.20714342,124.88008716,1834634.79189315,1491,21,0.889282121544448
"result.2034",1,15,7,121.81930071,124.88008716,120.59498613,1834587.99476041,1494,21,0.889005245414153
"result.3714",1,8,14,121.81930071,120.59498613,124.88008716,1834587.99476041,1494,21,0.889005245414153
"result.1779",2,15,6,122.431458,124.88008716,119.98282884,1834447.60336219,1498,21,0.888174617023267
"result.3699",2,7,14,122.431458,119.98282884,124.88008716,1834447.60336219,1498,21,0.888174617023267
"result.977",0,13,3,122.64107427,125.11867173,119.544077445,1834366.60796334,1499,21.5,0.887695406197885
"result.3137",0,4,12,122.64107427,119.544077445,125.11867173,1834366.60796334,1499,21.5,0.887695406197885
"result.3969",0,8,15,121.20714342,120.59498613,125.49224445,1834316.84666778,1491,21,0.887400992541562
"result.3954",1,7,15,121.81930071,119.98282884,125.49224445,1834222.79360688,1494,21,0.886844525809106
"result.3939",2,6,15,122.431458,119.37067155,125.49224445,1834034.68748509,1498,21,0.885731592344196
"result.737",0,14,2,122.64107427,125.738071095,118.92467808,1833896.08864668,1499,21.5,0.88491156966766
"result.3377",0,3,13,122.64107427,118.92467808,125.738071095,1833896.08864668,1499,21.5,0.88491156966766
"result.497",0,15,1,122.64107427,126.35747046,118.305278715,1833331.46546667,1499,21.5,0.88157096583139
"result.3617",0,2,14,122.64107427,118.305278715,126.35747046,1833331.46546667,1499,21.5,0.88157096583139
"result.3857",0,1,15,122.64107427,117.68587935,126.976869825,1832672.73842334,1499,21.5,0.877673594689077
"result.3286",5,13,12,122.778219242,122.173400428,122.173400428,1832629.41702444,1500,20.5,0.8774172828045
"result.3301",4,14,12,122.173400428,122.778219242,122.173400428,1832629.41702444,1496,20.5,0.8774172828045
"result.3541",4,13,13,122.173400428,122.173400428,122.778219242,1832629.41702444,1496,20.5,0.8774172828045
"result.3046",5,14,11,122.778219242,122.778219242,121.568581614,1832584.50404,1500,20.5,0.877151554273637
"result.3526",5,12,13,122.778219242,121.568581614,122.778219242,1832584.50404,1500,20.5,0.877151554273637
"result.3556",3,14,13,121.568581614,122.778219242,122.778219242,1832584.50404,1492,20.5,0.877151554273637
"result.3061",4,15,11,122.173400428,123.383038056,121.568581614,1832540.03354802,1496,20.5,0.876888443757856
"result.3316",3,15,12,121.568581614,123.383038056,122.173400428,1832540.03354802,1492,20.5,0.876888443757856
"result.3781",4,12,14,122.173400428,121.568581614,123.383038056,1832540.03354802,1496,20.5,0.876888443757856
"result.3796",3,13,14,121.568581614,122.173400428,123.383038056,1832540.03354802,1492,20.5,0.876888443757856
"result.2806",5,15,10,122.778219242,123.383038056,120.9637628,1832449.76508669,1499,20.5,0.876354368681047
"result.3571",2,15,13,120.9637628,123.383038056,122.778219242,1832449.76508669,1488,20.5,0.876354368681047
