"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,121.46128848,100.46797936,151.45173008,1848160.95254674,1498,33,1
"result.3553",0,14,13,121.942112094,100.112968571,151.298546487,1847050.66375084,1500,33.5,0.993481182443922
"result.4082",1,15,15,121.725337393,100.068682274,151.596585833,1846581.95981427,1499,32.5,0.990729289907841
"result.4065",0,14,15,121.46128848,99.71821832,152.20149112,1843449.73983336,1496,33,0.972339146121466
"result.3057",0,15,11,121.942112094,100.865697658,149.793088313,1842421.46409232,1498,33.5,0.966301850259374
"result.3793",0,13,14,121.942112094,99.360239484,152.051275574,1842283.27902788,1498,33.5,0.965490526910581
"result.3314",1,15,12,122.21104952,100.46797936,149.952208,1841157.77573108,1500,33,0.958882380743808
"result.4050",1,13,15,122.21104952,98.96845728,152.20149112,1840882.97606306,1499,33,0.957268954663222
"result.3569",0,15,13,121.46128848,100.46797936,150.70196904,1839011.64090047,1494,33,0.946281820004009
"result.3297",0,14,12,121.942112094,100.112968571,150.5458174,1837861.35696601,1497,33.5,0.939528179749225
"result.3826",1,15,14,121.725337393,100.068682274,150.849804622,1837485.49695804,1495,32.5,0.937321400010806
"result.4033",0,12,15,121.942112094,98.607510397,152.804004661,1837377.70924049,1496,33.5,0.936688548028451
"result.3554",1,14,13,122.21104952,99.71821832,150.70196904,1836554.88129175,1498,33,0.931857493893974
"result.3025",0,13,11,122.42105262,99.75048732,150.38141649,1836391.63878268,1499,34,0.930899051245588
"result.2289",0,15,8,122.42105262,101.26185834,148.11435996,1836111.99942852,1499,34,0.929257210007513
"result.3761",0,11,14,122.42105262,98.2391163,152.64847302,1835832.36007436,1499,34,0.927615368769439
"result.4083",2,15,15,121.98146652,99.66778362,150.98925429,1835670.3417409,1496,32,0.926664113600089
"result.3282",1,13,12,122.694841181,99.360239484,150.5458174,1835302.37429131,1500,33.5,0.924503673290105
"result.4081",0,15,15,120.978556182,100.068682274,151.596585833,1835253.23613443,1490,32.5,0.924215169361227
"result.2546",1,15,9,122.694841181,100.865697658,148.287630139,1835163.33623266,1500,33.5,0.923687341772492
"result.3811",2,14,14,122.472118604,99.321901063,150.849804622,1834961.70953433,1499,32.5,0.922503534761468
"result.4018",1,11,15,122.694841181,97.85478131,152.804004661,1834607.18399802,1500,33.5,0.920422015702044
"result.3809",0,14,14,121.46128848,99.71821832,151.45173008,1834368.70663221,1492,33,0.919021848065745
"result.2801",0,15,10,121.942112094,100.865697658,149.040359226,1833163.06477527,1495,33.5,0.911943185890281
"result.3537",0,13,13,121.942112094,99.360239484,151.298546487,1833163.06477527,1495,33.5,0.911943185890281
"result.4068",3,14,15,122.72525595,98.92399419,150.98925429,1833080.89049435,1499,32,0.911460717592785
"result.4066",1,14,15,121.725337393,99.321901063,151.596585833,1832801.49742759,1493,32.5,0.909820322377257
"result.3058",1,15,11,122.21104952,100.46797936,149.20244696,1831951.98685242,1496,33,0.904832607044139
"result.3794",1,13,14,122.21104952,98.96845728,151.45173008,1831814.58701841,1496,33,0.904025894003845
"result.2529",0,14,9,122.42105262,100.50617283,148.87004547,1831707.67960046,1497,34,0.903398210507839
"result.3265",0,12,12,122.42105262,98.99480181,151.137102,1831637.76976192,1497,34,0.902987750198319
"result.4001",0,10,15,122.42105262,97.48343079,153.40415853,1830728.9418609,1497,34,0.897651766174578
"result.2786",1,14,10,122.694841181,100.112968571,149.040359226,1830714.11835559,1498,33.5,0.897564733208904
"result.3522",1,12,13,122.694841181,98.607510397,151.298546487,1830505.5612676,1498,33.5,0.896340235932486
"result.3315",2,15,12,122.472118604,100.068682274,149.3562422,1830453.87536365,1497,32.5,0.896036773464631
"result.4051",2,13,15,122.472118604,98.575119852,151.596585833,1830180.6732927,1497,32.5,0.894432727325429
"result.2257",0,13,8,122.898121236,100.139209896,148.691554088,1829935.1735859,1499,34.5,0.892991329551618
"result.3313",0,15,12,121.46128848,100.46797936,149.952208,1829862.3292542,1490,33,0.892563640008017
"result.2993",0,11,11,122.898121236,98.62194914,150.967445222,1829793.71292004,1499,34.5,0.892160774226267
"result.4049",0,13,15,121.46128848,98.96845728,152.20149112,1829589.21547371,1490,33,0.890960112246943
"result.3043",2,14,11,122.96081056,99.71821832,149.20244696,1829435.79970813,1499,33,0.890059365171278
"result.1521",0,15,5,122.898121236,101.656470652,146.415662954,1829227.8702566,1499,34.5,0.888838552924863
"result.3779",2,12,14,122.96081056,98.21869624,151.45173008,1829090.19276369,1499,33,0.888030209671153
"result.3250",1,11,12,123.17673813,98.2391163,151.137102,1828875.89959736,1500,34,0.886772034266719
"result.3729",0,9,14,122.898121236,97.104688384,153.243336356,1828803.48825901,1499,34.5,0.88634688694881
"result.3041",0,14,11,121.942112094,100.112968571,149.793088313,1828672.05018118,1493,33.5,0.885575177054527
"result.3572",3,15,13,122.72525595,99.66778362,149.50167543,1828667.75453072,1498,32,0.885549956083437
"result.1778",1,15,6,123.17673813,101.26185834,146.60298894,1828594.53407434,1500,34,0.885120058206187
"result.3570",1,15,13,121.725337393,100.068682274,150.103023411,1828389.03410181,1491,32.5,0.88391351011377
"result.3777",0,12,14,121.942112094,98.607510397,152.051275574,1828326.5875201,1493,33.5,0.883546868682545
"result.3300",3,14,12,123.218899815,99.321901063,149.3562422,1827871.78261992,1500,32.5,0.880876581295342
"result.3986",1,9,15,123.17673813,96.72774528,153.40415853,1827750.4375053,1500,34,0.880164130024591
"result.3298",1,14,12,122.21104952,99.71821832,149.952208,1827417.7923301,1494,33,0.87821107671445
"result.4036",3,12,15,123.218899815,97.828338641,151.596585833,1827390.76372976,1500,32.5,0.878052384205741
"result.2769",0,13,10,122.42105262,99.75048732,149.62573098,1827163.54009533,1495,34,0.876718290389126
"result.4034",1,12,15,122.21104952,98.21869624,152.20149112,1826936.89291106,1494,33,0.875387581073423
"result.2033",0,15,7,122.42105262,101.26185834,147.35867445,1826744.08106409,1495,34,0.874255528532014
"result.3505",0,11,13,122.42105262,98.2391163,151.89278751,1826744.08106409,1495,34,0.874255528532014
"result.3827",2,15,14,121.98146652,99.66778362,150.24546486,1826627.63069784,1492,32,0.87357181570457
"result.3829",4,15,14,122.970405284,99.265266916,149.638685948,1826593.06683002,1498,31.5,0.873368881522782
"result.3026",1,13,11,122.694841181,99.360239484,149.793088313,1826125.86241986,1496,33.5,0.870625793127703
"result.3555",2,14,13,122.472118604,99.321901063,150.103023411,1825877.74067525,1495,32.5,0.869169000632995
"result.2290",1,15,8,122.694841181,100.865697658,147.534901052,1825847.78630254,1496,33.5,0.868993130092478
"result.3762",1,11,14,122.694841181,97.85478131,152.051275574,1825569.71018522,1496,33.5,0.867360467057255
"result.2497",0,12,9,122.898121236,99.380579518,149.450184466,1825337.7019454,1497,34.5,0.865998281477708
"result.1761",0,14,6,122.898121236,100.897840274,147.174293332,1824984.05028075,1497,34.5,0.86392189316433
"result.3233",0,10,12,122.898121236,97.863318762,151.7260756,1824842.58961489,1497,34.5,0.863091337838979
"result.3283",2,13,12,122.96081056,98.96845728,149.952208,1824804.66665261,1497,33,0.862868681469603
"result.2547",2,15,9,122.96081056,100.46797936,147.70292488,1824666.42387484,1497,33,0.862057019269553
"result.4084",3,15,15,122.22961971,99.265266916,150.379471522,1824577.56094094,1493,31.5,0.861535280010603
"result.2754",1,12,10,123.17673813,98.99480181,149.62573098,1824514.73399063,1499,34,0.861166405328475
"result.2018",1,14,7,123.17673813,100.50617283,147.35867445,1824303.70984837,1499,34,0.859927423283076
"result.4086",5,15,15,123.20750316,98.86111032,149.76720444,1824229.03416912,1499,31,0.859488981383376
"result.4019",2,11,15,122.96081056,97.4689352,152.20149112,1824113.45276373,1497,33,0.858810370469353
"result.3812",3,14,14,122.72525595,98.92399419,150.24546486,1824050.93536877,1496,32,0.858443313273657
"result.3281",0,13,12,121.942112094,99.360239484,150.5458174,1824042.85052266,1491,33.5,0.85839584486998
"result.2545",0,15,9,121.942112094,100.865697658,148.287630139,1823904.66545822,1491,33.5,0.857584521521188
"result.3490",1,10,13,123.17673813,97.48343079,151.89278751,1823881.66156384,1498,34,0.857449459192278
"result.3810",1,14,14,121.725337393,99.321901063,150.849804622,1823772.91862253,1489,32.5,0.856810998822738
"result.3969",0,8,15,122.898121236,96.346058006,154.001966734,1823498.7132892,1497,34.5,0.855201062248144
"result.3011",2,12,11,123.447570268,98.607510397,149.793088313,1823409.92880778,1500,33.5,0.854679783605758
"result.4017",0,11,15,121.942112094,97.85478131,152.804004661,1823351.92520049,1491,33.5,0.854339228126018
"result.2275",2,14,8,123.447570268,100.112968571,147.534901052,1823339.98328134,1500,33.5,0.854269113762542
"result.2804",3,15,10,123.218899815,100.068682274,147.862679778,1823199.02768691,1498,32.5,0.8534415238535
"result.3540",3,13,13,123.218899815,98.575119852,150.103023411,1823199.02768691,1498,32.5,0.8534415238535
"result.2225",0,11,8,123.37334208,99.0032992,149.26651264,1823196.10042304,1499,35,0.853424337064643
"result.1489",0,13,5,123.37334208,100.52642688,146.98182112,1822909.88439471,1499,35,0.851743882324258
