"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,47.4180006,70.33670089,101.94870129,340021.931173161,401,40,1
"result.3840",15,15,14,47.4180006,70.33670089,101.15840128,337386.102249338,399,40,0.982731858750485
"result.4080",15,14,15,47.4180006,69.54640088,101.94870129,336201.460036384,399,40,0.974970896391153
"result.3584",15,15,13,47.4180006,70.33670089,100.36810127,334750.273325515,398,40,0.96546371750097
"result.4095",14,15,15,46.62770059,70.33670089,101.94870129,334354.898986941,394,40,0.962873496313543
"result.3824",15,14,14,47.4180006,69.54640088,101.15840128,333595.247167884,397,40,0.957896779200621
"result.4064",15,13,15,47.4180006,68.75610087,101.94870129,332380.988899607,396,40,0.949941792782305
"result.3328",15,15,12,47.4180006,70.33670089,99.57780126,332114.444401692,396,40,0.948195576251455
"result.3839",14,15,14,46.62770059,70.33670089,101.15840128,331763.000545182,393,40,0.945893157418186
"result.3568",15,14,13,47.4180006,69.54640088,100.36810127,330989.034299385,396,40,0.940822662010089
"result.4079",14,14,15,46.62770059,69.54640088,101.94870129,330598.102369111,392,40,0.938261544431509
"result.3808",15,13,14,47.4180006,68.75610087,101.15840128,329804.392086431,395,40,0.933061699650757
"result.3072",15,15,11,47.4180006,70.33670089,98.78750125,329478.615477869,395,40,0.93092743500194
"result.3583",14,15,13,46.62770059,70.33670089,100.36810127,329171.102103423,391,40,0.92891281852283
"result.4094",13,15,15,45.83740058,70.33670089,101.94870129,328687.866800722,388,40,0.925746992627086
"result.4048",15,12,15,47.4180006,67.96580086,101.94870129,328560.517762829,394,40,0.924912689173458
"result.3312",15,14,12,47.4180006,69.54640088,99.57780126,328382.821430886,394,40,0.923748544819558
"result.3823",14,14,14,46.62770059,69.54640088,101.15840128,328035.326381753,391,40,0.92147199586082
"result.3552",15,13,13,47.4180006,68.75610087,100.36810127,327227.795273256,393,40,0.916181606519208
"result.2816",15,15,10,47.4180006,70.33670089,97.99720124,326842.786554046,393,40,0.913659293752425
"result.4063",14,13,15,46.62770059,68.75610087,101.94870129,326841.30575128,390,40,0.913649592549476
"result.3327",14,15,12,46.62770059,70.33670089,99.57780126,326579.203661664,390,40,0.911932479627474
"result.3838",13,15,14,45.83740058,70.33670089,101.15840128,326139.898841026,386,40,0.909054456085888
"result.3792",15,12,14,47.4180006,67.96580086,101.15840128,326013.537004978,393,40,0.908226620100892
"result.3056",15,14,11,47.4180006,69.54640088,98.78750125,325776.608562387,393,40,0.906674427629026
"result.3567",14,14,13,46.62770059,69.54640088,100.36810127,325472.550394396,389,40,0.90468244729013
"result.4078",13,14,15,45.83740058,69.54640088,101.94870129,324994.744701837,385,40,0.901552192471867
"result.4032",15,11,15,47.4180006,67.17550085,101.94870129,324740.046626052,392,40,0.89988358556461
"result.3296",15,13,12,47.4180006,68.75610087,99.57780126,324651.198460081,392,40,0.89930151338766
"result.3807",14,13,14,46.62770059,68.75610087,101.15840128,324307.652218324,388,40,0.897050834303454
"result.2560",15,15,9,47.4180006,70.33670089,97.20690123,324206.957630223,392,40,0.89639115250291
"result.3071",14,15,11,46.62770059,70.33670089,98.78750125,323987.305219904,388,40,0.894952140732118
"result.3582",13,15,13,45.83740058,70.33670089,100.36810127,323591.930881331,385,40,0.89236191954469
"result.3536",15,12,13,47.4180006,67.96580086,100.36810127,323466.556247127,391,40,0.891540551028327
"result.2800",15,14,10,47.4180006,69.54640088,97.99720124,323170.395693888,391,40,0.889600310438494
"result.4047",14,12,15,46.62770059,67.96580086,101.94870129,323084.509133449,388,40,0.889037640667443
"result.4093",12,15,15,45.04710057,70.33670089,101.94870129,323020.834614503,381,40,0.888620488940629
"result.3311",14,14,12,46.62770059,69.54640088,99.57780126,322909.774407038,388,40,0.887892898719441
"result.3822",13,14,14,45.83740058,69.54640088,101.15840128,322475.405595622,384,40,0.885047212521019
"result.3776",15,11,14,47.4180006,67.17550085,101.15840128,322222.681923525,390,40,0.883391540551028
"result.3040",15,13,11,47.4180006,68.75610087,98.78750125,322074.601646906,390,40,0.882421420256112
"result.3551",14,13,13,46.62770059,68.75610087,100.36810127,321773.998685368,387,40,0.880452076057431
"result.2304",15,15,8,47.4180006,70.33670089,96.41660122,321571.1287064,390,40,0.879123011253395
"result.2815",14,15,10,46.62770059,70.33670089,97.99720124,321395.406778145,387,40,0.877971801836761
"result.4062",13,13,15,45.83740058,68.75610087,101.94870129,321301.622602953,383,40,0.877357392316647
"result.3326",13,15,12,45.83740058,70.33670089,99.57780126,321043.962921635,383,40,0.875669383003492
"result.3280",15,12,12,47.4180006,67.96580086,99.57780126,320919.575489275,390,40,0.874854481955762
"result.4016",15,10,15,47.4180006,66.38520084,101.94870129,320919.575489275,390,40,0.874854481955762
"result.3791",14,12,14,46.62770059,67.96580086,101.15840128,320579.978054895,386,40,0.872629672746087
"result.2544",15,14,9,47.4180006,69.54640088,97.20690123,320564.182825389,389,40,0.872526193247963
"result.3837",12,15,14,45.04710057,70.33670089,101.15840128,320516.797136871,379,40,0.87221575475359
"result.3055",14,14,11,46.62770059,69.54640088,98.78750125,320346.998419681,386,40,0.871103350148752
"result.3566",13,14,13,45.83740058,69.54640088,100.36810127,319956.066489406,382,40,0.868542232570172
"result.3520",15,11,13,47.4180006,67.17550085,100.36810127,319705.317220997,389,40,0.866899495537447
"result.2784",15,13,10,47.4180006,68.75610087,97.99720124,319498.00483373,389,40,0.865541327124563
"result.4077",12,14,15,45.04710057,69.54640088,101.94870129,319391.387034564,379,40,0.864842840512223
