"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,125.99577248,90.55946147,156.707242022,1788046.76008743,1500,39.5,1
"result.3313",0,15,12,126.4480016,90.88450115,154.89880196,1780122.36533241,1500,40,0.976337012766067
"result.4082",1,15,15,126.32655217,90.23325155,156.14275703,1779848.73403143,1499,39,0.975519923993714
"result.3825",0,15,14,125.99577248,90.55946147,155.919768444,1779061.600489,1497,39.5,0.973169469284956
"result.4049",0,13,15,126.4480016,89.30390113,157.26970199,1775936.62951331,1498,40,0.963838012361091
"result.3810",1,14,14,126.783246058,89.771987892,155.919768444,1774613.94648777,1499,39.5,0.95988835658101
"result.3553",0,14,13,126.4480016,90.09420114,155.68910197,1773646.32123493,1497,40,0.956998936667802
"result.4065",0,14,15,125.99577248,89.771987892,156.707242022,1772498.52739101,1494,39.5,0.953571516414837
"result.3314",1,15,12,126.783246058,90.55946147,154.344821288,1772098.10180021,1498,39.5,0.952375807980798
"result.4083",2,15,15,126.64998891,89.905856325,155.576220945,1771480.41792224,1497,38.5,0.950531345889874
"result.3057",0,15,11,126.4480016,90.88450115,154.10850195,1771040.10836643,1496,40,0.949216540189232
"result.3826",1,15,14,126.32655217,90.23325155,155.35812006,1770904.77054383,1495,39,0.948812408735989
"result.3569",0,15,13,125.99577248,90.55946147,155.132294866,1770076.44089057,1493,39.5,0.946338938569913
"result.3538",1,13,13,127.23830161,89.30390113,155.68910197,1769076.07029754,1500,40,0.943351737994491
"result.4050",1,13,15,126.783246058,88.984514314,156.707242022,1767931.23403644,1497,39.5,0.939933149361696
"result.3793",0,13,14,126.4480016,89.30390113,156.47940198,1767012.32484239,1494,40,0.937189200176896
"result.4068",3,14,15,127.431778965,89.12406627,155.576220945,1766916.21716753,1500,38.5,0.936902213630463
"result.3042",1,14,11,127.23830161,90.09420114,154.10850195,1766612.50809552,1499,40,0.935995309808025
"result.3811",2,14,14,127.11118914,89.44861458,155.35812006,1766409.36010821,1498,39,0.935388690832214
"result.3554",1,14,13,126.783246058,89.771987892,155.132294866,1765651.24978834,1496,39.5,0.933124902192754
"result.2803",2,15,10,127.570719636,90.55946147,152.769874132,1764909.97412147,1500,39.5,0.930911383408763
"result.3297",0,14,12,126.4480016,90.09420114,154.89880196,1764643.04041648,1493,40,0.930114294287287
"result.3572",3,15,13,127.431778965,89.905856325,154.012640835,1764501.7587909,1499,38.5,0.929692414079919
"result.4066",1,14,15,126.32655217,89.44861458,156.14275703,1764371.78851811,1492,39,0.929304310634694
"result.3315",2,15,12,127.11118914,90.23325155,153.78884612,1763905.14694485,1497,39,0.92791087505603
"result.2546",1,15,9,127.23830161,90.88450115,152.52790193,1763831.06689968,1498,40,0.927689665081369
"result.3809",0,14,14,125.99577248,89.771987892,155.919768444,1763591.49961518,1490,39.5,0.926974294662534
"result.4035",2,12,15,127.570719636,88.197040736,156.707242022,1763169.58777317,1499,39.5,0.925714426263741
"result.3058",1,15,11,126.783246058,90.55946147,153.55734771,1763056.78495429,1495,39.5,0.925377586448785
"result.4084",3,15,15,126.96603825,89.57726625,155.00761725,1762943.57806491,1496,38,0.925039540041306
