"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,83.77180106,97.99720124,106.69050135,875865.22014764,856,40,1
"result.3840",15,15,14,83.77180106,97.99720124,105.90020134,869377.329628028,853,40,0.977499315256094
"result.4080",15,14,15,83.77180106,97.20690123,106.69050135,868801.790952901,853,40,0.975503286770748
"result.4095",14,15,15,82.98150105,97.99720124,106.69050135,867602.340712285,848,40,0.971343467543139
"result.3584",15,15,13,83.77180106,97.99720124,105.10990133,862889.439108416,850,40,0.954998630512189
"result.3824",15,14,14,83.77180106,97.20690123,105.90020134,862366.222131027,849,40,0.953184059161873
"result.4064",15,13,15,83.77180106,96.41660122,106.69050135,861738.361758162,849,40,0.951006573541496
"result.3839",14,15,14,82.98150105,97.99720124,105.90020134,861175.656707009,845,40,0.949055053410025
"result.4079",14,14,15,82.98150105,97.20690123,106.69050135,860605.547642024,845,40,0.947077855382087
"result.4094",13,15,15,82.19120104,97.99720124,106.69050135,859339.46127693,840,40,0.942686935086278
"result.3328",15,15,12,83.77180106,97.99720124,104.31960132,856401.548588803,847,40,0.932497945768282
"result.3568",15,14,13,83.77180106,97.20690123,105.10990133,855930.653309154,846,40,0.930864831552999
"result.3808",15,13,14,83.77180106,96.41660122,105.90020134,855355.114634027,846,40,0.928868803067653
"result.3583",14,15,13,82.98150105,97.99720124,105.10990133,854748.972701732,842,40,0.92676663927691
"result.4048",15,12,15,83.77180106,95.62630121,106.69050135,854674.932563423,846,40,0.926509860312243
"result.3823",14,14,14,82.98150105,97.20690123,105.90020134,854230.691733565,841,40,0.92496918652424
"result.4063",14,13,15,82.98150105,96.41660122,106.69050135,853608.754571764,841,40,0.922812243221035
"result.3838",13,15,14,82.19120104,97.99720124,105.90020134,852973.983785989,837,40,0.920610791563955
"result.4078",13,14,15,82.19120104,97.20690123,106.69050135,852409.304331148,837,40,0.918652423993427
"result.4093",12,15,15,81.40090103,97.99720124,106.69050135,851076.581841575,832,40,0.914030402629417
"result.3072",15,15,11,83.77180106,97.99720124,103.52930131,849913.658069191,843,40,0.909997261024377
"result.3312",15,14,12,83.77180106,97.20690123,104.31960132,849495.084487281,843,40,0.908545603944125
"result.3552",15,13,13,83.77180106,96.41660122,105.10990133,848971.867509893,843,40,0.90673103259381
"result.3792",15,12,14,83.77180106,95.62630121,105.90020134,848344.007137027,843,40,0.904553546973432
"result.3327",14,15,12,82.98150105,97.99720124,104.31960132,848322.288696456,839,40,0.904478225143796
"result.3567",14,14,13,82.98150105,97.20690123,105.10990133,847855.835825106,838,40,0.902860517666393
"result.4032",15,11,15,83.77180106,94.8360012,106.69050135,847611.503368684,842,40,0.902013147082991
"result.3807",14,13,14,82.98150105,96.41660122,105.90020134,847285.726760121,838,40,0.900883319638455
"result.4047",14,12,15,82.98150105,95.62630121,106.69050135,846611.961501504,838,40,0.898546631059984
"result.3582",13,15,13,82.19120104,97.99720124,105.10990133,846608.506295049,834,40,0.898534648041632
"result.3822",13,14,14,82.19120104,97.20690123,105.90020134,846095.161336103,833,40,0.896754313886607
"result.4062",13,13,15,82.19120104,96.41660122,106.69050135,845479.147385366,833,40,0.894617912900575
"result.3837",12,15,14,81.40090103,97.99720124,105.90020134,844772.31086497,829,40,0.892166529717885
"result.4077",12,14,15,81.40090103,97.20690123,106.69050135,844213.061020272,828,40,0.890226992604766
"result.2816",15,15,10,83.77180106,97.99720124,102.7390013,843425.767549579,840,40,0.887496576280471
"result.3056",15,14,11,83.77180106,97.20690123,103.52930131,843059.515665408,840,40,0.886226376335251
"result.4092",11,15,15,80.61060102,97.99720124,106.69050135,842813.70240622,824,40,0.885373870172556
"result.3296",15,13,12,83.77180106,96.41660122,104.31960132,842588.620385758,840,40,0.884593262119967
"result.3536",15,12,13,83.77180106,95.62630121,105.10990133,842013.081710631,839,40,0.882597233634621
"result.3071",14,15,11,82.98150105,97.99720124,103.52930131,841895.60469118,835,40,0.882189811010682
"result.3311",14,14,12,82.98150105,97.20690123,104.31960132,841480.979916646,835,40,0.880751848808546
"result.3776",15,11,14,83.77180106,94.8360012,105.90020134,841332.899640027,839,40,0.880238290879211
"result.3551",14,13,13,82.98150105,96.41660122,105.10990133,840962.698948479,835,40,0.878954396055875
"result.4016",15,10,15,83.77180106,94.04570119,106.69050135,840548.074173945,839,40,0.877516433853739
"result.3791",14,12,14,82.98150105,95.62630121,105.90020134,840340.761786678,835,40,0.876797452752671
"result.3326",13,15,12,82.19120104,97.99720124,104.31960132,840243.028804109,831,40,0.87645850451931
"result.3566",13,14,13,82.19120104,97.20690123,105.10990133,839781.018341057,830,40,0.874856203779786
"result.4031",14,11,15,82.98150105,94.8360012,106.69050135,839615.168431243,834,40,0.874281018898932
"result.3806",13,13,14,82.19120104,96.41660122,105.90020134,839216.338886215,830,40,0.872897836209258
"result.4046",13,12,15,82.19120104,95.62630121,106.69050135,838548.990439585,830,40,0.870583401807724
"result.3581",12,15,13,81.40090103,97.99720124,105.10990133,838468.039888366,826,40,0.870302656806355
"result.3821",12,14,14,81.40090103,97.20690123,105.90020134,837959.63093864,825,40,0.868539441248973
"result.4061",12,13,15,81.40090103,96.41660122,106.69050135,837349.540198969,825,40,0.866423582580115
"result.2560",15,15,9,83.77180106,97.99720124,101.94870129,836937.877029967,837,40,0.864995891536566
"result.2800",15,14,10,83.77180106,97.20690123,102.7390013,836623.946843534,837,40,0.863907148726376
"result.3836",11,15,14,80.61060102,97.99720124,105.90020134,836570.637943951,821,40,0.863722267871816
"result.3040",15,13,11,83.77180106,96.41660122,103.52930131,836205.373261624,836,40,0.862455491646124
"result.4076",11,14,15,80.61060102,97.20690123,106.69050135,836016.817709395,820,40,0.861801561216105
"result.3280",15,12,12,83.77180106,95.62630121,104.31960132,835682.156284236,836,40,0.86064092029581
"result.2815",14,15,10,82.98150105,97.99720124,102.7390013,835468.920685904,832,40,0.859901396877568
"result.3055",14,14,11,82.98150105,97.20690123,103.52930131,835106.124008187,832,40,0.858643179950698
"result.3520",15,11,13,83.77180106,94.8360012,105.10990133,835054.29591137,836,40,0.858463434675432
"result.3295",14,13,12,82.98150105,96.41660122,104.31960132,834639.671136836,832,40,0.857025472473295
"result.4091",10,15,15,79.82030101,97.99720124,106.69050135,834550.822970864,816,40,0.856717337715694
"result.3760",15,10,14,83.77180106,94.04570119,105.90020134,834321.792143027,836,40,0.85592303478499
"result.3535",14,12,13,82.98150105,95.62630121,105.10990133,834069.562071852,831,40,0.855048274445357
"result.3070",13,15,11,82.19120104,97.99720124,103.52930131,833877.551313169,827,40,0.854382360996987
"result.4000",15,9,15,83.77180106,93.25540118,106.69050135,833484.644979206,835,40,0.853019720624486
