"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4001",0,10,15,141.49377513,113.54438745,98.9874147,1590314.38527216,1500,19,1
"result.3761",0,11,14,141.49377513,114.12666636,98.40513579,1589067.07987195,1499,19,0.991633816201807
"result.3521",0,12,13,141.49377513,114.70894527,97.82285688,1587723.82790249,1498,19,0.982624079803753
"result.4084",3,15,15,141.344011638,114.9138306,97.67675601,1586503.1650467,1497,18.5,0.974436598369457
"result.3281",0,13,12,141.49377513,115.29122418,97.24057797,1586284.62936378,1498,19,0.972970790805838
"result.4069",4,14,15,141.918580791,114.339261447,97.67675601,1584987.60308009,1499,18.5,0.964271108852585
"result.3266",1,12,12,142.07605404,114.70894527,97.24057797,1584768.04182272,1500,19,0.962798422344661
"result.3041",0,14,11,141.49377513,115.87350309,96.65829906,1584749.48425582,1497,19,0.962673949208062
"result.3829",4,15,14,141.918580791,114.9138306,97.102186857,1583582.05687576,1499,18.5,0.954843539726175
"result.3026",1,13,11,142.07605404,115.29122418,96.65829906,1583274.74995073,1499,19,0.952782307395384
"result.2801",0,15,10,141.49377513,116.455782,96.07602015,1583118.39257862,1496,19,0.951733555010426
"result.3985",0,9,15,141.49377513,112.96210854,98.9874147,1582158.92688615,1496,19,0.945298029011816
"result.2786",1,14,10,142.07605404,115.87350309,96.07602015,1581685.11666765,1499,19,0.942119991481638
"result.3745",0,10,14,141.49377513,113.54438745,98.40513579,1580959.59477056,1495,19,0.937253621513553
"result.3574",5,15,13,142.493149944,114.9138306,96.527617704,1580585.07576532,1500,18.5,0.934741570468781
"result.3970",1,8,15,142.07605404,112.37982963,98.9874147,1580480.84902895,1498,19,0.934042479425769
"result.4083",2,15,15,140.769442485,114.9138306,97.67675601,1580053.96518879,1491,18.5,0.931179196170003
"result.2546",1,15,9,142.07605404,116.455782,95.49374124,1579999.14197347,1498,19,0.930811474603421
"result.3505",0,11,13,141.49377513,114.12666636,97.82285688,1579664.31608572,1495,19,0.92856566141543
"result.3730",1,9,14,142.07605404,112.96210854,98.40513579,1579324.7520958,1497,19,0.926288067852134
"result.3955",2,7,15,142.65833295,111.79755072,98.9874147,1578735.64805745,1500,19,0.92233670785628
"result.4068",3,14,15,141.344011638,114.339261447,97.67675601,1578570.64922147,1493,18.5,0.921229993664128
"result.2531",2,14,9,142.65833295,115.87350309,95.49374124,1578542.17555157,1500,19,0.921039009198125
"result.3265",0,12,12,141.49377513,114.70894527,97.24057797,1578273.09083164,1494,19,0.919234148717445
"result.3490",1,10,13,142.07605404,113.54438745,97.82285688,1578072.31375155,1497,19,0.917887455314032
"result.3715",2,8,14,142.65833295,112.37982963,98.40513579,1577623.18114859,1500,19,0.914874940571884
"result.3828",3,15,14,141.344011638,114.9138306,97.102186857,1577170.7934876,1493,18.5,0.911840592833776
"result.4053",4,13,15,141.918580791,113.764692294,97.67675601,1577022.84125557,1496,18.5,0.91084821713626
"result.2291",2,15,8,142.65833295,116.455782,94.91146233,1576800.92299856,1499,19,0.909359721274721
"result.3025",0,13,11,141.49377513,115.29122418,96.65829906,1576785.91900831,1493,19,0.909259083419598
"result.3250",1,11,12,142.07605404,114.12666636,97.24057797,1576723.53399621,1496,19,0.908840641811459
"result.3475",2,9,13,142.65833295,112.96210854,97.82285688,1576413.97798678,1499,19,0.90676432395841
"result.3813",4,14,14,141.918580791,114.339261447,97.102186857,1575664.14659138,1495,18.5,0.901734900314063
"result.4038",5,12,15,142.493149944,113.190123141,97.67675601,1575410.54129109,1498,18.5,0.900033866586397
"result.3010",1,12,11,142.07605404,114.70894527,96.65829906,1575278.41282977,1496,19,0.899147627344417
"result.2785",0,14,10,141.49377513,115.87350309,96.07602015,1575202.80061573,1492,19,0.898640465521892
"result.3235",2,10,12,142.65833295,113.54438745,97.24057797,1575108.03857203,1499,19,0.898004858015857
"result.3573",4,15,13,141.918580791,114.9138306,96.527617704,1574211.74884691,1494,18.5,0.891993078883439
"result.3798",5,13,14,142.493149944,113.764692294,97.102186857,1574093.38706128,1497,18.5,0.891199178325425
"result.3969",0,8,15,141.49377513,112.37982963,98.9874147,1574003.46850014,1492,19,0.89059605802363
"result.2770",1,13,10,142.07605404,115.29122418,96.07602015,1573736.95025223,1495,19,0.888808411912904
