"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,162.14609574,63.96589098,133.8820974,1388600.94622985,1500,32,1
"result.4065",0,14,15,162.14609574,63.22210155,135.36967626,1387703.91719482,1500,32,0.993596901930892
"result.4081",0,15,15,161.491255132,63.707559364,134.822974468,1387087.57610932,1496,31.5,0.989197387243697
"result.3826",1,15,14,162.232040706,63.707559364,134.082188894,1385794.04247902,1499,31.5,0.97996399304231
"result.4083",2,15,15,162.3092856,63.44817528,134.27404536,1382784.73391119,1498,31,0.958483196850116
"result.2801",0,15,10,162.798303998,64.223184146,132.180274347,1382001.00523099,1499,32.5,0.952888849952858
"result.3828",3,15,14,163.04705508,63.44817528,133.53627588,1381437.86566387,1500,31,0.948869093920413
"result.3297",0,14,12,162.798303998,63.476402935,133.673836769,1381365.47724278,1499,32.5,0.948352376912094
"result.3313",0,15,12,162.14609574,63.96589098,133.13830797,1380886.49652858,1496,32,0.944933356605673
"result.3793",0,13,14,162.798303998,62.729621724,135.167399191,1380366.79040415,1499,32.5,0.94122363356232
"result.3809",0,14,14,162.14609574,63.22210155,134.62588683,1380079.17039705,1495,32,0.939170568343475
"result.3058",1,15,11,162.88988517,63.96589098,132.39451854,1379471.00117054,1499,32,0.934829385340658
"result.3825",0,15,14,161.491255132,63.707559364,134.082188894,1379466.21580103,1492,31.5,0.934795226813902
"result.3554",1,14,13,162.88988517,63.22210155,133.8820974,1378750.08609285,1498,32,0.929683409277779
"result.4085",4,15,15,163.112503998,63.187726774,133.722863638,1378242.55337807,1499,30.5,0.92606058145491
"result.3570",1,15,13,162.232040706,63.707559364,133.34140332,1378137.72180234,1495,31.5,0.925312281417883
"result.4050",1,13,15,162.88988517,62.47831212,135.36967626,1377668.71347631,1498,32,0.921964445183461
"result.4066",1,14,15,162.232040706,62.96677379,134.822974468,1377247.45195621,1494,31.5,0.918957431228996
"result.3315",2,15,12,162.97282628,63.707559364,132.600617746,1376739.30706687,1497,31.5,0.9153302336326
"result.4082",1,15,15,161.57151612,63.44817528,134.27404536,1376499.34875705,1491,31,0.913617383178165
"result.3795",2,13,14,163.6336746,62.47831212,134.62588683,1376355.26545804,1500,32,0.91258889975383
"result.3811",2,14,14,162.97282628,62.96677379,134.082188894,1375934.40556215,1497,31.5,0.909584752639907
"result.3060",3,15,11,163.713611854,63.707559364,131.859832172,1375270.97159463,1500,31.5,0.904849083458052
"result.3827",2,15,14,162.3092856,63.44817528,133.53627588,1375187.015593,1494,31,0.904249795708197
"result.2033",0,15,7,163.44790672,64.47944944,130.45842096,1374905.34759104,1499,33,0.902239216597558
"result.3556",3,14,13,163.713611854,62.96677379,133.34140332,1374552.25146315,1500,31.5,0.899718775177709
"result.2529",0,14,9,163.44790672,63.7296884,131.95794304,1374537.82410865,1498,33,0.899615791035522
"result.2545",0,15,9,162.798303998,64.223184146,131.433493136,1374193.0899472,1495,32.5,0.897155038309177
"result.3572",3,15,13,163.04705508,63.44817528,132.7985064,1373805.61226241,1496,31,0.894389177318758
"result.3025",0,13,11,163.44790672,62.97992736,133.45746512,1373802.77714389,1498,33,0.89436893991145
"result.3041",0,14,11,162.798303998,63.476402935,132.927055558,1373648.35167159,1495,32.5,0.893266632845663
"result.4052",3,13,15,163.713611854,62.225988216,134.822974468,1373474.17126592,1499,31.5,0.892023312757194
"result.4087",6,15,15,163.9008,62.9262,133.1694,1373463.18436353,1500,30,0.891944886964127
"result.3057",0,15,11,162.14609574,63.96589098,132.39451854,1373172.0468273,1492,32,0.889866713211345
"result.4068",3,14,15,163.04705508,62.7104058,134.27404536,1372918.14093666,1496,31,0.88805430329531
"result.3537",0,13,13,162.798303998,62.729621724,134.42061798,1372740.45454556,1494,32.5,0.886785957073142
"result.3521",0,12,13,163.44790672,62.23016632,134.9569872,1372700.20669674,1497,33,0.886498663225343
"result.2290",1,15,8,163.545085209,64.223184146,130.686711925,1372652.99656553,1498,32.5,0.886161671792303
"result.3553",0,14,13,162.14609574,63.22210155,133.8820974,1372454.42359927,1491,32,0.88474423475606
"result.3317",4,15,12,163.78482456,63.44817528,132.06073692,1372355.13876531,1499,31,0.884035528009847
"result.3505",0,11,13,164.094940966,61.723785134,135.49123566,1372331.22878548,1500,33.5,0.883864855779995
"result.2786",1,14,10,163.545085209,63.476402935,132.180274347,1372196.96566967,1498,32.5,0.882906469970784
"result.4084",3,15,15,162.377762989,63.187726774,133.722863638,1372034.25358807,1492,30.5,0.881745012119623
"result.2802",1,15,10,162.88988517,63.96589098,131.65072911,1371721.16408532,1494,32,0.879510142664706
"result.3813",4,14,14,163.78482456,62.7104058,133.53627588,1371552.80043551,1498,31,0.878308343259236
"result.4033",0,12,15,162.798303998,61.982840513,135.914180402,1371469.39856913,1494,32.5,0.877713010991612
"result.4049",0,13,15,162.14609574,62.47831212,135.36967626,1371377.98875724,1491,32,0.87706051707313
"result.3282",1,13,12,163.545085209,62.729621724,133.673836769,1371376.1100571,1497,32.5,0.87704710669205
"result.3266",1,12,12,164.19766776,62.23016632,134.20722616,1371335.90220997,1500,33,0.87676009838095
"result.4017",0,11,15,163.44790672,61.48040528,136.45650928,1371230.11276722,1497,33,0.876004960977198
"result.3298",1,14,12,162.88988517,63.22210155,133.13830797,1371090.36339233,1494,32,0.875007413609686
"result.2035",2,15,7,164.29186642,64.223184146,129.939930714,1371041.27093356,1500,32.5,0.874656985902551
"result.2531",2,14,9,164.29186642,63.476402935,131.433493136,1370674.78035058,1500,32.5,0.87204093329713
"result.3829",4,15,14,163.112503998,63.187726774,132.988122629,1370669.79209577,1495,30.5,0.872005326551427
"result.4001",0,10,15,164.094940966,60.971056047,136.996693834,1370657.65411623,1499,33.5,0.871918684235168
"result.3314",1,15,12,162.232040706,63.707559364,132.600617746,1370481.40112566,1491,31.5,0.870660569793456
"result.2547",2,15,9,163.6336746,63.96589098,130.90693968,1370199.50657543,1497,32,0.868648373554816
"result.3778",1,12,14,163.545085209,61.982840513,135.167399191,1370190.42972784,1496,32.5,0.868583581956102
"result.3794",1,13,14,162.88988517,62.47831212,134.62588683,1370099.1051605,1493,32,0.867931696523227
"result.3762",1,11,14,164.19766776,61.48040528,135.70674824,1369951.36707278,1499,33,0.866877124790024
"result.3027",2,13,11,164.29186642,62.729621724,132.927055558,1369941.79918462,1500,32.5,0.866808828086288
"result.3810",1,14,14,162.232040706,62.96677379,134.082188894,1369680.15826414,1490,31.5,0.864941204623459
"result.3043",2,14,11,163.6336746,63.22210155,132.39451854,1369656.35137991,1497,32,0.864771268301961
"result.3574",5,15,13,163.847245007,63.187726774,132.25338162,1369237.10752885,1497,30.5,0.861778656704822
"result.3059",2,15,11,162.97282628,63.707559364,131.859832172,1369048.0260218,1493,31.5,0.860428970813541
"result.4054",5,13,15,164.52259404,61.97263632,134.27404536,1369044.58962074,1500,31,0.8604044413812
"result.3523",2,12,13,164.29186642,61.982840513,134.42061798,1368842.32743567,1499,32.5,0.858960670270024
"result.3539",2,13,13,163.6336746,62.47831212,133.8820974,1368751.0927207,1496,32,0.858309426213871
"result.2292",3,15,8,164.37746403,63.96589098,130.16315025,1368607.07429764,1499,32,0.857281405881675
"result.4070",5,14,15,163.847245007,62.452985765,133.722863638,1368352.58743354,1497,30.5,0.855464848909162
"result.3555",2,14,13,162.97282628,62.96677379,133.34140332,1368332.55801761,1493,31.5,0.855321876597814
"result.2788",3,14,10,164.37746403,63.22210155,131.65072911,1368152.387562,1499,32,0.854035798832884
"result.3319",6,15,12,164.581986016,63.187726774,131.518640611,1367736.19988731,1500,30.5,0.851065002579808
"result.3571",2,15,13,162.3092856,63.44817528,132.7985064,1367589.2972748,1489,31,0.85001639456628
"result.2804",3,15,10,163.713611854,63.707559364,131.119046598,1367544.73018118,1496,31.5,0.849698269444361
"result.4035",2,12,15,163.6336746,61.73452269,135.36967626,1367483.73059781,1495,32,0.849262847290544
"result.1249",0,14,4,164.73944118,64.23326835,129.22222221,1367397.60305361,1500,34,0.848648058816083
"result.4019",2,11,15,164.29186642,61.236059302,135.914180402,1367376.36510374,1498,32.5,0.848496459848338
"result.3284",3,13,12,164.37746403,62.47831212,133.13830797,1367333.95143783,1499,32,0.84819370614506
"result.4086",5,15,15,163.1691,62.9262,133.1694,1367331.65229048,1493,30,0.848177294562596
"result.1265",0,15,4,164.094940966,64.734701482,128.716673877,1367310.50477773,1497,33.5,0.848026341145511
"result.753",0,15,2,164.73944118,64.98895386,127.71085119,1367303.52685113,1500,34,0.847976531890056
"result.4051",2,13,15,162.97282628,62.225988216,134.822974468,1367259.35601132,1492,31.5,0.847661235274225
"result.1761",0,14,6,164.094940966,63.981972395,130.222132051,1367217.52840721,1497,33.5,0.847362664948576
"result.1745",0,13,6,164.73944118,63.47758284,130.73359323,1367115.37444616,1500,34,0.846633478038003
"result.1777",0,15,6,163.44790672,64.47944944,129.70865992,1367003.59271982,1494,33,0.845835567013785
"result.3815",6,14,14,164.581986016,62.452985765,132.988122629,1366936.56198949,1499,30.5,0.845357093828215
"result.3300",3,14,12,163.713611854,62.96677379,132.600617746,1366915.85006613,1495,31.5,0.845209249699061
"result.2257",0,13,8,164.094940966,63.229243308,131.727590225,1366752.64655464,1497,33.5,0.844044283963903
"result.2273",0,14,8,163.44790672,63.7296884,131.208182,1366727.95010804,1494,33,0.843867997842258
"result.4067",2,14,15,162.3092856,62.7104058,134.27404536,1366705.84165641,1489,31,0.843710185131174
"result.2241",0,12,8,164.73944118,62.72189733,132.24496425,1366456.8410288,1500,34,0.841932789555818
"result.2289",0,15,8,162.798303998,64.223184146,130.686711925,1366385.17466341,1491,32.5,0.841421226665493
"result.3316",3,15,12,163.04705508,63.44817528,132.06073692,1366173.35886096,1492,31,0.839909260717104
"result.3780",3,12,14,164.37746403,61.73452269,134.62588683,1366151.76592515,1498,32,0.839755127818205
"result.2769",0,13,10,163.44790672,62.97992736,132.70770408,1366084.78401387,1494,33,0.839277003108695
"result.2549",4,15,9,164.454397428,63.707559364,130.378261024,1365971.51360378,1498,31.5,0.838468465685917
"result.2785",0,14,10,162.798303998,63.476402935,132.180274347,1365931.2261004,1491,32.5,0.838180888779232
"result.3796",3,13,14,163.713611854,62.225988216,134.082188894,1365927.60988534,1495,31.5,0.838155075813589
"result.3831",6,15,14,163.9008,62.9262,132.4377,1365916.68335054,1496,30,0.838077080931474
"result.2753",0,12,10,164.094940966,62.476514221,133.233048399,1365915.85922002,1497,33.5,0.838071198191488
