"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,114.1452,76.0968,226.827,1970238.47875594,1499,30,1
"result.3313",0,15,12,114.1452,76.8285,224.6319,1969932.92067921,1499,30,0.998562181285643
"result.4083",2,15,15,114.640305216,76.18501296,224.92718112,1964485.46532933,1500,29.5,0.972928909432699
"result.3809",0,14,14,114.1452,76.0968,226.0953,1963882.87075996,1497,30,0.970093370741373
"result.3057",0,15,11,114.1452,76.8285,223.9002,1963516.20106788,1497,30,0.968367988284144
"result.3537",0,13,13,114.619597404,75.678323927,226.300230772,1962977.76615631,1499,30.5,0.965834356050965
"result.2785",0,14,10,114.619597404,76.413064936,224.096007745,1962730.25918794,1499,30.5,0.964669699711761
"result.2033",0,15,7,114.619597404,77.147805945,221.891784718,1962111.49176701,1499,30.5,0.961758058863751
"result.3827",2,15,14,114.640305216,76.18501296,224.201609568,1958148.41544117,1498,29.5,0.943109606272676
"result.3553",0,14,13,114.1452,76.0968,225.3636,1957527.26276397,1494,30,0.940186741482747
"result.3794",1,13,14,114.8769,75.3651,226.0953,1957467.326372,1499,30,0.939904707811853
"result.3042",1,14,11,114.8769,76.0968,223.9002,1957282.81630258,1499,30,0.939036486511261
"result.2801",0,15,10,114.1452,76.8285,223.1685,1957099.48145655,1494,30,0.938173795282646
"result.2290",1,15,8,114.8769,76.8285,221.7051,1956729.28609435,1499,30,0.936431822609484
"result.3281",0,13,12,114.619597404,75.678323927,225.565489763,1956604.46172074,1497,30.5,0.935844455316467
"result.4033",0,12,15,114.619597404,74.943582918,227.76971279,1956542.58497865,1497,30.5,0.935553291231666
"result.2529",0,14,9,114.619597404,76.413064936,223.361266736,1956295.07801028,1497,30.5,0.934388634892463
"result.1777",0,15,6,114.619597404,77.147805945,221.157043709,1955614.43384725,1497,30.5,0.931185829959651
"result.3009",0,12,11,115.09203888,75.25248696,225.75746088,1955276.82489441,1500,31,0.929597194255028
