"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,71.91730091,165.9630021,92.46510117,1103627.49361573,890,40,1
"result.4080",15,14,15,71.91730091,165.17270209,92.46510117,1098372.12459852,888,40,0.98529886914378
"result.3840",15,15,14,71.91730091,165.9630021,91.67480116,1094194.77999509,887,40,0.973613354873452
"result.4064",15,13,15,71.91730091,164.38240208,92.46510117,1093116.7555813,886,40,0.970597738287561
"result.4095",14,15,15,71.1270009,165.9630021,92.46510117,1091499.71896062,881,40,0.966074313408723
"result.3824",15,14,14,71.91730091,165.17270209,91.67480116,1088984.32866178,884,40,0.959037874708311
"result.4048",15,12,15,71.91730091,163.59210207,92.46510117,1087861.38656408,884,40,0.955896607431341
"result.4079",14,14,15,71.1270009,165.17270209,92.46510117,1086302.10125128,879,40,0.951534733441034
"result.3584",15,15,13,71.91730091,165.9630021,90.88450115,1084762.06637444,883,40,0.947226709746903
"result.3808",15,13,14,71.91730091,164.38240208,91.67480116,1083773.87732847,882,40,0.94446239454317
"result.4032",15,11,15,71.91730091,162.80180206,92.46510117,1082606.01754686,882,40,0.941195476575121
"result.3839",14,15,14,71.1270009,165.9630021,91.67480116,1082170.6615336,877,40,0.939977631415434
"result.4063",14,13,15,71.1270009,164.38240208,92.46510117,1081104.48354194,876,40,0.936995153473344
"result.3568",15,14,13,71.91730091,165.17270209,90.88450115,1079596.53272504,881,40,0.932776880272841
"result.4094",13,15,15,70.33670089,165.9630021,92.46510117,1079371.9443055,871,40,0.932148626817447
"result.3792",15,12,14,71.91730091,163.59210207,91.67480116,1078563.42599516,880,40,0.929886914378029
"result.4016",15,10,15,71.91730091,162.01150205,92.46510117,1077350.64852965,880,40,0.926494345718901
"result.3823",14,14,14,71.1270009,165.17270209,91.67480116,1077017.46790725,875,40,0.925562321361998
"result.4047",14,12,15,71.1270009,163.59210207,92.46510117,1075906.86583261,874,40,0.922455573505654
"result.3328",15,15,12,71.91730091,165.9630021,90.09420114,1075329.35275379,879,40,0.920840064620355
"result.3552",15,13,13,71.91730091,164.38240208,90.88450115,1074430.99907564,879,40,0.918327050798779
"result.4078",13,14,15,70.33670089,165.17270209,92.46510117,1074232.07790404,869,40,0.917770597738288
"result.3776",15,11,14,71.91730091,162.80180206,91.67480116,1073352.97466185,878,40,0.915311434212888
"result.3583",14,15,13,71.1270009,165.9630021,90.88450115,1072841.60410659,873,40,0.913880949422145
"result.4000",15,9,15,71.91730091,161.22120204,92.46510117,1072095.27951243,878,40,0.911793214862681
"result.3807",14,13,14,71.1270009,164.38240208,91.67480116,1071864.2742809,873,40,0.911147011308562
"result.4031",14,11,15,71.1270009,162.80180206,92.46510117,1070709.24812327,872,40,0.907915993537965
"result.3312",15,14,12,71.91730091,165.17270209,90.09420114,1070208.7367883,877,40,0.906515885837372
"result.3838",13,15,14,70.33670089,165.9630021,91.67480116,1070146.54307212,867,40,0.906341907957416
"result.3536",15,12,13,71.91730091,163.59210207,90.88450115,1069265.46542623,876,40,0.903877221324717
"result.4062",13,13,15,70.33670089,164.38240208,92.46510117,1069092.21150259,867,40,0.903392568659127
"result.3760",15,10,14,71.91730091,162.01150205,91.67480116,1068142.52332854,876,40,0.900735954047747
"result.3567",14,14,13,71.1270009,165.17270209,90.88450115,1067732.83456322,871,40,0.899589909282963
"result.4093",12,15,15,69.54640088,165.9630021,92.46510117,1067244.16965038,861,40,0.898222940226171
"result.3984",15,8,15,71.91730091,160.43090203,92.46510117,1066839.91049521,875,40,0.897092084006462
"result.3791",14,12,14,71.1270009,163.59210207,91.67480116,1066711.08065455,871,40,0.896731701255126
"result.3072",15,15,11,71.91730091,165.9630021,89.30390113,1065896.63913315,875,40,0.894453419493807
"result.4015",14,10,15,71.1270009,162.01150205,92.46510117,1065511.63041394,870,40,0.893376413570275
"result.3296",15,13,12,71.91730091,164.38240208,90.09420114,1065088.1208228,875,40,0.892191707054388
"result.3822",13,14,14,70.33670089,165.17270209,91.67480116,1065050.60715273,865,40,0.892086768015685
"result.3520",15,11,13,71.91730091,162.80180206,90.88450115,1064099.93177683,874,40,0.889427391850655
"result.4046",13,12,15,70.33670089,163.59210207,92.46510117,1063952.34510113,865,40,0.889014539579968
"result.3327",14,15,12,71.1270009,165.9630021,90.09420114,1063512.54667957,869,40,0.887784267428856
"result.3744",15,9,14,71.91730091,161.22120204,91.67480116,1062932.07199523,874,40,0.886160473882606
"result.3551",14,13,13,71.1270009,164.38240208,90.88450115,1062624.06501986,869,40,0.88529886914378
"result.4077",12,14,15,69.54640088,165.17270209,92.46510117,1062162.05455681,859,40,0.884006462035541
"result.3968",15,7,15,71.91730091,159.64060202,92.46510117,1061584.54147799,873,40,0.882390953150242
"result.3775",14,11,14,71.1270009,162.80180206,91.67480116,1061557.8870282,868,40,0.88231639120169
"result.3582",13,15,13,70.33670089,165.9630021,90.88450115,1060921.14183874,863,40,0.880535189097386
"result.3056",15,14,11,71.91730091,165.17270209,89.30390113,1060820.94085156,873,40,0.880254891401902
"result.3999",14,9,15,71.1270009,161.22120204,92.46510117,1060314.0127046,868,40,0.878836833602585
"result.3280",15,12,12,71.91730091,163.59210207,90.09420114,1059967.50485731,873,40,0.877867528271405
"result.3806",13,13,14,70.33670089,164.38240208,91.67480116,1059954.67123334,863,40,0.877831628073954
"result.3504",15,10,13,71.91730091,162.01150205,90.88450115,1058934.39812743,872,40,0.874977562376593
"result.4030",13,11,15,70.33670089,162.80180206,92.46510117,1058812.47869968,862,40,0.874636510500808
"result.3311",14,14,12,71.1270009,165.17270209,90.09420114,1058448.2012192,867,40,0.873617497203927
"result.3837",12,15,14,69.54640088,165.9630021,91.67480116,1058122.42461063,857,40,0.872706184499399
"result.3728",15,8,14,71.91730091,160.43090203,91.67480116,1057721.62066192,872,40,0.871584993717465
"result.3535",14,12,13,71.1270009,163.59210207,90.88450115,1057515.29547649,867,40,0.871007829004598
"result.4061",12,13,15,69.54640088,164.38240208,92.46510117,1057079.93946323,857,40,0.869789983844911
"result.2816",15,15,10,71.91730091,165.9630021,88.51360112,1056463.9255125,871,40,0.868066774367259
"result.3759",14,10,14,71.1270009,162.01150205,91.67480116,1056404.69340185,866,40,0.867901081148254
"result.3952",15,6,15,71.91730091,158.85030201,92.46510117,1056329.17246077,871,40,0.867689822294022
"result.3566",13,14,13,70.33670089,165.17270209,90.88450115,1055869.13640141,861,40,0.866402938293084
"result.3040",15,13,11,71.91730091,164.38240208,89.30390113,1055745.24256997,871,40,0.866056363309998
"result.3983",14,8,15,71.1270009,160.43090203,92.46510117,1055116.39499526,866,40,0.864297253634895
"result.4092",11,15,15,68.75610087,165.9630021,92.46510117,1055116.39499526,851,40,0.864297253634895
"result.3790",13,12,14,70.33670089,163.59210207,91.67480116,1054858.73531394,861,40,0.863576488132223
"result.3264",15,11,12,71.91730091,162.80180206,90.09420114,1054846.88889182,870,40,0.863543349488422
"result.3071",14,15,11,71.1270009,165.9630021,89.30390113,1054183.48925256,865,40,0.861687585435566
"result.3488",15,9,13,71.91730091,161.22120204,90.88450115,1053768.86447803,870,40,0.860527732902531
"result.4014",13,10,15,70.33670089,162.01150205,92.46510117,1053672.61229822,860,40,0.860258481421648
"result.3295",14,13,12,71.1270009,164.38240208,90.09420114,1053383.85575882,865,40,0.859450726978998
"result.3821",12,14,14,69.54640088,165.17270209,91.67480116,1053083.7463982,855,40,0.858611214669373
"result.3712",15,7,14,71.91730091,159.64060202,91.67480116,1052511.16932861,870,40,0.857009513552324
"result.3519",14,11,13,71.1270009,162.80180206,90.88450115,1052406.52593313,865,40,0.856716788865416
"result.4045",12,12,15,69.54640088,163.59210207,92.46510117,1051997.82436966,855,40,0.855573505654281
"result.3326",13,15,12,70.33670089,165.9630021,90.09420114,1051695.74060536,860,40,0.854728470237355
"result.2800",15,14,10,71.91730091,165.17270209,88.51360112,1051433.14491482,869,40,0.853993896966433
"result.3743",14,9,14,71.1270009,161.22120204,91.67480116,1051251.4997755,864,40,0.853485771094818
"result.3936",15,5,15,71.91730091,158.060002,92.46510117,1051073.80344356,869,40,0.852988691437803
"result.3550",13,13,13,70.33670089,164.38240208,90.88450115,1050817.13096408,859,40,0.852270687488781
"result.3024",15,12,11,71.91730091,163.59210207,89.30390113,1050669.54428839,869,40,0.851857835218094
"result.4076",11,14,15,68.75610087,165.17270209,92.46510117,1050092.03120957,849,40,0.850242326332795
"result.3967",14,7,15,71.1270009,159.64060202,92.46510117,1049918.77728593,864,40,0.849757673667205
"result.3774",13,11,14,70.33670089,162.80180206,91.67480116,1049762.79939455,859,40,0.849321348190492
"result.3248",15,10,12,71.91730091,162.01150205,90.09420114,1049726.27292632,868,40,0.849219170705439
"result.3055",14,14,11,71.1270009,165.17270209,89.30390113,1049163.56787517,863,40,0.847645085124891
"result.3581",12,15,13,69.54640088,165.9630021,90.88450115,1049000.67957089,854,40,0.847189428772627
"result.3472",15,8,13,71.91730091,160.43090203,90.88450115,1048603.33082863,868,40,0.846077903428469
"result.3998",13,9,15,70.33670089,161.22120204,92.46510117,1048532.74589677,858,40,0.845880452342488
"result.3279",14,12,12,71.1270009,163.59210207,90.09420114,1048319.51029844,863,40,0.84528395675407
"result.3805",12,13,14,69.54640088,164.38240208,91.67480116,1048045.06818577,853,40,0.844516244839346
"result.3696",15,6,14,71.91730091,158.85030201,91.67480116,1047300.7179953,867,40,0.842434033387183
"result.3503",14,10,13,71.1270009,162.01150205,90.88450115,1047297.75638977,863,40,0.842425748726233
"result.2560",15,15,9,71.91730091,165.9630021,87.72330111,1047031.21189185,867,40,0.841680129240711
"result.4029",12,11,15,69.54640088,162.80180206,92.46510117,1046915.70927609,853,40,0.841357027463651
"result.3310",13,14,12,70.33670089,165.17270209,90.09420114,1046687.66565009,858,40,0.840719108570482
"result.2784",15,13,10,71.91730091,164.38240208,88.51360112,1046402.36431714,867,40,0.839921019565607
"result.3727",14,8,14,71.1270009,160.43090203,91.67480116,1046098.30614915,862,40,0.839070461041382
"result.3836",11,15,14,68.75610087,165.9630021,91.67480116,1046098.30614915,848,40,0.839070461041382
"result.3920",15,4,15,71.91730091,157.26970199,92.46510117,1045818.43442634,867,40,0.838287560581583
"result.3534",13,12,13,70.33670089,163.59210207,90.88450115,1045765.12552676,857,40,0.838138436684479
"result.3008",15,11,11,71.91730091,162.80180206,89.30390113,1045593.8460068,867,40,0.837659307126189
"result.4060",11,13,15,68.75610087,164.38240208,92.46510117,1045067.66742388,847,40,0.836187399030695
"result.2815",14,15,10,71.1270009,165.9630021,88.51360112,1044854.43182555,862,40,0.835590903442276
"result.3951",14,6,15,71.1270009,158.85030201,92.46510117,1044721.15957659,862,40,0.835218093699515
"result.3758",13,10,14,70.33670089,162.01150205,91.67480116,1044666.86347516,857,40,0.835066208248761
"result.3232",15,9,12,71.91730091,161.22120204,90.09420114,1044605.65696083,866,40,0.834894991922456
"result.3039",14,13,11,71.1270009,164.38240208,89.30390113,1044143.64649777,861,40,0.833602584814216
"result.3565",12,14,13,69.54640088,165.17270209,90.88450115,1044005.4382396,852,40,0.833215967303204
"result.3456",15,7,13,71.91730091,159.64060202,90.88450115,1043437.79717922,866,40,0.831628073954407
"result.3982",13,8,15,70.33670089,160.43090203,92.46510117,1043392.87949532,856,40,0.831502423263328
"result.3263",14,11,12,71.1270009,162.80180206,90.09420114,1043255.16483806,861,40,0.831117186529141
"result.3789",12,12,14,69.54640088,163.59210207,91.67480116,1043006.38997334,851,40,0.83042127500932
"result.4091",10,15,15,67.96580086,165.9630021,92.46510117,1042988.62034014,841,40,0.830371567043618
"result.3070",13,15,11,70.33670089,165.9630021,89.30390113,1042470.33937198,856,40,0.828921751377325
"result.3487",14,9,13,71.1270009,161.22120204,90.88450115,1042188.9868464,860,40,0.828134708587051
"result.3680",15,5,14,71.91730091,158.060002,91.67480116,1042090.26666199,865,40,0.827858553222043
"result.2544",15,14,9,71.91730091,165.17270209,87.72330111,1042045.34897808,865,40,0.827732902530964
"result.4013",12,10,15,69.54640088,162.01150205,92.46510117,1041833.59418251,851,40,0.827140549273021
"result.3294",13,13,12,70.33670089,164.38240208,90.09420114,1041679.59069483,855,40,0.826709746903608
"result.2768",15,12,10,71.91730091,163.59210207,88.51360112,1041371.58371946,865,40,0.825848142164782
