"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,107.792535165,149.074782675,129.96263105,2088388.85076594,1500,35.5,1
"result.4033",0,12,15,108.20300097,147.34025664,130.4575189,2079839.59849812,1500,36,0.957313906376226
"result.4082",1,15,15,108.14206528,148.5049488,129.4658528,2079173.93538417,1499,35,0.953990275593801
"result.3793",0,13,14,108.20300097,148.10765381,129.69012173,2078374.02525163,1499,36,0.94999635451877
"result.4065",0,14,15,107.792535165,148.31029661,129.96263105,2077679.16435175,1496,35.5,0.946526940294157
"result.3553",0,14,13,108.20300097,148.87505098,128.92272456,2076781.01085327,1499,36,0.942042493804144
"result.3825",0,15,14,107.792535165,149.074782675,129.198144985,2076104.21046731,1495,35.5,0.938663255043298
"result.3313",0,15,12,108.20300097,149.64244815,128.15532739,2075060.55530305,1498,36,0.933452324232348
"result.2801",0,15,10,108.611914506,150.20796687,127.09904889,2073541.52740769,1500,36.5,0.925867875332347
"result.4034",1,12,15,108.55702123,146.78132448,129.96263105,2070843.19430015,1499,35.5,0.912395200056384
"result.3985",0,9,15,108.611914506,145.586183274,130.95053522,2070641.4693274,1499,36.5,0.911387994887632
"result.4083",2,15,15,108.484144054,147.93292371,128.96716426,2069713.62186331,1498,34.5,0.906755287549044
"result.3794",1,13,14,108.55702123,147.545810545,129.198144985,2069383.96043161,1498,35.5,0.905109300473602
"result.3745",0,10,14,108.611914506,146.35648054,130.180237954,2069352.55462504,1499,36.5,0.904952492467759
"result.4017",0,11,15,108.20300097,146.57285947,130.4575189,2069007.10058928,1496,36,0.90322765351677
"result.4066",1,14,15,108.14206528,147.74338496,129.4658528,2068511.5049463,1495,35,0.900753163192605
"result.3505",0,11,13,108.611914506,147.126777806,129.409940688,2067934.74845246,1498,36.5,0.897873439805898
"result.3554",1,14,13,108.55702123,148.31029661,128.43365892,2067797.83666147,1498,35.5,0.897189844405361
"result.3777",0,12,14,108.20300097,147.34025664,129.69012173,2067605.24791872,1495,36,0.896228256087899
"result.4049",0,13,15,107.792535165,147.545810545,129.96263105,2066969.47793757,1492,35.5,0.893053880588314
"result.3826",1,15,14,108.14206528,148.5049488,128.70428896,2066943.50047015,1495,35,0.892924176074782
"result.3042",1,14,11,108.97039814,148.87505098,127.38793022,2066611.02616656,1500,36,0.891264144436217
"result.2993",0,11,11,109.0192965,147.6786215,128.348959,2066395.06316092,1500,37,0.890185849307106
"result.3265",0,12,12,108.611914506,147.897075072,128.639643422,2066388.05080964,1498,36.5,0.890150836902049
"result.3314",1,15,12,108.55702123,149.074782675,127.669172855,2066084.82298971,1497,35.5,0.888636831851661
"result.3537",0,13,13,108.20300097,148.10765381,128.92272456,2066075.9540963,1495,36,0.888592549801857
