"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4072",7,14,15,105.90020134,149.36670189,134.3510017,2125159.28187375,1500,40,1
"result.3832",7,15,14,105.90020134,150.1570019,133.56070169,2123836.43140261,1499,40,0.996885694530791
"result.4087",6,15,15,105.10990133,150.1570019,134.3510017,2120460.2010957,1492,40,0.988937243258632
"result.4073",8,14,15,106.30893303,148.832506242,133.87050826,2118129.2943569,1500,39.5,0.98344973294415
"result.3833",8,15,14,106.30893303,149.61997982,133.083034682,2116810.81985061,1500,39.5,0.980345729539713
"result.4056",7,13,15,105.90020134,148.57640188,134.3510017,2113915.05286912,1496,40,0.973528403511727
"result.4088",7,15,15,105.521459452,149.61997982,133.87050826,2113563.465974,1493,39.5,0.972700684117675
"result.3816",7,14,14,105.90020134,149.36670189,133.56070169,2112658.34492155,1495,40,0.970569813315979
"result.3576",7,15,13,105.90020134,150.1570019,132.77040168,2111269.35192686,1495,40,0.967299792573311
"result.4074",9,14,15,106.71062792,148.29638733,133.3882849,2110843.01228597,1500,39,0.966296087389426
"result.3834",9,15,14,106.71062792,149.0810243,132.60364793,2109529.0732805,1500,39,0.963202761635506
"result.4071",6,14,15,105.10990133,149.36670189,134.3510017,2109299.88424782,1488,40,0.962663195997885
"result.3831",6,15,14,105.10990133,150.1570019,133.56070169,2107986.90579513,1488,40,0.959572131614267
"result.4025",8,11,15,106.69050135,146.99580186,134.3510017,2107034.25601555,1499,40,0.957329366854726
"result.4057",8,13,15,106.30893303,148.045032664,133.87050826,2106922.26105342,1496,39.5,0.957065704006438
"result.4089",8,15,15,105.92599095,149.0810243,133.3882849,2106408.46814251,1493,39,0.955856112969946
"result.3785",8,12,14,106.69050135,147.78610187,133.56070169,2105901.44189941,1498,40,0.954662452283146
"result.3817",8,14,14,106.30893303,148.832506242,133.083034682,2105669.71027244,1496,39.5,0.954116900772223
"result.3545",8,13,13,106.69050135,148.57640188,132.77040168,2104635.35553432,1498,40,0.951681783056086
"result.4086",5,15,15,104.31960132,150.1570019,134.3510017,2104516.89131302,1481,40,0.951402890028992
"result.3577",8,15,13,106.30893303,149.61997982,132.295561104,2104285.31204084,1495,39.5,0.950857697197565
"result.4075",10,14,15,107.105237535,147.758320395,132.90430935,2103302.39992617,1500,38.5,0.948543687684576
