"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,141.58430195,82.64423055,135.8184254,1589228.46697867,1500,23,1
"result.4065",0,14,15,141.58430195,82.0035776,136.45907835,1584347.11582955,1497,23,0.969532250123092
"result.3810",1,14,14,142.2249549,82.0035776,135.8184254,1584044.20069683,1500,23,0.967641555883802
"result.3569",0,15,13,141.58430195,82.64423055,135.17777245,1581732.10628538,1496,23,0.953210241260464
"result.3314",1,15,12,142.2249549,82.64423055,134.5371195,1581358.98425992,1499,23,0.950881339241754
"result.4050",1,13,15,142.2249549,81.36292465,136.45907835,1579082.38771558,1498,23,0.936671590349582
"result.3809",0,14,14,141.58430195,82.0035776,135.8184254,1576908.86645946,1494,23,0.923105202691613
"result.3554",1,14,13,142.2249549,82.0035776,135.17777245,1576572.29408977,1497,23,0.921004431314624
"result.3299",2,14,12,142.86560785,82.0035776,134.5371195,1576168.40724615,1500,23,0.918483505662236
"result.3313",0,15,12,141.58430195,82.64423055,134.5371195,1574235.74559208,1492,23,0.906420482520926
"result.3058",1,15,11,142.2249549,82.64423055,133.89646655,1573828.70338249,1496,23,0.90387986213688
"result.4035",2,12,15,142.86560785,80.7222717,136.45907835,1573705.64410982,1499,23,0.903111767602166
"result.2803",2,15,10,142.86560785,82.64423055,133.2558136,1573353.82080464,1499,23,0.900915805022158
"result.2753",0,12,10,143.114390146,81.594629676,134.695896608,1572893.23830294,1500,23.5,0.898041004166711
"result.4085",4,15,15,142.570019925,81.740144757,134.966285529,1572855.80087086,1497,22.5,0.897807332324239
"result.3830",5,15,14,143.203664458,81.740144757,134.332640996,1572429.1524533,1500,22.5,0.895144336593276
"result.3985",0,9,15,143.114390146,79.651900398,137.933778738,1572353.09639419,1500,23.5,0.894669620287265
"result.4049",0,13,15,141.58430195,81.36292465,136.45907835,1571969.40398713,1491,23,0.892274741506647
"result.3794",1,13,14,142.2249549,81.36292465,135.8184254,1571668.85537889,1495,23,0.890398818316101
"result.1521",0,15,5,143.114390146,83.537358954,131.458014478,1571632.90718251,1499,23.5,0.890174441781335
"result.3539",2,13,13,142.86560785,81.36292465,135.17777245,1571301.51819103,1498,23,0.888106023305434
"result.3489",0,10,13,143.114390146,80.299476824,136.638625886,1570252.54452679,1499,23.5,0.881558682978306
"result.2257",0,13,8,143.114390146,82.242206102,133.400743756,1570132.51299151,1499,23.5,0.88080948656065
"result.3553",0,14,13,141.58430195,82.0035776,135.17777245,1569470.61708937,1490,23,0.876678155260136
"result.3298",1,14,12,142.2249549,82.0035776,134.5371195,1569100.38748271,1493,23,0.874367306745447
"result.3043",2,14,11,142.86560785,82.0035776,133.89646655,1568662.84340212,1497,23,0.871636303955359
"result.4020",3,11,15,143.5062608,80.08161875,136.45907835,1568216.88501228,1500,23,0.868852781880848
"result.2788",3,14,10,143.5062608,82.0035776,133.2558136,1568157.98484759,1500,23,0.868485146889874
"result.2993",0,11,11,143.114390146,80.94705325,135.343473034,1567911.92958884,1497,23.5,0.866949352834037
"result.4070",5,14,15,143.203664458,81.106500224,134.966285529,1567599.40077837,1498,22.5,0.864998653256012
"result.1761",0,14,6,143.114390146,82.889782528,132.105590904,1567131.72460953,1497,23.5,0.86207957611928
"result.3057",0,15,11,141.58430195,82.64423055,133.89646655,1566739.38489879,1489,23,0.85963072378139
"result.4034",1,12,15,142.2249549,80.7222717,136.45907835,1566648.66812727,1492,23,0.859064500246185
"result.3970",1,8,15,143.761966572,79.004323972,137.933778738,1566626.61452894,1500,23.5,0.858926849112861
"result.1506",1,14,5,143.761966572,82.889782528,131.458014478,1566506.03986454,1500,23.5,0.858174262666166
"result.3779",2,12,14,142.86560785,80.7222717,135.8184254,1566317.35470086,1495,23,0.85699655342196
"result.2802",1,15,10,142.2249549,82.64423055,133.2558136,1566298.42250506,1492,23,0.856878385032004
"result.3524",3,12,13,143.5062608,80.7222717,135.17777245,1565919.77858916,1499,23,0.854515017232891
"result.4084",3,15,15,141.936375392,81.740144757,134.966285529,1565865.33064477,1490,22.5,0.854175171501545
"result.2547",2,15,9,142.86560785,82.64423055,132.61516065,1565789.61974307,1495,23,0.853702609551946
"result.3829",4,15,14,142.570019925,81.740144757,134.332640996,1565471.50133625,1493,22.5,0.851717021596042
"result.2497",0,12,9,143.114390146,81.594629676,134.048320182,1565331.25158033,1496,23.5,0.850841629854459
"result.2292",3,15,8,143.5062608,82.64423055,131.9745077,1565212.97661282,1498,23,0.850103397341212
