"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,77.44940098,69.54640088,106.69050135,574669.937504051,667,40,1
"result.3840",15,15,14,77.44940098,69.54640088,105.90020134,570413.123152169,664,40,0.980272669045658
"result.4095",14,15,15,76.65910097,69.54640088,106.69050135,568805.958549928,660,40,0.972824595113917
"result.4080",15,14,15,77.44940098,68.75610087,106.69050135,568139.597305141,663,40,0.969736480922316
"result.3584",15,15,13,77.44940098,69.54640088,105.10990133,566156.308800287,662,40,0.960545338091317
"result.3839",14,15,14,76.65910097,69.54640088,105.90020134,564592.581079188,657,40,0.953298563455028
"result.3824",15,14,14,77.44940098,68.75610087,105.90020134,563931.155843622,660,40,0.950233324183365
"result.4094",13,15,15,75.86880096,69.54640088,106.69050135,562941.979595805,653,40,0.945649190227834
"result.4079",14,14,15,76.65910097,68.75610087,106.69050135,562342.254475497,656,40,0.942869887455394
"result.3328",15,15,12,77.44940098,69.54640088,104.31960132,561899.494448405,659,40,0.940818007136975
"result.4064",15,13,15,77.44940098,67.96580086,106.69050135,561609.257106232,659,40,0.939472961844633
"result.3583",14,15,13,76.65910097,69.54640088,105.10990133,560379.203608448,655,40,0.933772531796138
"result.3568",15,14,13,77.44940098,68.75610087,105.10990133,559722.714382102,658,40,0.930730167444414
"result.3838",13,15,14,75.86880096,69.54640088,105.90020134,558772.039006207,651,40,0.926324457864398
"result.3823",14,14,14,76.65910097,68.75610087,105.90020134,558176.756294197,654,40,0.923565742519901
"result.3072",15,15,11,77.44940098,69.54640088,103.52930131,557642.680096524,657,40,0.921090676182634
"result.3808",15,13,14,77.44940098,67.96580086,105.90020134,557449.188535074,657,40,0.920193979321072
"result.4093",12,15,15,75.07850095,69.54640088,106.69050135,557078.000641682,646,40,0.918473785341751
"result.4078",13,14,15,75.86880096,68.75610087,106.69050135,556544.911645853,649,40,0.916003293988471
"result.3327",14,15,12,76.65910097,69.54640088,104.31960132,556165.826137707,652,40,0.91424650013725
"result.4063",14,13,15,76.65910097,67.96580086,106.69050135,555878.550401066,652,40,0.912915179796871
"result.3312",15,14,12,77.44940098,68.75610087,104.31960132,555514.272920583,655,40,0.911227010705463
"result.4048",15,12,15,77.44940098,67.17550085,106.69050135,555078.916907322,655,40,0.90920944276695
