"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,120.1703157,118.75654728,130.77357885,1866271.28402997,1497,28,1
"result.3809",0,14,14,120.1703157,118.04966307,131.48046306,1865190.43193497,1497,28,0.994087255449678
"result.4049",0,13,15,120.1703157,117.34277886,132.18734727,1863989.48516275,1496,28,0.987517539282656
"result.4034",1,12,15,120.87719991,116.63589465,132.18734727,1863659.22480039,1500,28,0.985710867336724
"result.3828",3,15,14,121.193190429,117.690497064,130.300193178,1858509.02830686,1500,27.5,0.957536988236047
"result.3729",0,9,14,121.23804932,115.532729352,132.648689256,1858005.24781941,1500,28.5,0.954781083570147
"result.4083",2,15,15,120.492651756,117.690497064,131.000731851,1857700.42844372,1496,27.5,0.953113585204004
"result.4068",3,14,15,121.193190429,116.989958391,131.000731851,1857378.98249472,1500,27.5,0.951355132042882
"result.3058",1,15,11,120.87719991,118.75654728,129.35981043,1856954.76283465,1498,28,0.949034460699585
"result.3969",0,8,15,121.23804932,114.819564356,133.361854252,1856463.6929543,1500,28.5,0.946348088741456
"result.3313",0,15,12,120.1703157,118.75654728,130.06669464,1856183.33114332,1493,28,0.944814384197002
"result.3298",1,14,12,120.87719991,118.04966307,130.06669464,1855988.35390265,1497,28,0.943747771454591
"result.3553",0,14,13,120.1703157,118.04966307,130.77357885,1855162.52638693,1493,28,0.939230125455033
"result.3538",1,13,13,120.87719991,117.34277886,130.77357885,1854901.14385416,1497,28,0.937800246053974
"result.2033",0,15,7,121.23804932,119.811719328,127.656534284,1854305.51614314,1499,28.5,0.934541895981289
"result.3793",0,13,14,120.1703157,117.34277886,131.48046306,1854021.62695332,1492,28,0.93298889509636
"result.3778",1,12,14,120.87719991,116.63589465,131.48046306,1853693.13268916,1496,28,0.931191884497733
"result.2273",0,14,8,121.23804932,119.098554332,128.36969928,1853565.56980789,1499,28.5,0.930494058463517
"result.4033",0,12,15,120.1703157,116.63589465,132.18734727,1852760.63284249,1492,28,0.926090693120985
"result.2513",0,13,9,121.23804932,118.385389336,129.082864276,1852702.29908343,1498,28.5,0.92577158135945
"result.4018",1,11,15,120.87719991,115.92901044,132.18734727,1852364.32040766,1496,28,0.923922686785868
"result.4003",2,10,15,121.58408412,115.22212623,132.18734727,1851835.90382788,1500,28,0.921032011672377
"result.2753",0,12,10,121.23804932,117.67222434,129.796029272,1851715.70396976,1498,28.5,0.920374464669088
"result.2993",0,11,11,121.23804932,116.959059344,130.509194268,1850605.78446688,1497,28.5,0.91430270839243
"result.3233",0,10,12,121.23804932,116.245894348,131.222359264,1849372.54057479,1497,28.5,0.907556312529477
"result.3572",3,15,13,121.193190429,117.690497064,129.599654505,1848517.04428371,1496,27.5,0.902876365054376
"result.3557",4,14,13,121.893729102,116.989958391,129.599654505,1848135.43465442,1500,27.5,0.900788789643846
"result.3473",0,9,13,121.23804932,115.532729352,131.93552426,1848015.9722935,1496,28.5,0.900135277080229
"result.3827",2,15,14,120.492651756,117.690497064,130.300193178,1847766.20155364,1492,27.5,0.898768919381765
"result.3812",3,14,14,121.193190429,116.989958391,130.300193178,1847446.47456694,1496,27.5,0.897019869713483
"result.3458",1,8,13,121.951214316,114.819564356,131.93552426,1847412.04550517,1500,28.5,0.89683152734146
"result.2547",2,15,9,121.58408412,118.75654728,127.94604201,1847400.878042,1498,28,0.896770436321451
"result.3797",4,13,14,121.893729102,116.289419718,130.300193178,1846998.85678556,1500,27.5,0.894571200177887
"result.4082",1,15,15,119.792113083,117.690497064,131.000731851,1846899.84455742,1487,27.5,0.894029558990291
"result.2802",1,15,10,120.87719991,118.75654728,128.65292622,1846807.46904867,1494,28,0.893524223627156
"result.4067",2,14,15,120.492651756,116.989958391,131.000731851,1846642.68779822,1491,27.5,0.892622796461393
"result.2787",2,14,10,121.58408412,118.04966307,128.65292622,1846550.32515156,1498,28,0.892117531459629
"result.3713",0,8,14,121.23804932,114.819564356,132.648689256,1846536.07962299,1496,28.5,0.892039602044685
"result.4052",3,13,15,121.193190429,116.289419718,131.000731851,1846256.95265942,1495,27.5,0.890512652668046
"result.3057",0,15,11,120.1703157,118.75654728,129.35981043,1846095.37825667,1489,28,0.889628768394004
"result.3042",1,14,11,120.87719991,118.04966307,129.35981043,1845901.46067492,1493,28,0.888567952459976
"result.3698",1,7,14,121.951214316,114.10639936,132.648689256,1845861.42267026,1500,28.5,0.888348926660834
"result.4037",4,12,15,121.893729102,115.588881045,131.000731851,1845742.63914103,1499,27.5,0.887699127610251
"result.3027",2,13,11,121.58408412,117.34277886,129.35981043,1845578.26470534,1497,28,0.886799925903262
"result.3297",0,14,12,120.1703157,118.04966307,130.06669464,1845134.6208389,1489,28,0.884372995460386
"result.3953",0,7,15,121.23804932,114.10639936,133.361854252,1844932.86256328,1495,28.5,0.883269287422847
"result.3282",1,13,12,120.87719991,117.34277886,130.06669464,1844874.65118467,1493,28,0.882950845137171
"result.3267",2,12,12,121.58408412,116.63589465,130.06669464,1844484.69670334,1497,28,0.88081761965235
"result.1522",1,15,5,121.951214316,119.811719328,126.230204292,1844372.82474875,1499,28.5,0.880205630007436
"result.3938",1,6,15,121.951214316,113.393234364,133.361854252,1844186.75000856,1499,28.5,0.87918771792576
"result.3537",0,13,13,120.1703157,117.34277886,130.77357885,1844053.7687439,1488,28,0.878460250910064
"result.1777",0,15,6,121.23804932,119.811719328,126.943369288,1843946.26744961,1495,28.5,0.877872170732484
"result.1762",1,14,6,121.951214316,119.098554332,126.943369288,1843752.57561479,1499,28.5,0.876812589735186
"result.3522",1,12,13,120.87719991,116.63589465,130.77357885,1843727.04057793,1492,28,0.876672901658742
"result.3507",2,11,13,121.58408412,115.92901044,130.77357885,1843269.62114557,1497,28,0.874170612706889
"result.2017",0,14,7,121.23804932,119.098554332,127.656534284,1843267.98330896,1494,28.5,0.87416165300786
"result.2002",1,13,7,121.951214316,118.385389336,127.656534284,1843008.27665404,1499,28.5,0.872740941408486
"result.3777",0,12,14,120.1703157,116.63589465,131.48046306,1842852.82197168,1488,28,0.871890534743041
"result.2257",0,13,8,121.23804932,118.385389336,128.36969928,1842466.3747791,1494,28.5,0.869776495696941
"result.3762",1,11,14,120.87719991,115.92901044,131.48046306,1842458.62885468,1492,28,0.869734122024688
"result.2242",1,12,8,121.951214316,117.67222434,128.36969928,1842139.92786649,1498,28.5,0.867990685027335
"result.3747",2,10,14,121.58408412,115.22212623,131.48046306,1841933.03803201,1496,28,0.866858905066885
"result.2913",0,6,11,122.2978453,114.38445531,131.65003347,1841648.68733381,1500,29,0.865303379524629
"result.2497",0,12,9,121.23804932,117.67222434,129.082864276,1841541.44186004,1494,28.5,0.864716698799726
"result.4017",0,11,15,120.1703157,115.92901044,132.18734727,1841531.78052223,1487,28,0.864663846959315
"result.3732",3,9,14,122.29096833,114.51524202,131.48046306,1841276.04950368,1500,28,0.863264883869631
"result.2482",1,11,9,121.951214316,116.959059344,129.082864276,1841147.52925215,1498,28.5,0.862561820591736
"result.4002",1,10,15,120.87719991,115.22212623,132.18734727,1841069.41601493,1491,28,0.862134506235011
"result.2737",0,11,10,121.23804932,116.959059344,129.796029272,1840493.18455176,1493,28.5,0.858982262316217
"result.3987",2,9,15,121.58408412,114.51524202,132.18734727,1840474.94736268,1495,28,0.858882496732334
"result.3153",0,5,12,122.2978453,113.66505622,132.36943256,1840066.35179464,1500,29,0.856647296162874
"result.2722",1,10,10,121.951214316,116.245894348,129.796029272,1840031.08081102,1497,28.5,0.856454348101687
"result.3972",3,8,15,122.29096833,113.80835781,132.18734727,1839748.37456549,1499,28,0.854907818451285
"result.497",0,15,1,122.2978453,120.85904712,124.45604257,1839560.0044221,1499,29,0.853877349487112
"result.3831",6,15,14,122.1692824,116.6161332,129.1107189,1839428.70302771,1499,27,0.853159072113405
"result.2977",0,10,11,121.23804932,116.245894348,130.509194268,1839321.60285428,1493,28.5,0.852573186246412
"result.737",0,14,2,122.2978453,120.13964803,125.17544166,1839180.2438927,1499,29,0.851799889480292
"result.3061",4,15,11,121.893729102,117.690497064,128.198577159,1839102.63159137,1497,27.5,0.851375315467021
"result.4086",5,15,15,121.47513875,116.6161332,129.80486255,1838810.61542588,1494,27,0.849777856389053
"result.2962",1,9,11,121.951214316,115.532729352,130.509194268,1838790.5825431,1497,28.5,0.849668267557187
"result.977",0,13,3,122.2978453,119.42024894,125.89484075,1838673.89652016,1499,29,0.849029942804529
"result.3316",3,15,12,121.193190429,117.690497064,128.899115832,1838525.06026055,1492,27.5,0.848215741872706
"result.3393",0,4,13,122.2978453,112.94565713,133.08883165,1838357.42941233,1499,29,0.847298726132178
"result.4071",6,14,15,122.1692824,115.92198955,129.80486255,1838310.25879583,1498,27,0.847040681755055
"result.3301",4,14,12,121.893729102,116.989958391,128.899115832,1838145.51338601,1496,27.5,0.846139450653584
"result.1217",0,12,4,122.2978453,118.70084985,126.61423984,1838040.96230449,1499,29,0.845567509459827
"result.3217",0,9,12,121.23804932,115.532729352,131.222359264,1838026.69676759,1492,28.5,0.845489470590311
"result.3571",2,15,13,120.492651756,117.690497064,129.599654505,1837831.97466357,1488,27.5,0.844424253559526
"result.3286",5,13,12,122.594267775,116.289419718,128.899115832,1837639.45088663,1500,27.5,0.843371062361421
"result.2036",3,15,7,122.29096833,118.75654728,126.53227359,1837609.62965202,1499,28,0.8432079268656
"result.3556",3,14,13,121.193190429,116.989958391,129.599654505,1837513.96663916,1492,27.5,0.842684607384085
"result.3202",1,8,12,121.951214316,114.819564356,131.222359264,1837426.03444838,1496,28.5,0.842203578958237
"result.1457",0,11,5,122.2978453,117.98145076,127.33363893,1837281.44124569,1498,29,0.841412589446186
"result.2291",2,15,8,121.58408412,118.75654728,127.2391578,1837194.24335669,1494,28,0.840935577979594
"result.3541",4,13,13,121.893729102,116.289419718,129.599654505,1837068.75540499,1496,27.5,0.840249102738466
"result.3826",1,15,14,119.792113083,117.690497064,130.300193178,1837023.37480042,1483,27.5,0.840000850527483
"result.2276",3,14,8,122.29096833,118.04966307,127.2391578,1836876.34568169,1498,28,0.839196535464794
"result.3811",2,14,14,120.492651756,116.989958391,130.300193178,1836767.59321106,1487,27.5,0.838601610792858
"result.3187",2,7,12,122.664379312,114.10639936,131.222359264,1836691.8916138,1500,28.5,0.838187489185703
"result.2546",1,15,9,120.87719991,118.75654728,127.94604201,1836660.17526269,1490,28,0.83801398655473
"result.3457",0,8,13,121.23804932,114.819564356,131.93552426,1836608.46629169,1492,28.5,0.837731115347915
"result.3633",0,3,14,122.2978453,112.22625804,133.80823074,1836521.92018689,1498,29,0.837257669432542
"result.3526",5,12,13,122.594267775,115.588881045,129.599654505,1836496.34096105,1500,27.5,0.83711773962267
"result.2531",2,14,9,121.58408412,118.04966307,127.94604201,1836404.44424413,1494,28,0.836615023465046
"result.1697",0,10,6,122.2978453,117.26205167,128.05303802,1836395.33334375,1498,29,0.836565182763602
"result.3796",3,13,14,121.193190429,116.289419718,130.300193178,1836383.92082702,1491,27.5,0.83650275119092
"result.4081",0,15,15,119.09157441,117.690497064,131.000731851,1836099.26067112,1478,27.5,0.834945532776578
"result.2516",3,13,9,122.29096833,117.34277886,127.94604201,1836020.8477163,1498,28,0.83451657883052
"result.2801",0,15,10,120.1703157,118.75654728,128.65292622,1836007.42537002,1485,28,0.834443152591006
"result.3442",1,7,13,121.951214316,114.10639936,131.93552426,1835937.43652687,1496,28.5,0.834060282304838
