"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,93.25540118,94.8360012,156.47940198,1383899.03317302,1136,40,1
"result.3840",15,15,14,93.25540118,94.8360012,155.68910197,1376909.64411659,1133,40,0.982826684131056
"result.4080",15,14,15,93.25540118,94.04570119,156.47940198,1372366.54122991,1131,40,0.971664028816242
"result.4095",14,15,15,92.46510117,94.8360012,156.47940198,1372171.07526477,1126,40,0.971183758118212
"result.3584",15,15,13,93.25540118,94.8360012,154.89880196,1369920.25506016,1130,40,0.965653368262111
"result.3824",15,14,14,93.25540118,94.04570119,155.68910197,1365435.39708229,1128,40,0.954633823912872
"result.3839",14,15,14,92.46510117,94.8360012,155.68910197,1365240.91831899,1123,40,0.954155978824429
"result.3328",15,15,12,93.25540118,94.8360012,154.10850195,1362930.86600373,1127,40,0.948480052393167
"result.4064",15,13,15,93.25540118,93.25540118,156.47940198,1360834.0492868,1126,40,0.943328057632484
"result.4079",14,14,15,92.46510117,94.04570119,156.47940198,1360736.31630424,1121,40,0.943087922283469
"result.4094",13,15,15,91.67480116,94.8360012,156.47940198,1360443.11735653,1116,40,0.942367516236425
"result.3568",15,14,13,93.25540118,94.04570119,154.89880196,1358504.25293466,1125,40,0.937603619009502
"result.3583",14,15,13,92.46510117,94.8360012,154.89880196,1358310.76137321,1120,40,0.937128199530645
"result.3072",15,15,11,93.25540118,94.8360012,153.31820194,1355941.4769473,1124,40,0.931306736524223
"result.3808",15,13,14,93.25540118,93.25540118,155.68910197,1353961.15004798,1123,40,0.926440963694688
"result.3823",14,14,14,92.46510117,94.04570119,155.68910197,1353863.91066633,1118,40,0.926202041150467
"result.3838",13,15,14,91.67480116,94.8360012,155.68910197,1353572.19252139,1113,40,0.925485273517801
"result.3312",15,14,12,93.25540118,94.04570119,154.10850195,1351573.10878703,1122,40,0.920573414106133
"result.3327",14,15,12,92.46510117,94.8360012,154.10850195,1351380.60442743,1117,40,0.920100420236861
"result.4048",15,12,15,93.25540118,92.46510117,156.47940198,1349301.5573437,1121,40,0.914992086448726
"result.4063",14,13,15,92.46510117,93.25540118,156.47940198,1349301.5573437,1116,40,0.914992086448726
"result.4078",13,14,15,91.67480116,94.04570119,156.47940198,1349106.09137856,1112,40,0.914511815750696
"result.2816",15,15,10,93.25540118,94.8360012,152.52790193,1348952.08789087,1121,40,0.914133420655279
"result.4093",12,15,15,90.88450115,94.8360012,156.47940198,1348715.15944828,1107,40,0.913551274354637
"result.3552",15,13,13,93.25540118,93.25540118,154.89880196,1347088.25080916,1120,40,0.909553869756894
"result.3567",14,14,13,92.46510117,94.04570119,154.89880196,1346991.50502843,1116,40,0.909316160017465
"result.3582",13,15,13,91.67480116,94.8360012,154.89880196,1346701.26768626,1111,40,0.908603030799178
"result.3056",15,14,11,93.25540118,94.04570119,153.31820194,1344641.96463941,1119,40,0.903543209202763
"result.3071",14,15,11,92.46510117,94.8360012,153.31820194,1344450.44748165,1114,40,0.903072640943077
"result.3792",15,12,14,93.25540118,92.46510117,155.68910197,1342486.90301368,1118,40,0.898248103476505
"result.3807",14,13,14,92.46510117,93.25540118,155.68910197,1342486.90301368,1114,40,0.898248103476505
"result.3822",13,14,14,91.67480116,94.04570119,155.68910197,1342292.42425038,1109,40,0.897770258388062
"result.2560",15,15,9,93.25540118,94.8360012,151.73760192,1341962.69883444,1118,40,0.896960104786334
"result.3837",12,15,14,90.88450115,94.8360012,155.68910197,1341903.4667238,1104,40,0.896814568211174
"result.3296",15,13,12,93.25540118,93.25540118,154.10850195,1340215.35157034,1117,40,0.892666775819098
"result.3311",14,14,12,92.46510117,94.04570119,154.10850195,1340119.09939053,1113,40,0.892430278884462
"result.3326",13,15,12,91.67480116,94.8360012,154.10850195,1339830.34285113,1108,40,0.891720788080555
"result.4047",14,12,15,92.46510117,92.46510117,156.47940198,1337866.79838316,1112,40,0.886896250613982
"result.4032",15,11,15,93.25540118,91.67480116,156.47940198,1337769.06540059,1116,40,0.886656115264968
"result.4062",13,13,15,91.67480116,93.25540118,156.47940198,1337769.06540059,1107,40,0.886656115264968
"result.2800",15,14,10,93.25540118,94.04570119,152.52790193,1337710.82049178,1116,40,0.886513004299393
"result.2815",14,15,10,92.46510117,94.8360012,152.52790193,1337520.29053587,1112,40,0.886044861649293
"result.4077",12,14,15,90.88450115,94.04570119,156.47940198,1337475.86645288,1102,40,0.885935709217923
"result.4092",11,15,15,90.09420114,94.8360012,156.47940198,1336987.20154004,1097,40,0.884735032472849
"result.3536",15,12,13,93.25540118,92.46510117,154.89880196,1335672.24868366,1116,40,0.881504120504285
"result.3551",14,13,13,92.46510117,93.25540118,154.89880196,1335672.24868366,1111,40,0.881504120504285
