"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3553",0,14,13,132.75316733,101.669498882,125.629826644,1695619.23714139,1500,23.5,1
"result.3793",0,13,14,132.75316733,101.021922456,126.27740307,1693503.74922323,1499,23.5,0.987046804435015
"result.4033",0,12,15,132.75316733,100.37434603,126.924979496,1691276.91983569,1498,23.5,0.97341186173503
"result.3057",0,15,11,132.75316733,102.317075308,124.334673792,1688827.4075094,1497,23.5,0.958413424765046
"result.4018",1,11,15,133.400743756,99.726769604,126.924979496,1688562.36049937,1500,23.5,0.95679053402417
"result.2802",1,15,10,133.400743756,102.317075308,123.687097366,1688226.70670388,1500,23.5,0.954735315831831
"result.3297",0,14,12,132.75316733,101.669498882,124.982250218,1686878.9317953,1496,23.5,0.94648284990256
"result.3042",1,14,11,133.400743756,101.669498882,124.334673792,1686324.66852945,1499,23.5,0.943089079408576
"result.4083",2,15,15,132.61516065,101.2231661,125.5679782,1685590.18820883,1495,23,0.938591834517715
"result.3828",3,15,14,133.2558136,101.2231661,124.92732525,1685091.64038623,1498,23,0.935539211343086
"result.3537",0,13,13,132.75316733,101.021922456,125.629826644,1684819.11461183,1495,23.5,0.933870527905074
"result.3282",1,13,12,133.400743756,101.021922456,124.982250218,1684310.74575653,1498,23.5,0.930757770254541
"result.4068",3,14,15,133.2558136,100.58251315,125.5679782,1683013.30600341,1497,23,0.922813507982185
"result.3777",0,12,14,132.75316733,100.37434603,126.27740307,1682647.95595898,1494,23.5,0.92057645877259
"result.3813",4,14,14,133.89646655,100.58251315,124.92732525,1682476.63084206,1500,23,0.919527429976163
"result.3522",1,12,13,133.400743756,100.37434603,125.629826644,1682184.93838511,1498,23.5,0.917741388369727
"result.4017",0,11,15,132.75316733,99.726769604,126.924979496,1680365.45583675,1493,23.5,0.906600642505105
"result.4053",4,13,15,133.89646655,99.9418602,125.5679782,1680333.34850978,1499,23,0.906404048385233
"result.2801",0,15,10,132.75316733,102.317075308,123.687097366,1680031.43142862,1493,23.5,0.904555401100107
"result.3762",1,11,14,133.400743756,99.726769604,126.27740307,1679947.24641519,1497,23.5,0.904039933754132
"result.3507",2,11,13,134.048320182,99.726769604,125.629826644,1679445.39510932,1500,23.5,0.900967083252965
"result.2546",1,15,9,133.400743756,102.317075308,123.03952094,1679387.82342271,1496,23.5,0.900614570100233
"result.2721",0,10,10,134.15930415,100.12865139,124.99720533,1679111.2331614,1500,24,0.89892099968774
"result.2291",2,15,8,134.048320182,102.317075308,122.391944514,1678658.40101601,1500,23.5,0.896148294967044
"result.3041",0,14,11,132.75316733,101.669498882,124.334673792,1678138.62644921,1492,23.5,0.89296569980512
"result.3937",0,6,15,134.15930415,97.51090887,128.26938348,1678019.52069416,1500,24,0.892236411717537
"result.1505",0,14,5,134.15930415,102.74639391,121.72502718,1677904.60359235,1500,24,0.891532770878569
"result.4002",1,10,15,133.400743756,99.079193178,126.924979496,1677597.66984678,1495,23.5,0.889653406407758
"result.2786",1,14,10,133.400743756,101.669498882,123.687097366,1677541.72754753,1495,23.5,0.889310870042368
"result.4082",1,15,15,131.9745077,101.2231661,125.5679782,1677447.24043971,1487,23,0.88873232266544
"result.3747",2,10,14,134.048320182,99.079193178,126.27740307,1677140.62669321,1499,23.5,0.88685491755848
"result.3827",2,15,14,132.61516065,101.2231661,124.92732525,1676990.23826899,1491,23,0.885934084755363
"result.2961",0,9,11,134.15930415,99.47421576,125.65164096,1676870.34967602,1499,24,0.88520000332785
"result.2531",2,14,9,134.048320182,101.669498882,123.03952094,1676859.55737418,1499,23.5,0.88513392174208
"result.3572",3,15,13,133.2558136,101.2231661,124.2866723,1676450.14479451,1494,23,0.882627076316181
"result.1745",0,13,6,134.15930415,102.09195828,122.37946281,1676180.84706513,1499,24,0.880978158294038
"result.3281",0,13,12,132.75316733,101.021922456,124.982250218,1676134.48000043,1491,23.5,0.880694251375133
"result.3317",4,15,12,133.89646655,101.2231661,123.64601935,1675826.96001626,1497,23,0.878811297347894
"result.3026",1,13,11,133.400743756,101.021922456,124.334673792,1675583.74707385,1495,23.5,0.877322097253723
"result.2771",2,13,10,134.048320182,101.021922456,123.687097366,1674948.28600473,1498,23.5,0.873431150190557
"result.4067",2,14,15,132.61516065,100.58251315,125.5679782,1674921.8958784,1490,23,0.87326956266062
"result.3987",2,9,15,134.048320182,98.431616752,126.924979496,1674723.4305495,1498,23.5,0.872054353537436
"result.3201",0,8,12,134.15930415,98.81978013,126.30607659,1674514.54908882,1498,24,0.870775366128992
"result.3812",3,14,14,133.2558136,100.58251315,124.92732525,1674426.50342176,1493,23,0.870236259885831
"result.1985",0,12,7,134.15930415,101.43752265,123.03389844,1674342.1734361,1498,24,0.869719904870539
"result.3521",0,12,13,132.75316733,100.37434603,125.629826644,1674018.99208227,1490,23.5,0.867741055810148
"result.3557",4,14,13,133.89646655,100.58251315,124.2866723,1673848.54555569,1497,23,0.866697406648576
"result.3266",1,12,12,133.400743756,100.37434603,124.982250218,1673513.88200168,1494,23.5,0.864648251734299
"result.3302",5,14,12,134.5371195,100.58251315,123.64601935,1673188.02228018,1500,23,0.862653002948856
"result.3011",2,12,11,134.048320182,100.37434603,124.334673792,1672924.58690766,1497,23.5,0.861039980312473
"result.2225",0,11,8,134.15930415,100.78308702,123.68833407,1672388.58270525,1497,24,0.857758010608071
"result.4052",3,13,15,133.2558136,99.9418602,125.5679782,1672293.47602887,1492,23,0.857175669594379
"result.2756",3,12,10,134.695896608,100.37434603,123.687097366,1672251.10680021,1500,23.5,0.856916241544672
"result.3441",0,7,13,134.15930415,98.1653445,126.96051222,1672043.83139981,1497,24,0.855647088091165
"result.3761",0,11,14,132.75316733,99.726769604,126.27740307,1671792.16269473,1489,23.5,0.854106113110164
"result.3797",4,13,14,133.89646655,99.9418602,124.92732525,1671760.21918065,1496,23,0.853910522021516
"result.3972",3,8,15,134.695896608,97.784040326,126.924979496,1671742.73794491,1500,23.5,0.853803483894139
"result.3506",1,11,13,133.400743756,99.726769604,125.629826644,1671332.13233101,1493,23.5,0.851289333484094
"result.2545",0,15,9,132.75316733,102.317075308,123.03952094,1671235.45534784,1489,23.5,0.850697377435168
"result.3542",5,13,13,134.5371195,99.9418602,124.2866723,1671144.92281731,1499,23,0.850143044052828
"result.3251",2,11,12,134.048320182,99.726769604,124.982250218,1670788.46008298,1496,23.5,0.847960412107829
"result.2290",1,15,8,133.400743756,102.317075308,122.391944514,1670548.94014154,1492,23.5,0.846493824368636
"result.1009",0,15,3,134.15930415,103.40082954,120.41615592,1670434.99197441,1497,24,0.845796116345603
"result.2465",0,10,9,134.15930415,100.12865139,124.3427697,1670320.07487259,1496,24,0.845092475506634
"result.4088",7,15,15,134.332640996,100.115836214,124.194328468,1670267.75033182,1497,22.5,0.844772090784204
"result.2996",3,11,11,134.695896608,99.726769604,124.334673792,1670161.14595064,1499,23.5,0.84411934898137
"result.2035",2,15,7,134.048320182,102.317075308,121.744368088,1669776.61053445,1496,23.5,0.841764827168787
"result.2210",1,10,8,134.81373978,100.12865139,123.68833407,1669633.93568908,1500,24,0.84089122483884
"result.4037",4,12,15,133.89646655,99.30120725,125.5679782,1669561.98089113,1495,23,0.840450643466717
"result.754",1,15,2,134.81373978,103.40082954,119.76172029,1669460.71917951,1500,24,0.839830614988883
"result.3681",0,6,14,134.15930415,97.51090887,127.61494785,1669458.19660899,1496,24,0.839815169214369
"result.4001",0,10,15,132.75316733,99.079193178,126.924979496,1669453.99183781,1488,23.5,0.839789423275179
"result.2785",0,14,10,132.75316733,101.669498882,123.687097366,1669398.32110312,1488,23.5,0.83944854970768
"result.4081",0,15,15,131.33385475,101.2231661,125.5679782,1669304.29267058,1480,23,0.838872810813164
"result.3746",1,10,14,133.400743756,99.079193178,126.27740307,1669038.49806185,1492,23.5,0.83724534250311
"result.3426",1,6,13,134.81373978,97.51090887,126.96051222,1668998.80848734,1500,24,0.837002322055662
"result.3782",5,12,14,134.5371195,99.30120725,124.92732525,1668991.38554564,1498,23,0.836956871162421
"result.1780",3,15,6,134.695896608,102.317075308,121.096791662,1668918.46652657,1499,23.5,0.836510385835623
"result.3826",1,15,14,131.9745077,101.2231661,124.92732525,1668888.83615175,1484,23,0.836328958167639
"result.1249",0,14,4,134.15930415,102.74639391,121.07059155,1668883.61109991,1496,24,0.836296965019526
"result.2530",1,14,9,133.400743756,101.669498882,123.03952094,1668758.78656561,1492,23.5,0.83553266067616
"result.3491",2,10,13,134.048320182,99.079193178,125.629826644,1668539.90553068,1495,23.5,0.834192445576625
"result.3571",2,15,13,132.61516065,101.2231661,124.2866723,1668390.28832915,1487,23,0.833276334993011
"result.2705",0,9,10,134.15930415,99.47421576,124.99720533,1668136.64993812,1495,24,0.83172329956623
"result.2275",2,14,8,134.048320182,101.669498882,122.391944514,1668033.98075642,1495,23.5,0.831094653107105
"result.994",1,14,3,134.81373978,102.74639391,120.41615592,1667959.50942996,1499,24,0.830638662955916
"result.3236",3,10,12,134.695896608,99.079193178,124.982250218,1667958.21424433,1498,23.5,0.830630732495727
"result.3316",3,15,12,133.2558136,101.2231661,123.64601935,1667808.64920279,1490,23,0.829714941289276
"result.4073",8,14,15,134.966285529,99.482191681,124.194328468,1667525.19222732,1500,22.5,0.827979325781434
"result.2450",1,9,9,134.81373978,99.47421576,124.3427697,1667497.59873779,1499,24,0.827810370022696
