"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,117.7984134,76.56896871,212.03714412,1912512.0712307,1500,24,1
"result.3809",0,14,14,117.7984134,75.91453308,213.34601538,1907870.54145985,1499,24,0.97682273890705
"result.3057",0,15,11,117.7984134,76.56896871,211.38270849,1906609.25619603,1498,24,0.970524570131792
"result.3553",0,14,13,117.7984134,75.91453308,212.69157975,1902018.17783574,1496,24,0.947599235789853
"result.3794",1,13,14,118.45284903,75.26009745,213.34601538,1901931.28929534,1500,24,0.947165361940891
"result.3042",1,14,11,118.45284903,75.91453308,211.38270849,1900815.19197967,1500,24,0.941592182371317
"result.2801",0,15,10,117.7984134,76.56896871,210.72827286,1900706.44116137,1496,24,0.941049140263584
"result.2290",1,15,8,118.45284903,76.56896871,209.4194016,1899394.704487,1499,24,0.934499044737315
"result.4049",0,13,15,117.7984134,75.26009745,214.00045101,1897225.29383324,1494,24,0.923666194443872
"result.3297",0,14,12,117.7984134,75.91453308,212.03714412,1896165.81421163,1494,24,0.918375732672656
"result.3538",1,13,13,118.45284903,75.26009745,212.69157975,1896097.14423616,1498,24,0.918032832372669
"result.3828",3,15,14,118.506485958,75.766441842,211.109914876,1895516.82309868,1498,23.5,0.915135026005995
"result.2786",1,14,10,118.45284903,75.91453308,210.72827286,1894930.31522432,1498,24,0.912206326459025
"result.2545",0,15,9,117.7984134,76.56896871,210.07383723,1894803.62612671,1494,24,0.911573710395376
"result.2034",1,15,7,118.45284903,76.56896871,208.76496597,1893459.09603548,1497,24,0.904859862480951
"result.1985",0,12,7,119.01866508,75.378487884,210.927523114,1892325.09523951,1500,24.5,0.8991972827227
"result.3793",0,13,14,117.7984134,75.26009745,213.34601538,1891423.38161968,1492,24,0.894694618077685
"result.4034",1,12,15,118.45284903,74.60566182,214.00045101,1891176.16970797,1496,24,0.893460176997734
"result.1233",0,13,4,119.01866508,76.03970269,208.943878696,1890972.17073651,1500,24.5,0.892441517707011
"result.4083",2,15,15,117.858909532,75.766441842,211.757491302,1890941.50340096,1492,23.5,0.892288381806122
"result.3041",0,14,11,117.7984134,75.91453308,211.38270849,1890313.45058752,1492,24,0.889152229555457
