"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,114.59350145,94.8360012,127.23830161,1382773.62307071,1258,40,1
"result.3840",15,15,14,114.59350145,94.8360012,126.4480016,1374184.9670268,1254,40,0.97847866419295
"result.4095",14,15,15,113.80320144,94.8360012,127.23830161,1373237.25325643,1250,40,0.976103896103896
"result.4080",15,14,15,114.59350145,94.04570119,127.23830161,1371250.50954513,1253,40,0.971125541125541
"result.3584",15,15,13,114.59350145,94.8360012,125.65770159,1365596.31098288,1250,40,0.9569573283859
"result.3839",14,15,14,113.80320144,94.8360012,126.4480016,1364707.82932316,1246,40,0.954730983302412
"result.4094",13,15,15,113.01290143,94.8360012,127.23830161,1363700.88344215,1241,40,0.952207792207792
"result.3824",15,14,14,114.59350145,94.04570119,126.4480016,1362733.42563491,1249,40,0.94978354978355
"result.4079",14,14,15,113.80320144,94.04570119,127.23830161,1361793.6094793,1244,40,0.947428571428572
"result.4064",15,13,15,114.59350145,93.25540118,127.23830161,1359727.39601954,1248,40,0.942251082251083
"result.3328",15,15,12,114.59350145,94.8360012,124.86740158,1357007.65493896,1247,40,0.93543599257885
"result.3583",14,15,13,113.80320144,94.8360012,125.65770159,1356178.40538989,1242,40,0.933358070500928
"result.3838",13,15,14,113.01290143,94.8360012,126.4480016,1355230.69161953,1237,40,0.930983302411874
"result.3568",15,14,13,114.59350145,94.04570119,125.65770159,1354216.34172469,1245,40,0.928441558441558
"result.4093",12,15,15,112.22260142,94.8360012,127.23830161,1354164.51362787,1232,40,0.928311688311688
"result.3823",14,14,14,113.80320144,94.04570119,126.4480016,1353335.2640788,1241,40,0.926233766233766
"result.4078",13,14,15,113.01290143,94.04570119,127.23830161,1352336.70941347,1236,40,0.923731601731602
"result.3808",15,13,14,114.59350145,93.25540118,126.4480016,1351281.88424302,1244,40,0.92108843537415
"result.4063",14,13,15,113.80320144,93.25540118,127.23830161,1350349.96570216,1239,40,0.918753246753247
"result.3072",15,15,11,114.59350145,94.8360012,124.07710157,1348418.99889504,1243,40,0.9139146567718
"result.4048",15,12,15,114.59350145,92.46510117,127.23830161,1348204.28249395,1242,40,0.913376623376623
"result.3327",14,15,12,113.80320144,94.8360012,124.86740158,1347648.98145662,1238,40,0.911985157699444
"result.3582",13,15,13,113.01290143,94.8360012,125.65770159,1346760.49979691,1233,40,0.909758812615955
"result.3837",12,15,14,112.22260142,94.8360012,126.4480016,1345753.5539159,1228,40,0.907235621521336
"result.3312",15,14,12,114.59350145,94.04570119,124.86740158,1345699.25781447,1241,40,0.907099567099567
"result.3567",14,14,13,113.80320144,94.04570119,125.65770159,1344876.91867831,1237,40,0.905038961038961
"result.4092",11,15,15,111.43230141,94.8360012,127.23830161,1344628.14381359,1224,40,0.904415584415585
"result.3822",13,14,14,113.01290143,94.04570119,126.4480016,1343937.1025227,1232,40,0.902683982683983
"result.4077",12,14,15,112.22260142,94.04570119,127.23830161,1342879.80934764,1227,40,0.900034632034632
"result.3552",15,13,13,114.59350145,93.25540118,125.65770159,1342836.3724665,1240,40,0.899925788497217
"result.3807",14,13,14,113.80320144,93.25540118,126.4480016,1341962.69883444,1235,40,0.897736549165121
"result.4062",13,13,15,113.01290143,93.25540118,127.23830161,1340972.53538478,1231,40,0.895255411255411
"result.2816",15,15,10,114.59350145,94.8360012,123.28680156,1339830.34285113,1239,40,0.89239332096475
"result.3792",15,12,14,114.59350145,92.46510117,126.4480016,1339830.34285113,1239,40,0.89239332096475
"result.3071",14,15,11,113.80320144,94.8360012,124.07710157,1339119.55752335,1234,40,0.890612244897959
"result.4047",14,12,15,113.80320144,92.46510117,127.23830161,1338906.32192502,1234,40,0.890077922077922
"result.3326",13,15,12,113.01290143,94.8360012,124.86740158,1338290.30797429,1229,40,0.888534322820037
"result.3581",12,15,13,112.22260142,94.8360012,125.65770159,1337342.59420392,1225,40,0.886159554730984
"result.3056",15,14,11,114.59350145,94.04570119,124.07710157,1337182.17390425,1237,40,0.885757575757576
"result.4032",15,11,15,114.59350145,91.67480116,127.23830161,1336681.16896836,1237,40,0.884502164502164
"result.3311",14,14,12,113.80320144,94.04570119,124.86740158,1336418.57327782,1233,40,0.883844155844156
"result.3836",11,15,14,111.43230141,94.8360012,126.4480016,1336276.41621226,1220,40,0.883487940630798
"result.3566",13,14,13,113.01290143,94.04570119,125.65770159,1335537.49563193,1228,40,0.881636363636364
"result.4091",10,15,15,110.6420014,94.8360012,127.23830161,1335091.77399931,1215,40,0.88051948051948
"result.3821",12,14,14,112.22260142,94.04570119,126.4480016,1334538.9409666,1223,40,0.879134199134199
"result.3296",15,13,12,114.59350145,93.25540118,124.86740158,1334390.86068998,1236,40,0.878763141620285
"result.3551",14,13,13,113.80320144,93.25540118,125.65770159,1333575.43196673,1231,40,0.876719851576995
"result.4076",11,14,15,111.43230141,94.04570119,127.23830161,1333422.90928181,1218,40,0.876337662337662
"result.3806",13,13,14,113.01290143,93.25540118,126.4480016,1332643.51342587,1227,40,0.874384662956092
"result.4061",12,13,15,112.22260142,93.25540118,127.23830161,1331595.10506741,1222,40,0.871757575757576
"result.3536",15,12,13,114.59350145,92.46510117,125.65770159,1331456.40320831,1235,40,0.871410018552876
"result.2560",15,15,9,114.59350145,94.8360012,122.49650155,1331241.68680721,1235,40,0.870871985157699
"result.2815",14,15,10,113.80320144,94.8360012,123.28680156,1330590.13359008,1230,40,0.869239332096475
