"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,110.27393676,147.03191568,125.82538938,2040106.20999099,1499,28,1
"result.3825",0,15,14,110.27393676,147.73879989,125.11850517,2038398.03981732,1499,28,0.991840710471368
"result.4049",0,13,15,110.27393676,146.32503147,125.82538938,2030298.00705834,1496,28,0.953149885932374
"result.3809",0,14,14,110.27393676,147.03191568,125.11850517,2028644.93914834,1495,28,0.945253799291763
"result.3314",1,15,12,110.98082097,147.73879989,123.70473675,2028284.30189704,1500,28,0.94353117013363
"result.3569",0,15,13,110.27393676,147.73879989,124.41162096,2026881.66671101,1495,28,0.936831306875112
"result.3953",0,7,15,111.253739376,143.346164196,126.943369288,2024467.05749825,1500,28.5,0.925297622486274
"result.2529",0,14,9,111.253739376,148.338319168,122.664379312,2024353.88923521,1500,28.5,0.924757060054134
"result.4018",1,11,15,110.98082097,144.91126305,125.82538938,2023570.58581607,1498,28,0.921015512821888
"result.3713",0,8,14,111.253739376,144.059329192,126.230204292,2023109.03834178,1500,28.5,0.918810873300594
"result.2289",0,15,8,111.253739376,149.051484164,121.951214316,2022260.27636899,1499,28.5,0.914756655059544
"result.3828",3,15,14,111.385649007,146.412582657,123.995345121,2022148.39423356,1500,27.5,0.914222235977551
"result.3778",1,12,14,110.98082097,145.61814726,125.11850517,2022017.83228352,1498,28,0.913598590413313
"result.3473",0,9,13,111.253739376,144.772494188,125.517039296,2021637.85092228,1499,28.5,0.911783561682774
"result.4083",2,15,15,110.685110334,146.412582657,124.695883794,2020783.19437958,1495,27.5,0.907701187287688
"result.4033",0,12,15,110.27393676,145.61814726,125.82538938,2020489.80412569,1492,28,0.906299771864749
"result.3538",1,13,13,110.98082097,146.32503147,124.41162096,2020354.16778436,1497,28,0.905651887832698
"result.3233",0,10,12,111.253739376,145.485659184,124.8038743,2020053.49523974,1499,28.5,0.904215687632813
"result.3793",0,13,14,110.27393676,146.32503147,125.11850517,2018891.83847936,1492,28,0.898666888112158
"result.3298",1,14,12,110.98082097,147.03191568,123.70473675,2018579.59231858,1496,28,0.897175405080042
"result.2993",0,11,11,111.253739376,146.19882418,124.090709304,2018355.97129416,1498,28.5,0.896107251150714
"result.3553",0,14,13,110.27393676,147.03191568,124.41162096,2017183.6683057,1491,28,0.890507598583526
"result.3058",1,15,11,110.98082097,147.73879989,122.99785254,2016694.1058862,1496,28,0.888169142155346
"result.3987",2,9,15,111.68770518,143.49749463,125.82538938,2016591.67219092,1500,28,0.887679854735307
"result.2753",0,12,10,111.253739376,146.911989176,123.377544308,2016545.27908554,1497,28.5,0.887458252236474
"result.3313",0,15,12,110.27393676,147.73879989,123.70473675,2015365.2936047,1490,28,0.881821903278854
"result.3747",2,10,14,111.68770518,144.20437884,125.11850517,2015140.64591437,1500,28,0.880748845350772
"result.2513",0,13,9,111.253739376,147.625154172,122.664379312,2014621.41861388,1497,28.5,0.878268690890094
"result.3937",0,6,15,111.253739376,142.6329992,126.943369288,2014395.08208781,1497,28.5,0.877187566025814
"result.4052",3,13,15,111.385649007,145.011505311,124.695883794,2014112.93309355,1497,27.5,0.875839845892389
"result.4002",1,10,15,110.98082097,144.20437884,125.82538938,2013699.5097877,1494,28,0.873865077510238
"result.3507",2,11,13,111.68770518,144.91126305,124.41162096,2013578.00223192,1499,28,0.873284681398194
"result.3697",0,7,14,111.253739376,143.346164196,126.230204292,2013093.64706286,1496,28.5,0.870971098056204
"result.2273",0,14,8,111.253739376,148.338319168,121.951214316,2012584.38987919,1496,28.5,0.868538567111574
"result.3812",3,14,14,111.385649007,145.712043984,123.995345121,2012473.04306498,1497,27.5,0.868006705058682
"result.3762",1,11,14,110.98082097,144.91126305,125.11850517,2012202.21173846,1494,28,0.866713045187685
"result.3267",2,12,12,111.68770518,145.61814726,123.70473675,2011903.74114359,1499,28,0.865287362877575
"result.3457",0,8,13,111.253739376,144.059329192,125.517039296,2011679.04377488,1496,28.5,0.864214067654454
"result.2962",1,9,11,111.966904372,144.772494188,124.090709304,2011476.64668906,1500,28.5,0.863247292535434
"result.1778",1,15,6,111.966904372,149.051484164,120.524884324,2011419.69983875,1500,28.5,0.862975278747467
"result.4067",2,14,15,110.685110334,145.712043984,124.695883794,2011114.37526772,1491,27.5,0.861516857558722
"result.3572",3,15,13,111.385649007,146.412582657,123.294806448,2010723.8270345,1496,27.5,0.859651354836062
"result.4017",0,11,15,110.27393676,144.91126305,125.82538938,2010681.60119304,1489,28,0.859449657797123
"result.3522",1,12,13,110.98082097,145.61814726,124.41162096,2010594.0027226,1493,28,0.85903123269309
"result.2033",0,15,7,111.253739376,149.051484164,121.23804932,2010434.19288145,1495,28.5,0.858267880900914
"result.3217",0,9,12,111.253739376,144.772494188,124.8038743,2010151.27222386,1495,28.5,0.856916474820564
"result.3027",2,13,11,111.68770518,146.32503147,122.99785254,2010117.86264938,1498,28,0.856756889788914
"result.2722",1,10,10,111.966904372,145.485659184,123.377544308,2009768.24117973,1500,28.5,0.855086878896397
"result.3827",2,15,14,110.685110334,146.412582657,123.995345121,2009430.47980442,1491,27.5,0.853473519235138
"result.3777",0,12,14,110.27393676,145.61814726,125.11850517,2009138.73781038,1488,28,0.852079976932553
"result.3282",1,13,12,110.98082097,146.32503147,123.70473675,2008874.88274013,1493,28,0.850819640026455
"result.2977",0,10,11,111.253739376,145.485659184,124.090709304,2008510.3324098,1494,28.5,0.849078319554533
"result.2787",2,14,10,111.68770518,147.03191568,122.29096833,2008220.36674927,1497,28,0.847693262132213
"result.4082",1,15,15,109.984571661,146.412582657,124.695883794,2007993.42732655,1486,27.5,0.846609257456335
"result.2482",1,11,9,111.966904372,146.19882418,122.664379312,2007945.94196977,1499,28.5,0.846382437681425
"result.3537",0,13,13,110.27393676,146.32503147,124.41162096,2007485.66990038,1487,28,0.844183890291941
"result.4021",4,11,15,112.08618768,143.610427965,124.695883794,2007197.89157684,1499,27.5,0.842809280959647
"result.3042",1,14,11,110.98082097,147.03191568,122.99785254,2007044.85179105,1492,28,0.842078267187779
"result.3906",1,4,15,111.966904372,141.206669208,126.943369288,2007034.79236479,1499,28.5,0.84203021707394
"result.2737",0,11,10,111.253739376,146.19882418,123.377544308,2006756.2243327,1494,28.5,0.840699601856364
"result.3971",2,8,15,111.68770518,142.79061042,125.82538938,2006657.72306683,1497,28,0.840229098179635
"result.2177",0,8,8,112.22625804,145.31861618,123.01724439,2006234.66689106,1500,29,0.838208317183609
"result.2547",2,15,9,111.68770518,147.73879989,121.58408412,2006211.25344327,1496,28,0.83809647990747
"result.2242",1,12,8,111.966904372,146.911989176,121.951214316,2006009.74905919,1498,28.5,0.837133968890517
"result.3666",1,5,14,111.966904372,141.919834204,126.230204292,2005838.90850826,1498,28.5,0.836317927526614
"result.3297",0,14,12,110.27393676,147.03191568,123.70473675,2005722.39746305,1487,28,0.835761397875289
"result.3781",4,12,14,112.08618768,144.310966638,123.995345121,2005657.70136132,1499,27.5,0.835452368813944
"result.3841",0,0,15,112.22625804,139.56342346,128.05303802,2005653.85666963,1500,29,0.83543400416084
"result.993",0,14,3,112.22625804,149.63501072,119.42024894,2005421.53258105,1500,29,0.834324278951732
"result.3731",2,9,14,111.68770518,143.49749463,125.11850517,2005262.50549322,1496,28,0.83356466607912
"result.2802",1,15,10,110.98082097,147.73879989,122.29096833,2005103.90987536,1491,28,0.83280711417706
"result.2497",0,12,9,111.253739376,146.911989176,122.664379312,2004888.94799256,1493,28.5,0.831780321726054
"result.3601",0,1,14,112.22625804,140.28282255,127.33363893,2004666.47929318,1499,29,0.830717672022132
"result.3426",1,6,13,111.966904372,142.6329992,125.517039296,2004529.1309511,1498,28.5,0.830061610403353
"result.4036",3,12,15,111.385649007,144.310966638,124.695883794,2004382.91892401,1494,27.5,0.829363210279063
"result.1937",0,9,7,112.22625804,146.03801527,122.2978453,2004376.07418246,1499,29,0.829330515510748
"result.3921",0,5,15,111.253739376,141.919834204,126.943369288,2004323.10667737,1493,28.5,0.829077509565354
"result.3541",4,13,13,112.08618768,145.011505311,123.294806448,2004007.49755898,1498,27.5,0.827569962943547
"result.2002",1,13,7,111.966904372,147.625154172,121.23804932,2003959.66244799,1497,28.5,0.827341472523673
"result.3057",0,15,11,110.27393676,147.73879989,122.99785254,2003848.92049839,1486,28,0.826812499682597
"result.3986",1,9,15,110.98082097,143.49749463,125.82538938,2003828.43375933,1491,28,0.826714642198589
"result.3491",2,10,13,111.68770518,144.20437884,124.41162096,2003755.67051372,1495,28,0.826367079410563
"result.3361",0,2,13,112.22625804,141.00222164,126.61423984,2003562.93987245,1499,29,0.825446477278871
"result.2996",3,11,11,112.39458939,144.91126305,122.99785254,2003295.77854389,1500,28,0.824170347614392
"result.4086",5,15,15,111.75712765,145.07602285,123.5575697,2003273.42481117,1496,27,0.824063572200507
"result.3186",1,7,12,111.966904372,143.346164196,124.8038743,2003105.45969333,1497,28.5,0.823261265704155
"result.3681",0,6,14,111.253739376,142.6329992,126.230204292,2003078.25578394,1492,28.5,0.823131322811814
"result.753",0,15,2,112.22625804,150.35440981,118.70084985,2002924.04862887,1499,29,0.822394732953824
"result.2257",0,13,8,111.253739376,147.625154172,121.951214316,2002908.50338938,1492,28.5,0.822320479163604
"result.3796",3,13,14,111.385649007,145.011505311,123.995345121,2002797.69189639,1493,27.5,0.821791174139813
"result.1697",0,10,6,112.22625804,146.75741436,121.57844621,2002401.31942957,1499,29,0.819897851233331
"result.3746",1,10,14,110.98082097,144.20437884,125.11850517,2002386.59119339,1490,28,0.819827499962056
"result.3121",0,3,12,112.22625804,141.72162073,125.89484075,2002343.23840743,1499,29,0.819620419931054
"result.3301",4,14,12,112.08618768,145.712043984,122.594267775,2002247.28016982,1498,27.5,0.819162063348457
"result.3251",2,11,12,111.68770518,144.91126305,123.70473675,2002137.21812833,1495,28,0.818636338173964
"result.1762",1,14,6,111.966904372,148.338319168,120.524884324,2001795.68213617,1497,28.5,0.817004948580894
"result.3441",0,7,13,111.253739376,143.346164196,125.517039296,2001720.23662748,1492,28.5,0.816644573626134
"result.2946",1,8,11,111.966904372,144.059329192,124.090709304,2001567.89473493,1497,28.5,0.815916893429022
"result.2756",3,12,10,112.39458939,145.61814726,122.29096833,2001498.59702122,1499,28,0.815585884189728
"result.4051",2,13,15,110.685110334,145.011505311,124.695883794,2001445.55615585,1488,27.5,0.815332527829756
"result.3556",3,14,13,111.385649007,145.712043984,123.294806448,2001103.13886687,1492,27.5,0.813696928611649
"result.2881",0,4,11,112.22625804,142.44101982,125.17544166,2001007.37489812,1498,29,0.813239499978686
"result.4001",0,10,15,110.27393676,144.20437884,125.82538938,2000873.39826039,1485,28,0.812599543729497
"result.3506",1,11,13,110.98082097,144.91126305,124.41162096,2000833.83766084,1490,28,0.812410577553482
"result.2017",0,14,7,111.253739376,148.338319168,121.23804932,2000814.89052317,1491,28.5,0.812320074169013
"result.3011",2,12,11,111.68770518,145.61814726,122.99785254,2000407.14833706,1494,28,0.810372442369325
"result.3061",4,15,11,112.08618768,146.412582657,121.893729102,2000377.04919384,1497,27.5,0.810228670028675
"result.1457",0,11,5,112.22625804,147.47681345,120.85904712,2000310.4026324,1498,29,0.809910324351362
"result.3201",0,8,12,111.253739376,144.059329192,124.8038743,2000249.04920798,1491,28.5,0.809617262008314
"result.2706",1,9,10,111.966904372,144.772494188,123.377544308,1999916.4360759,1496,28.5,0.808028493577954
"result.3811",2,14,14,110.685110334,145.712043984,123.995345121,1999815.97990104,1487,27.5,0.807548652032739
"result.2516",3,13,9,112.39458939,146.32503147,121.58408412,1999589.09165339,1499,28,0.806464891801023
"result.2641",0,5,10,112.22625804,143.16041891,124.45604257,1999555.34934453,1498,29,0.806303717421762
"result.1522",1,15,5,111.966904372,149.051484164,119.811719328,1999517.80812373,1496,28.5,0.806124397062179
"result.3875",2,2,15,112.680069368,139.780339216,126.943369288,1999416.24686203,1500,28.5,0.805639276930771
"result.3761",0,11,14,110.27393676,144.91126305,125.11850517,1999385.63714139,1484,28,0.805493065752946
"result.3940",3,6,15,112.39458939,141.376842,125.82538938,1999364.44396306,1499,28,0.80539183387294
"result.3316",3,15,12,111.385649007,146.412582657,122.594267775,1999299.25983544,1492,27.5,0.805080473694572
"result.2211",2,10,8,112.680069368,145.485659184,121.951214316,1999187.00858561,1500,28.5,0.804544291491308
"result.3266",1,12,12,110.98082097,145.61814726,123.70473675,1999170.17316167,1489,28,0.804463874972867
"result.2961",0,9,11,111.253739376,144.772494188,124.090709304,1998664.69352544,1491,28.5,0.802049387958354
"result.1777",0,15,6,111.253739376,149.051484164,120.524884324,1998608.10939392,1491,28.5,0.801779106742284
"result.2771",2,13,10,111.68770518,146.32503147,122.29096833,1998565.4611399,1494,28,0.801575391996644
"result.4066",1,14,15,109.984571661,145.712043984,124.695883794,1998385.80327235,1482,27.5,0.80071723361173
"result.3635",2,3,14,112.680069368,140.493504212,126.230204292,1998327.36504907,1500,28.5,0.800438096093322
"result.2466",1,10,9,111.966904372,145.485659184,122.664379312,1998151.08371626,1495,28.5,0.79959606615095
"result.1217",0,12,4,112.22625804,148.19621254,120.13964803,1998103.32379093,1497,29,0.799367934864838
"result.3571",2,15,13,110.685110334,146.412582657,123.294806448,1998077.76522925,1487,27.5,0.799245851182589
"result.3700",3,7,14,112.39458939,142.08372621,125.11850517,1998072.71974365,1498,28,0.799221750786462
"result.2401",0,6,9,112.22625804,143.879818,123.73664348,1997987.16174664,1497,29,0.798813072260285
"result.3521",0,12,13,110.27393676,145.61814726,124.41162096,1997787.67149506,1484,28,0.797860182000357
"result.2276",3,14,8,112.39458939,147.03191568,120.87719991,1997567.2624404,1498,28,0.796807370448275
"result.4005",4,10,15,112.08618768,142.909889292,124.695883794,1997406.68234963,1496,27.5,0.796040339461961
"result.3026",1,13,11,110.98082097,146.32503147,122.99785254,1997395.5976959,1488,28,0.795987392220211
"result.1971",2,11,7,112.680069368,146.19882418,121.23804932,1997238.48323611,1500,28.5,0.795236915255871
"result.3395",2,4,13,112.680069368,141.206669208,125.517039296,1997123.86409791,1500,28.5,0.79468942253614
"result.3510",5,11,13,112.786726353,143.610427965,123.294806448,1997049.13819246,1500,27.5,0.794332484856708
"result.2721",0,10,10,111.253739376,145.485659184,123.377544308,1996967.16957986,1490,28.5,0.793940951476254
"result.3890",1,3,15,111.966904372,140.493504212,126.943369288,1996898.25300942,1495,28.5,0.793611762815656
"result.3955",2,7,15,111.68770518,142.08372621,125.82538938,1996723.77394273,1493,28,0.792778341623963
"result.3826",1,15,14,109.984571661,146.412582657,123.995345121,1996712.56537527,1481,27.5,0.792724802492726
"result.3460",3,8,13,112.39458939,142.79061042,124.41162096,1996668.67167907,1498,28,0.792515138735942
"result.2531",2,14,9,111.68770518,147.03191568,121.58408412,1996612.15653684,1493,28,0.792245187055922
"result.4055",6,13,15,112.4512713,143.68773555,123.5575697,1996426.96744681,1498,27,0.791360608091598
"result.2161",0,7,8,112.22625804,144.59921709,123.01724439,1996302.81210447,1496,29,0.790767564494254
"result.2226",1,11,8,111.966904372,146.19882418,121.951214316,1996271.83765599,1495,28.5,0.79061961114801
"result.3281",0,13,12,110.27393676,146.32503147,123.70473675,1996079.5013214,1483,28,0.789700892471725
"result.3765",4,11,14,112.08618768,143.610427965,123.995345121,1995921.49892753,1495,27.5,0.788946174178604
"result.3155",2,5,12,112.680069368,141.919834204,124.8038743,1995805.74400854,1499,28.5,0.788393256259228
"result.977",0,13,3,112.22625804,148.91561163,119.42024894,1995780.08290518,1496,29,0.788270682773762
"result.3650",1,4,14,111.966904372,141.206669208,126.230204292,1995759.31600319,1494,28.5,0.788171487056299
"result.2786",1,14,10,110.98082097,147.03191568,122.29096833,1995510.11126351,1488,28,0.786981129295514
"result.2036",3,15,7,112.39458939,147.73879989,120.1703157,1995433.10938224,1497,28,0.786613320131486
"result.3270",5,12,12,112.786726353,144.310966638,122.594267775,1995388.62061636,1500,27.5,0.786400813949622
"result.3715",2,8,14,111.68770518,142.79061042,125.11850517,1995384.36507207,1492,28,0.786380486807468
"result.4081",0,15,15,109.284032988,146.412582657,124.695883794,1995203.66027351,1476,27.5,0.785517327624981
"result.1731",2,12,6,112.680069368,146.911989176,120.524884324,1995175.33874841,1499,28.5,0.785382046300704
"result.2481",0,11,9,111.253739376,146.19882418,122.664379312,1995156.47737124,1489,28.5,0.785291952562014
"result.3220",3,9,12,112.39458939,143.49749463,123.70473675,1995152.29976932,1497,28,0.785271997721382
"result.3815",6,14,14,112.4512713,144.3818792,122.86342605,1994801.47732513,1497,27,0.783596250223044
"result.3090",1,1,12,112.94565713,140.28282255,125.89484075,1994720.10425106,1500,29,0.783207561507208
"result.4020",3,11,15,111.385649007,143.610427965,124.695883794,1994652.90475448,1490,27.5,0.782886574665736
"result.2291",2,15,8,111.68770518,147.73879989,120.87719991,1994547.2345279,1492,28,0.782381827547159
"result.3410",1,5,13,111.966904372,141.919834204,125.517039296,1994506.48529635,1494,28.5,0.782187183721004
"result.1921",0,8,7,112.22625804,145.31861618,122.2978453,1994502.30041802,1496,29,0.782167194123669
"result.3585",0,0,14,112.22625804,139.56342346,127.33363893,1994386.13837373,1496,29,0.781612331519115
"result.2915",2,6,11,112.680069368,142.6329992,124.090709304,1994373.00478097,1499,28.5,0.781549597262584
"result.3525",4,12,13,112.08618768,144.310966638,123.294806448,1994326.3019186,1495,27.5,0.781326515170554
"result.1986",1,12,7,111.966904372,146.911989176,121.23804932,1994278.6978951,1494,28.5,0.781099128569134
"result.3041",0,14,11,110.27393676,147.03191568,122.99785254,1994261.1266204,1482,28,0.781015197167052
"result.3905",0,4,15,111.253739376,141.206669208,126.943369288,1994251.13126693,1489,28.5,0.780967453104894
"result.482",1,14,1,112.94565713,149.63501072,117.98145076,1993960.21087801,1500,29,0.779577835302418
"result.3970",1,8,15,110.98082097,142.79061042,125.82538938,1993957.35773096,1487,28,0.77956420688694
"result.3475",2,9,13,111.68770518,143.49749463,124.41162096,1993933.33879552,1492,28,0.779449477422931
"result.4070",5,14,15,111.75712765,144.3818792,123.5575697,1993688.38450107,1492,27,0.778279422448035
"result.3030",5,13,11,112.786726353,145.011505311,121.893729102,1993617.40186851,1499,27.5,0.777940364982063
"result.2980",3,10,11,112.39458939,144.20437884,122.99785254,1993523.60401441,1496,28,0.77749232774278
"result.2546",1,15,9,110.98082097,147.73879989,121.58408412,1993513.71386452,1487,28,0.777445086198776
"result.1426",1,9,5,112.94565713,146.03801527,120.85904712,1993492.5841869,1500,29,0.777344157637931
"result.2850",1,2,11,112.94565713,141.00222164,125.17544166,1993492.5841869,1500,29,0.777344157637931
"result.737",0,14,2,112.22625804,149.63501072,118.70084985,1993340.67997514,1495,29,0.776618568078131
"result.3345",0,1,13,112.22625804,140.28282255,126.61423984,1993340.67997514,1495,29,0.776618568078131
"result.2241",0,12,8,111.253739376,146.911989176,121.951214316,1993232.61689958,1489,28.5,0.776102391215635
"result.3170",1,6,12,111.966904372,142.6329992,124.8038743,1993139.76088888,1493,28.5,0.775658852809776
"result.3780",3,12,14,111.385649007,144.310966638,123.995345121,1993122.34072781,1489,27.5,0.775575643220943
"result.3575",6,15,13,112.4512713,145.07602285,122.1692824,1993067.62119534,1497,27,0.775314268496588
"result.3665",0,5,14,111.253739376,141.919834204,126.230204292,1993062.86450502,1489,28.5,0.775291547567424
