"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,146.970971802,71.368620052,145.15651536,1522563.44723546,1495,20.5,1
"result.3826",1,15,14,147.575790616,71.368620052,144.551696546,1522459.01901548,1498,20.5,0.999331772400126
"result.3825",0,15,14,146.970971802,71.368620052,144.551696546,1516219.43287198,1492,20.5,0.959405173307631
"result.3570",1,15,13,147.575790616,71.368620052,143.946877732,1516088.89759701,1495,20.5,0.958569888807789
"result.3315",2,15,12,148.18060943,71.368620052,143.342058918,1515906.14821205,1498,20.5,0.957400490508009
"result.4066",1,14,15,147.575790616,70.763801238,145.15651536,1515872.96127774,1495,20.5,0.957188130041948
"result.3811",2,14,14,148.18060943,70.763801238,144.551696546,1515743.53223391,1498,20.5,0.956359924224306
"result.2017",0,14,7,148.75422147,71.62240293,142.02049128,1513105.45670721,1500,21,0.939479095671257
"result.2513",0,13,9,148.75422147,71.01024564,143.24480586,1513105.45670721,1500,21,0.939479095671257
"result.1521",0,15,5,148.75422147,72.23456022,140.7961767,1512882.48213357,1500,21,0.938052299693974
"result.3009",0,12,11,148.75422147,70.39808835,144.46912044,1512882.48213357,1500,21,0.938052299693974
"result.3505",0,11,13,148.75422147,69.78593106,145.69343502,1512436.53298629,1499,21,0.935198707739409
"result.4001",0,10,15,148.75422147,69.17377377,146.9177496,1511767.60926538,1499,21,0.930918319807561
"result.3569",0,15,13,146.970971802,71.368620052,143.946877732,1509875.4185085,1489,20.5,0.918810346615264
"result.3314",1,15,12,147.575790616,71.368620052,143.342058918,1509718.77617854,1492,20.5,0.917808005215453
"result.4065",0,14,15,146.970971802,70.763801238,145.15651536,1509660.36717414,1489,20.5,0.917434250795184
"result.3810",1,14,14,147.575790616,70.763801238,144.551696546,1509556.82393908,1492,20.5,0.916771686141071
"result.3059",2,15,11,148.18060943,71.368620052,142.737240104,1509509.91973859,1495,20.5,0.916471550015704
"result.3555",2,14,13,148.18060943,70.763801238,143.946877732,1509401.50908649,1495,20.5,0.915777839159901
"result.2804",3,15,10,148.785428244,71.368620052,142.13242129,1509248.84918865,1498,20.5,0.914800981016017
"result.3300",3,14,12,148.785428244,70.763801238,143.342058918,1509194.42261637,1498,20.5,0.914452709851676
"result.4051",2,13,15,148.18060943,70.158982424,145.15651536,1509076.27713021,1495,20.5,0.913696706592497
"result.3796",3,13,14,148.785428244,70.158982424,144.551696546,1508922.289755,1498,20.5,0.912711354029971
"result.2257",0,13,8,148.75422147,71.01024564,142.63264857,1506639.19407171,1497,21,0.898102012330063
"result.1761",0,14,6,148.75422147,71.62240293,141.40833399,1506583.4504283,1497,21,0.897745313335742
"result.2753",0,12,10,148.75422147,70.39808835,143.85696315,1506471.96314148,1496,21,0.897031915347101
"result.2002",1,13,7,149.36637876,71.01024564,142.02049128,1506346.48259438,1499,21,0.896228975635604
"result.1265",0,15,4,148.75422147,72.23456022,140.18401941,1506304.73221125,1496,21,0.895961818364139
"result.1506",1,14,5,149.36637876,71.62240293,140.7961767,1506234.53651214,1499,21,0.895512641852772
"result.2498",1,12,9,149.36637876,70.39808835,143.24480586,1506234.53651214,1499,21,0.895512641852772
"result.3249",0,11,12,148.75422147,69.78593106,145.08127773,1506081.75763761,1496,21,0.894535022386856
"result.1010",1,15,3,149.36637876,72.23456022,139.57186212,1505898.69826543,1499,21,0.893363640504271
"result.2994",1,11,11,149.36637876,69.78593106,144.46912044,1505898.69826543,1499,21,0.893363640504271
"result.3745",0,10,14,148.75422147,69.17377377,146.30559231,1505468.57756011,1496,21,0.890611333449329
"result.3490",1,10,13,149.36637876,69.17377377,145.69343502,1505338.96785424,1499,21,0.889781971590106
"result.3986",1,9,15,149.36637876,68.56161648,146.9177496,1504555.34527857,1499,21,0.884767635110274
"result.3313",0,15,12,146.970971802,71.368620052,143.342058918,1503531.40414502,1486,20.5,0.878215519922896
"result.4087",6,15,15,148.75260249,70.49320118,143.3760024,1503447.51896145,1495,20,0.8776787455252
"result.3809",0,14,14,146.970971802,70.763801238,144.551696546,1503370.11564425,1486,20.5,0.877183448057837
"result.3058",1,15,11,147.575790616,71.368620052,142.737240104,1503348.65476006,1489,20.5,0.877046121623116
"result.3554",1,14,13,147.575790616,70.763801238,143.946877732,1503240.68660043,1489,20.5,0.876355242240195
"result.3832",7,15,14,149.3500025,70.49320118,142.77860239,1503195.93805132,1498,20,0.876068899950955
"result.2803",2,15,10,148.18060943,71.368620052,142.13242129,1503113.69126512,1492,20.5,0.875542609523399
"result.3299",2,14,12,148.18060943,70.763801238,143.342058918,1503059.48593907,1492,20.5,0.875195754095498
"result.4050",1,13,15,147.575790616,70.158982424,145.15651536,1502916.78212152,1489,20.5,0.874282604091432
"result.2548",3,15,9,148.785428244,71.368620052,141.527602476,1502826.51366019,1495,20.5,0.873704983623745
"result.3044",3,14,11,148.785428244,70.763801238,142.737240104,1502826.51366019,1495,20.5,0.873704983623745
"result.3795",2,13,14,148.18060943,70.158982424,144.551696546,1502788.45930884,1492,20.5,0.873461476955994
"result.3540",3,13,13,148.785428244,70.158982424,143.946877732,1502608.80737108,1495,20.5,0.872311898966379
"result.2789",4,14,10,149.390247058,70.763801238,142.13242129,1502541.76976377,1498,20.5,0.871882930824934
"result.2293",4,15,8,149.390247058,71.368620052,140.922783662,1502487.12194527,1498,20.5,0.871533243924152
"result.3285",4,13,12,149.390247058,70.158982424,143.342058918,1502377.82630826,1498,20.5,0.87083387012259
"result.4036",3,12,15,148.785428244,69.55416361,145.15651536,1502173.39479288,1494,20.5,0.869525729651648
"result.3781",4,12,14,149.390247058,69.55416361,144.551696546,1501995.29157873,1497,20.5,0.868386061817117
"result.3526",5,12,13,149.995065872,69.55416361,143.946877732,1501766.30173196,1500,20.5,0.866920774601292
"result.4022",5,11,15,149.995065872,68.949344796,145.15651536,1501217.61108464,1500,20.5,0.863409748229069
"result.2001",0,13,7,148.75422147,71.01024564,142.02049128,1500172.93143621,1493,21,0.856724928988868
"result.1505",0,14,5,148.75422147,71.62240293,140.7961767,1500061.44414939,1493,21,0.856011531000226
"result.2497",0,12,9,148.75422147,70.39808835,143.24480586,1500061.44414939,1493,21,0.856011531000226
"result.1746",1,13,6,149.36637876,71.01024564,141.40833399,1499853.60982458,1496,21,0.854681616231278
"result.2242",1,12,8,149.36637876,70.39808835,142.63264857,1499797.63678346,1496,21,0.854323449339861
"result.1009",0,15,3,148.75422147,72.23456022,139.57186212,1499726.98228893,1493,21,0.853871337034302
"result.2993",0,11,11,148.75422147,69.78593106,144.46912044,1499726.98228893,1493,21,0.853871337034302
"result.1250",1,14,4,149.36637876,71.62240293,140.18401941,1499685.69070122,1496,21,0.853607115557028
"result.2738",1,11,10,149.36637876,69.78593106,143.85696315,1499517.77157786,1496,21,0.852532614882779
"result.1491",2,13,5,149.97853605,71.01024564,140.7961767,1499481.06794434,1499,21,0.852297751347423
"result.1987",2,12,7,149.97853605,70.39808835,142.02049128,1499481.06794434,1499,21,0.852297751347423
"result.754",1,15,2,149.36637876,72.23456022,138.95970483,1499293.87941339,1496,21,0.851099947317112
"result.995",2,14,3,149.97853605,71.62240293,139.57186212,1499256.25818903,1499,21,0.850859212193373
"result.2483",2,11,9,149.97853605,69.78593106,143.24480586,1499256.25818903,1499,21,0.850859212193373
"result.3489",0,10,13,148.75422147,69.17377377,145.69343502,1499169.54585484,1493,21,0.850304347091096
"result.3234",1,10,12,149.36637876,69.17377377,145.08127773,1499014.01420779,1496,21,0.849309112860029
"result.499",2,15,1,149.97853605,72.23456022,138.34754754,1498806.6386784,1499,21,0.847982133885272
"result.2979",2,10,11,149.97853605,69.17377377,144.46912044,1498806.6386784,1499,21,0.847982133885272
"result.3985",0,9,15,148.75422147,68.56161648,146.9177496,1498389.1348471,1492,21,0.845310561170607
"result.3730",1,9,14,149.36637876,68.56161648,146.30559231,1498286.36467325,1495,21,0.844652943271612
"result.3475",2,9,13,149.97853605,68.56161648,145.69343502,1498132.20941246,1498,21,0.843666516423121
"result.4086",5,15,15,148.15520248,70.49320118,143.3760024,1497409.57711823,1489,20,0.839042451743299
"result.3971",2,8,15,149.97853605,67.94945919,146.9177496,1497232.9703912,1498,21,0.837912359806919
"result.3057",0,15,11,146.970971802,71.368620052,142.737240104,1497187.38978154,1483,20.5,0.837620693230528
"result.3831",6,15,14,148.75260249,70.49320118,142.77860239,1497183.15429911,1492,20,0.837593590726478
"result.3553",0,14,13,146.970971802,70.763801238,143.946877732,1497079.86411436,1483,20.5,0.836932645320488
"result.2802",1,15,10,147.575790616,71.368620052,142.13242129,1496978.53334159,1486,20.5,0.83628423803078
"result.3298",1,14,12,147.575790616,70.763801238,143.342058918,1496924.54926177,1486,20.5,0.835938798339318
"result.3576",7,15,13,149.3500025,70.49320118,142.18120238,1496906.41529796,1495,20,0.835822760594807
"result.3921",0,5,15,150.514045695,66.89513142,148.6558476,1496764.72080545,1500,21.5,0.834916069178719
"result.4049",0,13,15,146.970971802,70.158982424,145.15651536,1496757.28711282,1483,20.5,0.834868501590368
"result.2547",2,15,9,148.18060943,71.368620052,141.527602476,1496717.46279165,1489,20.5,0.834613669031093
"result.3043",2,14,11,148.18060943,70.763801238,142.737240104,1496717.46279165,1489,20.5,0.834613669031093
"result.4072",7,14,15,149.3500025,69.89580117,143.3760024,1496693.21113683,1495,20,0.834458484684429
"result.3794",1,13,14,147.575790616,70.158982424,144.551696546,1496654.62886268,1486,20.5,0.834211599882017
"result.3321",8,15,12,149.94740251,70.49320118,141.58380237,1496579.36011479,1498,20,0.833729961348287
"result.3539",2,13,13,148.18060943,70.158982424,143.946877732,1496500.64148746,1489,20.5,0.83322624731949
"result.2788",3,14,10,148.785428244,70.763801238,142.13242129,1496458.604704,1492,20.5,0.832957257395812
"result.3817",8,14,14,149.94740251,69.89580117,142.77860239,1496418.81738146,1497,20,0.832702661587773
"result.2292",3,15,8,148.785428244,71.368620052,140.922783662,1496404.17813172,1492,20.5,0.83260898623147
"result.3284",3,13,12,148.785428244,70.158982424,143.342058918,1496295.32498717,1492,20.5,0.831912443902788
"result.3066",9,15,11,150.54480252,70.49320118,140.98640236,1496201.98874959,1500,20,0.831315192986918
"result.2533",4,14,9,149.390247058,70.763801238,141.527602476,1496147.97499882,1495,20.5,0.830969563433473
"result.3562",9,14,13,150.54480252,69.89580117,142.18120238,1496094.53385238,1500,20,0.830627597928088
"result.4035",2,12,15,148.18060943,69.55416361,145.15651536,1496066.99887909,1488,20.5,0.830451403896283
"result.2037",4,15,7,149.390247058,71.368620052,140.317964848,1496038.67936181,1494,20.5,0.830270189631911
"result.3029",4,13,11,149.390247058,70.158982424,142.737240104,1496038.67936181,1494,20.5,0.830270189631911
"result.3780",3,12,14,148.785428244,69.55416361,144.551696546,1495914.33898125,1491,20.5,0.829474545752398
"result.2278",5,14,8,149.995065872,70.763801238,140.922783662,1495785.57367611,1497,20.5,0.828650587144078
"result.4058",9,13,15,150.54480252,69.29840116,143.3760024,1495772.16916075,1500,20,0.828564812751598
"result.2774",5,13,10,149.995065872,70.158982424,142.13242129,1495730.70461138,1497,20.5,0.828299484506857
"result.3525",4,12,13,149.390247058,69.55416361,143.946877732,1495710.79245079,1494,20.5,0.82817206822722
"result.1782",5,15,6,149.995065872,71.368620052,139.713146034,1495620.96648191,1497,20.5,0.827597279232412
"result.3270",5,12,12,149.995065872,69.55416361,143.342058918,1495456.35928771,1497,20.5,0.826543971320746
"result.2023",6,14,7,150.599884686,70.763801238,140.317964848,1495371.40073587,1500,20.5,0.826000328527628
"result.2519",6,13,9,150.599884686,70.158982424,141.527602476,1495371.40073587,1500,20.5,0.826000328527628
"result.4021",4,11,15,149.390247058,68.949344796,145.15651536,1495164.31426575,1494,20.5,0.824675199219402
"result.1527",6,15,5,150.599884686,71.368620052,139.10832722,1495151.03949202,1500,20.5,0.824590255032978
"result.3015",6,12,11,150.599884686,69.55416361,142.737240104,1495151.03949202,1500,20.5,0.824590255032978
"result.3766",5,11,14,149.995065872,68.949344796,144.551696546,1494962.53770512,1497,20.5,0.823384047585746
"result.3511",6,11,13,150.599884686,68.949344796,143.946877732,1494710.31700433,1500,20.5,0.821770108043678
"result.689",0,11,2,150.514045695,70.61152761,140.603655855,1494339.40760044,1499,21.5,0.819396689241814
"result.1185",0,10,4,150.514045695,69.992128245,141.842454585,1494281.66204794,1499,21.5,0.819027180195697
"result.193",0,12,0,150.514045695,71.230926975,139.364857125,1494166.17094294,1499,21.5,0.818288162103463
"result.4007",6,10,15,150.599884686,68.344525982,145.15651536,1494049.2332728,1500,20.5,0.817539887559727
"result.1681",0,9,6,150.514045695,69.37272888,143.081253315,1493992.93428544,1499,21.5,0.817179634965113
"result.1745",0,13,6,148.75422147,71.01024564,141.40833399,1493706.66880071,1490,21,0.815347845647672
"result.2241",0,12,8,148.75422147,70.39808835,142.63264857,1493650.9251573,1490,21,0.814991146653352
"result.1249",0,14,4,148.75422147,71.62240293,140.18401941,1493539.43787048,1490,21,0.81427774866471
"result.2177",0,8,8,150.514045695,68.753329515,144.320052045,1493473.22431294,1499,21.5,0.813854053550062
"result.2737",0,11,10,148.75422147,69.78593106,143.85696315,1493372.20694025,1490,21,0.81320765168175
"result.1490",1,13,5,149.36637876,71.01024564,140.7961767,1493360.73705477,1493,21,0.813134256826951
"result.1986",1,12,7,149.36637876,70.39808835,142.02049128,1493360.73705477,1493,21,0.813134256826951
"result.753",0,15,2,148.75422147,72.23456022,138.95970483,1493149.23236661,1490,21,0.811780855704466
