"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,101.94870129,86.14270109,113.01290143,992494.726815741,1005,40,1
"result.3840",15,15,14,101.94870129,86.14270109,112.22260142,985554.204250596,1002,40,0.977997887571881
"result.4095",14,15,15,101.15840128,86.14270109,113.01290143,984800.969243526,998,40,0.975610061416892
"result.4080",15,14,15,101.94870129,85.35240108,113.01290143,983389.270606422,1001,40,0.971134843328248
"result.3584",15,15,13,101.94870129,86.14270109,111.43230141,978613.681685451,998,40,0.955995775143762
"result.3839",14,15,14,101.15840128,86.14270109,112.22260142,977914.249178886,994,40,0.953778507999843
"result.4094",13,15,15,100.36810127,86.14270109,113.01290143,977107.211671311,990,40,0.951220122833783
"result.3824",15,14,14,101.94870129,85.35240108,112.22260142,976512.422560223,997,40,0.949334585142589
"result.4079",14,14,15,101.15840128,85.35240108,113.01290143,975766.097966062,993,40,0.946968665649572
"result.4064",15,13,15,101.94870129,84.56210107,113.01290143,974283.814397103,996,40,0.942269686656496
"result.3328",15,15,12,101.94870129,86.14270109,110.6420014,971673.159120306,995,40,0.933993662715644
"result.3583",14,15,13,101.15840128,86.14270109,111.43230141,971027.529114246,991,40,0.931946954582795
"result.3838",13,15,14,100.36810127,86.14270109,112.22260142,970274.294107176,986,40,0.929559128427806
"result.3568",15,14,13,101.94870129,85.35240108,111.43230141,969635.574514024,994,40,0.92753432695693
"result.4093",12,15,15,99.57780126,86.14270109,113.01290143,969413.454099096,982,40,0.926830184250675
"result.3823",14,14,14,101.15840128,85.35240108,112.22260142,968942.558819446,990,40,0.925337401713414
"result.4078",13,14,15,100.36810127,85.35240108,113.01290143,968142.925325702,985,40,0.922802487970896
"result.3808",15,13,14,101.94870129,84.56210107,112.22260142,967470.640869851,993,40,0.920671282713296
"result.4063",14,13,15,101.15840128,84.56210107,113.01290143,966731.226688599,988,40,0.918327269882251
"result.4048",15,12,15,101.94870129,83.77180106,113.01290143,965178.358187785,991,40,0.913404529984744
"result.3072",15,15,11,101.94870129,86.14270109,109.85170139,964732.636555161,991,40,0.911991550287525
"result.3327",14,15,12,101.15840128,86.14270109,110.6420014,964140.809049606,987,40,0.910115401165747
"result.3582",13,15,13,100.36810127,86.14270109,111.43230141,963441.376543041,983,40,0.907898134021828
"result.3312",15,14,12,101.94870129,85.35240108,110.6420014,962758.726467826,990,40,0.905734068771271
"result.3837",12,15,14,99.57780126,86.14270109,112.22260142,962634.339035465,979,40,0.905339748855768
"result.3567",14,14,13,101.15840128,85.35240108,111.43230141,962119.01967283,986,40,0.903706137777256
"result.4092",11,15,15,98.78750125,86.14270109,113.01290143,961719.69652688,974,40,0.902440245667566
"result.3822",13,14,14,100.36810127,85.35240108,112.22260142,961372.695078669,982,40,0.901340218284239
"result.3552",15,13,13,101.94870129,84.56210107,111.43230141,960657.467342598,989,40,0.899072878770098
"result.4077",12,14,15,99.57780126,85.35240108,113.01290143,960519.752685342,977,40,0.898636310292219
"result.3807",14,13,14,101.15840128,84.56210107,112.22260142,959970.868460007,985,40,0.896896295426984
"result.4062",13,13,15,100.36810127,84.56210107,113.01290143,959178.638980094,981,40,0.894384853108008
