"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4066",1,14,15,109.281560994,153.129100899,122.773111734,2054508.23240945,1498,25.5,1
"result.3745",0,10,14,109.66755212,151.89977716,123.29085052,2053837.76425037,1500,26,0.996640053317786
"result.2801",0,15,10,109.66755212,155.30560176,120.56619084,2053481.57505854,1500,26,0.994855066697449
"result.3826",1,15,14,109.281560994,153.803678436,122.098534197,2052220.69359232,1497,25.5,0.988536355746455
"result.3505",0,11,13,109.66755212,152.58094208,122.6096856,2051649.74492914,1499,26,0.985675135507149
"result.4081",0,15,15,108.606983457,153.803678436,122.773111734,2050820.91138538,1492,25.5,0.981521565381967
"result.3265",0,12,12,109.66755212,153.262107,121.92852068,2049359.95726739,1499,26,0.974200221519273
"result.4035",2,12,15,109.956138531,151.779945825,122.773111734,2048977.25087335,1500,25.5,0.972282348072951
"result.3025",0,13,11,109.66755212,153.94327192,121.24735576,2046968.40126511,1498,26,0.962215311354159
"result.3795",2,13,14,109.956138531,152.454523362,122.098534197,2046775.66359524,1500,25.5,0.961249436561086
"result.3969",0,8,15,109.66755212,150.53744732,123.97201544,2046663.09624355,1498,26,0.960685322822443
"result.4050",1,13,15,109.281560994,152.454523362,122.773111734,2045457.53535038,1495,25.5,0.954643842301193
"result.3729",0,9,14,109.66755212,151.21861224,123.29085052,2044627.7294331,1497,26,0.950485399277664
"result.2785",0,14,10,109.66755212,154.62443684,120.56619084,2044475.07692232,1497,26,0.949720405011806
"result.3555",2,14,13,109.956138531,153.129100899,121.42395666,2044474.00416813,1499,25.5,0.949715029071407
"result.3810",1,14,14,109.281560994,153.129100899,122.098534197,2043219.72563797,1494,25.5,0.943429407705334
"result.3489",0,10,13,109.66755212,151.89977716,122.6096856,2042490.59428213,1496,26,0.939775479555647
"result.3315",2,15,12,109.956138531,153.803678436,120.749379123,2042072.27259202,1498,25.5,0.937679125603918
"result.2545",0,15,9,109.66755212,155.30560176,119.88502592,2041879.984239,1496,26,0.936715502492214
"result.4065",0,14,15,108.606983457,153.129100899,122.773111734,2041826.08282668,1489,25.5,0.936445383965251
"result.2994",1,11,11,110.34871704,152.58094208,121.24735576,2041455.21203508,1500,26,0.934586822795913
"result.3570",1,15,13,109.281560994,153.803678436,121.42395666,2040882.45771612,1493,25.5,0.931716553794103
"result.3938",1,6,15,110.34871704,149.17511748,123.97201544,2040738.40894097,1500,26,0.930994675808403
"result.4085",4,15,15,110.20911,152.288952,121.563988,2040284.97923211,1499,25,0.928722383492591
"result.3249",0,11,12,109.66755212,152.58094208,121.92852068,2040251.69079064,1495,26,0.928555563656391
"result.4019",2,11,15,109.956138531,151.105368288,122.773111734,2039870.68531391,1497,25.5,0.926646214092052
"result.3825",0,15,14,108.606983457,153.803678436,122.098534197,2039552.66461953,1488,25.5,0.925052502947839
"result.2754",1,12,10,110.34871704,153.262107,120.56619084,2039048.8016477,1500,26,0.922527472194989
"result.3698",1,7,14,110.34871704,149.8562824,123.29085052,2038792.80054266,1499,26,0.921244562556593
"result.3009",0,12,11,109.66755212,153.262107,121.24735576,2037911.01895863,1494,26,0.916825651579896
"result.3779",2,12,14,109.956138531,151.779945825,122.098534197,2037719.13411031,1496,25.5,0.915864050569093
"result.3953",0,7,15,109.66755212,149.8562824,123.97201544,2037402.17725602,1494,26,0.914275670693701
"result.3458",1,8,13,110.34871704,150.53744732,122.6096856,2036744.79170234,1499,26,0.910981285449425
"result.2514",1,13,9,110.34871704,153.94327192,119.88502592,2036539.9908183,1499,26,0.909954957738708
"result.4034",1,12,15,109.281560994,151.779945825,122.773111734,2036406.8382913,1491,25.5,0.909287684602386
"result.2769",0,13,10,109.66755212,153.94327192,120.56619084,2035468.5787861,1494,26,0.904585743326162
"result.3539",2,13,13,109.956138531,152.454523362,121.42395666,2035467.5107577,1496,25.5,0.904580391068321
"result.3713",0,8,14,109.66755212,150.53744732,123.29085052,2035417.69461583,1494,26,0.904330745237542
"result.3218",1,9,12,110.34871704,151.21861224,121.92852068,2034594.38241999,1498,26,0.900204844486899
"result.3794",1,13,14,109.281560994,152.454523362,122.098534197,2034218.75768362,1490,25.5,0.898322459664212
"result.3044",3,14,11,110.630716068,153.129100899,120.074801586,2034161.04736456,1500,25.5,0.898033253394799
"result.2193",0,9,8,110.716584328,152.665103856,120.3441134,2034123.45839474,1500,26.5,0.897844882131061
"result.3988",3,9,15,110.630716068,149.756213214,122.773111734,2034060.36127599,1500,25.5,0.897528680754547
"result.2274",1,14,8,110.34871704,154.62443684,119.203861,2033928.77954689,1498,26,0.896869279427069
"result.3137",0,4,12,110.716584328,149.226700616,123.094835992,2033756.9496635,1500,26.5,0.896008180747319
"result.3473",0,9,13,109.66755212,151.21861224,122.6096856,2033331.44363513,1493,26,0.893875823604145
"result.3299",2,14,12,109.956138531,153.129100899,120.749379123,2033115.81525609,1495,25.5,0.892795235589737
"result.2529",0,14,9,109.66755212,154.62443684,119.88502592,2032924.37027304,1493,26,0.89183583889519
"result.4049",0,13,15,108.606983457,152.454523362,122.773111734,2032831.25426797,1485,25.5,0.891369202548535
"result.1249",0,14,4,110.716584328,156.103507096,117.593390808,2032395.63151889,1500,26.5,0.889186147036283
"result.2978",1,10,11,110.34871704,151.89977716,121.24735576,2032341.57269564,1497,26,0.888915239669014
"result.3748",3,10,14,110.630716068,150.430790751,122.098534197,2031996.29646032,1499,25.5,0.887184941629368
"result.3554",1,14,13,109.281560994,153.129100899,121.42395666,2031931.21886649,1490,25.5,0.886858815410668
"result.2897",0,5,11,110.716584328,149.914381264,122.407155344,2031714.97244658,1499,26.5,0.885775130180765
"result.2804",3,15,10,110.630716068,153.803678436,119.400224049,2031643.89515033,1499,25.5,0.885418937388483
"result.1953",0,10,7,110.716584328,153.352784504,119.656432752,2031610.25566622,1499,26.5,0.885250358356839
"result.3922",1,5,15,110.34871704,148.49395256,123.97201544,2031419.96871749,1497,26,0.884296764970788
"result.4069",4,14,15,110.20911,151.621018,121.563988,2031336.36090215,1496,25,0.883877777435038
"result.2034",1,15,7,110.34871704,155.30560176,118.52269608,2031215.16783346,1497,26,0.883270437260072
"result.3233",0,10,12,109.66755212,151.89977716,121.92852068,2031143.4243139,1492,26,0.882910905793508
"result.4003",2,10,15,109.956138531,150.430790751,122.773111734,2030764.11975448,1494,25.5,0.881010080111154
"result.3059",2,15,11,109.956138531,153.803678436,120.074801586,2030664.04760547,1494,25.5,0.880508584133342
"result.3809",0,14,14,108.606983457,153.129100899,122.098534197,2030607.25819576,1485,25.5,0.88022399285759
"result.2289",0,15,8,109.66755212,155.30560176,119.203861,2030278.39341946,1492,26,0.878575938286978
"result.3574",5,15,13,110.877044,152.288952,120.22812,2030093.74556962,1500,25,0.877650604366108
"result.2738",1,11,10,110.34871704,152.58094208,120.56619084,2029986.36252927,1496,26,0.87711247099577
"result.3508",3,11,13,110.630716068,151.105368288,121.42395666,2029831.54555608,1498,25.5,0.876336629863935
"result.3841",0,0,15,110.716584328,146.475978024,125.157877936,2029725.35361983,1499,26.5,0.875804465526173
"result.2657",0,6,10,110.716584328,150.602061912,121.719474696,2029568.2784493,1499,26.5,0.875017307790284
"result.3314",1,15,12,109.281560994,153.803678436,120.749379123,2029544.22183992,1489,25.5,0.874896751841751
"result.3682",1,6,14,110.34871704,149.17511748,123.29085052,2029525.56054019,1496,26,0.874803233646657
"result.1009",0,15,3,110.716584328,156.791187744,116.90571016,2029411.20327877,1498,26.5,0.874230150054396
"result.3829",4,15,14,110.20911,152.288952,120.896054,2029074.62220337,1495,25,0.87254342645346
"result.1713",0,11,6,110.716584328,154.040465152,118.968752104,2028992.33615735,1498,26.5,0.872131062758692
"result.2993",0,11,11,109.66755212,152.58094208,121.24735576,2028853.63665215,1491,26,0.871435991805633
