"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,109.85170139,116.96440148,120.12560152,1543462.44164319,1302,40,1
"result.3840",15,15,14,109.85170139,116.96440148,119.33530151,1533308.08347448,1297,40,0.976286972358623
"result.4080",15,14,15,109.85170139,116.17410147,120.12560152,1533033.64136182,1297,40,0.975646079719667
"result.4095",14,15,15,109.06140138,116.96440148,120.12560152,1532358.39530043,1292,40,0.97406920718353
"result.3584",15,15,13,109.85170139,116.96440148,118.5450015,1523153.72530578,1293,40,0.952573944717246
"result.3824",15,14,14,109.85170139,116.17410147,119.33530151,1522947.89372128,1293,40,0.952093275238029
"result.4064",15,13,15,109.85170139,115.38380146,120.12560152,1522604.84108044,1293,40,0.951292159439334
"result.3839",14,15,14,109.06140138,116.96440148,119.33530151,1522277.09006819,1288,40,0.950526776863315
"result.4079",14,14,15,109.06140138,116.17410147,120.12560152,1522004.62235921,1288,40,0.949890494962768
"result.4094",13,15,15,108.27110137,116.96440148,120.12560152,1521254.34895768,1283,40,0.948138414367061
"result.3328",15,15,12,109.85170139,116.96440148,117.75470149,1512999.36713707,1289,40,0.92886091707587
"result.3568",15,14,13,109.85170139,116.17410147,118.5450015,1512862.14608074,1289,40,0.928540470756391
"result.3808",15,13,14,109.85170139,115.38380146,119.33530151,1512587.70396807,1289,40,0.927899578117435
"result.3583",14,15,13,109.06140138,116.96440148,118.5450015,1512195.78483595,1284,40,0.926984346543099
"result.4048",15,12,15,109.85170139,114.59350145,120.12560152,1512176.04079907,1288,40,0.926938239159001
"result.3823",14,14,14,109.06140138,116.17410147,119.33530151,1511991.43405422,1284,40,0.926507135117689
"result.4063",14,13,15,109.06140138,115.38380146,120.12560152,1511650.84941799,1283,40,0.925711782742006
"result.3838",13,15,14,108.27110137,116.96440148,119.33530151,1511246.0966619,1279,40,0.924766581368006
"result.4078",13,14,15,108.27110137,116.17410147,120.12560152,1510975.60335661,1279,40,0.924134910205869
"result.4093",12,15,15,107.48080136,116.96440148,120.12560152,1510150.30261492,1274,40,0.922207621550591
"result.3072",15,15,11,109.85170139,116.96440148,116.96440148,1502845.00896837,1284,40,0.905147889434492
"result.3312",15,14,12,109.85170139,116.17410147,117.75470149,1502776.3984402,1284,40,0.904987666274754
"result.3552",15,13,13,109.85170139,115.38380146,118.5450015,1502570.5668557,1284,40,0.904506996795537
"result.3792",15,12,14,109.85170139,114.59350145,119.33530151,1502227.51421487,1284,40,0.903705880996841
"result.3327",14,15,12,109.06140138,116.96440148,117.75470149,1502114.47960371,1279,40,0.903441916222883
"result.3567",14,14,13,109.06140138,116.17410147,118.5450015,1501978.24574922,1279,40,0.90312377527261
"result.4032",15,11,15,109.85170139,113.80320144,120.12560152,1501747.2405177,1284,40,0.902584318878668
"result.3807",14,13,14,109.06140138,115.38380146,119.33530151,1501705.77804024,1279,40,0.902487493372063
"result.4047",14,12,15,109.06140138,114.59350145,120.12560152,1501297.07647678,1279,40,0.901533070521244
"result.3582",13,15,13,108.27110137,116.96440148,118.5450015,1501237.84436613,1274,40,0.901394748368951
"result.3822",13,14,14,108.27110137,116.17410147,119.33530151,1501034.97438716,1274,40,0.900920994997349
"result.4062",13,13,15,108.27110137,115.38380146,120.12560152,1500696.85775555,1274,40,0.900131406044678
"result.3837",12,15,14,107.48080136,116.96440148,119.33530151,1500215.10325561,1269,40,0.899006385872698
"result.4077",12,14,15,107.48080136,116.17410147,120.12560152,1499946.58435401,1269,40,0.89837932544897
"result.4092",11,15,15,106.69050135,116.96440148,120.12560152,1499046.25627216,1264,40,0.896276828734122
"result.2816",15,15,10,109.85170139,116.96440148,116.17410147,1492690.65079966,1280,40,0.881434861793116
"result.3056",15,14,11,109.85170139,116.17410147,116.96440148,1492690.65079966,1280,40,0.881434861793116
"result.3296",15,13,12,109.85170139,115.38380146,117.75470149,1492553.42974333,1280,40,0.881114415473638
"result.3536",15,12,13,109.85170139,114.59350145,118.5450015,1492278.98763066,1280,40,0.880473522834682
