"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,110.6420014,124.07710157,79.030001,1084934.82669716,1095,40,1
"result.4080",15,14,15,110.6420014,123.28680156,79.030001,1078024.41378826,1092,40,0.979688066739209
"result.4095",14,15,15,109.85170139,124.07710157,79.030001,1077185.29222075,1087,40,0.977221617700399
"result.3840",15,15,14,110.6420014,124.07710157,78.23970099,1074085.47843019,1090,40,0.968110264780559
"result.4064",15,13,15,110.6420014,122.49650155,79.030001,1071114.00087936,1088,40,0.959376133478419
"result.4079",14,14,15,109.85170139,123.28680156,79.030001,1070324.23940406,1084,40,0.957054769677185
"result.4094",13,15,15,109.06140138,124.07710157,79.030001,1069435.75774435,1079,40,0.954443235400798
"result.3824",15,14,14,110.6420014,123.28680156,78.23970099,1067244.16965038,1086,40,0.948001450852376
"result.3839",14,15,14,109.85170139,124.07710157,78.23970099,1066413.43929855,1082,40,0.945559666303954
"result.4048",15,12,15,110.6420014,121.70620154,79.030001,1064203.58797046,1085,40,0.939064200217628
"result.4063",14,13,15,109.85170139,122.49650155,79.030001,1063463.18658737,1080,40,0.936887921653972
"result.3584",15,15,13,110.6420014,124.07710157,77.44940098,1063236.13016322,1084,40,0.936220529561117
"result.4078",13,14,15,109.06140138,123.28680156,79.030001,1062624.06501986,1076,40,0.934421472615161
"result.4093",12,15,15,108.27110137,124.07710157,79.030001,1061686.22326794,1072,40,0.931664853101197
"result.3808",15,13,14,110.6420014,122.49650155,78.23970099,1060402.86087057,1083,40,0.927892636924193
"result.3823",14,14,14,109.85170139,123.28680156,78.23970099,1059620.99701002,1078,40,0.925594486760972
"result.3838",13,15,14,109.06140138,124.07710157,78.23970099,1058741.4001669,1074,40,0.923009067827349
"result.4032",15,11,15,110.6420014,120.91590153,79.030001,1057293.17506157,1081,40,0.918752266956837
"result.4047",14,12,15,109.85170139,121.70620154,79.030001,1056602.13377068,1077,40,0.916721073630758
"result.3568",15,14,13,110.6420014,123.28680156,77.44940098,1056463.9255125,1081,40,0.916314834965542
"result.4062",13,13,15,109.06140138,122.49650155,79.030001,1055812.37229537,1073,40,0.914399709829525
"result.3583",14,15,13,109.85170139,124.07710157,77.44940098,1055641.58637634,1076,40,0.913897714907508
"result.4077",12,14,15,108.27110137,123.28680156,79.030001,1054923.89063566,1068,40,0.911788175553137
"result.4092",11,15,15,107.48080136,124.07710157,79.030001,1053936.68879153,1064,40,0.908886470801596
"result.3792",15,12,14,110.6420014,121.70620154,78.23970099,1053561.55209076,1079,40,0.90778382299601
"result.3807",14,13,14,109.85170139,122.49650155,78.23970099,1052828.55472149,1075,40,0.905629307217991
"result.3328",15,15,12,110.6420014,124.07710157,76.65910097,1052386.78189625,1079,40,0.904330794341676
"result.3822",13,14,14,109.06140138,123.28680156,78.23970099,1051997.82436966,1071,40,0.903187522669569
"result.3837",12,15,14,108.27110137,124.07710157,78.23970099,1051069.36103526,1066,40,0.900458469350743
"result.4016",15,10,15,110.6420014,120.12560152,79.030001,1050382.76215267,1078,40,0.898440333696046
"result.4031",14,11,15,109.85170139,120.91590153,79.030001,1049741.08095398,1073,40,0.896554225607545
"result.3552",15,13,13,110.6420014,122.49650155,77.44940098,1049691.72086178,1077,40,0.896409140369968
"result.4046",13,12,15,109.06140138,121.70620154,79.030001,1049000.67957089,1069,40,0.894377947043889
"result.3567",14,14,13,109.85170139,123.28680156,77.44940098,1048917.75461598,1073,40,0.894134203844759
"result.4061",12,13,15,108.27110137,122.49650155,79.030001,1048161.55800338,1065,40,0.891911498005078
"result.3582",13,15,13,109.06140138,124.07710157,77.44940098,1048047.04258946,1069,40,0.891574900253899
"result.4076",11,14,15,107.48080136,123.28680156,79.030001,1047223.71625146,1060,40,0.889154878491114
"result.3776",15,11,14,110.6420014,120.91590153,78.23970099,1046720.24331095,1076,40,0.887675009067827
"result.4091",10,15,15,106.69050135,124.07710157,79.030001,1046187.15431512,1056,40,0.886108088501995
"result.3791",14,12,14,109.85170139,121.70620154,78.23970099,1046036.11243297,1071,40,0.885664127675009
"result.3312",15,14,12,110.6420014,123.28680156,76.65910097,1045683.68137462,1075,40,0.884628219078709
"result.3806",13,13,14,109.06140138,122.49650155,78.23970099,1045254.24857242,1067,40,0.883365977511788
"result.3327",14,15,12,109.85170139,124.07710157,76.65910097,1044869.73345413,1071,40,0.882235763511063
"result.3821",12,14,14,108.27110137,123.28680156,78.23970099,1044374.6517293,1063,40,0.880780558578165
"result.4000",15,9,15,110.6420014,119.33530151,79.030001,1043472.34924377,1074,40,0.878128400435256
"result.3836",11,15,14,107.48080136,124.07710157,78.23970099,1043397.32190361,1058,40,0.877907870874139
"result.3536",15,12,13,110.6420014,121.70620154,77.44940098,1042919.51621106,1074,40,0.876503445774393
"result.4015",14,10,15,109.85170139,120.12560152,79.030001,1042880.02813729,1070,40,0.876387377584331
"result.3551",14,13,13,109.85170139,122.49650155,77.44940098,1042193.92285562,1069,40,0.87437069278201
"result.4030",13,11,15,109.06140138,120.91590153,79.030001,1042188.9868464,1066,40,0.874356184258252
"result.3072",15,15,11,110.6420014,124.07710157,75.86880096,1041537.43362928,1073,40,0.872441059122234
"result.4045",12,12,15,108.27110137,121.70620154,79.030001,1041399.2253711,1061,40,0.872034820457019
"result.3566",13,14,13,109.06140138,123.28680156,77.44940098,1041371.58371946,1065,40,0.871953572723976
"result.4060",11,13,15,107.48080136,122.49650155,79.030001,1040510.74371138,1057,40,0.869423286180631
"result.3581",12,15,13,108.27110137,124.07710157,77.44940098,1040452.49880258,1061,40,0.86925208560029
"result.3760",15,10,14,110.6420014,120.12560152,78.23970099,1039878.93453114,1072,40,0.867566195139645
"result.4075",10,14,15,106.69050135,123.28680156,79.030001,1039523.54186725,1053,40,0.86652158142909
"result.3775",14,11,14,109.85170139,120.91590153,78.23970099,1039243.67014444,1068,40,0.865698948132028
"result.3296",15,13,12,110.6420014,122.49650155,76.65910097,1038980.58085298,1072,40,0.864925643815742
"result.3790",13,12,14,109.06140138,121.70620154,78.23970099,1038510.67277518,1064,40,0.863544432354008
"result.4090",9,15,15,105.90020134,124.07710157,79.030001,1038437.61983871,1048,40,0.863329706202394
"result.3311",14,14,12,109.85170139,123.28680156,76.65910097,1038214.51222194,1067,40,0.862673920928546
"result.3805",12,13,14,108.27110137,122.49650155,78.23970099,1037679.94242334,1059,40,0.861102647805586
"result.3326",13,15,12,109.06140138,124.07710157,76.65910097,1037352.68501202,1063,40,0.86014073268045
"result.3820",11,14,14,107.48080136,123.28680156,78.23970099,1036751.47908894,1055,40,0.858373594486761
"result.3984",15,8,15,110.6420014,118.5450015,79.030001,1036561.93633487,1070,40,0.857816467174465
"result.3520",15,11,13,110.6420014,120.91590153,77.44940098,1036147.31156033,1070,40,0.856597751178818
"result.3999",14,9,15,109.85170139,119.33530151,79.030001,1036018.9753206,1066,40,0.856220529561117
"result.3835",10,15,14,106.69050135,124.07710157,78.23970099,1035725.28277197,1051,40,0.855357272397534
"result.3535",14,12,13,109.85170139,121.70620154,77.44940098,1035470.09109526,1066,40,0.85460718171926
"result.4014",13,10,15,109.06140138,120.12560152,79.030001,1035377.29412191,1062,40,0.854334421472615
"result.3056",15,14,11,110.6420014,123.28680156,75.86880096,1034903.43723673,1070,40,0.852941603191876
"result.3550",13,13,13,109.06140138,122.49650155,77.44940098,1034696.12484947,1062,40,0.852332245194052
"result.4029",12,11,15,108.27110137,120.91590153,79.030001,1034636.89273882,1058,40,0.852158142908959
"result.3071",14,15,11,109.85170139,124.07710157,75.86880096,1034097.88053192,1065,40,0.850573812114618
"result.3565",12,14,13,108.27110137,123.28680156,77.44940098,1033825.41282294,1057,40,0.849772941603192
"result.4044",11,12,15,107.48080136,121.70620154,79.030001,1033797.77117131,1054,40,0.849691693870149
"result.3744",15,9,14,110.6420014,119.33530151,78.23970099,1033037.62575133,1069,40,0.847457381211462
"result.4059",10,13,15,106.69050135,122.49650155,79.030001,1032859.92941939,1049,40,0.846935074356184
"result.3580",11,15,13,107.48080136,124.07710157,77.44940098,1032857.9550157,1053,40,0.846929270946681
"result.3759",14,10,14,109.85170139,120.12560152,78.23970099,1032451.22785592,1064,40,0.845733768589046
"result.3280",15,12,12,110.6420014,121.70620154,76.65910097,1032277.48033135,1068,40,0.845223068552775
"result.4074",9,14,15,105.90020134,123.28680156,79.030001,1031823.36748305,1045,40,0.843888284367066
"result.3774",13,11,14,109.06140138,120.91590153,78.23970099,1031767.09697794,1060,40,0.843722887196228
"result.3295",14,13,12,109.85170139,122.49650155,76.65910097,1031559.29098975,1064,40,0.843112078346028
"result.3789",12,12,14,108.27110137,121.70620154,78.23970099,1030985.23311739,1056,40,0.841424737033007
"result.3310",13,14,12,109.06140138,123.28680156,76.65910097,1030745.34306926,1060,40,0.840719622778382
"result.2816",15,15,10,110.6420014,124.07710157,75.07850095,1030688.0853623,1067,40,0.840551323902793
