"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,115.38380146,100.36810127,113.01290143,1308785.80645882,1228,40,1
"result.4095",14,15,15,114.59350145,100.36810127,113.01290143,1299821.52011321,1220,40,0.976520704857206
"result.3840",15,15,14,115.38380146,100.36810127,112.22260142,1299633.4581619,1224,40,0.976028132231833
"result.4080",15,14,15,115.38380146,99.57780126,113.01290143,1298480.40640796,1224,40,0.973008054402772
"result.4094",13,15,15,113.80320144,100.36810127,113.01290143,1290857.2337676,1212,40,0.953041409714412
"result.3839",14,15,14,114.59350145,100.36810127,112.22260142,1290731.8591334,1216,40,0.952713027964162
"result.3584",15,15,13,115.38380146,100.36810127,111.43230141,1290481.10986499,1220,40,0.952056264463665
"result.4079",14,14,15,114.59350145,99.57780126,113.01290143,1289586.70499421,1215,40,0.949713635599684
"result.3824",15,14,14,115.38380146,99.57780126,112.22260142,1289400.12384567,1219,40,0.949224941498921
"result.4064",15,13,15,115.38380146,98.78750125,113.01290143,1288175.00635711,1219,40,0.946016108805544
"result.4093",12,15,15,113.01290143,100.36810127,113.01290143,1281892.94742199,1203,40,0.929562114571617
"result.3838",13,15,14,113.80320144,100.36810127,112.22260142,1281830.26010489,1207,40,0.929397923696493
"result.3583",14,15,13,114.59350145,100.36810127,111.43230141,1281642.19815359,1211,40,0.92890535107112
"result.3328",15,15,12,115.38380146,100.36810127,110.6420014,1281328.76156808,1215,40,0.928084396695497
"result.4078",13,14,15,113.80320144,99.57780126,113.01290143,1280693.00358046,1207,40,0.926419216796598
"result.3823",14,14,14,114.59350145,99.57780126,112.22260142,1280568.6161481,1211,40,0.926093420729421
"result.3568",15,14,13,115.38380146,99.57780126,111.43230141,1280319.84128338,1215,40,0.925441828595069
"result.4063",14,13,15,114.59350145,98.78750125,113.01290143,1279351.88987521,1210,40,0.922906566342164
"result.3808",15,13,14,115.38380146,98.78750125,112.22260142,1279166.78952943,1214,40,0.922421750766009
"result.4048",15,12,15,115.38380146,97.99720124,113.01290143,1277869.60630625,1214,40,0.919024163208316
"result.3837",12,15,14,113.01290143,100.36810127,112.22260142,1272928.66107639,1199,40,0.906082819428823
"result.4092",11,15,15,112.22260142,100.36810127,113.01290143,1272928.66107639,1195,40,0.906082819428823
"result.3582",13,15,13,113.80320144,100.36810127,111.43230141,1272803.28644218,1203,40,0.905754437678574
"result.3327",14,15,12,114.59350145,100.36810127,110.6420014,1272552.53717377,1207,40,0.905097674178076
"result.3072",15,15,11,115.38380146,100.36810127,109.85170139,1272176.41327116,1211,40,0.904112528927329
