"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,137.749422921,79.789283222,148.287630139,1629818.62449597,1498,33.5,1
"result.4082",1,15,15,137.95603136,79.47467024,148.45268592,1627636.74779234,1498,33,0.986148171122938
"result.4049",0,13,15,138.29044833,78.59129304,149.62573098,1626196.05757082,1499,34,0.977001827344567
"result.3553",0,14,13,138.29044833,79.34697855,148.11435996,1625248.3908706,1499,34,0.970985485109449
"result.3057",0,15,11,138.29044833,80.10266406,146.60298894,1623984.83527031,1498,34,0.962963695462626
"result.3810",1,14,14,138.502152008,79.036554135,148.287630139,1623265.06986608,1499,33.5,0.95839420388941
"result.4065",0,14,15,137.749422921,79.036554135,149.040359226,1622638.11911078,1495,33.5,0.95441395396864
"result.3314",1,15,12,138.502152008,79.789283222,146.782171965,1622087.93783572,1498,33.5,0.950921081589188
"result.3569",0,15,13,137.749422921,79.789283222,147.534901052,1621545.43350869,1494,33.5,0.947476946963868
"result.3777",0,12,14,138.829359174,78.138928934,149.450184466,1621232.22806375,1500,34.5,0.94548853569416
"result.4067",2,14,15,138.7057924,78.7249092,148.45268592,1621044.08459117,1499,33,0.944294090938359
"result.3281",0,13,12,138.829359174,78.897559312,147.93292371,1620353.33818603,1499,34.5,0.939908828936389
"result.3571",2,15,13,138.7057924,79.47467024,146.95316384,1619952.472413,1498,33,0.937363898656166
"result.3826",1,15,14,137.95603136,79.47467024,147.70292488,1619416.36017723,1494,33,0.933960344763135
"result.4034",1,12,15,139.04613384,77.83560753,149.62573098,1619360.42891352,1500,34,0.933605260402732
"result.2785",0,14,10,138.829359174,79.65618969,146.415662954,1619154.85198915,1499,34.5,0.932300137903064
"result.4081",0,15,15,137.20627032,79.47467024,148.45268592,1618790.89590217,1490,33,0.929989531887932
"result.3538",1,13,13,139.04613384,78.59129304,148.11435996,1618566.39124121,1500,34,0.928564245050903
"result.3793",0,13,14,138.29044833,78.59129304,148.87004547,1617982.94616894,1495,34,0.924860194640211
"result.2289",0,15,8,138.829359174,80.414820068,144.898402198,1617636.7694731,1498,34.5,0.922662462594188
"result.3828",3,15,14,138.901305246,79.158808366,147.115898567,1617577.82023889,1498,32.5,0.92228821839267
"result.3042",1,14,11,139.04613384,79.34697855,146.60298894,1617454.73849997,1499,34,0.921506823558342
"result.4083",2,15,15,138.154524035,79.158808366,147.862679778,1617048.07475985,1494,32.5,0.918925084393485
"result.3297",0,14,12,138.29044833,79.34697855,147.35867445,1616956.30724371,1495,34,0.918342490552166
"result.3795",2,13,14,139.254881095,78.283825048,148.287630139,1616543.47537388,1500,33.5,0.915721592493935
"result.4001",0,10,15,139.36618272,76.91794784,150.78964032,1616428.87129474,1500,35,0.91499401880003
"result.2546",1,15,9,139.04613384,80.10266406,145.09161792,1616025.47068981,1499,34,0.912432995925049
"result.4050",1,13,15,138.502152008,78.283825048,149.040359226,1615966.85127785,1496,33.5,0.912060845628029
"result.3505",0,11,13,139.36618272,77.67951168,149.26651264,1615943.89413563,1500,35,0.911915100268102
"result.2801",0,15,10,138.29044833,80.10266406,145.84730343,1615613.7794184,1494,34,0.909819339052416
"result.3299",2,14,12,139.254881095,79.036554135,146.782171965,1615517.74981844,1499,33.5,0.909209687011313
"result.3009",0,12,11,139.36618272,78.44107552,147.74338496,1615135.59887046,1500,35,0.906783569381555
"result.3554",1,14,13,138.502152008,79.036554135,147.534901052,1615025.14565356,1495,33.5,0.90608234778785
"result.4085",4,15,15,139.08862341,78.84167958,147.27030714,1614963.34285177,1498,32,0.905689987471097
"result.3809",0,14,14,137.749422921,79.036554135,148.287630139,1614442.97709507,1491,33.5,0.902386401432849
"result.4052",3,13,15,139.45555344,77.97514816,148.45268592,1614284.51852415,1500,33,0.901380413787082
"result.2803",2,15,10,139.254881095,79.789283222,145.276713791,1614176.41639979,1499,33.5,0.900694118303269
"result.2513",0,13,9,139.36618272,79.20263936,146.22025728,1614003.98549922,1499,35,0.899599426140388
