"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,130.46305284,103.97055552,126.96404376,1722180.4201791,1498,14,1
"result.3825",0,15,14,130.46305284,103.97055552,126.46418532,1715400.18230438,1495,14,0.961357414301439
"result.3570",1,15,13,130.96291128,103.97055552,125.96432688,1715166.38099836,1498,14,0.960024911346316
"result.4065",0,14,15,130.46305284,103.47069708,126.96404376,1713900.70662055,1495,14,0.952811457848872
"result.3810",1,14,14,130.96291128,103.47069708,126.46418532,1713693.88238829,1498,14,0.951632705234725
"result.3555",2,14,13,131.46276972,103.47069708,125.96432688,1713435.35209798,1500,14,0.950159264467041
"result.4050",1,13,15,130.96291128,102.97083864,126.96404376,1712155.93939557,1497,14,0.942867512184842
"result.3795",2,13,14,131.46276972,102.97083864,126.46418532,1711924.38617902,1500,14,0.941547821758133
"result.4035",2,12,15,131.46276972,102.4709802,126.96404376,1710347.72608967,1499,14,0.932561968496664
"result.3569",0,15,13,130.46305284,103.97055552,125.96432688,1708619.94442966,1493,14,0.922714828602877
"result.3314",1,15,12,130.96291128,103.97055552,125.46446844,1708360.16520074,1495,14,0.921234269763852
"result.3059",2,15,11,131.46276972,103.97055552,124.96461,1708048.43012604,1498,14,0.919457599157022
"result.3809",0,14,14,130.46305284,103.47069708,126.46418532,1707153.0660433,1492,14,0.914354653812324
"result.3554",1,14,13,130.96291128,103.47069708,125.96432688,1706920.38878202,1495,14,0.913028557121408
"result.3299",2,14,12,131.46276972,103.47069708,125.46446844,1706636.00546267,1497,14,0.911407772276955
"result.3044",3,14,11,131.96262816,103.47069708,124.96461,1706299.91608526,1500,14,0.909492299278967
"result.4049",0,13,15,130.46305284,102.97083864,126.96404376,1705620.99306199,1491,14,0.905622915697745
"result.3794",1,13,14,130.96291128,102.97083864,126.46418532,1705415.16798062,1494,14,0.904449857540671
"result.3539",2,13,13,131.46276972,102.97083864,125.96432688,1705157.88662891,1497,14,0.902983534844329
"result.3284",3,13,12,131.96262816,102.97083864,125.46446844,1704849.14900685,1499,14,0.901223947608718
"result.4034",1,12,15,130.96291128,102.4709802,126.96404376,1703844.50279656,1493,14,0.895498171021641
"result.3779",2,12,14,131.46276972,102.4709802,126.46418532,1703614.07362475,1496,14,0.89418488685914
"result.3524",3,12,13,131.96262816,102.4709802,125.96432688,1703332.43797033,1499,14,0.892579761771639
"result.4019",2,11,15,131.46276972,101.97112176,126.96404376,1702004.56645021,1495,14,0.88501182832139
"result.3313",0,15,12,130.46305284,103.97055552,125.46446844,1701839.70655494,1490,14,0.884072242904317
