"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,101.487623638,97.783695768,222.976457774,2212781.55666558,1498,31.5,1
"result.3057",0,15,11,101.89915191,98.18020476,220.90546071,2210044.17506796,1500,32,0.988436904183631
"result.3553",0,14,13,101.89915191,97.43641533,222.39303957,2208071.1226721,1500,32,0.980102445471732
"result.4049",0,13,15,101.89915191,96.6926259,223.88061843,2205872.57857385,1499,32,0.97081547719276
"result.3825",0,15,14,101.487623638,97.783695768,222.2356722,2205430.1229225,1496,31.5,0.968946480522558
"result.2801",0,15,10,101.89915191,98.18020476,220.16167128,2202602.94888928,1498,32,0.957004088470186
"result.4082",1,15,15,101.81218824,97.38557136,222.06861348,2201818.76861243,1497,31,0.953691597553176
"result.3521",0,12,13,102.309025907,96.334776219,223.287582089,2200703.90208665,1500,32.5,0.948982240088639
"result.3297",0,14,12,101.89915191,97.43641533,221.64925014,2200686.26941901,1497,32,0.948907757150055
"result.3058",1,15,11,102.228409212,97.783695768,220.013315478,2199312.87148666,1499,31.5,0.94310632562892
"result.1777",0,15,6,102.309025907,98.575119852,218.060113612,2199163.39223842,1499,32.5,0.942474903662941
"result.3793",0,13,14,101.89915191,96.6926259,223.136829,2198544.09824636,1496,32,0.93985891626285
"result.4017",0,11,15,102.309025907,95.587995008,224.781144511,2198250.49751354,1499,32.5,0.938618704299566
"result.3569",0,15,13,101.487623638,97.783695768,221.494886626,2198078.68917943,1493,31.5,0.937892961045117
"result.2273",0,14,8,102.309025907,97.828338641,219.553676034,2197451.71462926,1499,32.5,0.935244529856612
"result.3554",1,14,13,102.228409212,97.042910194,221.494886626,2197349.39963425,1498,31.5,0.934812336518322
"result.4065",0,14,15,101.487623638,97.042910194,222.976457774,2196018.06002417,1492,31.5,0.929188565434014
"result.3315",2,15,12,102.54995772,97.38557136,219.85530504,2195669.91750841,1500,31,0.927717961090407
"result.2769",0,13,10,102.309025907,97.08155743,221.047238456,2195511.81333889,1498,32.5,0.927050106209437
"result.2545",0,15,9,101.89915191,98.18020476,219.41788185,2195161.7227106,1495,32,0.925571272756739
"result.4050",1,13,15,102.228409212,96.30212462,222.976457774,2195161.5309987,1498,31.5,0.925570462937943
"result.3826",1,15,14,101.81218824,97.38557136,221.330844,2194503.75609212,1494,31,0.922791926588846
"result.2530",1,14,9,102.64294134,97.43641533,219.41788185,2194433.40097115,1500,32,0.922494736381335
"result.3811",2,14,14,102.54995772,96.64780188,221.330844,2193660.45754729,1499,31,0.919229711556727
"result.3265",0,12,12,102.309025907,96.334776219,222.540800878,2193343.6883673,1497,32.5,0.917891632721419
"result.3041",0,14,11,101.89915191,97.43641533,220.90546071,2193301.41616593,1494,32,0.917713068828378
"result.3489",0,10,13,102.71726248,95.21965208,224.17855096,2192623.60082491,1500,33,0.914849878785462
"result.3026",1,13,11,102.64294134,96.6926259,220.90546071,2192445.94673298,1500,32,0.914099442204387
"result.2802",1,15,10,102.228409212,97.783695768,219.272529904,2191907.77764327,1496,31.5,0.911826138126096
"result.1745",0,13,6,102.71726248,97.4689352,218.93022368,2191872.95940046,1500,33,0.911679060832196
"result.1521",0,15,5,102.309025907,98.575119852,217.313332401,2191632.01075815,1497,32.5,0.910661258915088
"result.3537",0,13,13,101.89915191,96.6926259,222.39303957,2191215.61791888,1494,32,0.908902355332943
"result.3761",0,11,14,102.309025907,95.587995008,224.0343633,2190947.33971449,1497,32.5,0.907769109392558
"result.3313",0,15,12,101.487623638,97.783695768,220.754101052,2190727.25543635,1491,31.5,0.906839441567676
"result.4083",2,15,15,102.129000251,96.985813188,221.157043709,2190574.70282231,1495,30.5,0.906195037260011
"result.3522",1,12,13,102.64294134,95.94883647,222.39303957,2190231.35486759,1499,32,0.904744685835787
"result.3298",1,14,12,102.228409212,97.042910194,220.754101052,2190000.40498664,1496,31.5,0.903769120132943
"result.2017",0,14,7,102.309025907,97.828338641,218.806894823,2189977.3890693,1496,32.5,0.903671897568971
"result.2241",0,12,8,102.71726248,96.71917416,220.42974576,2189909.74336728,1499,33,0.903386152339032
"result.3985",0,9,15,102.71726248,94.46989104,225.67807304,2189909.74336728,1499,33,0.903386152339032
"result.4068",3,14,15,102.86374126,96.251072179,221.157043709,2189619.5797777,1500,30.5,0.902160459365975
"result.4033",0,12,15,101.89915191,95.94883647,223.88061843,2188904.32796944,1493,32,0.899139132270433
"result.3809",0,14,14,101.487623638,97.042910194,222.2356722,2188722.31896097,1490,31.5,0.898370299892008
"result.1778",1,15,6,102.64294134,98.18020476,217.18651356,2188698.17588386,1498,32,0.898268316042141
"result.3059",2,15,11,102.54995772,97.38557136,219.11753556,2188301.89765099,1498,31,0.896594379466916
"result.2513",0,13,9,102.309025907,97.08155743,220.300457245,2188094.54369923,1496,32.5,0.895718486382007
"result.3794",1,13,14,102.228409212,96.30212462,222.2356722,2187868.63554688,1495,31.5,0.89476421767001
"result.4018",1,11,15,102.64294134,95.20504704,223.88061843,2187789.62537499,1498,32,0.894430467275535
"result.2289",0,15,8,101.89915191,98.18020476,218.67409242,2187720.49653192,1493,32,0.894138457043293
"result.2737",0,11,10,102.71726248,95.96941312,221.92926784,2187715.56074196,1499,33,0.894117607552558
"result.497",0,15,1,102.71726248,98.96845728,215.18141848,2187484.59414982,1498,33,0.893141971259245
"result.3570",1,15,13,101.81218824,97.38557136,220.59307452,2187188.74357182,1492,31,0.891892255624519
"result.2274",1,14,8,102.64294134,97.43641533,218.67409242,2186994.64367972,1498,32,0.891072349604756
"result.3779",2,12,14,102.969194786,95.561339046,222.2356722,2186771.0425859,1500,31.5,0.890127826241727
"result.3555",2,14,13,102.54995772,96.64780188,220.59307452,2186348.25602214,1497,31,0.888341914642504
"result.993",0,14,3,102.71726248,98.21869624,216.68094056,2186041.05294895,1498,33,0.887044244426037
"result.3009",0,12,11,102.309025907,96.334776219,221.794019667,2185983.47464795,1495,32.5,0.886801025354199
"result.2785",0,14,10,101.89915191,97.43641533,220.16167128,2185916.56291285,1492,32,0.886518380506699
"result.2035",2,15,7,102.969194786,97.783695768,217.050173182,2185414.90550523,1500,31.5,0.884399307054779
"result.3233",0,10,12,102.71726248,95.21965208,223.42878992,2185290.4115245,1498,33,0.88387342647277
"result.4066",1,14,15,101.81218824,96.64780188,222.06861348,2185138.32339567,1491,31,0.883230984217849
"result.2770",1,13,10,102.64294134,96.6926259,220.16167128,2185063.97384836,1497,32,0.882916920975719
"result.754",1,15,2,103.055807118,98.575119852,215.072988768,2184870.25950214,1500,32.5,0.882098643557529
"result.2994",1,11,11,103.055807118,95.587995008,221.794019667,2184870.25950214,1500,32.5,0.882098643557529
"result.2546",1,15,9,102.228409212,97.783695768,218.53174433,2184502.68379988,1494,31.5,0.880545950623272
"result.1489",0,13,5,102.71726248,97.4689352,218.18046264,2184366.54515594,1497,33,0.879970881299516
"result.3316",3,15,12,102.86374126,96.985813188,218.952820682,2184344.19086849,1498,30.5,0.879876453555897
"result.4051",2,13,15,102.54995772,95.9100324,222.06861348,2184171.34106426,1496,31,0.879146310981019
"result.1265",0,15,4,102.309025907,98.575119852,216.56655119,2184100.62927788,1494,32.5,0.878847614167238
"result.3281",0,13,12,101.89915191,96.6926259,221.64925014,2183887.13759139,1491,32,0.877945794403033
"result.1713",0,11,6,103.123884919,96.349323136,219.796893404,2183883.58226138,1500,33.5,0.87793077617482
"result.3457",0,8,13,103.123884919,94.091135875,225.065997013,2183825.15215697,1500,33.5,0.8776839589622
"result.2531",2,14,9,102.969194786,97.042910194,218.53174433,2183663.22844269,1499,31.5,0.876999969771639
"result.3505",0,11,13,102.309025907,95.587995008,223.287582089,2183644.18191544,1494,32.5,0.876919514485549
"result.1250",1,14,4,103.055807118,97.828338641,216.56655119,2183375.97744335,1500,32.5,0.875786580001053
"result.3827",2,15,14,102.129000251,96.985813188,220.4223027,2183297.0460023,1493,30.5,0.875453162177053
"result.3266",1,12,12,102.64294134,95.94883647,221.64925014,2182906.16638977,1496,32,0.873802030155031
"result.3042",1,14,11,102.228409212,97.042910194,220.013315478,2182651.41033903,1493,31.5,0.872725903747566
"result.3729",0,9,14,102.71726248,94.46989104,224.928312,2182634.2957149,1497,33,0.872653609099668
"result.1761",0,14,6,102.309025907,97.828338641,218.060113612,2182503.06350934,1494,32.5,0.87209926528133
"result.1985",0,12,7,102.71726248,96.71917416,219.67998472,2182461.07077079,1497,33,0.871921881879683
"result.3490",1,10,13,103.055807118,94.841213797,223.287582089,2182398.94686644,1499,32.5,0.871659461521819
"result.3812",3,14,14,102.86374126,96.251072179,220.4223027,2182345.09612395,1498,30.5,0.871431988196288
"result.3027",2,13,11,102.969194786,96.30212462,220.013315478,2181685.52853337,1498,31.5,0.868645879290675
"result.2209",0,10,8,103.123884919,95.596594049,221.302351578,2181663.23829397,1499,33.5,0.868551722095262
"result.1746",1,13,6,103.055807118,97.08155743,218.060113612,2181651.80583705,1499,32.5,0.868503429743582
"result.3777",0,12,14,101.89915191,95.94883647,223.136829,2181632.22056754,1490,32,0.868420698732291
