"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,112.22260142,73.49790093,106.69050135,879996.659865317,993,40,1
"result.4095",14,15,15,111.43230141,73.49790093,106.69050135,873799.500288801,986,40,0.978866838357825
"result.3840",15,15,14,112.22260142,73.49790093,105.90020134,873478.166088537,990,40,0.977771044791193
"result.4080",15,14,15,112.22260142,72.70760092,106.69050135,870534.330189346,988,40,0.967732161793668
"result.4094",13,15,15,110.6420014,73.49790093,106.69050135,867602.340712285,979,40,0.957733676715649
"result.3839",14,15,14,111.43230141,73.49790093,105.90020134,867326.911397773,983,40,0.956794425087108
"result.3584",15,15,13,112.22260142,73.49790093,105.10990133,866959.672311757,986,40,0.955542089582387
"result.4079",14,14,15,111.43230141,72.70760092,106.69050135,864403.806737309,981,40,0.94682623844872
"result.3824",15,14,14,112.22260142,72.70760092,105.90020134,864085.927743499,984,40,0.945742227608612
"result.4093",12,15,15,109.85170139,73.49790093,106.69050135,861405.181135768,972,40,0.936600515073474
"result.3838",13,15,14,110.6420014,73.49790093,105.90020134,861175.656707009,976,40,0.935817805383023
"result.4064",15,13,15,112.22260142,71.91730091,106.69050135,861072.000513375,983,40,0.935464323587335
"result.3583",14,15,13,111.43230141,73.49790093,105.10990133,860854.322506745,979,40,0.934722011816391
"result.3328",15,15,12,112.22260142,73.49790093,104.31960132,860441.178534977,982,40,0.93331313437358
"result.4078",13,14,15,110.6420014,72.70760092,106.69050135,858273.283285271,974,40,0.925920315103772
"result.3823",14,14,14,111.43230141,72.70760092,105.90020134,858000.815576292,977,40,0.924991162955108
"result.3568",15,14,13,112.22260142,72.70760092,105.10990133,857637.525297652,981,40,0.923752293423555
"result.4092",11,15,15,109.06140138,73.49790093,106.69050135,855208.021559252,965,40,0.915467353431298
"result.3837",12,15,14,109.85170139,73.49790093,105.90020134,855024.402016244,969,40,0.914841185678938
"result.4063",14,13,15,111.43230141,71.91730091,106.69050135,855008.113185816,976,40,0.914785638539615
"result.3582",13,15,13,110.6420014,73.49790093,105.10990133,854748.972701732,972,40,0.913901934050396
"result.3808",15,13,14,112.22260142,71.91730091,105.90020134,854693.689398461,979,40,0.91371341042603
"result.3327",14,15,12,111.43230141,73.49790093,104.31960132,854381.733615717,975,40,0.912649598545675
"result.3072",15,15,11,112.22260142,73.49790093,103.52930131,853922.684758197,978,40,0.911084179164773
"result.4077",12,14,15,109.85170139,72.70760092,106.69050135,852142.759833233,967,40,0.905014391758824
"result.3822",13,14,14,110.6420014,72.70760092,105.90020134,851915.703409084,970,40,0.904240098301604
"result.4048",15,12,15,112.22260142,71.1270009,106.69050135,851609.670837404,977,40,0.903196485381003
"result.3567",14,14,13,111.43230141,72.70760092,105.10990133,851597.824415274,974,40,0.903156087461496
"result.3312",15,14,12,112.22260142,72.70760092,104.31960132,851189.122851805,977,40,0.901762359238499
"result.4091",10,15,15,108.27110137,73.49790093,106.69050135,849010.861982736,958,40,0.894334191789123
"result.4062",13,13,15,110.6420014,71.91730091,106.69050135,848944.225858257,969,40,0.894106953491895
"result.3836",11,15,14,109.06140138,73.49790093,105.90020134,848873.14732548,962,40,0.893864565974852
"result.3807",14,13,14,111.43230141,71.91730091,105.90020134,848674.71975481,972,40,0.893187900823108
"result.3581",12,15,13,109.85170139,73.49790093,105.10990133,848643.62289672,965,40,0.893081856284402
"result.3326",13,15,12,110.6420014,73.49790093,104.31960132,848322.288696456,968,40,0.89198606271777
"result.3552",15,13,13,112.22260142,71.91730091,105.10990133,848315.378283547,975,40,0.891962497264724
"result.3071",14,15,11,111.43230141,73.49790093,103.52930131,847909.144724688,972,40,0.890577185274958
"result.2816",15,15,10,112.22260142,73.49790093,102.7390013,847404.190981417,975,40,0.888855223955966
"result.4076",11,14,15,109.06140138,72.70760092,106.69050135,846012.236381196,960,40,0.884108468413877
"result.3821",12,14,14,109.85170139,72.70760092,105.90020134,845830.591241876,963,40,0.8834890336481
"result.4047",14,12,15,111.43230141,71.1270009,106.69050135,845612.419634324,970,40,0.882745038630511
"result.3566",13,14,13,110.6420014,72.70760092,105.10990133,845558.123532897,967,40,0.882559881499436
"result.3792",15,12,14,112.22260142,71.1270009,105.90020134,845301.451053423,973,40,0.881684593243448
"result.3311",14,14,12,111.43230141,72.70760092,104.31960132,845194.833254257,970,40,0.881321011967884
"result.3056",15,14,11,112.22260142,72.70760092,103.52930131,844740.720405958,973,40,0.879772425053443
"result.4061",12,13,15,109.85170139,71.91730091,106.69050135,842880.338530698,962,40,0.873428268444175
"result.4090",9,15,15,107.48080136,73.49790093,106.69050135,842813.70240622,951,40,0.873201030146948
"result.3835",10,15,14,108.27110137,73.49790093,105.90020134,842721.892634716,955,40,0.872887946270767
"result.3806",13,13,14,110.6420014,71.91730091,105.90020134,842655.750111159,965,40,0.872662391220186
"result.3580",11,15,13,109.06140138,73.49790093,105.10990133,842538.273091708,958,40,0.872261778518407
"result.3551",14,13,13,111.43230141,71.91730091,105.10990133,842341.326323804,968,40,0.8715901631066
"result.3325",12,15,12,109.85170139,73.49790093,104.31960132,842262.843777196,961,40,0.871322526889865
"result.4032",15,11,15,112.22260142,70.33670089,106.69050135,842147.341161433,972,40,0.870928647174671
"result.3296",15,13,12,112.22260142,71.91730091,104.31960132,841937.067168633,972,40,0.870211584103419
"result.3070",13,15,11,110.6420014,73.49790093,103.52930131,841895.60469118,965,40,0.870070191385144
