"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4001",0,10,15,144.46912044,94.27222266,114.47341323,1559062.07623842,1500,21,1
"result.4082",1,15,15,143.342058918,96.166191426,113.101118218,1559060.44637804,1494,20.5,0.999988706087929
"result.2545",0,15,9,144.46912044,97.33300911,110.80046949,1558033.456909,1500,21,0.992872312015973
"result.3827",2,15,14,143.946877732,96.166191426,112.496299404,1557266.36070902,1497,20.5,0.987556815591913
"result.2785",0,14,10,144.46912044,96.72085182,111.41262678,1556788.28614181,1499,21,0.984244058140571
"result.4067",2,14,15,143.946877732,95.561372612,113.101118218,1555791.97584055,1496,20.5,0.97734025149456
"result.3025",0,13,11,144.46912044,96.10869453,112.02478407,1555434.83965574,1499,21,0.974865521319482
"result.3572",3,15,13,144.551696546,96.166191426,111.89148059,1555401.91873925,1499,20.5,0.974637399978408
"result.3812",3,14,14,144.551696546,95.561372612,112.496299404,1553974.21682506,1498,20.5,0.964744319528193
"result.3265",0,12,12,144.46912044,95.49653724,112.63694136,1553973.11745078,1498,21,0.964736701552704
"result.4081",0,15,15,142.737240104,96.166191426,113.101118218,1552482.1322583,1488,20.5,0.95440510760254
"result.4052",3,13,15,144.551696546,94.956553798,113.101118218,1552440.75921352,1498,20.5,0.954118418303889
"result.3505",0,11,13,144.46912044,94.88437995,113.24909865,1552403.11952693,1497,21,0.95385759884024
"result.3557",4,14,13,145.15651536,95.561372612,111.89148059,1552086.54400127,1500,20.5,0.951663928640044
"result.3010",1,12,11,145.08127773,95.49653724,112.02478407,1552076.4571886,1500,21,0.951594033343083
"result.3745",0,10,14,144.46912044,94.27222266,113.86125594,1550724.8458842,1496,21,0.942228213182091
"result.3826",1,15,14,143.342058918,96.166191426,112.496299404,1550723.22473965,1490,20.5,0.942216979665271
"result.3797",4,13,14,145.15651536,94.956553798,112.496299404,1550599.769344,1500,20.5,0.941361511062881
"result.3250",1,11,12,145.08127773,94.88437995,112.63694136,1550554.17398833,1499,21,0.941045563793126
"result.2289",0,15,8,144.46912044,97.33300911,110.1883122,1549425.53725757,1496,21,0.933224817833844
"result.4066",1,14,15,143.342058918,95.561372612,113.101118218,1549255.03476559,1490,20.5,0.93204334230782
"result.4037",4,12,15,145.15651536,94.351734984,113.101118218,1549006.79649693,1499,20.5,0.93032320651592
"result.3985",0,9,15,144.46912044,93.66006537,114.47341323,1548938.29652258,1495,21,0.929848544578253
"result.3490",1,10,13,145.08127773,94.27222266,113.24909865,1548923.15627376,1499,21,0.929743632132457
"result.3571",2,15,13,143.946877732,96.166191426,111.89148059,1548893.96092026,1493,20.5,0.92954132661051
"result.2529",0,14,9,144.46912044,96.72085182,110.80046949,1548234.50434982,1495,21,0.924971705431286
"result.3811",2,14,14,143.946877732,95.561372612,112.496299404,1547472.23265424,1492,20.5,0.919689639802347
"result.2034",1,15,7,145.08127773,97.33300911,109.57615491,1547346.50581633,1498,21,0.918818431527144
"result.3730",1,9,14,145.08127773,93.66006537,113.86125594,1547183.40404488,1498,21,0.917688238361077
"result.3316",3,15,12,144.551696546,96.166191426,111.286661776,1546994.34080012,1495,20.5,0.916378148438259
"result.2769",0,13,10,144.46912044,96.10869453,111.41262678,1546935.19572319,1494,21,0.91596831008304
"result.2274",1,14,8,145.08127773,96.72085182,110.1883122,1546204.79341613,1497,21,0.910907079364676
"result.4051",2,13,15,143.946877732,94.956553798,113.101118218,1545945.19118334,1491,20.5,0.909108198415801
"result.3556",3,14,13,144.551696546,95.561372612,111.89148059,1545619.5167346,1494,20.5,0.90685147837509
"result.3009",0,12,11,144.46912044,95.49653724,112.02478407,1545527.61137768,1494,21,0.906214631789108
"result.4022",5,11,15,145.761334174,93.74691617,113.101118218,1545490.08769078,1500,20.5,0.905954616130649
"result.3475",2,9,13,145.69343502,93.66006537,113.24909865,1545358.31586806,1500,21,0.905041519895215
"result.3970",1,8,15,145.08127773,93.04790808,114.47341323,1545334.91730169,1497,21,0.904879382478986
"result.1779",2,15,6,145.69343502,97.33300911,108.96399762,1545194.52590348,1500,21,0.903906557981611
"result.3061",4,15,11,145.15651536,96.166191426,110.681842962,1545024.36437923,1497,20.5,0.902727445148517
"result.2514",1,13,9,145.08127773,96.10869453,110.80046949,1544954.34650163,1497,21,0.902242265091498
"result.3825",0,15,14,142.737240104,96.166191426,112.496299404,1544180.08877028,1484,20.5,0.896877143738627
"result.3796",3,13,14,144.551696546,94.956553798,112.496299404,1544138.93697173,1494,20.5,0.896591987537831
"result.2019",2,14,7,145.69343502,96.72085182,109.57615491,1544102.59280624,1499,21,0.896340145224258
"result.3249",0,11,12,144.46912044,94.88437995,112.63694136,1544011.75131327,1493,21,0.895710670549488
