"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,119.613878415,118.050298305,132.90430935,1876669.1903408,1498,38.5,1
"result.3569",0,15,13,120.04945641,118.48018247,131.81901096,1874925.263854,1500,39,0.99387424828883
"result.3809",0,14,14,120.04945641,117.6955455,132.60364793,1873594.90061097,1499,39,0.989201187254309
"result.4049",0,13,15,120.04945641,116.91090853,133.3882849,1872116.71922981,1499,39,0.984008897215953
"result.3777",0,12,14,120.483457434,116.546089544,133.083034682,1868735.44657689,1500,39.5,0.972131769999616
"result.4082",1,15,15,119.9556435,117.61884525,132.4185675,1868299.43098652,1497,38,0.970600212752799
"result.4017",0,11,15,120.483457434,115.758615966,133.87050826,1867091.74835904,1499,39.5,0.966358082148186
"result.3570",1,15,13,120.39566847,118.050298305,131.34072924,1866712.23731246,1499,38.5,0.965025003913184
"result.3825",0,15,14,119.613878415,118.050298305,132.122519295,1865629.95980938,1493,38.5,0.961223373903748
"result.3810",1,14,14,120.39566847,117.26850825,132.122519295,1865387.70166631,1498,38.5,0.960372413014218
"result.4065",0,14,15,119.613878415,117.26850825,132.90430935,1864240.91755709,1493,38.5,0.956344195785676
"result.4050",1,13,15,120.39566847,116.486718195,132.90430935,1863915.99539281,1498,38.5,0.955202867570923
"result.3313",0,15,12,120.04945641,118.48018247,131.03437399,1863764.9944263,1495,39,0.954672458499237
"result.3298",1,14,12,120.83409338,117.6955455,131.03437399,1863522.97845507,1500,39,0.953822348267466
"result.3553",0,14,13,120.04945641,117.6955455,131.81901096,1862508.54025232,1495,39,0.950259011966633
"result.3538",1,13,13,120.83409338,116.91090853,131.81901096,1862183.92002744,1500,39,0.949118744350367
"result.3985",0,9,15,120.91590153,114.59350145,134.3510017,1861591.19751911,1500,40,0.947036735190503
"result.2801",0,15,10,120.483457434,118.908510278,129.93314037,1861488.2317073,1497,39.5,0.946675055381946
"result.3793",0,13,14,120.04945641,116.91090853,132.60364793,1861104.26794023,1494,39,0.945326336430194
"result.3828",3,15,14,121.066134072,117.185809262,131.154978578,1860726.22648373,1500,37.5,0.943998420307241
"result.3778",1,12,14,120.83409338,116.12627156,132.60364793,1860696.07733007,1499,39,0.943892517775811
"result.3041",0,14,11,120.483457434,118.1210367,130.720613948,1860367.52837696,1497,39.5,0.942738450028698
"result.4083",2,15,15,120.29006911,117.185809262,131.93104354,1859738.1303234,1495,37.5,0.940527613601378
"result.4033",0,12,15,120.04945641,116.12627156,133.3882849,1859552.17749002,1494,39,0.93987443188992
"result.4068",3,14,15,121.066134072,116.4097443,131.93104354,1859340.83527313,1500,37.5,0.939132066912644
"result.3281",0,13,12,120.483457434,117.333563122,131.508087526,1859097.3979359,1496,39.5,0.938276963961684
"result.4018",1,11,15,120.83409338,115.34163459,133.3882849,1859059.45036297,1498,39,0.9381436685438
"result.2289",0,15,8,120.91590153,119.33530151,128.81890163,1858796.92269931,1499,40,0.937221508523262
"result.3571",2,15,13,120.73457625,117.61884525,130.860702,1858308.52493847,1497,38,0.9355059525971
"result.2529",0,14,9,120.91590153,118.5450015,129.60920164,1857815.15046532,1498,40,0.933772915369908
"result.3521",0,12,13,120.483457434,116.546089544,132.295561104,1857677.84038412,1496,39.5,0.933290597180903
"result.3826",1,15,14,119.9556435,117.61884525,131.63963475,1857309.43433366,1492,38,0.93199652658153
"result.3506",1,11,13,121.270931012,115.758615966,132.295561104,1857185.60990177,1500,39.5,0.931561578359084
"result.3811",2,14,14,120.73457625,116.8399125,131.63963475,1856989.95219135,1497,38,0.930874307098783
"result.2769",0,13,10,120.91590153,117.75470149,130.39950165,1856682.33634919,1498,40,0.929793769423729
"result.3059",2,15,11,121.177458525,118.050298305,129.77714913,1856466.67694997,1499,38.5,0.929036239823851
"result.3761",0,11,14,120.483457434,115.758615966,133.083034682,1856108.85572164,1495,39.5,0.927779349686356
"result.4066",1,14,15,119.9556435,116.8399125,132.4185675,1855926.5870727,1492,38,0.927139109116271
"result.3314",1,15,12,120.39566847,118.050298305,130.558939185,1855600.85494751,1494,38.5,0.925994935816302
"result.3746",1,10,14,121.270931012,114.971142388,133.083034682,1855531.16855832,1500,39.5,0.925750153985749
"result.4051",2,13,15,120.73457625,116.06097975,132.4185675,1855524.87136122,1496,38,0.925728034322877
"result.3009",0,12,11,120.91590153,116.96440148,131.18980166,1855398.4803509,1497,40,0.925284070684727
"result.3299",2,14,12,121.177458525,117.26850825,130.558939185,1855281.66670377,1499,38.5,0.924873748687692
"result.4001",0,10,15,120.483457434,114.971142388,133.87050826,1854390.44394844,1494,39.5,0.921743221478042
"result.3554",1,14,13,120.39566847,117.26850825,131.34072924,1854349.90461503,1494,38.5,0.921600822189501
"result.3249",0,11,12,120.91590153,116.17410147,131.98010167,1853963.58247046,1497,40,0.9202438191529
"result.3539",2,13,13,121.177458525,116.486718195,131.34072924,1853948.5301768,1498,38.5,0.920190946159511
"result.3986",1,9,15,121.270931012,114.18366881,133.87050826,1853726.32345638,1499,39.5,0.919410418305747
"result.2802",1,15,10,120.83409338,118.48018247,129.46510005,1853480.04024783,1496,39,0.918545318889218
"result.3794",1,13,14,120.39566847,116.486718195,132.122519295,1852951.7836552,1493,38.5,0.91668975401837
"result.3057",0,15,11,120.04945641,118.48018247,130.24973702,1852604.7249986,1491,39,0.915470668709642
"result.3779",2,12,14,121.177458525,115.70492814,132.122519295,1852467.26736905,1498,38.5,0.914987832239311
"result.3489",0,10,13,120.91590153,115.38380146,132.77040168,1852377.64270786,1496,40,0.914673014828251
"result.3042",1,14,11,120.83409338,117.6955455,130.24973702,1852364.1582248,1496,39,0.914625648958302
"result.3027",2,13,11,121.61873035,116.91090853,130.24973702,1851963.21360181,1500,39,0.913217282706068
"result.3829",4,15,14,121.3902805,116.7511615,130.6685185,1851893.86080316,1499,37,0.912973672652429
"result.3297",0,14,12,120.04945641,117.6955455,131.03437399,1851422.17989368,1490,39,0.911316836678957
"result.4034",1,12,15,120.39566847,115.70492814,132.90430935,1851406.49206802,1492,38.5,0.911261731302909
"result.3282",1,13,12,120.83409338,116.91090853,131.03437399,1851099.49193204,1495,39,0.91018335636993
"result.4084",3,15,15,120.617094,116.7511615,131.441705,1850986.51447254,1494,37,0.909786509443701
"result.2290",1,15,8,121.270931012,118.908510278,128.358193214,1850943.85392421,1498,39.5,0.90963665913241
"result.4019",2,11,15,121.177458525,114.923138085,132.90430935,1850837.87828053,1497,38.5,0.909264406927091
"result.3729",0,9,14,120.91590153,114.59350145,133.56070169,1850640.66106312,1495,40,0.908571657710777
"result.3267",2,12,12,121.61873035,116.12627156,131.03437399,1850615.45998958,1500,39,0.90848313590639
"result.4069",4,14,15,121.3902805,115.977975,131.441705,1850515.0456711,1498,37,0.908130418525259
"result.2545",0,15,9,120.483457434,118.908510278,129.145666792,1850206.48484847,1493,39.5,0.907046561492583
"result.3537",0,13,13,120.04945641,116.91090853,131.81901096,1850091.81665064,1490,39,0.906643775644436
"result.2530",1,14,9,121.270931012,118.1210367,129.145666792,1849966.22949399,1497,39.5,0.906202635639076
"result.3714",1,8,14,121.70620154,113.80320144,133.56070169,1849889.89406066,1500,40,0.905934498240564
"result.3572",3,15,13,121.066134072,117.185809262,130.378913616,1849716.01212583,1496,37.5,0.905323717013335
"result.3522",1,12,13,120.83409338,116.12627156,131.81901096,1849686.04136954,1495,39,0.905218441124102
"result.2785",0,14,10,120.483457434,118.1210367,129.93314037,1849160.49507348,1492,39.5,0.903372396496218
"result.3507",2,11,13,121.61873035,115.34163459,131.81901096,1849117.955976,1499,39,0.903222972795636
"result.2770",1,13,10,121.270931012,117.333563122,129.93314037,1848838.20130528,1497,39.5,0.902240300839075
"result.3827",2,15,14,120.29006911,117.185809262,131.154978578,1848798.49426268,1491,37.5,0.902100825072176
"result.3969",0,8,15,120.91590153,113.80320144,134.3510017,1848752.63753622,1495,40,0.901939747800479
"result.3812",3,14,14,121.066134072,116.4097443,131.154978578,1848403.53624211,1495,37.5,0.90071348748161
