"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3521",0,12,13,115.488399753,116.637538059,144.791426556,1950381.43688868,1500,18.5,1
"result.3761",0,11,14,115.488399753,116.062968906,145.365995709,1948475.12928362,1500,18.5,0.989670745501417
"result.2545",0,15,9,115.488399753,118.361245518,142.493149944,1947788.8585458,1499,18.5,0.985952213881927
"result.4001",0,10,15,115.488399753,115.488399753,145.940564862,1946492.56937436,1499,18.5,0.97892832082289
"result.2785",0,14,10,115.488399753,117.786676365,143.067719097,1946149.43400545,1499,18.5,0.977069055013145
"result.3025",0,13,11,115.488399753,117.212107212,143.64228825,1944433.75716089,1498,18.5,0.96777272596442
"result.4084",3,15,15,115.61792208,116.75143112,143.95564808,1943193.64573975,1498,18,0.961053229886434
"result.3265",0,12,12,115.488399753,116.637538059,144.216857403,1942641.82801214,1497,18.5,0.958063226735751
"result.3490",1,10,13,116.062968906,115.488399753,144.791426556,1940773.64655918,1500,18.5,0.94794055732714
"result.3505",0,11,13,115.488399753,116.062968906,144.791426556,1940773.64655918,1497,18.5,0.94794055732714
"result.2274",1,14,8,116.062968906,117.786676365,141.918580791,1940122.27737353,1500,18.5,0.944411138426827
"result.2289",0,15,8,115.488399753,118.361245518,141.918580791,1939934.87121295,1496,18.5,0.943395685347763
"result.3745",0,10,14,115.488399753,115.488399753,145.365995709,1938829.21280202,1496,18.5,0.937404717738584
"result.3730",1,9,14,116.062968906,114.9138306,145.365995709,1938781.22316778,1500,18.5,0.937144687749714
"result.2514",1,13,9,116.062968906,117.212107212,142.493149944,1938474.69649218,1499,18.5,0.935483784737803
"result.2529",0,14,9,115.488399753,117.786676365,142.493149944,1938333.5728247,1496,18.5,0.934719111568953
"result.3573",4,15,13,116.1846766,116.75143112,142.82213904,1937343.36380491,1500,18,0.929353702048962
"result.3985",0,9,15,115.488399753,114.9138306,145.940564862,1936808.52674066,1495,18.5,0.926455707970086
"result.2754",1,12,10,116.062968906,116.637538059,143.067719097,1936750.48394193,1499,18.5,0.926141205295801
"result.3970",1,8,15,116.062968906,114.339261447,145.940564862,1936712.16810748,1499,18.5,0.925933592419311
"result.2769",0,13,10,115.488399753,117.212107212,143.067719097,1936656.02213225,1495,18.5,0.925629367610199
"result.3813",4,14,14,116.1846766,116.1846766,143.38889356,1935589.33510059,1499,18,0.919849564921938
"result.3828",3,15,14,115.61792208,116.75143112,143.38889356,1935543.27705573,1495,18,0.919600001175894
"result.2994",1,11,11,116.062968906,116.062968906,143.64228825,1934949.63972279,1498,18.5,0.91638340010082
"result.3009",0,12,11,115.488399753,116.637538059,143.64228825,1934902.2191356,1494,18.5,0.916126453471502
"result.1778",1,15,6,116.062968906,118.361245518,140.769442485,1933800.16468929,1498,18.5,0.910155013806153
"result.4053",4,13,15,116.1846766,115.61792208,143.95564808,1933760.66687693,1498,18,0.909940996427806
"result.4068",3,14,15,115.61792208,116.1846766,143.95564808,1933760.66687693,1495,18,0.909940996427806
"result.4083",2,15,15,115.05116756,116.75143112,143.95564808,1933668.186692,1491,18,0.90943989609978
"result.3234",1,10,12,116.062968906,115.488399753,144.216857403,1933072.16383474,1497,18.5,0.906210369152862
"result.3249",0,11,12,115.488399753,116.062968906,144.216857403,1933072.16383474,1494,18.5,0.906210369152862
"result.2018",1,14,7,116.062968906,117.786676365,141.344011638,1932267.53131129,1497,18.5,0.901850498746594
"result.2033",0,15,7,115.488399753,118.361245518,141.344011638,1932080.88388011,1493,18.5,0.900839156813599
"result.3489",0,10,13,115.488399753,115.488399753,144.791426556,1931165.85622968,1493,18.5,0.895881114654278
"result.3474",1,9,13,116.062968906,114.9138306,144.791426556,1931118.05627779,1497,18.5,0.895622112451926
"result.3459",2,8,13,116.637538059,114.339261447,144.791426556,1930974.65642213,1500,18.5,0.894845105844869
"result.2243",2,12,8,116.637538059,116.637538059,141.918580791,1930705.11780454,1500,18.5,0.893384621203825
"result.2258",1,13,8,116.062968906,117.212107212,141.918580791,1930658.26626439,1496,18.5,0.893130757934059
"result.2273",0,14,8,115.488399753,117.786676365,141.918580791,1930517.71164396,1493,18.5,0.89236916812476
"result.3302",5,14,12,116.75143112,116.1846766,142.25538452,1929655.49331362,1500,18,0.887697271236899
"result.3317",4,15,12,116.1846766,116.75143112,142.25538452,1929655.49331362,1497,18,0.887697271236899
