"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3041",0,14,11,116.56375668,139.876508016,118.506485958,1932192.70311144,1500,23.5,1
"result.3827",2,15,14,116.5988369,139.02169015,119.1614487,1931579.36353815,1500,23,0.996647211931907
"result.4082",1,15,15,115.95818395,139.02169015,119.80210165,1931294.06586541,1496,23,0.995087647418729
"result.2801",0,15,10,116.56375668,140.524084442,117.858909532,1930530.72800757,1500,23.5,0.990914901727509
"result.3985",0,9,15,116.56375668,136.638625886,121.096791662,1928722.1080416,1499,23.5,0.981028177136857
"result.3745",0,10,14,116.56375668,137.286202312,120.449215236,1927500.06752404,1498,23.5,0.974347957818848
"result.3505",0,11,13,116.56375668,137.933778738,119.80163881,1926180.26376509,1498,23.5,0.9671333209554
"result.3265",0,12,12,116.56375668,138.581355164,119.154062384,1924762.69676473,1497,23.5,0.959384266546511
"result.4051",2,13,15,116.5988369,137.74038425,119.80210165,1924065.91127921,1497,23,0.955575325849373
"result.3025",0,13,11,116.56375668,139.22893159,118.506485958,1923247.36652296,1497,23.5,0.951100794592181
"result.3811",2,14,14,116.5988369,138.3810372,119.1614487,1922678.07614858,1497,23,0.947988799120751
"result.4066",1,14,15,115.95818395,138.3810372,119.80210165,1922394.09321165,1493,23,0.946436421540814
"result.2530",1,14,9,117.211333106,139.876508016,117.211333106,1921692.93098464,1500,23.5,0.942603555619674
"result.2785",0,14,10,116.56375668,139.876508016,117.858909532,1921634.27303979,1496,23.5,0.94228290509241
"result.3316",3,15,12,117.23948985,139.02169015,117.8801428,1921308.64731941,1500,23,0.940502889457496
"result.3571",2,15,13,116.5988369,139.02169015,118.52079575,1921194.52825032,1496,23,0.939879063652225
"result.3954",1,7,15,117.211333106,135.343473034,121.096791662,1921053.93957624,1500,23.5,0.939110543162947
"result.3826",1,15,14,115.95818395,139.02169015,119.1614487,1920966.29011212,1492,23,0.938631412041683
"result.4081",0,15,15,115.317531,139.02169015,119.80210165,1920623.93290483,1488,23,0.936759934625869
"result.2290",1,15,8,117.211333106,140.524084442,116.56375668,1919923.41631522,1500,23.5,0.932930598047199
"result.2545",0,15,9,116.56375668,140.524084442,117.211333106,1919923.41631522,1495,23.5,0.932930598047199
"result.3714",1,8,14,117.211333106,135.99104946,120.449215236,1919923.41631522,1500,23.5,0.932930598047199
"result.3969",0,8,15,116.56375668,135.99104946,121.096791662,1919581.24497031,1495,23.5,0.931060136638157
"result.3474",1,9,13,117.211333106,136.638625886,119.80163881,1918694.58668368,1499,23.5,0.926213266399646
"result.3729",0,9,14,116.56375668,136.638625886,120.449215236,1918408.08607346,1495,23.5,0.924647126092869
"result.3234",1,10,12,117.211333106,137.286202312,119.154062384,1917367.45068162,1499,23.5,0.918958548220289
"result.3489",0,10,13,116.56375668,137.286202312,119.80163881,1917137.1639352,1494,23.5,0.91769969800214
"result.4020",3,11,15,117.23948985,136.45907835,119.80210165,1916641.07221447,1499,23,0.914987839067244
"result.2994",1,11,11,117.211333106,137.933778738,118.506485958,1915942.00830904,1498,23.5,0.911166443509128
"result.3249",0,11,12,116.56375668,137.933778738,119.154062384,1915768.47855555,1494,23.5,0.910217852365972
"result.3780",3,12,14,117.23948985,137.0997313,119.1614487,1915341.85027805,1498,23,0.90788571163903
"result.4035",2,12,15,116.5988369,137.0997313,119.80210165,1915116.76750582,1494,23,0.906655308668264
"result.2754",1,12,10,117.211333106,138.581355164,117.858909532,1914418.25956593,1497,23.5,0.902836952266163
"result.3009",0,12,11,116.56375668,138.581355164,118.506485958,1914302.02993448,1493,23.5,0.902201589184362
"result.3540",3,13,13,117.23948985,137.74038425,118.52079575,1913946.38967966,1497,23,0.900257500697613
"result.3795",2,13,14,116.5988369,137.74038425,119.1614487,1913776.788759,1493,23,0.899330386309595
"result.4050",1,13,15,115.95818395,137.74038425,119.80210165,1913494.1205579,1489,23,0.897785195662898
"result.2514",1,13,9,117.211333106,139.22893159,117.211333106,1912796.2044523,1497,23.5,0.893970074491394
"result.2769",0,13,10,116.56375668,139.22893159,117.858909532,1912737.81807202,1493,23.5,0.893650908457311
"result.3300",3,14,12,117.23948985,138.3810372,117.8801428,1912454.69041932,1497,23,0.892103206242997
"result.3555",2,14,13,116.5988369,138.3810372,118.52079575,1912341.09724455,1493,23,0.891482255211022
"result.3137",0,4,12,117.7984134,134.81373978,120.41615592,1912310.26558849,1500,24,0.891313715607372
"result.3810",1,14,14,115.95818395,138.3810372,119.1614487,1912113.91089501,1489,23,0.890240353147071
"result.3938",1,6,15,117.211333106,134.695896608,121.096791662,1911862.29393233,1496,23.5,0.888864902439254
"result.4065",0,14,15,115.317531,138.3810372,119.80210165,1911773.13137071,1484,23,0.888377500051147
"result.4071",6,14,15,117.857883138,136.867219128,118.491527671,1911372.69888469,1500,22.5,0.886188557221327
"result.2897",0,5,11,117.7984134,135.46817541,119.76172029,1911149.88314577,1500,24,0.884970546867266
"result.2274",1,14,8,117.211333106,139.876508016,116.56375668,1911075.84296815,1496,23.5,0.88456581018482
"result.2529",0,14,9,116.56375668,139.876508016,117.211333106,1911075.84296815,1492,23.5,0.88456581018482
"result.3443",2,7,13,117.858909532,135.343473034,119.80163881,1911007.95182828,1500,23.5,0.884194686889375
"result.1473",0,12,5,117.7984134,140.04922482,115.83510651,1910998.52891412,1500,24,0.8841431770316
"result.2019",2,14,7,117.858909532,139.876508016,115.916180254,1910958.52707846,1500,23.5,0.883924509130291
"result.3060",3,15,11,117.23948985,139.02169015,117.23948985,1910866.75249702,1496,23,0.883422828275179
"result.2805",4,15,10,117.8801428,139.02169015,116.5988369,1910809.69296248,1500,23,0.883110915372544
"result.3315",2,15,12,116.5988369,139.02169015,117.8801428,1910809.69296248,1492,23,0.883110915372544
