"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,103.52930131,71.91730091,117.75470149,876748.272197213,952,40,1
"result.3840",15,15,14,103.52930131,71.91730091,116.96440148,870864.055605285,949,40,0.979960832765997
"result.4095",14,15,15,102.7390013,71.91730091,117.75470149,870055.537294944,945,40,0.977207359405599
"result.4080",15,14,15,103.52930131,71.1270009,117.75470149,867113.675799441,947,40,0.967188616287181
"result.3584",15,15,13,103.52930131,71.91730091,116.17410147,864979.839013358,946,40,0.959921665531993
"result.3839",14,15,14,102.7390013,71.91730091,116.96440148,864216.238386924,942,40,0.957321162913841
"result.4094",13,15,15,101.94870129,71.91730091,117.75470149,863362.802392675,938,40,0.954414718811199
"result.3824",15,14,14,103.52930131,71.1270009,116.96440148,861294.120928304,944,40,0.947369659682123
"result.4079",14,14,15,102.7390013,71.1270009,117.75470149,860494.48743456,940,40,0.944646444270741
"result.3328",15,15,12,103.52930131,71.91730091,115.38380146,859095.62242143,943,40,0.93988249829799
"result.3583",14,15,13,102.7390013,71.91730091,116.17410147,858376.939478904,939,40,0.937434966422082
"result.3838",13,15,14,101.94870129,71.91730091,116.96440148,857568.421168563,935,40,0.934681493061684
"result.4064",15,13,15,103.52930131,70.33670089,117.75470149,857479.07940167,942,40,0.934377232574363
"result.4093",12,15,15,101.15840128,71.91730091,117.75470149,856670.067490406,930,40,0.931622078216798
"result.3568",15,14,13,103.52930131,71.1270009,116.17410147,855474.566057167,941,40,0.927550703077065
"result.3823",14,14,14,102.7390013,71.1270009,116.96440148,854719.356646409,937,40,0.92497877741076
"result.4078",13,14,15,101.94870129,71.1270009,117.75470149,853875.299069679,933,40,0.922104272254301
"result.3072",15,15,11,103.52930131,71.91730091,114.59350145,853211.405829502,939,40,0.919843331063987
"result.3327",14,15,12,102.7390013,71.91730091,115.38380146,852537.640570885,935,40,0.917548769930323
"result.3582",13,15,13,101.94870129,71.91730091,116.17410147,851774.039944451,931,40,0.914948267312169
"result.3808",15,13,14,103.52930131,70.33670089,116.96440148,851724.186251323,939,40,0.91477848659825
"result.4063",14,13,15,102.7390013,70.33670089,117.75470149,850933.437574176,935,40,0.912085529135883
"result.3837",12,15,14,101.15840128,71.91730091,116.96440148,850920.603950202,927,40,0.912041823209528
"result.4092",11,15,15,100.36810127,71.91730091,117.75470149,849977.332588138,923,40,0.908829437622398
"result.3312",15,14,12,103.52930131,71.1270009,115.38380146,849655.01118603,937,40,0.907731746472007
"result.3567",14,14,13,102.7390013,71.1270009,116.17410147,848944.225858257,933,40,0.905311110550779
"result.3822",13,14,14,101.94870129,71.1270009,116.96440148,848144.592364513,929,40,0.902587895139397
"result.4048",15,12,15,103.52930131,69.54640088,117.75470149,847844.483003898,936,40,0.901565848861545
"result.2816",15,15,10,103.52930131,71.91730091,113.80320144,847327.189237575,936,40,0.899804163829984
"result.4077",12,14,15,101.15840128,71.1270009,117.75470149,847256.110704798,925,40,0.899562100237861
"result.3071",14,15,11,102.7390013,71.91730091,114.59350145,846698.341662865,932,40,0.897662573438564
"result.3326",13,15,12,101.94870129,71.91730091,115.38380146,845979.658720339,928,40,0.895215041562655
"result.3552",15,13,13,103.52930131,70.33670089,116.17410147,845969.293100976,935,40,0.895179740622137
"result.3807",14,13,14,102.7390013,70.33670089,116.96440148,845222.474905893,931,40,0.89263639190768
"result.3581",12,15,13,101.15840128,71.91730091,116.17410147,845171.140409998,924,40,0.892461568202258
"result.4062",13,13,15,101.94870129,70.33670089,117.75470149,844387.795746682,927,40,0.889793825697404
"result.3836",11,15,14,100.36810127,71.91730091,116.96440148,844272.786731841,920,40,0.889402153357372
"result.3056",15,14,11,103.52930131,71.1270009,114.59350145,843835.456314893,934,40,0.887912789866949
"result.4091",10,15,15,99.57780126,71.91730091,117.75470149,843284.597685869,916,40,0.886036797027997
"result.3311",14,14,12,102.7390013,71.1270009,115.38380146,843169.095070106,930,40,0.885643443690797
"result.3566",13,14,13,101.94870129,71.1270009,116.17410147,842413.885659348,926,40,0.883071518024492
"result.3792",15,12,14,103.52930131,69.54640088,116.96440148,842154.251574342,933,40,0.882187313514377
"result.3821",12,14,14,101.15840128,71.1270009,116.96440148,841569.828082618,922,40,0.880197012868033
"result.2560",15,15,9,103.52930131,71.91730091,113.01290143,841442.972645647,933,40,0.879764996595981
"result.4047",14,12,15,102.7390013,69.54640088,117.75470149,841372.387713792,929,40,0.879524614001026
"result.2815",14,15,10,102.7390013,71.91730091,113.80320144,840859.042754845,929,40,0.877776376946805
"result.4076",11,14,15,100.36810127,71.1270009,117.75470149,840636.922339916,918,40,0.877019928221421
"result.3296",15,13,12,103.52930131,70.33670089,115.38380146,840214.399950629,932,40,0.875580994646024
"result.3070",13,15,11,101.94870129,71.91730091,114.59350145,840185.277496228,925,40,0.87548181581314
"result.3551",14,13,13,102.7390013,70.33670089,116.17410147,839511.51223761,928,40,0.873187254679476
"result.3325",12,15,12,101.15840128,71.91730091,115.38380146,839421.676869794,921,40,0.872881313194987
"result.3806",13,13,14,101.94870129,70.33670089,116.96440148,838720.763560463,924,40,0.870494297217109
"result.3580",11,15,13,100.36810127,71.91730091,116.17410147,838568.240875545,917,40,0.869974869092345
"result.4032",15,11,15,103.52930131,68.75610087,117.75470149,838209.886606127,931,40,0.868754465148726
"result.2800",15,14,10,103.52930131,71.1270009,113.80320144,838015.901443755,931,40,0.868093833261891
"result.4061",12,13,15,101.15840128,70.33670089,117.75470149,837842.153919189,920,40,0.867502122258924
"result.3835",10,15,14,99.57780126,71.91730091,116.96440148,837624.96951348,913,40,0.866762483505215
"result.3055",14,14,11,102.7390013,71.1270009,114.59350145,837393.964281954,927,40,0.865975776830816
"result.3310",13,14,12,101.94870129,71.1270009,115.38380146,836683.178954182,923,40,0.863555140909588
"result.4090",9,15,15,98.78750125,71.91730091,117.75470149,836591.8627836,909,40,0.863244156433596
"result.3536",15,12,13,103.52930131,69.54640088,116.17410147,836464.020144785,930,40,0.862808778167209
"result.3565",12,14,13,101.15840128,71.1270009,116.17410147,835883.545460438,919,40,0.860831925498205
"result.3791",14,12,14,102.7390013,69.54640088,116.96440148,835725.593165377,926,40,0.860294006404599
"result.2304",15,15,8,103.52930131,71.91730091,112.22260142,835558.75605372,930,40,0.859725829361978
"result.2559",14,15,9,102.7390013,71.91730091,113.01290143,835019.743846825,926,40,0.857890180455046
"result.3820",11,14,14,100.36810127,71.1270009,116.96440148,834995.063800722,915,40,0.85780613059667
"result.4046",13,12,15,101.94870129,69.54640088,117.75470149,834900.292423686,922,40,0.857483379140506
"result.3040",15,13,11,103.52930131,70.33670089,114.59350145,834459.506800283,929,40,0.855982248669911
