"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,134.332640996,93.779390884,133.06535193,1676308.50168926,1500,22.5,1
"result.4081",0,15,15,133.698996463,93.779390884,133.06535193,1668401.38611525,1493,22.5,0.95344057381347
"result.3826",1,15,14,134.332640996,93.779390884,132.431707397,1668326.08025264,1497,22.5,0.95299715070693
"result.3571",2,15,13,134.966285529,93.779390884,131.798062864,1668175.46852743,1500,22.5,0.952110304493854
"result.4001",0,10,15,135.17777245,91.61337185,134.5371195,1666120.00251674,1500,23,0.940007115017551
"result.3265",0,12,12,135.17777245,92.89467775,132.61516065,1665287.77474326,1500,23,0.935106712686602
"result.4066",1,14,15,134.332640996,93.145746351,133.06535193,1664982.09289406,1495,22.5,0.93330676789497
"result.3811",2,14,14,134.966285529,93.145746351,132.431707397,1664869.89733524,1499,22.5,0.932646127388269
"result.2529",0,14,9,135.17777245,94.17598365,130.6932018,1663789.76475099,1499,23,0.926285988490891
"result.3505",0,11,13,135.17777245,92.2540248,133.2558136,1661792.41809462,1498,23,0.914525022896611
"result.4051",2,13,15,134.966285529,92.512101818,133.06535193,1661455.94675971,1497,22.5,0.912543780541516
"result.3796",3,13,14,135.599930062,92.512101818,132.431707397,1661307.37032807,1500,22.5,0.911668918736724
"result.2769",0,13,10,135.17777245,93.5353307,131.33385475,1660571.81736018,1498,23,0.90733776614455
"result.3825",0,15,14,133.698996463,93.779390884,132.431707397,1660456.61760994,1489,22.5,0.906659436073669
"result.3570",1,15,13,134.332640996,93.779390884,131.798062864,1660343.65881603,1493,22.5,0.905994301413861
"result.3315",2,15,12,134.966285529,93.779390884,131.164418331,1660155.39415951,1496,22.5,0.904885743647515
"result.3060",3,15,11,135.599930062,93.779390884,130.530773798,1659891.82364037,1500,22.5,0.903333762774631
"result.2033",0,15,7,135.17777245,94.8166366,129.4118959,1658685.43440695,1497,23,0.89623018752773
"result.1778",1,15,6,135.8184254,94.8166366,128.77124295,1658296.2726045,1500,23,0.8939386881755
"result.3745",0,10,14,135.17777245,91.61337185,133.89646655,1658186.09774286,1497,23,0.893289946129161
"result.3490",1,10,13,135.8184254,91.61337185,133.2558136,1658073.29340958,1500,23,0.892625720979088
"result.4036",3,12,15,135.599930062,91.878457285,133.06535193,1657822.94771219,1499,22.5,0.89115161175311
"result.3009",0,12,11,135.17777245,92.89467775,131.9745077,1657242.90626624,1496,23,0.88773615682075
"result.4065",0,14,15,133.698996463,93.145746351,133.06535193,1657128.40377664,1488,22.5,0.887061932425915
"result.3810",1,14,14,134.332640996,93.145746351,132.431707397,1657053.60673742,1491,22.5,0.886621505421447
"result.2754",1,12,10,135.8184254,92.89467775,131.33385475,1657014.14223372,1500,23,0.886389126796128
"result.3555",2,14,13,134.966285529,93.145746351,131.798062864,1656904.012659,1495,22.5,0.885740651412513
"result.3300",3,14,12,135.599930062,93.145746351,131.164418331,1656679.62154136,1498,22.5,0.884419370399111
"result.2273",0,14,8,135.17777245,94.17598365,130.05254885,1655633.93257084,1496,23,0.878262045647579
"result.2018",1,14,7,135.8184254,94.17598365,129.4118959,1655286.0534731,1499,23,0.876213631023931
"result.3985",0,9,15,135.17777245,90.9727189,134.5371195,1654468.81368796,1495,23,0.871401482384249
"result.3730",1,9,14,135.8184254,90.9727189,133.89646655,1654394.13669343,1498,23,0.870961762238282
"result.3249",0,11,12,135.17777245,92.2540248,132.61516065,1653803.03146917,1495,23,0.867481160519489
"result.4050",1,13,15,134.332640996,92.512101818,133.06535193,1653655.68409887,1490,22.5,0.866613535789938
"result.2994",1,11,11,135.8184254,92.2540248,131.9745077,1653613.70951122,1498,23,0.866366377050838
"result.3795",2,13,14,134.966285529,92.512101818,132.431707397,1653544.25177514,1493,22.5,0.865957389436344
"result.3540",3,13,13,135.599930062,92.512101818,131.798062864,1653358.53123559,1497,22.5,0.864863812180354
"result.3285",4,13,12,136.233574595,92.512101818,131.164418331,1653098.52248023,1500,22.5,0.863332804021968
"result.3569",0,15,13,133.698996463,93.779390884,131.798062864,1652511.84910463,1486,22.5,0.859878298333869
"result.2513",0,13,9,135.17777245,93.5353307,130.6932018,1652471.46703159,1494,23,0.859640516789969
"result.3314",1,15,12,134.332640996,93.779390884,131.164418331,1652361.23737941,1489,22.5,0.858991452120791
"result.2258",1,13,8,135.8184254,93.5353307,130.05254885,1652164.34474425,1497,23,0.857832090274155
"result.3059",2,15,11,134.966285529,93.779390884,130.530773798,1652135.31979159,1493,22.5,0.857661182801177
"result.2804",3,15,10,135.599930062,93.779390884,129.897129265,1651834.09634115,1496,22.5,0.855887490375023
"result.2549",4,15,9,136.233574595,93.779390884,129.263484732,1651457.5670281,1499,22.5,0.853670374842331
"result.4086",5,15,15,135.33850008,92.73193524,131.5790973,1651344.12178952,1494,22,0.85300237585302
"result.3831",6,15,14,135.96506721,92.73193524,130.95253017,1651089.28473369,1498,22,0.851501820185212
"result.3970",1,8,15,135.8184254,90.33206595,134.5371195,1650603.49037983,1497,23,0.848641319899267
"result.3715",2,8,14,136.45907835,90.33206595,133.89646655,1650492.26372953,1500,23,0.847986384611434
"result.1777",0,15,6,135.17777245,94.8166366,128.77124295,1650474.12037523,1493,23,0.847879551195689
"result.3489",0,10,13,135.17777245,91.61337185,133.2558136,1650252.19296897,1493,23,0.846572777240769
"result.3234",1,10,12,135.8184254,91.61337185,132.61516065,1650101.78719126,1497,23,0.84568714370734
"result.4035",2,12,15,134.966285529,91.878457285,133.06535193,1650076.11150793,1492,22.5,0.845535957719008
"result.1522",1,15,5,135.8184254,94.8166366,128.13059,1650046.04239253,1497,23,0.845358901908236
"result.3780",3,12,14,135.599930062,91.878457285,132.431707397,1649928.55272309,1495,22.5,0.844667088118359
"result.2979",2,10,11,136.45907835,91.61337185,131.9745077,1649876.17852471,1500,23,0.844358693407196
"result.3525",4,12,13,136.233574595,91.878457285,131.798062864,1649707.21454582,1499,22.5,0.843363783717385
"result.1267",2,15,4,136.45907835,94.8166366,127.48993705,1649540.13204935,1500,23,0.842379952750339
"result.3809",0,14,14,133.698996463,93.145746351,132.431707397,1649237.31613961,1484,22.5,0.840596883454626
"result.2753",0,12,10,135.17777245,92.89467775,131.33385475,1649198.03778922,1493,23,0.840365600954898
"result.3554",1,14,13,134.332640996,93.145746351,131.798062864,1649125.12058079,1488,22.5,0.839936242947925
"result.3299",2,14,12,134.966285529,93.145746351,131.164418331,1648938.12798275,1491,22.5,0.838835175436757
"result.2498",1,12,9,135.8184254,92.89467775,130.6932018,1648931.14641794,1496,23,0.838794065926173
"result.3169",0,6,12,136.638625886,90.013123214,134.048320182,1648696.41160668,1500,23.5,0.837411878197137
"result.3044",3,14,11,135.599930062,93.145746351,130.530773798,1648676.3383455,1495,22.5,0.837293680921123
"result.2243",2,12,8,136.45907835,92.89467775,130.05254885,1648588.00036916,1499,23,0.836773520889241
"result.3905",0,4,15,136.638625886,88.717970362,135.99104946,1648524.51124054,1500,23.5,0.836399678194036
"result.2789",4,14,10,136.233574595,93.145746351,129.897129265,1648339.75166904,1498,22.5,0.83531175940102
"result.2433",0,8,9,136.638625886,91.308276066,132.105590904,1648180.71050827,1500,23.5,0.834375278187834
"result.721",0,13,2,136.638625886,94.546158196,127.572555922,1648066.11026418,1500,23.5,0.833700478185766
"result.4071",6,14,15,135.96506721,92.10536811,131.5790973,1647779.84675187,1496,22,0.832014874282999
"result.3816",7,14,14,136.59163434,92.10536811,130.95253017,1647490.57225607,1500,22,0.830311540822243
"result.2017",0,14,7,135.17777245,94.17598365,129.4118959,1647478.10039068,1492,23,0.830238102804268
"result.1762",1,14,6,135.8184254,94.17598365,128.77124295,1647091.56805987,1495,23,0.82796208655577
"result.1697",0,10,6,136.638625886,92.603428918,130.162861626,1646977.40794532,1500,23.5,0.827289878166127
"result.1507",2,14,5,136.45907835,94.17598365,128.13059,1646627.7292629,1498,23,0.825230867057573
"result.3955",2,7,15,136.45907835,89.691413,134.5371195,1646627.7292629,1498,23,0.825230867057573
"result.3729",0,9,14,135.17777245,90.9727189,133.89646655,1646590.39076563,1491,23,0.825011006984588
"result.3474",1,9,13,135.8184254,90.9727189,133.2558136,1646478.37527385,1495,23,0.824351426765635
"result.4020",3,11,15,135.599930062,91.244812752,133.06535193,1646389.68600383,1494,22.5,0.823829198213126
"result.3219",2,9,12,136.45907835,90.9727189,132.61516065,1646291.68278754,1498,23,0.823252126400714
"result.3765",4,11,14,136.233574595,91.244812752,132.431707397,1646206.50958127,1497,22.5,0.822750601467492
"result.3510",5,11,13,136.867219128,91.244812752,131.798062864,1645950.06258968,1500,22.5,0.821240566023604
"result.4049",0,13,15,133.698996463,92.512101818,133.06535193,1645855.42143802,1483,22.5,0.82068329103836
"result.2993",0,11,11,135.17777245,92.2540248,131.9745077,1645813.64484371,1491,23,0.820437298142367
"result.3794",1,13,14,134.332640996,92.512101818,132.431707397,1645781.1332222,1486,22.5,0.820245860135963
"result.3539",2,13,13,134.966285529,92.512101818,131.798062864,1645632.55679057,1490,22.5,0.819370998331172
"result.2738",1,11,10,135.8184254,92.2540248,131.33385475,1645586.45849417,1494,23,0.819099557979986
"result.3284",3,13,12,135.599930062,92.512101818,131.164418331,1645409.69214312,1493,22.5,0.818058705623983
"result.2483",2,11,9,136.45907835,92.2540248,130.6932018,1645283.54336146,1498,23,0.817315904430142
"result.3029",4,13,11,136.233574595,92.512101818,130.530773798,1645112.53927985,1497,22.5,0.8163089820144
"result.961",0,12,3,136.638625886,93.89858177,128.220132348,1645086.50391783,1499,23.5,0.816155678132016
"result.3409",0,5,13,136.638625886,89.365546788,134.695896608,1644742.70318556,1499,23.5,0.814131278125813
"result.2774",5,13,10,136.867219128,92.512101818,129.897129265,1644741.09820076,1500,22.5,0.81412182750242
"result.3313",0,15,12,133.698996463,93.779390884,131.164418331,1644567.08059932,1482,22.5,0.813097160594067
"result.2673",0,7,10,136.638625886,90.66069964,132.75316733,1644513.50269738,1499,23.5,0.812781678121679
"result.3058",1,15,11,134.332640996,93.779390884,130.530773798,1644378.8159428,1486,22.5,0.811988602827721
"result.2257",0,13,8,135.17777245,93.5353307,130.05254885,1644371.11670301,1490,23,0.811943267435388
"result.2803",2,15,10,134.966285529,93.779390884,129.897129265,1644115.24542366,1489,22.5,0.810436621954837
"result.4056",7,13,15,136.59163434,91.47880098,131.5790973,1644112.2593943,1498,22,0.810419039334136
"result.2002",1,13,7,135.8184254,93.5353307,129.4118959,1644025.60412975,1494,23,0.809908787605098
"result.2548",3,15,9,135.599930062,93.779390884,129.263484732,1643776.36904192,1492,22.5,0.808441217975415
"result.4085",4,15,15,134.71193295,92.73193524,131.5790973,1643699.01011457,1488,22,0.807985705818772
"result.1747",2,13,6,136.45907835,93.5353307,128.77124295,1643603.31098466,1497,23,0.807422201145854
"result.1937",0,9,7,136.638625886,91.955852492,130.810438052,1643596.70074466,1498,23.5,0.80738327810514
"result.3830",5,15,14,135.33850008,92.73193524,130.95253017,1643480.57835243,1491,22,0.806699515246364
"result.2293",4,15,8,136.233574595,93.779390884,128.629840199,1643362.18679757,1496,22.5,0.806002390889454
"result.3575",6,15,13,135.96506721,92.73193524,130.32596304,1643189.33600291,1494,22,0.804984594483154
"result.1492",3,13,5,137.0997313,93.5353307,128.13059,1643104.23726773,1500,23,0.804483508057657
"result.2038",5,15,7,136.867219128,93.779390884,127.996195666,1642872.69869061,1499,22.5,0.803120140696954
"result.3320",7,15,12,136.59163434,92.73193524,129.69939591,1642825.283066,1497,22,0.802840943529142
"result.3969",0,8,15,135.17777245,90.33206595,134.5371195,1642817.62485917,1490,23,0.802795849750948
"result.3714",1,8,14,135.8184254,90.33206595,133.89646655,1642743.47375897,1493,23,0.802359226225725
"result.4005",4,10,15,136.233574595,90.611168219,133.06535193,1642596.40758657,1495,22.5,0.801493257272289
"result.3459",2,8,13,136.45907835,90.33206595,133.2558136,1642595.17155858,1497,23,0.801485979175281
"result.3940",3,6,15,137.0997313,89.05076005,134.5371195,1642541.53033716,1500,23,0.801170123859163
