"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3553",0,14,13,128.596281176,103.1520972,132.034684416,1751436.93254526,1500,26.5,1
"result.4083",2,15,15,128.74016988,102.85590292,132.14599448,1749835.81991326,1500,26,0.990819605778239
"result.3793",0,13,14,128.596281176,102.464416552,132.722365064,1748821.93990292,1499,26.5,0.985006261980622
"result.4033",0,12,15,128.596281176,101.776735904,133.410045712,1746085.31969582,1498,26.5,0.969315140797551
"result.3057",0,15,11,128.596281176,103.839777848,130.65932312,1744747.41648346,1497,26.5,0.961643925996938
"result.3042",1,14,11,129.283961824,103.1520972,130.65932312,1742461.20851484,1500,26.5,0.948535360112567
"result.3297",0,14,12,128.596281176,103.1520972,131.347003768,1742314.86518825,1496,26.5,0.947696262723098
"result.3827",2,15,14,128.74016988,102.85590292,131.46482956,1740816.04764567,1497,26,0.939102403907397
"result.4082",1,15,15,128.05900496,102.85590292,132.14599448,1740577.42933171,1492,26,0.937734223963724
"result.3282",1,13,12,129.283961824,102.464416552,131.347003768,1739954.50993417,1499,26.5,0.934162554161396
"result.3537",0,13,13,128.596281176,102.464416552,132.034684416,1739760.68632829,1495,26.5,0.933051216285566
"result.3812",3,14,14,129.4213348,102.174738,131.46482956,1738437.13367327,1499,26,0.925462284124579
"result.4067",2,14,15,128.74016988,102.174738,132.14599448,1738247.50322509,1495,26,0.924374988805104
"result.3522",1,12,13,129.283961824,101.776735904,132.034684416,1737325.53337395,1498,26.5,0.919088635724801
"result.3777",0,12,14,128.596281176,101.776735904,132.722365064,1737084.87990357,1494,26.5,0.917708786684341
"result.4052",3,13,15,129.4213348,101.49357308,132.14599448,1735794.94942866,1498,26,0.910312636006557
"result.2546",1,15,9,129.283961824,103.839777848,129.283961824,1735613.64166032,1497,26.5,0.90927306092888
"result.1761",0,14,6,129.80486255,104.1215475,128.41657525,1735612.06047851,1500,27,0.909263994813179
"result.2801",0,15,10,128.596281176,103.839777848,129.971642472,1735564.53534407,1493,26.5,0.908991497138192
"result.3953",0,7,15,129.80486255,99.26254195,134.6638681,1735111.70384846,1500,27,0.906395070401798
"result.2977",0,10,11,129.80486255,101.3449729,131.8872935,1734986.61469095,1500,27,0.905677839298953
"result.3762",1,11,14,129.283961824,101.089055256,132.722365064,1734574.27883419,1497,26.5,0.903313604802784
"result.4017",0,11,15,128.596281176,101.089055256,133.410045712,1734287.44591409,1493,26.5,0.901668973919425
"result.2001",0,13,7,129.80486255,103.42740385,129.1107189,1733360.4556433,1499,27,0.896353834961965
"result.2531",2,14,9,129.971642472,103.1520972,129.283961824,1733290.36004897,1500,26.5,0.895951923705843
"result.2786",1,14,10,129.283961824,103.1520972,129.971642472,1733290.36004897,1496,26.5,0.895951923705843
"result.3041",0,14,11,128.596281176,103.1520972,130.65932312,1733192.79783125,1492,26.5,0.895392525446197
"result.3217",0,9,12,129.80486255,100.65082925,132.58143715,1732172.10864693,1499,27,0.889540139484934
"result.3747",2,10,14,129.971642472,100.401374608,132.722365064,1731938.14771134,1500,26.5,0.888198663827149
"result.3316",3,15,12,129.4213348,102.85590292,130.10249972,1731891.72270366,1497,26,0.887932474014024
"result.3571",2,15,13,128.74016988,102.85590292,130.78366464,1731796.27537807,1493,26,0.887385202036556
"result.4002",1,10,15,129.283961824,100.401374608,133.410045712,1731700.74631489,1496,26.5,0.886837461395344
"result.3826",1,15,14,128.05900496,102.85590292,131.46482956,1731605.38072691,1489,26,0.886290658081616
"result.4081",0,15,15,127.37784004,102.85590292,132.14599448,1731319.03875016,1485,26,0.884648842149209
"result.2241",0,12,8,129.80486255,102.7332602,129.80486255,1730983.76165057,1498,27,0.882726444007904
"result.2771",2,13,10,129.971642472,102.464416552,129.971642472,1730893.25635954,1499,26.5,0.882207508466341
"result.3026",1,13,11,129.283961824,102.464416552,130.65932312,1730844.80045807,1495,26.5,0.881929673997383
"result.3281",0,13,12,128.596281176,102.464416552,131.347003768,1730699.43275367,1491,26.5,0.881096170590511
"result.3301",4,14,12,130.10249972,102.174738,130.10249972,1729477.09499686,1500,26,0.874087580279373
"result.3556",3,14,13,129.4213348,102.174738,130.78366464,1729429.68738481,1496,26,0.873815756449504
"result.3811",2,14,14,128.74016988,102.174738,131.46482956,1729287.46454868,1492,26,0.873000284959898
"result.3457",0,8,13,129.80486255,99.9566856,133.2755808,1729232.5134454,1498,27,0.87268520856807
"result.4066",1,14,15,128.05900496,102.174738,132.14599448,1729050.42648845,1488,26,0.871641165810553
"result.3987",2,9,15,129.971642472,99.71369396,133.410045712,1728987.86624743,1499,26.5,0.871282460455454
"result.2481",0,11,9,129.80486255,102.03911655,130.4990062,1728481.97850033,1497,27,0.868381821950999
"result.3011",2,12,11,129.971642472,101.776735904,130.65932312,1728373.22427578,1498,26.5,0.867758251419685
"result.1265",0,15,4,129.80486255,104.81569115,127.02828795,1728294.34476406,1497,27,0.867305975296731
"result.3266",1,12,12,129.283961824,101.776735904,131.347003768,1728276.96288763,1494,26.5,0.867206311803501
"result.3521",0,12,13,128.596281176,101.776735904,132.034684416,1728084.44011132,1490,26.5,0.866102432571133
"result.3541",4,13,13,130.10249972,101.49357308,130.78366464,1726941.73590471,1498,26,0.859550441857989
"result.3796",3,13,14,129.4213348,101.49357308,131.46482956,1726847.55278212,1494,26,0.859010418515982
"result.4051",2,13,15,128.74016988,101.49357308,132.14599448,1726659.18653693,1490,26,0.85793037183197
"result.3831",6,15,14,130.193464641,101.861208087,130.193464641,1726581.93012352,1499,25.5,0.857487402163849
"result.4086",5,15,15,129.518887104,101.861208087,130.868042178,1726535.57768641,1495,25.5,0.857221628452894
"result.3442",1,7,13,130.4990062,99.26254195,133.2755808,1726406.97012278,1500,27,0.856484223656741
"result.2290",1,15,8,129.283961824,103.839777848,128.596281176,1726381.65420468,1493,26.5,0.856339068279444
"result.2545",0,15,9,128.596281176,103.839777848,129.283961824,1726381.65420468,1489,26.5,0.856339068279444
"result.2035",2,15,7,129.971642472,103.839777848,127.908600528,1726283.44157218,1497,26.5,0.855775940698067
"result.1505",0,14,5,129.80486255,104.1215475,127.7224316,1726230.37366511,1496,27,0.855471662099783
"result.3697",0,7,14,129.80486255,99.26254195,133.96972445,1726167.82908636,1496,27,0.855113046548361
"result.1250",1,14,4,130.4990062,104.1215475,127.02828795,1726029.69587231,1500,27,0.854321023966877
"result.2466",1,10,9,130.4990062,101.3449729,130.4990062,1725903.93778883,1500,27,0.853599957403589
"result.2721",0,10,10,129.80486255,101.3449729,131.19314985,1725855.10619258,1496,27,0.853319968791248
"result.3251",2,11,12,129.971642472,101.089055256,131.347003768,1725730.26379769,1497,26.5,0.852604152565873
"result.3506",1,11,13,129.283961824,101.089055256,132.034684416,1725586.84733764,1493,26.5,0.851781837124195
"result.3761",0,11,14,128.596281176,101.089055256,132.722365064,1725347.81990422,1489,26.5,0.850411311388062
"result.3781",4,12,14,130.10249972,100.81240816,131.46482956,1724285.64542723,1497,26,0.844321058749871
"result.4036",3,12,15,129.4213348,100.81240816,132.14599448,1724145.31889558,1493,26,0.843516460213459
"result.2530",1,14,9,129.283961824,103.1520972,129.283961824,1724119.5115831,1492,26.5,0.843368487299118
"result.2275",2,14,8,129.971642472,103.1520972,128.596281176,1724070.73047424,1496,26.5,0.843088788169296
"result.2785",0,14,10,128.596281176,103.1520972,129.971642472,1724070.73047424,1488,26.5,0.843088788169296
"result.1745",0,13,6,129.80486255,103.42740385,128.41657525,1724041.31340865,1495,27,0.842920117799992
"result.4071",6,14,15,130.193464641,101.18663055,130.868042178,1724034.38790085,1498,25.5,0.842880408606179
"result.2020",3,14,7,130.65932312,103.1520972,127.908600528,1723924.38714766,1500,26.5,0.842249690779827
"result.1490",1,13,5,130.4990062,103.42740385,127.7224316,1723891.80845302,1499,27,0.842062892390976
"result.3682",1,6,14,130.4990062,98.5683983,133.96972445,1723263.01803558,1499,27,0.838457559574534
"result.2706",1,9,10,130.4990062,100.65082925,131.19314985,1723200.13899383,1499,27,0.83809702629289
"result.2961",0,9,11,129.80486255,100.65082925,131.8872935,1723103.14472731,1495,27,0.837540884528651
"result.3236",3,10,12,130.65932312,100.401374608,131.347003768,1723059.33548386,1500,26.5,0.837289692877632
"result.3937",0,6,15,129.80486255,98.5683983,134.6638681,1722978.0555698,1495,27,0.836823653425806
"result.3491",2,10,13,129.971642472,100.401374608,132.034684416,1722964.37492527,1496,26.5,0.836745211904909
"result.3060",3,15,11,129.4213348,102.85590292,129.4213348,1722824.22677327,1493,26,0.835941636154448
"result.2805",4,15,10,130.10249972,102.85590292,128.74016988,1722776.50311048,1497,26,0.835668000165713
"result.3315",2,15,12,128.74016988,102.85590292,130.10249972,1722776.50311048,1489,26,0.835668000165713
"result.3746",1,10,14,129.283961824,100.401374608,132.722365064,1722774.45380811,1492,26.5,0.835656249959466
"result.2550",5,15,9,130.78366464,102.85590292,128.05900496,1722633.33212211,1500,26,0.83484709219951
"result.3570",1,15,13,128.05900496,102.85590292,130.78366464,1722633.33212211,1485,26,0.83484709219951
"result.4001",0,10,15,128.596281176,100.401374608,133.410045712,1722489.57213236,1488,26.5,0.8340228070413
"result.3825",0,15,14,127.37784004,102.85590292,131.46482956,1722394.71380815,1481,26,0.833478912255836
