"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,94.8360012,153.31820194,113.01290143,1643217.21358868,1248,40,1
"result.4080",15,14,15,94.8360012,152.52790193,113.01290143,1634747.02176606,1245,40,0.981414088900442
"result.3840",15,15,14,94.8360012,153.31820194,112.22260142,1631726.18412303,1243,40,0.974785547179621
"result.4095",14,15,15,94.04570119,153.31820194,113.01290143,1629523.73680878,1237,40,0.969952777055714
"result.4064",15,13,15,94.8360012,151.73760192,113.01290143,1626276.82994344,1241,40,0.962828177800884
"result.3824",15,14,14,94.8360012,152.52790193,112.22260142,1623315.22441105,1240,40,0.956329607486353
"result.4079",14,14,15,94.04570119,152.52790193,113.01290143,1621124.12991801,1234,40,0.951521748548652
"result.3584",15,15,13,94.8360012,153.31820194,111.43230141,1620235.15465737,1239,40,0.949571094359241
"result.3839",14,15,14,94.04570119,153.31820194,112.22260142,1618128.465922,1233,40,0.944948444675504
"result.4048",15,12,15,94.8360012,150.94730191,113.01290143,1617806.63812081,1238,40,0.944242266701325
"result.4094",13,15,15,93.25540118,153.31820194,113.01290143,1615830.26002887,1227,40,0.939905554111429
"result.3808",15,13,14,94.8360012,151.73760192,112.22260142,1614904.26469908,1237,40,0.937873667793086
"result.4063",14,13,15,94.04570119,151.73760192,113.01290143,1612724.52302724,1231,40,0.933090720041591
"result.3568",15,14,13,94.8360012,152.52790193,111.43230141,1611883.42705604,1236,40,0.931245126072264
"result.3823",14,14,14,94.04570119,152.52790193,112.22260142,1609787.59754096,1230,40,0.926646304479681
"result.4032",15,11,15,94.8360012,150.1570019,113.01290143,1609336.44629819,1235,40,0.925656355601767
"result.3328",15,15,12,94.8360012,153.31820194,110.6420014,1608744.12519172,1235,40,0.924356641538861
"result.4078",13,14,15,93.25540118,152.52790193,113.01290143,1607501.23806996,1224,40,0.921629408196863
"result.3583",14,15,13,94.04570119,153.31820194,111.43230141,1606733.19503523,1229,40,0.919944112295295
"result.3792",15,12,14,94.8360012,150.94730191,112.22260142,1606493.3049871,1234,40,0.919417728099818
"result.3838",13,15,14,93.25540118,153.31820194,112.22260142,1604530.74772098,1223,40,0.915111342171389
"result.4047",14,12,15,94.04570119,150.94730191,113.01290143,1604324.91613647,1228,40,0.914659691534529
"result.3552",15,13,13,94.8360012,151.73760192,111.43230141,1603531.69945472,1233,40,0.912919157785287
"result.4093",12,15,15,92.46510117,153.31820194,113.01290143,1602136.78324896,1217,40,0.909858331167143
"result.3807",14,13,14,94.04570119,151.73760192,112.22260142,1601446.72915992,1227,40,0.908344164283857
"result.4016",15,10,15,94.8360012,149.36670189,113.01290143,1600866.25447557,1232,40,0.90707044450221
"result.3312",15,14,12,94.8360012,152.52790193,110.6420014,1600451.62970104,1231,40,0.906160644658175
"result.4062",13,13,15,93.25540118,151.73760192,113.01290143,1599172.21611105,1221,40,0.903353262282298
"result.3567",14,14,13,94.04570119,152.52790193,111.43230141,1598451.06516391,1226,40,0.901770860410709
"result.3776",15,11,14,94.8360012,150.1570019,112.22260142,1598082.34527513,1231,40,0.900961788406551
"result.3072",15,15,11,94.8360012,153.31820194,109.85170139,1597253.09572606,1230,40,0.899142188718482
"result.3822",13,14,14,93.25540118,152.52790193,112.22260142,1596259.97067087,1220,40,0.896963001473009
"result.4031",14,11,15,94.04570119,150.1570019,113.01290143,1595925.30924571,1225,40,0.896228663027467
"result.3327",14,15,12,94.04570119,153.31820194,110.6420014,1595337.92414845,1224,40,0.894939779915085
"result.3536",15,12,13,94.8360012,150.94730191,111.43230141,1595179.97185339,1229,40,0.89459318949831
"result.4077",12,14,15,92.46510117,152.52790193,113.01290143,1593878.34622191,1213,40,0.891737067845074
"result.3582",13,15,13,93.25540118,153.31820194,111.43230141,1593231.23541308,1218,40,0.890317130231349
"result.3791",14,12,14,94.04570119,150.94730191,112.22260142,1593105.86077888,1224,40,0.890042024088034
"result.4000",15,9,15,94.8360012,148.57640188,113.01290143,1592396.06265295,1228,40,0.888484533402651
"result.3296",15,13,12,94.8360012,151.73760192,110.6420014,1592159.13421036,1228,40,0.887964647777489
"result.3837",12,15,14,92.46510117,153.31820194,112.22260142,1590933.02951995,1212,40,0.885274239667273
"result.4046",13,12,15,93.25540118,150.94730191,113.01290143,1590843.19415213,1218,40,0.885077116367732
"result.3551",14,13,13,94.04570119,151.73760192,111.43230141,1590168.93529259,1222,40,0.883597608526124
"result.3760",15,10,14,94.8360012,149.36670189,112.22260142,1589671.38556315,1227,40,0.882505848713283
"result.3056",15,14,11,94.8360012,152.52790193,109.85170139,1589019.83234603,1227,40,0.881076163244086
"result.4092",11,15,15,91.67480116,153.31820194,113.01290143,1588443.30646906,1206,40,0.879811108222858
"result.3806",13,13,14,93.25540118,151.73760192,112.22260142,1587989.19362076,1216,40,0.87881466077463
"result.4015",14,10,15,94.04570119,149.36670189,113.01290143,1587525.70235494,1221,40,0.877797634520405
"result.3311",14,14,12,94.04570119,152.52790193,110.6420014,1587114.53278686,1221,40,0.876895416341738
"result.3520",15,11,13,94.8360012,150.1570019,111.43230141,1586828.24425206,1226,40,0.876267221211333
"result.2816",15,15,10,94.8360012,153.31820194,109.06140138,1585762.06626041,1226,40,0.873927735898102
"result.4061",12,13,15,92.46510117,151.73760192,113.01290143,1585619.90919485,1210,40,0.873615804523005
"result.3566",13,14,13,93.25540118,152.52790193,111.43230141,1585018.70327178,1215,40,0.872296594749155
"result.3775",14,11,14,94.04570119,150.1570019,112.22260142,1584764.99239784,1220,40,0.87173988389221
"result.3071",14,15,11,94.04570119,153.31820194,109.85170139,1583942.65326168,1220,40,0.869935447534875
"result.3984",15,8,15,94.8360012,147.78610187,113.01290143,1583925.87083033,1225,40,0.869898622303093
"result.3280",15,12,12,94.8360012,150.94730191,110.6420014,1583866.63871968,1225,40,0.869768650896803
"result.3821",12,14,14,92.46510117,152.52790193,112.22260142,1582732.34380078,1209,40,0.867279698466337
"result.4030",13,11,15,93.25540118,150.1570019,113.01290143,1582514.17219322,1214,40,0.866800970453167
"result.3326",13,15,12,93.25540118,153.31820194,110.6420014,1581931.72310519,1214,40,0.865522918291309
"result.3535",14,12,13,94.04570119,150.94730191,111.43230141,1581886.80542128,1219,40,0.865424356641539
"result.3744",15,9,14,94.8360012,148.57640188,112.22260142,1581260.42585118,1224,40,0.864049909020016
"result.3040",15,13,11,94.8360012,151.73760192,109.85170139,1580786.568966,1224,40,0.86301013776969
"result.4076",11,14,15,91.67480116,152.52790193,113.01290143,1580255.45437386,1203,40,0.861844727493285
"result.3581",12,15,13,92.46510117,153.31820194,111.43230141,1579729.27579094,1208,40,0.860690148167403
"result.3790",13,12,14,93.25540118,150.94730191,112.22260142,1579718.41657065,1213,40,0.86066632007625
"result.3999",14,9,15,94.04570119,148.57640188,113.01290143,1579126.09546417,1218,40,0.859366606013343
