"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,126.56656026,114.03521766,122.80715748,1772481.26065353,1497,22,1
"result.3825",0,15,14,126.56656026,114.03521766,122.18059035,1763437.9889155,1493,22,0.947024477923025
"result.3570",1,15,13,127.19312739,114.03521766,121.55402322,1763079.83953973,1497,22,0.944926437444729
"result.4065",0,14,15,126.56656026,113.40865053,122.80715748,1762742.35262796,1493,22,0.942949437763258
"result.3315",2,15,12,127.81969452,114.03521766,120.92745609,1762632.15282003,1500,22,0.942303886846859
"result.3810",1,14,14,127.19312739,113.40865053,122.18059035,1762430.69379616,1497,22,0.941123739077818
"result.3555",2,14,13,127.81969452,113.40865053,121.55402322,1762029.98958386,1500,22,0.938776412196538
"result.4050",1,13,15,127.19312739,112.7820834,122.80715748,1761681.67947666,1496,22,0.936736010192919
"result.3795",2,13,14,127.81969452,112.7820834,122.18059035,1761327.46580832,1500,22,0.934661025104496
"result.4035",2,12,15,127.81969452,112.15551627,122.80715748,1760524.58149342,1500,22,0.929957725570733
"result.2033",0,15,7,127.996195666,115.323305006,119.125172204,1758400.03310804,1500,22.5,0.917512112616278
"result.2273",0,14,8,127.996195666,114.689660473,119.758816737,1758040.29496706,1500,22.5,0.91540476514498
"result.2513",0,13,9,127.996195666,114.05601594,120.39246127,1757577.77450009,1499,22.5,0.912695318396168
"result.2753",0,12,10,127.996195666,113.422371407,121.026105803,1757012.47170712,1499,22.5,0.909383772369844
"result.2993",0,11,11,127.996195666,112.788726874,121.659750336,1756344.38658816,1499,22.5,0.905470127066005
"result.3233",0,10,12,127.996195666,112.155082341,122.293394869,1755573.5191432,1499,22.5,0.900954382484653
"result.4086",5,15,15,128.215668555,112.73068443,121.40227554,1754729.07489305,1499,21.5,0.896007624683682
"result.3473",0,9,13,127.996195666,111.521437808,122.927039402,1754699.86937225,1498,22.5,0.895836538625786
"result.3569",0,15,13,126.56656026,114.03521766,121.55402322,1754394.71717747,1490,22,0.89404895584605
"result.3314",1,15,12,127.19312739,114.03521766,120.92745609,1753991.79912974,1493,22,0.891688660307968
"result.3809",0,14,14,126.56656026,113.40865053,122.18059035,1753748.76919618,1489,22,0.890264989983409
"result.3713",0,8,14,127.996195666,110.887793275,123.560683935,1753723.43727531,1498,22.5,0.890116595489407
"result.3059",2,15,11,127.81969452,114.03521766,120.30088896,1753499.34373806,1497,22,0.888803854650311
"result.3554",1,14,13,127.19312739,113.40865053,121.55402322,1753392.58767413,1493,22,0.888178477200049
"result.4049",0,13,15,126.56656026,112.7820834,122.80715748,1753003.44460239,1489,22,0.885898875526515
"result.3299",2,14,12,127.81969452,113.40865053,120.92745609,1752947.36077157,1496,22,0.885570336220849
"result.2804",3,15,10,128.44626165,114.03521766,119.67432183,1752917.35100245,1500,22,0.88539453887308
"result.3794",1,13,14,127.19312739,112.7820834,122.18059035,1752693.50764259,1493,22,0.884083263574145
"result.3953",0,7,15,127.996195666,110.254148742,124.194328468,1752644.22285237,1497,22.5,0.883794553075514
"result.3044",3,14,11,128.44626165,113.40865053,120.30088896,1752413.08848849,1500,22,0.882440567045808
"result.3539",2,13,13,127.81969452,112.7820834,121.55402322,1752295.01726571,1496,22,0.881748905349667
"result.4034",1,12,15,127.19312739,112.15551627,122.80715748,1751894.55903512,1492,22,0.879403019430253
"result.3284",3,13,12,128.44626165,112.7820834,120.92745609,1751807.97347175,1500,22,0.878895800853082
"result.3779",2,12,14,127.81969452,112.15551627,122.18059035,1751542.3132205,1496,22,0.877339562036764
"result.3938",1,6,15,128.629840199,109.620504209,124.194328468,1751198.1467609,1500,22.5,0.875323433537426
"result.3524",3,12,13,128.44626165,112.15551627,121.55402322,1751102.00595222,1499,22,0.874760240294903
"result.4019",2,11,15,127.81969452,111.52894914,122.80715748,1750689.24863592,1495,22,0.872342306282142
"result.3764",3,11,14,128.44626165,111.52894914,122.18059035,1750295.18592989,1499,22,0.870033885371269
"result.4004",3,10,15,128.44626165,110.90238201,122.80715748,1749387.51340478,1499,22,0.864716736082181
"result.1777",0,15,6,127.996195666,115.323305006,118.491527671,1749046.84144257,1496,22.5,0.862721078362536
"result.2017",0,14,7,127.996195666,114.689660473,119.125172204,1748738.49446459,1496,22.5,0.860914780529996
"result.2257",0,13,8,127.996195666,114.05601594,119.758816737,1748327.36516061,1495,22.5,0.858506383419941
"result.1522",1,15,5,128.629840199,115.323305006,117.857883138,1748305.99457798,1499,22.5,0.85838119446125
"result.1762",1,14,6,128.629840199,114.689660473,118.491527671,1748047.7667045,1499,22.5,0.856868494543735
"result.2497",0,12,9,127.996195666,113.422371407,120.39246127,1747813.45353064,1495,22.5,0.855495887032372
"result.2002",1,13,7,128.629840199,114.05601594,119.125172204,1747686.24768164,1499,22.5,0.854750714659212
"result.2242",1,12,8,128.629840199,113.422371407,119.758816737,1747221.43750938,1499,22.5,0.852027854807683
"result.2737",0,11,10,127.996195666,112.788726874,121.026105803,1747196.75957468,1495,22.5,0.851883291367291
"result.2482",1,11,9,128.629840199,112.788726874,120.39246127,1746653.33618774,1498,22.5,0.84869991498915
"result.2977",0,10,11,127.996195666,112.155082341,121.659750336,1746477.28329272,1495,22.5,0.847668596424695
"result.4085",4,15,15,127.59626919,112.73068443,121.40227554,1746252.12284043,1492,21.5,0.846349605593001
"result.2722",1,10,10,128.629840199,112.155082341,121.026105803,1745981.9437167,1498,22.5,0.844766895203608
"result.3830",5,15,14,128.215668555,112.73068443,120.782876175,1745776.37553135,1496,21.5,0.843562675950158
"result.3217",0,9,12,127.996195666,111.521437808,122.293394869,1745655.02468476,1494,22.5,0.842851802204586
"result.3313",0,15,12,126.56656026,114.03521766,120.92745609,1745351.44543944,1486,22,0.841073433769076
"result.3575",6,15,13,128.83506792,112.73068443,120.16347681,1745214.12871154,1499,21.5,0.840269031826796
"result.2962",1,9,11,128.629840199,111.521437808,121.659750336,1745207.26009627,1498,22.5,0.840228795451061
"result.4070",5,14,15,128.215668555,112.111285065,121.40227554,1745087.70634969,1495,21.5,0.839528449124502
"result.3058",1,15,11,127.19312739,114.03521766,120.30088896,1744903.75871974,1489,22,0.838450883171205
"result.3553",0,14,13,126.56656026,113.40865053,121.55402322,1744755.18576441,1486,22,0.837580542203561
"result.3457",0,8,13,127.996195666,110.887793275,122.927039402,1744729.98375082,1494,22.5,0.837432908706964
"result.3815",6,14,14,128.83506792,112.111285065,120.782876175,1744571.56091746,1499,21.5,0.836504867114383
"result.2803",2,15,10,127.81969452,114.03521766,119.67432183,1744366.53465609,1493,22,0.835303822453762
"result.3298",1,14,12,127.19312739,113.40865053,120.92745609,1744354.4815521,1489,22,0.835233215322281
"result.3202",1,8,12,128.629840199,110.887793275,122.293394869,1744329.28532646,1497,22.5,0.835085615731508
"result.3793",0,13,14,126.56656026,112.7820834,122.18059035,1744059.54947687,1485,22,0.833505502043793
"result.3043",2,14,11,127.81969452,113.40865053,120.30088896,1743864.73195928,1492,22,0.83236426024516
"result.4055",6,13,15,128.83506792,111.4918857,121.40227554,1743830.13653968,1498,21.5,0.832161600138522
"result.2548",3,15,9,128.44626165,114.03521766,119.0477547,1743739.77324851,1496,22,0.831632251616743
"result.3538",1,13,13,127.19312739,112.7820834,121.55402322,1743705.33580853,1489,22,0.831430516955369
"result.3697",0,7,14,127.996195666,110.254148742,123.560683935,1743702.16049087,1493,22.5,0.831411915931827
"result.3442",1,7,13,128.629840199,110.254148742,122.927039402,1743348.01940725,1497,22.5,0.829337356044948
"result.2788",3,14,10,128.44626165,113.40865053,119.67432183,1743285.93698595,1496,22,0.828973676972199
"result.4033",0,12,15,126.56656026,112.15551627,122.80715748,1743264.53657682,1485,22,0.828848313289773
"result.3283",2,13,12,127.81969452,112.7820834,120.92745609,1743262.56872311,1492,22,0.828836785594838
"result.2293",4,15,8,129.07282878,114.03521766,118.42118757,1743023.47449698,1499,22,0.827436170660151
"result.3778",1,12,14,127.19312739,112.15551627,122.18059035,1742956.32148902,1488,22,0.827042788070471
"result.3187",2,7,12,129.263484732,110.254148742,122.293394869,1742905.34305272,1500,22.5,0.82674415618635
"result.3028",3,13,11,128.44626165,112.7820834,120.30088896,1742731.2482206,1496,22,0.825724307962201
"result.2533",4,14,9,129.07282878,113.40865053,119.0477547,1742618.0966321,1499,22,0.825061465503398
"result.3937",0,6,15,127.996195666,109.620504209,124.194328468,1742571.55490494,1493,22.5,0.824788823879177
"result.3523",2,12,13,127.81969452,112.15551627,121.55402322,1742560.04494757,1492,22,0.824721398502796
"result.3682",1,6,14,128.629840199,109.620504209,123.560683935,1742263.46233865,1497,22.5,0.822984016391382
"result.2773",4,13,10,129.07282878,112.7820834,119.67432183,1742111.37430101,1499,22,0.822093084057458
"result.4018",1,11,15,127.19312739,111.52894914,122.80715748,1742107.43859358,1488,22,0.822070028667587
"result.3268",3,12,12,128.44626165,112.15551627,120.92745609,1742075.70695246,1495,22,0.821884144586749
"result.3427",2,6,13,129.263484732,109.620504209,122.927039402,1741867.34332486,1500,22.5,0.820663549621361
"result.3763",2,11,14,127.81969452,111.52894914,122.18059035,1741757.16063267,1492,22,0.820018098969033
"result.3013",4,12,11,129.07282878,112.15551627,120.30088896,1741503.3075037,1499,22,0.818531026322329
"result.3508",3,11,13,128.44626165,111.52894914,121.55402322,1741319.31318153,1495,22,0.817453186845841
"result.3922",1,5,15,128.629840199,108.986859676,124.194328468,1741075.61412067,1496,22.5,0.816025596770811
"result.4003",2,10,15,127.81969452,110.90238201,122.80715748,1740853.91577841,1491,22,0.81472688699355
"result.3253",4,11,12,129.07282878,111.52894914,120.92745609,1740793.89624017,1498,22,0.814375292298011
"result.3667",2,5,14,129.263484732,108.986859676,123.560683935,1740725.54362421,1500,22.5,0.813974882399872
"result.3748",3,10,14,128.44626165,110.90238201,122.18059035,1740462.06690781,1495,22,0.81243143473948
"result.225",0,14,0,129.4118959,115.95818395,115.95818395,1740111.2308379,1500,23,0.810376235636163
"result.465",0,13,1,129.4118959,115.317531,116.5988369,1740058.11551081,1500,23,0.810065085837234
"result.3601",0,1,14,129.4118959,107.6296956,124.92732525,1740058.11551081,1500,23,0.810065085837234
"result.3493",4,10,13,129.07282878,110.90238201,121.55402322,1739983.14051042,1498,22,0.809625881984506
"result.705",0,12,2,129.4118959,114.67687805,117.23948985,1739898.76952954,1500,23,0.809131636440447
"result.1521",0,15,5,127.996195666,115.323305006,117.857883138,1739693.6497771,1492,22.5,0.807930044108795
"result.945",0,11,3,129.4118959,114.0362251,117.8801428,1739633.19289408,1500,23,0.807575887445799
"result.3988",3,9,15,128.44626165,110.27581488,122.80715748,1739503.9681313,1494,22,0.806818888267666
"result.3907",2,4,15,129.263484732,108.353215143,124.194328468,1739479.94395078,1499,22.5,0.806678154521886
"result.1761",0,14,6,127.996195666,114.689660473,118.491527671,1739436.69396212,1492,22.5,0.806424795915011
"result.1185",0,10,4,129.4118959,113.39557215,118.52079575,1739261.38560444,1500,23,0.805397838853294
"result.2001",0,13,7,127.996195666,114.05601594,119.125172204,1739076.95582114,1491,22.5,0.804317448443714
"result.3733",4,9,14,129.07282878,110.27581488,122.18059035,1739071.04031445,1498,22,0.804282795381812
"result.1266",1,15,4,128.629840199,115.323305006,117.224238605,1738906.49998347,1495,22.5,0.803318917463678
"result.1425",0,9,5,129.4118959,112.7549192,119.1614487,1738783.34766062,1500,23,0.802597490662931
"result.1506",1,14,5,128.629840199,114.689660473,117.857883138,1738699.91768469,1495,22.5,0.802108757529665
"result.2241",0,12,8,127.996195666,113.422371407,119.758816737,1738614.43535416,1491,22.5,0.801608001694902
"result.3841",0,0,15,129.4118959,106.98904265,125.5679782,1738570.88635225,1499,23,0.801352891467213
"result.1746",1,13,6,128.629840199,114.05601594,118.491527671,1738390.04423652,1495,22.5,0.800293517628647
"result.1665",0,8,6,129.4118959,112.11426625,119.80210165,1738199.07906261,1499,23,0.799174842874708
"result.3973",4,8,15,129.07282878,109.64924775,122.80715748,1738057.59565226,1497,22,0.79834603248993
"result.2481",0,11,9,127.996195666,112.788726874,120.39246127,1738049.1325612,1491,22.5,0.798296455668576
"result.1011",2,15,3,129.263484732,115.323305006,116.590594072,1738026.74433177,1498,22.5,0.7981653053309
"result.1986",1,12,7,128.629840199,113.422371407,119.125172204,1737976.87963896,1495,22.5,0.797873197760621
"result.1251",2,14,4,129.263484732,114.689660473,117.224238605,1737871.04437259,1498,22.5,0.797253214346151
"result.4084",3,15,15,126.976869825,112.73068443,121.40227554,1737775.17078781,1485,21.5,0.796691586502322
"result.1491",2,13,5,129.263484732,114.05601594,117.857883138,1737611.54444063,1498,22.5,0.795733062704905
"result.1905",0,7,7,129.4118959,111.4736133,120.4427546,1737508.57981043,1499,23,0.795129895488627
"result.2226",1,11,8,128.629840199,112.788726874,119.758816737,1737460.42389201,1494,22.5,0.79484779792559
"result.2721",0,10,10,127.996195666,112.155082341,121.026105803,1737381.04744223,1491,22.5,0.794382810364738
"result.3829",4,15,14,127.59626919,112.73068443,120.782876175,1737342.6732341,1488,21.5,0.794158014099735
"result.1731",2,12,6,129.263484732,113.422371407,118.491527671,1737248.24453588,1498,22.5,0.793604850407159
"result.2466",1,10,9,128.629840199,112.155082341,120.39246127,1736840.67699567,1494,22.5,0.791217318123553
"result.3574",5,15,13,128.215668555,112.73068443,120.16347681,1736823.67616966,1492,21.5,0.791117727216632
"result.1971",2,11,7,129.263484732,112.788726874,119.125172204,1736781.14465834,1498,22.5,0.790868577452913
"result.2145",0,6,8,129.4118959,110.83296035,121.08340755,1736711.84990406,1499,23,0.790462648504687
"result.4069",4,14,15,127.59626919,112.111285065,121.40227554,1736657.33095669,1488,21.5,0.790143276292562
"result.2961",0,9,11,127.996195666,111.521437808,121.659750336,1736610.17999728,1490,22.5,0.789867065783385
"result.3958",5,7,15,129.69939591,109.02268062,122.80715748,1736514.79834128,1500,22,0.789308319660347
"result.3057",0,15,11,126.56656026,114.03521766,120.30088896,1736308.17370141,1482,22,0.788097911692101
"result.3319",6,15,12,128.83506792,112.73068443,119.544077445,1736218.17959447,1495,21.5,0.787570725853014
"result.2211",2,10,8,129.263484732,112.155082341,119.758816737,1736210.24480801,1498,22.5,0.787524243842169
"result.3814",5,14,14,128.215668555,112.111285065,120.782876175,1736184.19764382,1491,21.5,0.787371659449953
"result.2706",1,9,10,128.629840199,111.521437808,121.026105803,1736117.63894994,1494,22.5,0.786981758354509
"result.2802",1,15,10,127.19312739,114.03521766,119.67432183,1735815.71830974,1485,22,0.785213106034444
"result.2385",0,5,9,129.4118959,110.1923074,121.7240605,1735808.88934351,1498,23,0.78517310192289
"result.3297",0,14,12,126.56656026,113.40865053,120.92745609,1735761.60233263,1482,22,0.784896094423711
"result.3201",0,8,12,127.996195666,110.887793275,122.293394869,1735736.53022633,1490,22.5,0.78474922192452
"result.3559",6,14,13,128.83506792,112.111285065,120.16347681,1735625.04009224,1495,21.5,0.784096112272324
"result.2451",2,9,9,129.263484732,111.521437808,120.39246127,1735535.5449849,1497,22.5,0.783571849574926
"result.3064",7,15,11,129.454467285,112.73068443,118.92467808,1735526.18350854,1498,21.5,0.783517010008876
"result.4054",5,13,15,128.215668555,111.4918857,121.40227554,1735446.33780632,1491,21.5,0.783049273565322
"result.3042",1,14,11,127.19312739,113.40865053,120.30088896,1735316.37543007,1485,22,0.782287953444511
"result.2946",1,8,11,128.629840199,110.887793275,121.659750336,1735291.30975482,1494,22.5,0.782141118618457
