"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3826",1,15,14,117.14397777,113.21736399,144.63027423,1918192.61977331,1499,24,1
"result.4081",0,15,15,116.48954214,113.21736399,145.28470986,1916107.57508942,1494,24,0.988876491521458
"result.4066",1,14,15,117.14397777,112.56292836,145.28470986,1915734.23465133,1498,24,0.986884756974688
"result.2289",0,15,8,117.696235468,114.390161438,142.16118329,1913957.43296596,1500,24.5,0.97740569460037
"result.3505",0,11,13,117.696235468,111.745302214,145.46725732,1913185.57219181,1500,24.5,0.973287893225742
"result.2529",0,14,9,117.696235468,113.728946632,142.822398096,1911744.7654134,1500,24.5,0.965601330659773
"result.3315",2,15,12,117.7984134,113.21736399,143.32140297,1911452.59160909,1500,24,0.964042612127503
"result.3745",0,10,14,117.696235468,111.084087408,146.128472126,1910509.78817476,1499,24.5,0.959012848460371
"result.3570",1,15,13,117.14397777,113.21736399,143.9758386,1909513.01515895,1495,24,0.953695162380022
"result.2769",0,13,10,117.696235468,113.067731826,143.483612902,1909429.18309095,1499,24.5,0.953247926535894
"result.3555",2,14,13,117.7984134,112.56292836,143.9758386,1909081.37531311,1499,24,0.951392406222344
"result.3985",0,9,15,117.696235468,110.422872602,146.789686932,1907731.08938782,1498,24.5,0.944188763511715
"result.3825",0,15,14,116.48954214,113.21736399,144.63027423,1907476.45988631,1490,24,0.942830340145166
"result.3810",1,14,14,117.14397777,112.56292836,144.63027423,1907104.80116191,1494,24,0.940847577375634
"result.3009",0,12,11,117.696235468,112.40651702,144.144827708,1907010.68599861,1498,24.5,0.94034548222873
"result.3795",2,13,14,117.7984134,111.90849273,144.63027423,1906609.25619603,1498,24,0.938203893682924
"result.2033",0,15,7,117.696235468,114.390161438,141.499968484,1905055.30537077,1497,24.5,0.929913718746343
"result.4065",0,14,15,116.48954214,112.56292836,145.28470986,1905031.80875942,1489,24,0.929788366633962
"result.4050",1,13,15,117.14397777,111.90849273,145.28470986,1904596.24491498,1493,24,0.927464676329398
"result.3249",0,11,12,117.696235468,111.745302214,144.806042514,1904489.27413639,1497,24.5,0.926893997738284
"result.4035",2,12,15,117.7984134,111.2540571,145.28470986,1904036.23425785,1497,24,0.924477074509243
"result.2273",0,14,8,117.696235468,113.728946632,142.16118329,1902894.09520315,1496,24.5,0.918383874897388
"result.3059",2,15,11,117.7984134,113.21736399,142.66696734,1902724.49758348,1497,24,0.917479088263837
"result.2258",1,13,8,118.357450274,113.067731826,142.16118329,1902459.02012259,1500,24.5,0.916062792100081
"result.3489",0,10,13,117.696235468,111.084087408,145.46725732,1901864.94750428,1496,24.5,0.912893473064553
"result.3474",1,9,13,118.357450274,110.422872602,145.46725732,1901165.3583382,1500,24.5,0.90916123361639
"result.3314",1,15,12,117.14397777,113.21736399,143.32140297,1900833.4105446,1492,24,0.907390324760043
"result.2513",0,13,9,117.696235468,113.067731826,142.822398096,1900629.97026564,1495,24.5,0.906304990865151
"result.3299",2,14,12,117.7984134,112.56292836,143.32140297,1900403.73269805,1496,24,0.90509803567581
"result.2498",1,12,9,118.357450274,112.40651702,142.822398096,1900130.42891069,1499,24.5,0.903639986829438
"result.3830",5,15,14,118.506485958,112.030721698,143.114390146,1900039.1877073,1500,23.5,0.903153223976183
"result.3284",3,13,12,118.45284903,111.90849273,143.32140297,1899851.2897525,1500,24,0.902150806853226
"result.3729",0,9,14,117.696235468,110.422872602,146.128472126,1899137.70610229,1495,24.5,0.898343908207539
"result.3569",0,15,13,116.48954214,113.21736399,143.9758386,1898845.34468321,1487,24,0.896784188768875
"result.3554",1,14,13,117.14397777,112.56292836,143.9758386,1898475.36767249,1491,24,0.89481039777658
"result.3714",1,8,14,118.357450274,109.761657796,146.128472126,1898371.04888392,1498,24.5,0.894253867291619
"result.2753",0,12,10,117.696235468,112.40651702,143.483612902,1898262.93055825,1494,24.5,0.893677066649629
