"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,139.620304179,106.869862458,107.444431611,1603200.14347884,1496,18.5,1
"result.3826",1,15,14,140.194873332,106.869862458,106.869862458,1601189.13121726,1498,18.5,0.987064611059867
"result.4066",1,14,15,140.194873332,106.295293305,107.444431611,1601142.84872416,1498,18.5,0.98676690922046
"result.3571",2,15,13,140.769442485,106.869862458,106.295293305,1599107.55712195,1500,18.5,0.97367534882359
"result.3811",2,14,14,140.769442485,106.295293305,106.869862458,1599107.55712195,1500,18.5,0.97367534882359
"result.4051",2,13,15,140.769442485,105.720724152,107.444431611,1599014.61277105,1500,18.5,0.973077504965764
"result.3825",0,15,14,139.620304179,106.869862458,106.869862458,1594626.88067949,1492,18.5,0.944854394518383
"result.4065",0,14,15,139.620304179,106.295293305,107.444431611,1594580.78786874,1492,18.5,0.944557912768481
"result.3570",1,15,13,140.194873332,106.869862458,106.295293305,1592580.58750104,1494,18.5,0.931692068930176
"result.3810",1,14,14,140.194873332,106.295293305,106.869862458,1592580.58750104,1494,18.5,0.931692068930176
"result.4050",1,13,15,140.194873332,105.720724152,107.444431611,1592488.02251484,1494,18.5,0.931096665251363
"result.3555",2,14,13,140.769442485,106.295293305,106.295293305,1590510.2046643,1496,18.5,0.91837479197474
"result.3315",2,15,12,140.769442485,106.869862458,105.720724152,1590463.73248885,1496,18.5,0.918075870045827
"result.3795",2,13,14,140.769442485,105.720724152,106.869862458,1590463.73248885,1496,18.5,0.918075870045827
"result.4035",2,12,15,140.769442485,105.146154999,107.444431611,1590324.31596251,1496,18.5,0.917179104259089
"result.2737",0,11,10,141.49377513,105.97476162,105.97476162,1589067.07987195,1499,19,0.909092212830446
"result.2497",0,12,9,141.49377513,106.55704053,105.39248271,1589019.10658732,1499,19,0.908783635350737
"result.2977",0,10,11,141.49377513,105.39248271,106.55704053,1589019.10658732,1499,19,0.908783635350737
"result.2257",0,13,8,141.49377513,107.13931944,104.8102038,1588875.18673345,1499,19,0.907857902911609
"result.3217",0,9,12,141.49377513,104.8102038,107.13931944,1588875.18673345,1499,19,0.907857902911609
"result.2017",0,14,7,141.49377513,107.72159835,104.22792489,1588635.32031034,1499,19,0.906315015513062
"result.3457",0,8,13,141.49377513,104.22792489,107.72159835,1588635.32031034,1499,19,0.906315015513062
