"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,124.69194195,106.06575975,136.5920028,1806503.75583928,1500,15,1
"result.3809",0,14,14,124.69194195,105.5483658,137.10939675,1804500.98005675,1500,15,0.989263875695689
"result.4049",0,13,15,124.69194195,105.03097185,137.6267907,1802431.44508147,1499,15,0.978169880581236
"result.3313",0,15,12,124.69194195,106.06575975,136.07460885,1799660.93858231,1498,15,0.963318241960273
"result.3298",1,14,12,125.2093359,105.5483658,136.07460885,1798313.15081331,1500,15,0.956093260936397
"result.3553",0,14,13,124.69194195,105.5483658,136.5920028,1797691.54239616,1497,15,0.952761053061034
"result.3538",1,13,13,125.2093359,105.03097185,136.5920028,1796302.06475782,1499,15,0.945312588398458
"result.3793",0,13,14,124.69194195,105.03097185,137.10939675,1795655.38701726,1496,15,0.941845993351652
"result.3778",1,12,14,125.2093359,104.5135779,137.10939675,1794223.94250049,1498,15,0.934172560109256
"result.4033",0,12,15,124.69194195,104.5135779,137.6267907,1793552.4724456,1495,15,0.930573062832125
"result.2802",1,15,10,125.2093359,106.06575975,135.03982095,1793385.98997737,1498,15,0.929680613218448
"result.3057",0,15,11,124.69194195,106.06575975,135.5572149,1792818.12132534,1495,15,0.926636483920545
"result.4018",1,11,15,125.2093359,103.99618395,137.6267907,1792078.78404131,1497,15,0.922673176068789
"result.3042",1,14,11,125.2093359,105.5483658,135.5572149,1791475.45822466,1497,15,0.919438974307407
"result.3297",0,14,12,124.69194195,105.5483658,136.07460885,1790882.10473557,1494,15,0.916258230426379
"result.4003",2,10,15,125.72672985,103.47879,137.6267907,1790531.4112168,1500,15,0.914378294967283
"result.3027",2,13,11,125.72672985,105.03097185,135.5572149,1790060.21874016,1500,15,0.911852410120584
"result.3282",1,13,12,125.2093359,105.03097185,136.07460885,1789497.8902701,1496,15,0.9088379796451
"result.3537",0,13,13,124.69194195,105.03097185,136.5920028,1788879.32895304,1493,15,0.905522106122068
"result.3267",2,12,12,125.72672985,104.5135779,136.07460885,1788040.82241172,1499,15,0.901027189349018
"result.3522",1,12,13,125.2093359,104.5135779,136.5920028,1787453.2861137,1496,15,0.897877629231529
"result.2291",2,15,8,125.72672985,106.06575975,134.00503305,1786997.46764203,1498,15,0.895434158617043
"result.3777",0,12,14,124.69194195,104.5135779,137.10939675,1786809.79397776,1492,15,0.894428111007613
"result.2546",1,15,9,125.2093359,106.06575975,134.522427,1786514.7792878,1495,15,0.892846648713825
"result.2801",0,15,10,124.69194195,106.06575975,135.03982095,1785975.30406838,1492,15,0.889954725880818
"result.3507",2,11,13,125.72672985,103.99618395,136.5920028,1785954.11287234,1498,15,0.889841127885066
"result.3762",1,11,14,125.2093359,103.99618395,137.10939675,1785341.64575544,1495,15,0.886557923066694
"result.2531",2,14,9,125.72672985,105.5483658,134.522427,1785146.35434096,1498,15,0.88551103957644
"result.4017",0,11,15,124.69194195,103.99618395,137.6267907,1784673.49980973,1491,15,0.882976245083016
"result.2786",1,14,10,125.2093359,105.5483658,135.03982095,1784637.76563602,1494,15,0.882784687678416
"result.3492",3,10,13,126.2441238,103.47879,136.5920028,1784381.80922896,1500,15,0.881412602082678
"result.3041",0,14,11,124.69194195,105.5483658,135.5572149,1784072.66707497,1491,15,0.879755407791722
"result.3747",2,10,14,125.72672985,103.47879,137.10939675,1783800.090122,1497,15,0.878294225728729
"result.2516",3,13,9,126.2441238,105.03097185,134.522427,1783705.90702849,1500,15,0.877789345747613
"result.2771",2,13,10,125.72672985,105.03097185,135.03982095,1783227.92782894,1497,15,0.875227079843453
"result.4002",1,10,15,125.2093359,103.47879,137.6267907,1783162.96919533,1494,15,0.874878861150595
"result.3026",1,13,11,125.2093359,105.03097185,135.5572149,1782693.71578239,1494,15,0.872363370891742
"result.3732",3,9,14,126.2441238,102.96139605,137.10939675,1782185.12707745,1499,15,0.869637018993718
"result.3281",0,13,12,124.69194195,105.03097185,136.07460885,1782103.27088882,1490,15,0.869198218892484
"result.2756",3,12,10,126.2441238,104.5135779,135.03982095,1781745.79064714,1499,15,0.867281902375926
"result.3987",2,9,15,125.72672985,102.96139605,137.6267907,1781578.75416072,1496,15,0.866386482880007
"result.3011",2,12,11,125.72672985,104.5135779,135.5572149,1781242.18810598,1496,15,0.864582279418079
"result.3266",1,12,12,125.2093359,104.5135779,136.07460885,1780682.6297269,1493,15,0.861582698353804
"result.1780",3,15,6,126.2441238,106.06575975,132.97024515,1780495.37157628,1499,15,0.860578878156057
"result.4088",7,15,15,126.15803772,104.283861825,135.31466949,1780233.26510166,1498,14.5,0.859173824371657
"result.2035",2,15,7,125.72672985,106.06575975,133.4876391,1780097.86351986,1496,15,0.858447987647525
"result.3521",0,12,13,124.69194195,104.5135779,136.5920028,1780067.11550992,1489,15,0.858283159183102
"result.3972",3,8,15,126.2441238,102.4440021,137.6267907,1779920.85470589,1499,15,0.857499110271252
"result.2996",3,11,11,126.2441238,103.99618395,135.5572149,1779718.08404575,1498,15,0.856412133370732
"result.2290",1,15,8,125.2093359,106.06575975,134.00503305,1779643.56859824,1492,15,0.856012684209202
"result.3251",2,11,12,125.72672985,103.99618395,136.07460885,1779189.13517206,1495,15,0.85357663830032
"result.2545",0,15,9,124.69194195,106.06575975,134.522427,1779132.48681141,1489,15,0.85327296784109
"result.2020",3,14,7,126.2441238,105.5483658,133.4876391,1778704.23074505,1498,15,0.850977248868135
"result.3506",1,11,13,125.2093359,103.99618395,136.5920028,1778604.50746957,1492,15,0.850442670064601
"result.2275",2,14,8,125.72672985,105.5483658,134.00503305,1778280.40682426,1495,15,0.848705288953116
