"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,119.510383824,114.339261447,137.89659672,1884319.62719119,1500,18.5,1
"result.3826",1,15,14,119.510383824,114.339261447,137.322027567,1876468.29541123,1497,18.5,0.958425044305307
"result.3811",2,14,14,120.084952977,113.764692294,137.322027567,1876014.95459769,1500,18.5,0.956024480328927
"result.4081",0,15,15,118.935814671,114.339261447,137.89659672,1875260.39821431,1493,18.5,0.952028897275355
"result.4066",1,14,15,119.510383824,113.764692294,137.89659672,1874850.68434098,1496,18.5,0.949859349915949
"result.4051",2,13,15,120.084952977,113.190123141,137.89659672,1874349.92294025,1500,18.5,0.947207680921119
"result.3315",2,15,12,120.084952977,114.339261447,136.172889261,1869711.62046597,1498,18.5,0.922646596856509
"result.1761",0,14,6,120.53173437,115.29122418,134.50642821,1869135.11550449,1500,19,0.919593844928187
"result.3570",1,15,13,119.510383824,114.339261447,136.747458414,1868616.96363126,1494,18.5,0.916850088610614
"result.3555",2,14,13,120.084952977,113.764692294,136.747458414,1868165.51964121,1497,18.5,0.914459568834973
"result.2001",0,13,7,120.53173437,114.70894527,135.08870712,1867745.66703873,1500,19,0.912236334123248
"result.3825",0,15,14,118.935814671,114.339261447,137.322027567,1867446.81322175,1490,18.5,0.910653821175349
"result.3457",0,8,13,120.53173437,111.79755072,138.58238058,1867418.73798796,1500,19,0.910505155110322
"result.3810",1,14,14,119.510383824,113.764692294,137.322027567,1867038.80648956,1493,18.5,0.908493313596606
"result.3795",2,13,14,120.084952977,113.190123141,137.322027567,1866540.13159467,1497,18.5,0.905852693222588
"result.2241",0,12,8,120.53173437,114.12666636,135.67098603,1866274.48631027,1499,19,0.904446028565078
"result.3780",3,12,14,120.65952213,112.615553988,137.322027567,1865950.78853706,1500,18.5,0.902731960053295
"result.4065",0,14,15,118.935814671,113.764692294,137.89659672,1865836.97912781,1489,18.5,0.902129308009014
"result.3697",0,7,14,120.53173437,111.21527181,139.16465949,1865498.0298147,1499,19,0.900334478409378
"result.4050",1,13,15,119.510383824,113.190123141,137.89659672,1865381.74149078,1493,18.5,0.899718699831897
"result.4035",2,12,15,120.084952977,112.615553988,137.89659672,1864835.45632634,1496,18.5,0.896825970019355
"result.2481",0,11,9,120.53173437,113.54438745,136.25326494,1864721.57331912,1499,19,0.896222928253678
"result.4020",3,11,15,120.65952213,112.040984835,137.89659672,1864198.1236345,1499,18.5,0.89345111857139
"result.3937",0,6,15,120.53173437,110.6329929,139.7469384,1863495.58937874,1498,19,0.889731006955204
"result.2721",0,10,10,120.53173437,112.96210854,136.83554385,1863086.92806528,1498,19,0.887567033189044
"result.2804",3,15,10,120.65952213,114.339261447,135.023750955,1862803.9583711,1499,18.5,0.886068631028967
"result.1265",0,15,4,120.53173437,115.87350309,133.34187039,1862310.47156971,1498,19,0.883455483033344
"result.3059",2,15,11,120.084952977,114.339261447,135.598320108,1861822.5418986,1495,18.5,0.88087176156713
"result.2961",0,9,11,120.53173437,112.37982963,137.41782276,1861370.55054875,1497,19,0.87847834337118
"result.3044",3,14,11,120.65952213,113.764692294,135.598320108,1861330.12652122,1498,18.5,0.878264287055549
"result.1505",0,14,5,120.53173437,115.29122418,133.9241493,1861043.62149798,1497,19,0.876747164358253
"result.3314",1,15,12,119.510383824,114.339261447,136.172889261,1860765.6318513,1491,18.5,0.875275132915922
"result.3299",2,14,12,120.084952977,113.764692294,136.172889261,1860316.08468474,1494,18.5,0.872894657341019
"result.3284",3,13,12,120.65952213,113.190123141,136.172889261,1859776.62808486,1497,18.5,0.870038086651133
"result.1745",0,13,6,120.53173437,114.70894527,134.50642821,1859695.03916356,1497,19,0.869606050929931
"result.3569",0,15,13,118.935814671,114.339261447,136.747458414,1859633.22822919,1487,18.5,0.869278745075342
"result.3201",0,8,12,120.53173437,111.79755072,138.00010167,1859572.44076952,1497,19,0.868956858800085
"result.3554",1,14,13,119.510383824,113.764692294,136.747458414,1859226.92863814,1490,18.5,0.867127277277264
"result.1730",1,12,6,121.11401328,114.12666636,134.50642821,1859193.39259472,1500,19,0.866949694727126
"result.3186",1,7,12,121.11401328,111.21527181,138.00010167,1858823.82062429,1500,19,0.864992709755992
"result.3539",2,13,13,120.084952977,113.190123141,136.747458414,1858730.34024908,1494,18.5,0.864497705524058
"result.1985",0,12,7,120.53173437,114.12666636,135.08870712,1858264.72456645,1496,19,0.862032142748378
"result.3524",3,12,13,120.65952213,112.615553988,136.747458414,1858143.46306201,1497,18.5,0.861390029815723
"result.3809",0,14,14,118.935814671,113.764692294,137.322027567,1858062.65838144,1486,18.5,0.860962146864285
"result.1970",1,11,7,121.11401328,113.54438745,135.08870712,1857715.10471299,1499,19,0.859121754842589
"result.3441",0,7,13,120.53173437,111.21527181,138.58238058,1857692.59872761,1496,19,0.859002579475757
"result.3794",1,13,14,119.510383824,113.190123141,137.322027567,1857609.3175679,1489,18.5,0.858561582887905
"result.3509",4,11,13,121.234091283,112.040984835,136.747458414,1857466.29707693,1500,18.5,0.85780425015226
"result.3779",2,12,14,120.084952977,112.615553988,137.322027567,1857065.30859165,1493,18.5,0.855680906116249
"result.3426",1,6,13,121.11401328,110.6329929,138.58238058,1856893.83366758,1499,19,0.854772899351178
"result.2225",0,11,8,120.53173437,113.54438745,135.67098603,1856752.67770665,1495,19,0.854025439813593
"result.3764",3,11,14,120.65952213,112.040984835,137.322027567,1856430.63145269,1496,18.5,0.852320116549318
"result.4049",0,13,15,118.935814671,113.190123141,137.89659672,1856413.5600413,1485,18.5,0.852229718742675
"result.2210",1,10,8,121.11401328,112.96210854,135.67098603,1856154.68972671,1499,19,0.85085892940891
"result.4034",1,12,15,119.510383824,112.615553988,137.89659672,1855912.79864057,1489,18.5,0.849578049747846
"result.2293",4,15,8,121.234091283,114.339261447,133.874612649,1855745.30912661,1499,18.5,0.848691146822681
"result.3681",0,6,14,120.53173437,110.6329929,139.16465949,1855731.024423,1495,19,0.848615505398197
"result.3749",4,10,14,121.234091283,111.466415682,137.322027567,1855705.28615102,1499,18.5,0.84847921418711
"result.4019",2,11,15,120.084952977,112.040984835,137.89659672,1855320.98971243,1492,18.5,0.846444259117592
"result.2465",0,10,9,120.53173437,112.96210854,136.25326494,1855158.89858415,1495,19,0.845585942125576
"result.754",1,15,2,121.11401328,115.87350309,132.17731257,1854963.84671087,1498,19,0.844553088946366
"result.3666",1,5,14,121.11401328,110.05071399,139.16465949,1854881.71960633,1498,19,0.844118203397225
"result.2548",3,15,9,120.65952213,114.339261447,134.449181802,1854877.13301633,1496,18.5,0.844093916144902
"result.4004",3,10,15,120.65952213,111.466415682,137.89659672,1854638.13325689,1495,18.5,0.842828346851915
"result.2450",1,9,9,121.11401328,112.37982963,136.25326494,1854512.14763589,1498,19,0.84216121842609
"result.2533",4,14,9,121.234091283,113.764692294,134.449181802,1854344.504981,1499,18.5,0.841273504577675
"result.1009",0,15,3,120.53173437,115.87350309,132.75959148,1854178.11143185,1494,19,0.840392405086796
"result.2803",2,15,10,120.084952977,114.339261447,135.023750955,1853933.46333124,1492,18.5,0.839096926277752
"result.3989",4,9,15,121.234091283,110.891846529,137.89659672,1853864.22927394,1499,18.5,0.838730312950816
"result.994",1,14,3,121.11401328,115.29122418,132.75959148,1853773.00369503,1498,19,0.838247248483822
"result.3921",0,5,15,120.53173437,110.05071399,139.7469384,1853687.7178557,1494,19,0.837795636567406
"result.2705",0,9,10,120.53173437,112.37982963,136.83554385,1853483.38719897,1494,19,0.836713649684327
"result.2788",3,14,10,120.65952213,113.764692294,135.023750955,1853443.13445969,1495,18.5,0.836500500386981
"result.1249",0,14,4,120.53173437,115.29122418,133.34187039,1852952.12749147,1494,19,0.833900483788321
"result.3058",1,15,11,119.510383824,114.339261447,135.598320108,1852914.30007134,1488,18.5,0.83370017722123
"result.3832",7,15,14,121.28546728,112.78414948,135.45433028,1852890.3861082,1499,18,0.833573546225913
"result.2773",4,13,10,121.234091283,113.190123141,135.023750955,1852863.65488422,1498,18.5,0.833431997061525
"result.2690",1,8,10,121.11401328,111.79755072,136.83554385,1852787.47844054,1497,19,0.83302862189413
"result.3906",1,4,15,121.11401328,109.46843508,139.7469384,1852787.47844054,1497,19,0.83302862189413
"result.1234",1,13,4,121.11401328,114.70894527,133.34187039,1852500.03357464,1497,19,0.831506522472136
"result.3043",2,14,11,120.084952977,113.764692294,135.598320108,1852466.64972826,1491,18.5,0.831329745847063
"result.4087",6,15,15,120.71871276,112.78414948,136.0210848,1851948.47178374,1495,18,0.828585851474872
"result.3028",3,13,11,120.65952213,113.190123141,135.598320108,1851929.46931656,1494,18.5,0.828485228198065
"result.3313",0,15,12,118.935814671,114.339261447,136.172889261,1851819.64323663,1484,18.5,0.827903668975335
"result.2945",0,8,11,120.53173437,111.79755072,137.41782276,1851726.14355109,1493,19,0.827408562489847
"result.1489",0,13,5,120.53173437,114.70894527,133.9241493,1851644.4112884,1493,19,0.826975767736615
"result.3298",1,14,12,119.510383824,113.764692294,136.172889261,1851415.05078672,1487,18.5,0.825761240957921
"result.3013",4,12,11,121.234091283,112.615553988,135.598320108,1851302.75883625,1498,18.5,0.825166624274232
"result.4072",7,14,15,121.28546728,112.21739496,136.0210848,1851293.10039448,1498,18,0.825115480175346
"result.1474",1,12,5,121.11401328,114.12666636,133.9241493,1851144.93634972,1497,19,0.82433091091131
"result.2930",1,7,11,121.11401328,111.21527181,137.41782276,1850980.68214064,1497,19,0.823461139813029
"result.3283",2,13,12,120.084952977,113.190123141,136.172889261,1850920.5489035,1490,18.5,0.823142717825527
"result.1459",2,11,5,121.69629219,113.54438745,133.9241493,1850554.64778583,1500,19,0.82120517102686
"result.3268",3,12,12,120.65952213,112.615553988,136.172889261,1850336.13758696,1494,18.5,0.820048099578153
"result.3553",0,14,13,118.935814671,113.764692294,136.747458414,1850288.33763507,1483,18.5,0.819794985719555
"result.1729",0,12,6,120.53173437,114.12666636,134.50642821,1850254.96282263,1493,19,0.819618256931677
"result.2915",2,6,11,121.69629219,110.6329929,137.41782276,1850142.03805389,1500,19,0.819020289301609
"result.3185",0,7,12,120.53173437,111.21527181,138.00010167,1849887.16764052,1493,19,0.817670680542135
"result.3538",1,13,13,119.510383824,113.190123141,136.747458414,1849836.89364502,1486,18.5,0.817404465943913
"result.1714",1,11,6,121.11401328,113.54438745,134.50642821,1849707.71202026,1496,19,0.816720413801344
"result.3253",4,11,12,121.234091283,112.040984835,136.172889261,1849661.81683711,1497,18.5,0.816477386215796
"result.3523",2,12,13,120.084952977,112.615553988,136.747458414,1849295.16085696,1490,18.5,0.814535842213143
"result.3170",1,6,12,121.11401328,110.6329929,138.00010167,1849091.7587362,1496,19,0.813458772182786
"result.1699",2,10,6,121.69629219,112.96210854,134.50642821,1849069.25275082,1500,19,0.813339596815954
"result.3238",5,10,12,121.808660436,111.466415682,136.172889261,1848897.58665395,1500,18.5,0.81243057773846
"result.1969",0,11,7,120.53173437,113.54438745,135.08870712,1848783.78209417,1492,19,0.811827951373508
"result.3793",0,13,14,118.935814671,113.190123141,137.322027567,1848678.50354113,1482,18.5,0.811270472553222
"result.3508",3,11,13,120.65952213,112.040984835,136.747458414,1848663.13927088,1493,18.5,0.811189114527244
"result.1782",5,15,6,121.808660436,114.339261447,132.725474343,1848535.67273251,1500,18.5,0.810514144237651
"result.3155",2,5,12,121.69629219,110.05071399,138.00010167,1848202.77231373,1499,19,0.808751345192926
"result.1954",1,10,7,121.11401328,112.96210854,135.08870712,1848188.36058625,1496,19,0.808675031142235
"result.3778",1,12,14,119.510383824,112.615553988,137.322027567,1848179.82864623,1486,18.5,0.808629852179203
"result.3425",0,6,13,120.53173437,110.6329929,138.58238058,1847966.45946725,1492,19,0.807500003841192
"result.3493",4,10,13,121.234091283,111.466415682,136.747458414,1847940.82888679,1496,18.5,0.807364282886216
"result.2037",4,15,7,121.234091283,114.339261447,133.300043496,1847780.73698444,1496,18.5,0.80651655234393
"result.3763",2,11,14,120.084952977,112.040984835,137.322027567,1847590.48558863,1489,18.5,0.805509119009911
"result.1939",2,9,7,121.69629219,112.37982963,135.08870712,1847501.33576942,1499,19,0.805037046259998
"result.243",2,15,0,121.69629219,115.87350309,131.01275475,1847460.07479623,1499,19,0.804818558087474
"result.2209",0,10,8,120.53173437,112.96210854,135.67098603,1847230.86910302,1492,19,0.803604851062107
"result.2022",5,14,7,121.808660436,113.764692294,133.300043496,1847208.65502057,1500,18.5,0.803487221401352
"result.3478",5,9,13,121.808660436,110.891846529,136.747458414,1847128.2297047,1499,18.5,0.803061347290062
"result.3410",1,5,13,121.11401328,110.05071399,138.58238058,1847120.70822722,1495,19,0.803021519003403
"result.4033",0,12,15,118.935814671,112.615553988,137.89659672,1846990.1409548,1482,18.5,0.802330129476336
"result.2292",3,15,8,120.65952213,114.339261447,133.874612649,1846950.30766156,1492,18.5,0.802119201260838
"result.3748",3,10,14,120.65952213,111.466415682,137.322027567,1846910.47436832,1492,18.5,0.80190827304534
"result.498",1,15,1,121.11401328,115.87350309,131.59503366,1846792.19980906,1495,19,0.801281976806839
"result.2194",1,9,8,121.11401328,112.37982963,135.67098603,1846586.88204771,1495,19,0.800194762933987
"result.4018",1,11,15,119.510383824,112.040984835,137.89659672,1846443.85579036,1485,18.5,0.799437399663795
"result.2277",4,14,8,121.234091283,113.764692294,133.874612649,1846419.95581442,1496,18.5,0.799310842734496
"result.483",2,14,1,121.69629219,115.29122418,131.59503366,1846346.02851997,1498,19,0.798919377429295
"result.3395",2,4,13,121.69629219,109.46843508,138.58238058,1846180.98462719,1498,19,0.798045424739194
"result.3733",4,9,14,121.234091283,110.891846529,137.322027567,1846139.7949853,1496,18.5,0.797827314285495
"result.753",0,15,2,120.53173437,115.87350309,132.17731257,1846045.75129399,1491,19,0.797329327140247
"result.2547",2,15,9,120.084952977,114.339261447,134.449181802,1846044.38476387,1488,18.5,0.797322090988373
"result.3321",8,15,12,121.8522218,112.78414948,134.32082124,1845970.93857083,1499,18,0.79693317324711
"result.3665",0,5,14,120.53173437,110.05071399,139.16465949,1845964.0190313,1491,19,0.796896532387016
"result.2179",2,8,8,121.69629219,111.79755072,135.67098603,1845850.89684163,1498,19,0.796297519358992
"result.4003",2,10,15,120.084952977,111.466415682,137.89659672,1845806.52309852,1488,18.5,0.796062548215829
"result.2262",5,13,8,121.808660436,113.190123141,133.874612649,1845801.21199276,1499,18.5,0.796034424453763
"result.738",1,14,2,121.11401328,115.29122418,132.17731257,1845642.42034549,1495,19,0.795193579118865
"result.2449",0,9,9,120.53173437,112.37982963,136.25326494,1845596.22384918,1491,19,0.794948955997474
"result.2532",3,14,9,120.65952213,113.764692294,134.449181802,1845556.14239816,1492,18.5,0.794736713718415
"result.3718",5,8,14,121.808660436,110.317277376,137.322027567,1845278.44743957,1499,18.5,0.793266242730373
"result.723",2,13,2,121.69629219,114.70894527,132.17731257,1845149.46029732,1498,19,0.792583220426065
"result.3576",7,15,13,121.28546728,112.78414948,134.88757576,1845137.70666842,1495,18,0.792520981736573
"result.145",0,9,0,122.106798819,113.848367981,132.724781325,1845094.75235455,1500,19.5,0.792293526860611
"result.3988",3,9,15,120.65952213,110.891846529,137.89659672,1845078.14287928,1492,18.5,0.792205575132441
"result.3650",1,4,14,121.11401328,109.46843508,139.16465949,1845067.5306137,1494,19,0.792149380274879
"result.2802",1,15,10,119.510383824,114.339261447,135.023750955,1845062.96829137,1484,18.5,0.792125221526537
"result.2817",0,0,11,122.106798819,108.539376728,139.213548412,1845052.26312594,1500,19.5,0.79206853473871
"result.2517",4,13,9,121.234091283,113.190123141,134.449181802,1844979.12869322,1495,18.5,0.791681267853917
"result.2434",1,8,9,121.11401328,111.79755072,136.25326494,1844903.27640462,1494,19,0.791279609176597
"result.993",0,14,3,120.53173437,115.29122418,132.75959148,1844860.63348495,1491,19,0.791053803218389
"result.2787",2,14,10,120.084952977,113.764692294,135.023750955,1844617.21477178,1488,18.5,0.789764834353109
"result.3561",8,14,13,121.8522218,112.21739496,134.88757576,1844444.46937666,1499,18,0.788850100095296
"result.978",1,13,3,121.11401328,114.70894527,132.75959148,1844410.51377738,1494,19,0.788670295881751
"result.2502",5,12,9,121.808660436,112.615553988,134.449181802,1844313.34364907,1498,18.5,0.788155753394883
"result.3973",4,8,15,121.234091283,110.317277376,137.89659672,1844258.71513262,1495,18.5,0.787866480413629
"result.3831",6,15,14,120.71871276,112.78414948,135.45433028,1844232.01981798,1492,18,0.787725121399034
"result.2419",2,7,9,121.69629219,111.21527181,136.25326494,1844117.93596745,1498,19,0.787121016112936
"result.2772",3,13,10,120.65952213,113.190123141,135.023750955,1844082.31054827,1491,18.5,0.786932369744995
"result.3635",2,3,14,121.69629219,108.88615617,139.16465949,1844076.67499425,1498,19,0.786902527940411
"result.3057",0,15,11,118.935814671,114.339261447,135.598320108,1844006.05824407,1480,18.5,0.786528592875329
"result.2689",0,8,10,120.53173437,111.79755072,136.83554385,1843879.84633265,1490,19,0.785860266179609
"result.3905",0,4,15,120.53173437,109.46843508,139.7469384,1843879.84633265,1490,19,0.785860266179609
"result.963",2,12,3,121.69629219,114.12666636,132.75959148,1843870.37012828,1497,19,0.785810087077785
"result.385",0,8,1,122.106798819,113.258480064,133.314669242,1843692.60781044,1500,19.5,0.78486878683785
"result.3042",1,14,11,119.510383824,113.764692294,135.598320108,1843603.1729353,1484,18.5,0.784395204638579
"result.1233",0,13,4,120.53173437,114.70894527,133.34187039,1843593.78341323,1490,19,0.784345484543298
"result.3816",7,14,14,121.28546728,112.21739496,135.45433028,1843579.37914283,1495,18,0.784269209979922
"result.2757",4,12,10,121.234091283,112.615553988,135.023750955,1843458.25562085,1494,18.5,0.783627827702197
"result.1841",0,3,7,122.106798819,110.309040479,136.853996744,1843352.69398157,1500,19.5,0.783068849862636
"result.3958",5,7,15,121.808660436,109.742708223,137.89659672,1843348.23985856,1498,18.5,0.783045264059393
