"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,141.68863,100.88230456,111.08388592,1587819.23810148,1499,18,1
"result.4081",0,15,15,141.12187548,100.88230456,111.08388592,1581467.96114908,1493,18,0.960807750377453
"result.3826",1,15,14,141.68863,100.88230456,110.5171314,1579718.11953974,1496,18,0.950009885685528
"result.4066",1,14,15,141.68863,100.31555004,111.08388592,1578898.90530316,1495,18,0.944954705586311
"result.3571",2,15,13,142.25538452,100.88230456,109.95037688,1577903.46898191,1498,18,0.938812100079086
"result.3811",2,14,14,142.25538452,100.31555004,110.5171314,1577126.67183802,1497,18,0.934018665971674
"result.4051",2,13,15,142.25538452,99.74879552,111.08388592,1576258.48679486,1497,18,0.928661298439859
"result.3316",3,15,12,142.82213904,100.88230456,109.38362236,1576024.00947559,1500,18,0.927214393558128
"result.3556",3,14,13,142.82213904,100.31555004,109.95037688,1575289.99351961,1499,18,0.922684952189231
"result.3796",3,13,14,142.82213904,99.74879552,110.5171314,1574464.22556914,1499,18,0.917589330649221
"result.3953",0,7,15,143.067719097,97.67675601,112.615553988,1573733.74932803,1500,18.5,0.913081732035711
"result.4036",3,12,15,142.82213904,99.182041,111.08388592,1573546.70562417,1499,18,0.911927528938098
"result.3825",0,15,14,141.12187548,100.88230456,110.5171314,1573399.24706158,1490,18,0.91101759652024
"result.4065",0,14,15,141.12187548,100.31555004,111.08388592,1572583.30968195,1489,18,0.90598263714142
"result.1777",0,15,6,143.067719097,102.273309234,107.444431611,1572127.89856341,1499,18.5,0.903172401282985
"result.2017",0,14,7,143.067719097,101.698740081,108.019000764,1571655.58951499,1499,18.5,0.900257892238064
"result.3570",1,15,13,141.68863,100.88230456,109.95037688,1571617.000978,1492,18,0.900019771371055
"result.2257",0,13,8,143.067719097,101.124170928,108.593569917,1571088.81865689,1499,18.5,0.896760481384161
"result.3810",1,14,14,141.68863,100.31555004,110.5171314,1570843.29864345,1491,18,0.895245434610684
"result.4021",4,11,15,143.38889356,98.61528648,111.08388592,1570763.56179109,1500,18,0.894753397081028
"result.2497",0,12,9,143.067719097,100.549601775,109.16813907,1570427.58598911,1498,18.5,0.892680168721273
"result.4050",1,13,15,141.68863,99.74879552,111.08388592,1569978.57250484,1491,18,0.889909411172622
"result.3315",2,15,12,142.25538452,100.88230456,109.38362236,1569769.94594592,1494,18,0.888622025307355
"result.2737",0,11,10,143.067719097,99.975032622,109.742708223,1569671.89151164,1498,18.5,0.888016954249403
"result.3555",2,14,13,142.25538452,100.31555004,109.95037688,1569038.84275167,1494,18,0.884110557912144
"result.2977",0,10,11,143.067719097,99.400463469,110.317277376,1568821.73522449,1498,18.5,0.882770837968546
"result.2242",1,12,8,143.64228825,100.549601775,108.593569917,1568435.9213271,1500,18.5,0.880390070339082
"result.3795",2,13,14,142.25538452,99.74879552,110.5171314,1568216.35165815,1493,18,0.879035157092531
"result.3217",0,9,12,143.067719097,98.825894316,110.891846529,1567877.11712765,1497,18.5,0.876941819878706
"result.3060",3,15,11,142.82213904,100.88230456,108.81686784,1567858.08196535,1496,18,0.87682435832914
"result.2482",1,11,9,143.64228825,99.975032622,109.16813907,1567724.61251925,1500,18.5,0.8760007494883
"result.4035",2,12,15,142.25538452,99.182041,111.08388592,1567302.47266534,1493,18,0.873395822848516
"result.3300",3,14,12,142.82213904,100.31555004,109.38362236,1567169.94200662,1496,18,0.872578007045798
"result.2722",1,10,10,143.64228825,99.400463469,109.742708223,1566918.46253701,1500,18.5,0.871026185857412
"result.3457",0,8,13,143.067719097,98.251325163,111.466415682,1566838.03722113,1497,18.5,0.870529899979884
"result.3540",3,13,13,142.82213904,99.74879552,109.95037688,1566390.0500534,1495,18,0.867765475591344
"result.2962",1,9,11,143.64228825,98.825894316,110.317277376,1566017.47138039,1499,18.5,0.865466379446421
"result.2805",4,15,10,143.38889356,100.88230456,108.25011332,1565881.40903628,1498,18,0.864626770436409
"result.3697",0,7,14,143.067719097,97.67675601,112.040984835,1565704.49550493,1496,18.5,0.863535078272077
"result.3780",3,12,14,142.82213904,99.182041,110.5171314,1565518.40610567,1495,18,0.862386763965779
"result.3569",0,15,13,141.12187548,100.88230456,109.95037688,1565330.53297409,1486,18,0.861227442663025
"result.3045",4,14,11,143.38889356,100.31555004,108.81686784,1565236.59640829,1498,18,0.860647782011648
"result.3202",1,8,12,143.64228825,98.251325163,110.891846529,1565021.63904939,1499,18.5,0.859321330255325
"result.4089",8,15,15,143.619458032,99.471842528,109.530792896,1564766.99655677,1499,17.5,0.857749990789296
"result.3809",0,14,14,141.12187548,100.31555004,110.5171314,1564559.92544888,1485,18,0.856472203249696
"result.4020",3,11,15,142.82213904,98.61528648,111.08388592,1564555.01016346,1494,18,0.856441872169099
"result.3285",4,13,12,143.38889356,99.74879552,109.38362236,1564499.66769058,1497,18,0.856100366669064
"result.3937",0,6,15,143.067719097,97.102186857,112.615553988,1564476.49197904,1496,18.5,0.855957354755285
"result.3442",1,7,13,143.64228825,97.67675601,111.466415682,1563930.965544,1498,18.5,0.852591038284125
"result.2550",5,15,9,143.95564808,100.88230456,107.6833588,1563839.92715872,1500,18,0.852029261629162
"result.1521",0,15,5,143.067719097,102.273309234,106.869862458,1563720.79750157,1495,18.5,0.851294140283414
"result.4049",0,13,15,141.12187548,99.74879552,111.08388592,1563698.65821482,1485,18,0.851157523905386
