"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4001",0,10,15,123.92835525,125.02994063,117.31884297,1817826.71688739,1500,17,1
"result.3761",0,11,14,123.92835525,125.58073332,116.76805028,1817262.7699007,1500,17,0.996814854513669
"result.3521",0,12,13,123.92835525,126.13152601,116.21725759,1816623.62998246,1500,17,0.993205022962494
"result.3281",0,13,12,123.92835525,126.6823187,115.6664649,1815909.29713265,1500,17,0.989170505346473
"result.3041",0,14,11,123.92835525,127.23311139,115.11567221,1815119.77135129,1499,17,0.98471130166561
"result.2801",0,15,10,123.92835525,127.78390408,114.56487952,1814255.05263837,1499,17,0.979827411919902
"result.3970",1,8,15,124.47914794,123.92835525,117.31884297,1809818.66967643,1500,17,0.954770934094095
"result.3985",0,9,15,123.92835525,124.47914794,117.31884297,1809818.66967643,1497,17,0.954770934094095
"result.3730",1,9,14,124.47914794,124.47914794,116.76805028,1809327.74338106,1500,17,0.951998205964069
"result.3745",0,10,14,123.92835525,125.02994063,116.76805028,1809292.31915553,1497,17,0.951798131640187
"result.3490",1,10,13,124.47914794,125.02994063,116.21725759,1808761.28996332,1500,17,0.948798904275576
"result.3505",0,11,13,123.92835525,125.58073332,116.21725759,1808690.77570306,1497,17,0.948400643121433
"result.4085",4,15,15,124.263590643,125.891497944,115.581418371,1808124.45184454,1498,16.5,0.945202073177171
"result.3250",1,11,12,124.47914794,125.58073332,115.6664649,1808119.30942322,1500,17,0.945173029028618
"result.3265",0,12,12,123.92835525,126.13152601,115.6664649,1808014.03931903,1496,17,0.944578468537835
"result.3010",1,12,11,124.47914794,126.13152601,115.11567221,1807401.80176075,1499,17,0.941120580223194
"result.3025",0,13,11,123.92835525,126.6823187,115.11567221,1807262.11000345,1496,17,0.940331607889394
"result.2770",1,13,10,124.47914794,126.6823187,114.56487952,1806608.76697591,1499,17,0.936641557859303
"result.2785",0,14,10,123.92835525,127.23311139,114.56487952,1806434.98775631,1496,17,0.935660061176108
"result.2530",1,14,9,124.47914794,127.23311139,114.01408683,1805740.20506871,1499,17,0.931735961936948
"result.2545",0,15,9,123.92835525,127.78390408,114.01408683,1805532.67257761,1495,17,0.930563828397977
"result.2290",1,15,8,124.47914794,127.78390408,113.46329414,1804796.11603915,1498,17,0.926403792456126
"result.3969",0,8,15,123.92835525,123.92835525,117.31884297,1801810.62246548,1494,17,0.909541868188191
"result.3954",1,7,15,124.47914794,123.37756256,117.31884297,1801775.03114454,1497,17,0.909340850117498
"result.3939",2,6,15,125.02994063,122.82676987,117.31884297,1801668.25718173,1500,17,0.908737795905419
"result.3714",1,8,14,124.47914794,123.92835525,116.76805028,1801321.86841035,1497,17,0.906781408766704
"result.3729",0,9,14,123.92835525,124.47914794,116.76805028,1801321.86841035,1494,17,0.906781408766704
"result.3699",2,7,14,125.02994063,123.37756256,116.76805028,1801251.01995928,1500,17,0.90638126011894
"result.3474",1,9,13,124.47914794,124.47914794,116.21725759,1800793.17855379,1497,17,0.903795393857444
"result.3459",2,8,13,125.02994063,123.92835525,116.21725759,1800757.92142366,1500,17,0.903596263280372
"result.3489",0,10,13,123.92835525,125.02994063,116.21725759,1800757.92142366,1493,17,0.903596263280372
"result.4054",5,13,15,124.80622641,124.80622641,115.581418371,1800364.84532781,1498,16.5,0.901376188376117
"result.4069",4,14,15,124.263590643,125.348862177,115.581418371,1800330.8119659,1495,16.5,0.90118396958313
"result.4084",3,15,15,123.720954876,125.891497944,115.581418371,1800228.71188015,1492,16.5,0.900607313204168
