"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,107.48080136,90.09420114,99.57780126,964251.375656148,1018,40,1
"result.4095",14,15,15,106.69050135,90.09420114,99.57780126,957161.292011617,1010,40,0.976974680805021
"result.3840",15,15,14,107.48080136,90.09420114,98.78750125,956598.586960464,1013,40,0.975147274519705
"result.4080",15,14,15,107.48080136,89.30390113,99.57780126,955793.030255655,1013,40,0.972531198153358
"result.4094",13,15,15,105.90020134,90.09420114,99.57780126,950071.208367087,1003,40,0.953949361610041
"result.3839",14,15,14,106.69050135,90.09420114,98.78750125,949564.773821049,1006,40,0.952304695953257
"result.3584",15,15,13,107.48080136,90.09420114,97.99720124,948945.79826478,1009,40,0.950294549039409
"result.4079",14,14,15,106.69050135,89.30390113,99.57780126,948765.140327305,1006,40,0.949707855442545
"result.3824",15,14,14,107.48080136,89.30390113,98.78750125,948207.371285372,1009,40,0.947896479036925
"result.4064",15,13,15,107.48080136,88.51360112,99.57780126,947334.684855163,1009,40,0.945062396306716
"result.4093",12,15,15,105.10990133,90.09420114,99.57780126,942981.124722556,995,40,0.930924042415062
"result.3838",13,15,14,105.90020134,90.09420114,98.78750125,942530.960681634,999,40,0.929462117386809
"result.3583",14,15,13,106.69050135,90.09420114,97.99720124,941968.255630481,1002,40,0.927634711101493
"result.4078",13,14,15,105.90020134,89.30390113,99.57780126,941737.250398955,998,40,0.926884512731732
"result.3328",15,15,12,107.48080136,90.09420114,97.20690123,941293.009569097,1005,40,0.925441823559114
"result.3823",14,14,14,106.69050135,89.30390113,98.78750125,941235.258261215,1002,40,0.925254273966674
"result.3568",15,14,13,107.48080136,89.30390113,97.99720124,940621.712315089,1005,40,0.923261759920492
"result.4063",14,13,15,106.69050135,88.51360112,99.57780126,940368.988642993,1001,40,0.922441030080069
"result.3808",15,13,14,107.48080136,88.51360112,98.78750125,939816.155610281,1005,40,0.920645683554145
"result.4048",15,12,15,107.48080136,87.72330111,99.57780126,938876.33945467,1004,40,0.917593594460073
"result.4092",11,15,15,104.31960132,90.09420114,99.57780126,935891.041078026,988,40,0.907898723220082
"result.3837",12,15,14,105.10990133,90.09420114,98.78750125,935497.147542219,991,40,0.906619538820361
"result.3582",13,15,13,105.90020134,90.09420114,97.99720124,934990.712996181,995,40,0.904974873163577
"result.4077",12,14,15,105.10990133,89.30390113,99.57780126,934709.360470604,991,40,0.904061170020919
"result.3327",14,15,12,106.69050135,90.09420114,97.20690123,934371.737439912,998,40,0.902964726249729
"result.3822",13,14,14,105.90020134,89.30390113,98.78750125,934263.145237058,994,40,0.902612068896423
"result.3567",14,14,13,106.69050135,89.30390113,97.99720124,933705.376195126,998,40,0.900800692490803
"result.3072",15,15,11,107.48080136,90.09420114,96.41660122,933640.220873413,1001,40,0.900589098078819
"result.4062",13,13,15,105.90020134,88.51360112,99.57780126,933403.292430822,994,40,0.899819663853423
"result.3312",15,14,12,107.48080136,89.30390113,97.20690123,933036.053344806,1001,40,0.898627040804059
"result.3807",14,13,14,106.69050135,88.51360112,98.78750125,932905.742701381,997,40,0.898203851980091
"result.3552",15,13,13,107.48080136,88.51360112,97.99720124,932297.626365398,1001,40,0.896228970801574
"result.4047",14,12,15,106.69050135,87.72330111,99.57780126,931972.83695868,997,40,0.895174204717593
"result.3792",15,12,14,107.48080136,87.72330111,98.78750125,931424.939935189,1000,40,0.893394888071365
"result.4032",15,11,15,107.48080136,86.9330011,99.57780126,930417.994054178,1000,40,0.890124792613431
"result.4091",10,15,15,103.52930131,90.09420114,99.57780126,928800.957433495,980,40,0.884873404025103
"result.3836",11,15,14,104.31960132,90.09420114,98.78750125,928463.334402803,984,40,0.883776960253913
"result.3581",12,15,13,105.10990133,90.09420114,97.99720124,928013.170361881,987,40,0.88231503522566
"result.4076",11,14,15,104.31960132,89.30390113,99.57780126,927681.470542254,983,40,0.881237827310106
"result.3326",13,15,12,105.90020134,90.09420114,97.20690123,927450.465310728,991,40,0.880487628940345
"result.3821",12,14,14,105.10990133,89.30390113,98.78750125,927291.032212901,987,40,0.879969863826172
"result.3566",13,14,13,105.90020134,89.30390113,97.99720124,926789.040075162,990,40,0.878339625061114
"result.3071",14,15,11,106.69050135,90.09420114,96.41660122,926775.219249344,994,40,0.878294741397966
"result.4061",12,13,15,105.10990133,88.51360112,99.57780126,926437.596218652,986,40,0.877198297626776
"result.3311",14,14,12,106.69050135,89.30390113,97.20690123,926175.494129036,994,40,0.876347111014932
"result.3806",13,13,14,105.90020134,88.51360112,98.78750125,925995.329792482,990,40,0.875762020406037
"result.2816",15,15,10,107.48080136,90.09420114,95.62630121,925987.432177729,997,40,0.875736372598523
"result.3056",15,14,11,107.48080136,89.30390113,96.41660122,925450.394374523,997,40,0.873992321687625
"result.3551",14,13,13,106.69050135,88.51360112,97.99720124,925442.49675977,993,40,0.873966673880112
"result.4046",13,12,15,105.90020134,87.72330111,99.57780126,925069.33446269,989,40,0.872754814975114
"result.3296",15,13,12,107.48080136,88.51360112,97.20690123,924779.097120516,996,40,0.871812258049003
"result.3791",14,12,14,106.69050135,87.72330111,98.78750125,924576.227141548,993,40,0.871153429993508
"result.3536",15,12,13,107.48080136,87.72330111,97.99720124,923973.540415707,996,40,0.869196181682656
"result.4031",14,11,15,106.69050135,86.9330011,99.57780126,923576.685274368,992,40,0.867907379355118
"result.3776",15,11,14,107.48080136,86.9330011,98.78750125,923033.724260097,996,40,0.866144092588585
"result.4016",15,10,15,107.48080136,86.14270109,99.57780126,921959.648653685,995,40,0.862655990766789
"result.4090",9,15,15,102.7390013,90.09420114,99.57780126,921710.873788965,973,40,0.861848084830123
