"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4066",1,14,15,126.35452347,135.67098603,103.64564598,1776760.28562113,1498,19,1
"result.4081",0,15,15,125.77224456,136.25326494,103.64564598,1776162.88990397,1494,19,0.996425195572323
"result.3826",1,15,14,126.35452347,136.25326494,103.06336707,1774361.2265481,1497,19,0.985644076865454
"result.3571",2,15,13,126.93680238,136.25326494,102.48108816,1772467.17019963,1499,19,0.97431008027618
"result.4035",2,12,15,126.93680238,134.50642821,103.64564598,1769626.6779397,1498,19,0.957312629481261
"result.4050",1,13,15,126.35452347,135.08870712,103.64564598,1769134.70499615,1495,19,0.954368672893761
"result.4065",0,14,15,125.77224456,135.67098603,103.64564598,1768572.45020352,1491,19,0.951004151079477
"result.3921",0,5,15,127.415790072,132.134893408,105.000049226,1767788.37193675,1500,19.5,0.946312241882343
"result.3795",2,13,14,126.93680238,135.08870712,103.06336707,1767302.63881793,1497,19,0.943405624285418
"result.3810",1,14,14,126.35452347,135.67098603,103.06336707,1766778.48626371,1494,19,0.940269105529475
"result.2977",0,10,11,127.415790072,135.084332993,102.640497558,1766635.62069101,1500,19.5,0.939414200703106
"result.2273",0,14,8,127.415790072,137.443884661,100.870833807,1766502.61093188,1500,19.5,0.938618272874732
"result.3825",0,15,14,125.77224456,136.25326494,103.06336707,1766184.44670226,1490,19,0.936714384272739
"result.3681",0,6,14,127.415790072,132.724781325,104.410161309,1765704.55237714,1499,19.5,0.933842705904491
"result.3540",3,13,13,127.51908129,135.08870712,102.48108816,1765378.9693308,1500,19,0.931894423246656
"result.3555",2,14,13,126.93680238,135.67098603,102.48108816,1764892.52417314,1496,19,0.928983544823061
"result.3570",1,15,13,126.35452347,136.25326494,102.48108816,1764336.58685009,1493,19,0.925656826624668
"result.2737",0,11,10,127.415790072,135.67422091,102.050609641,1764152.77185402,1499,19.5,0.924556881240134
"result.2033",0,15,7,127.415790072,138.033772578,100.28094589,1763709.40599027,1499,19.5,0.921903788478888
"result.3441",0,7,13,127.415790072,133.314669242,103.820273392,1763532.05964477,1499,19.5,0.920842551374391
"result.3300",3,14,12,127.51908129,135.67098603,101.89880925,1762914.5639318,1499,19,0.917147468960238
"result.3315",2,15,12,126.93680238,136.25326494,101.89880925,1762396.33400532,1495,19,0.914046391094193
"result.4004",3,10,15,127.51908129,133.34187039,103.64564598,1762352.5065601,1499,19,0.91378412850895
