"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3553",0,14,13,134.88757576,124.11923988,99.74879552,1670008.63583872,1500,18,1
"result.3313",0,15,12,134.88757576,124.6859944,99.182041,1668102.23328639,1500,18,0.988229190943008
"result.4017",0,11,15,134.88757576,122.41897632,100.88230456,1665849.21208818,1499,18,0.974318234784746
"result.3777",0,12,14,134.88757576,122.98573084,100.31555004,1664159.44618953,1498,18,0.963885017666049
"result.3537",0,13,13,134.88757576,123.55248536,99.74879552,1662383.02562941,1497,18,0.952916763772035
"result.3522",1,12,13,135.45433028,122.98573084,99.74879552,1661710.17766976,1500,18,0.948762360575449
"result.3297",0,14,12,134.88757576,124.11923988,99.182041,1660519.95040781,1496,18,0.941413473102703
"result.3282",1,13,12,135.45433028,123.55248536,99.182041,1659882.78377936,1499,18,0.937479379166542
"result.3057",0,15,11,134.88757576,124.6859944,98.61528648,1658570.22052475,1495,18,0.929375145658052
"result.4001",0,10,15,134.88757576,121.8522218,100.88230456,1658136.9472174,1495,18,0.926699961781464
"result.3042",1,14,11,135.45433028,124.11923988,98.61528648,1657968.37113228,1498,18,0.92565911292864
"result.3986",1,9,15,135.45433028,121.28546728,100.88230456,1657359.23983548,1498,18,0.921898119125669
"result.3761",0,11,14,134.88757576,122.41897632,100.31555004,1656490.50864949,1494,18,0.916534263050425
"result.2802",1,15,10,135.45433028,124.6859944,98.04853196,1655966.93972851,1497,18,0.91330156186174
"result.3746",1,10,14,135.45433028,121.8522218,100.31555004,1655749.39283679,1497,18,0.911958349789251
"result.2787",2,14,10,136.0210848,124.11923988,98.04853196,1655337.05500438,1500,18,0.909412428999137
"result.3731",2,9,14,136.0210848,121.28546728,100.31555004,1654943.83217082,1500,18,0.906984531027107
"result.3521",0,12,13,134.88757576,122.98573084,99.74879552,1654757.4154201,1494,18,0.90583352754407
"result.3506",1,11,13,135.45433028,122.41897632,99.74879552,1654052.52708142,1496,18,0.901481295623837
"result.4085",4,15,15,135.236999392,122.94272672,99.471842528,1653859.18559284,1495,17.5,0.900287536340364
"result.2547",2,15,9,136.0210848,124.6859944,97.48177744,1653283.55798468,1499,18,0.896733406256312
"result.3491",2,10,13,136.0210848,121.8522218,99.74879552,1653283.55798468,1499,18,0.896733406256312
"result.4070",5,14,15,135.795829968,122.383896144,99.471842528,1653144.70848411,1498,17.5,0.895876099935103
"result.3281",0,13,12,134.88757576,123.55248536,99.182041,1652937.66752924,1493,18,0.894597755262396
