"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4066",1,14,15,113.86125594,144.46912044,119.98282884,1973649.80385262,1499,21,1
"result.3826",1,15,14,113.86125594,145.08127773,119.37067155,1971900.41691994,1498,21,0.991057520633984
"result.4081",0,15,15,113.24909865,145.08127773,119.98282884,1971356.74434842,1494,21,0.988278386605994
"result.4035",2,12,15,114.47341323,143.24480586,119.98282884,1967445.05460595,1500,21,0.968282693169158
"result.3795",2,13,14,114.47341323,143.85696315,119.37067155,1965772.05711054,1500,21,0.959730699723531
"result.4050",1,13,15,113.86125594,143.85696315,119.98282884,1965286.88095494,1495,21,0.957250586445388
"result.2753",0,12,10,114.588882525,144.93945141,118.305278715,1964867.27916549,1500,21.5,0.955105674834332
"result.3937",0,6,15,114.588882525,141.22305522,121.40227554,1964603.50318493,1500,21.5,0.953757310319133
"result.3555",2,14,13,114.47341323,144.46912044,118.75851426,1964013.26487177,1499,21,0.950740142511461
"result.3810",1,14,14,113.86125594,144.46912044,119.37067155,1963580.16199623,1495,21,0.948526216332202
"result.3697",0,7,14,114.588882525,141.842454585,120.782876175,1963152.73529187,1499,21.5,0.946341305485533
"result.4065",0,14,15,113.24909865,144.46912044,119.98282884,1963038.7834018,1491,21,0.945758808608126
"result.2513",0,13,9,114.588882525,145.558850775,117.68587935,1962932.92197474,1499,21.5,0.945217668389534
"result.3315",2,15,12,114.47341323,145.08127773,118.14635697,1962168.67788965,1498,21,0.941311021532949
"result.3570",1,15,13,113.86125594,145.08127773,118.75851426,1961788.10708958,1494,21,0.939365627713355
"result.3457",0,8,13,114.588882525,142.46185395,120.16347681,1961614.04207196,1499,21.5,0.938475845813535
"result.3825",0,15,14,113.24909865,145.08127773,119.37067155,1961298.80177521,1490,21,0.936864407088164
"result.2273",0,14,8,114.588882525,146.17825014,117.066479985,1960910.63945714,1498,21.5,0.934880207106336
"result.3217",0,9,12,114.588882525,143.081253315,119.544077445,1959987.42352519,1498,21.5,0.930160931303137
"result.4019",2,11,15,114.47341323,142.63264857,119.98282884,1959037.16975721,1497,21,0.9253034440578
"result.2033",0,15,7,114.588882525,146.797649505,116.44708062,1958800.43161269,1498,21.5,0.924093290984737
"result.2977",0,10,11,114.588882525,143.70065268,118.92467808,1958272.87965157,1497,21.5,0.921396561954338
"result.3779",2,12,14,114.47341323,143.24480586,119.37067155,1957407.06963347,1496,21,0.916970732495395
"result.4034",1,12,15,113.86125594,143.24480586,119.98282884,1956923.95805726,1492,21,0.914501172890775
"result.2737",0,11,10,114.588882525,144.320052045,118.305278715,1956470.4104511,1497,21.5,0.91218273776714
"result.3284",3,13,12,115.08557052,143.85696315,118.14635697,1956014.62553678,1500,21,0.909852866018641
"result.3921",0,5,15,114.588882525,140.603655855,121.40227554,1955986.82115342,1497,21.5,0.90971073615594
"result.3539",2,13,13,114.47341323,143.85696315,118.75851426,1955691.17476638,1496,21,0.908199457166546
"result.3794",1,13,14,113.86125594,143.85696315,119.37067155,1955259.90707252,1492,21,0.905994912030418
"result.3426",1,6,13,115.20828189,141.22305522,120.16347681,1955067.64503378,1500,21.5,0.905012110980451
"result.2242",1,12,8,115.20828189,144.93945141,117.066479985,1954802.44323712,1500,21.5,0.903656458008412
"result.4049",0,13,15,113.24909865,143.85696315,119.98282884,1954720.82245518,1487,21,0.903239230610258
"result.2497",0,12,9,114.588882525,144.93945141,117.68587935,1954580.01592378,1496,21.5,0.902519458741541
"result.3681",0,6,14,114.588882525,141.22305522,120.782876175,1954580.01592378,1496,21.5,0.902519458741541
"result.3044",3,14,11,115.08557052,144.46912044,117.53419968,1954160.17445315,1499,21,0.900373321933293
"result.3299",2,14,12,114.47341323,144.46912044,118.14635697,1953889.48515594,1495,21,0.898989618071255
"result.3186",1,7,12,115.20828189,141.842454585,119.544077445,1953520.63455322,1500,21.5,0.897104135310226
"result.3554",1,14,13,113.86125594,144.46912044,118.75851426,1953510.52013984,1491,21,0.897052432664402
"result.3441",0,7,13,114.588882525,141.842454585,120.16347681,1953085.28536729,1496,21.5,0.894878726488743
"result.3809",0,14,14,113.24909865,144.46912044,119.37067155,1953023.27940485,1487,21,0.894561765712734
"result.2002",1,13,7,115.20828189,145.558850775,116.44708062,1952769.22946266,1499,21.5,0.893263118556116
