"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4001",0,10,15,136.04579443,85.92365964,141.55372133,1654699.66216137,1500,17,1
"result.2033",0,15,7,136.04579443,88.67762309,137.14737981,1654575.8444674,1500,17,0.999222858661824
"result.2769",0,13,10,136.04579443,87.57603771,138.79975788,1653709.12060964,1499,17,0.99378286929459
"result.3829",4,15,14,136.201577517,87.364358487,138.914756352,1652969.39071175,1500,16.5,0.989139957087774
"result.4084",3,15,15,135.65894175,87.364358487,139.457392119,1652815.04222532,1497,16.5,0.988171189333746
"result.3505",0,11,13,136.04579443,86.47445233,140.45213595,1652347.12597601,1499,17,0.985234314574651
"result.2273",0,14,8,136.04579443,88.1268304,137.6981725,1650902.58621308,1498,17,0.976167665629262
"result.3009",0,12,11,136.04579443,87.02524502,139.35055057,1649829.49953204,1498,17,0.969432440698401
"result.4069",4,14,15,136.201577517,86.82172272,139.457392119,1649119.30672717,1498,16.5,0.964974917956233
"result.3490",1,10,13,136.59658712,85.92365964,140.45213595,1648469.67713866,1500,17,0.960897520037026
"result.3745",0,10,14,136.04579443,85.92365964,141.00292864,1648261.14207514,1497,17,0.959588650414834
"result.1522",1,15,5,136.59658712,88.67762309,136.04579443,1647930.96155789,1500,17,0.957516273513032
"result.1777",0,15,6,136.04579443,88.67762309,136.59658712,1647930.96155789,1497,17,0.957516273513032
"result.2258",1,13,8,136.59658712,87.57603771,137.6981725,1647226.4873369,1500,17,0.953094643443192
"result.2513",0,13,9,136.04579443,87.57603771,138.24896519,1647146.78282944,1496,17,0.952594378371248
"result.3318",5,15,12,136.744213284,87.364358487,137.829484818,1646589.6532725,1500,16.5,0.949097556587933
"result.3573",4,15,13,136.201577517,87.364358487,138.372120585,1646512.47902928,1497,16.5,0.948613172710919
"result.3828",3,15,14,135.65894175,87.364358487,138.914756352,1646383.85529059,1494,16.5,0.947805866249228
"result.4083",2,15,15,135.116305983,87.364358487,139.457392119,1646203.78205642,1491,16.5,0.946675637202862
"result.2994",1,11,11,136.59658712,86.47445233,139.35055057,1646024.73719519,1499,17,0.94555186273582
"result.3249",0,11,12,136.04579443,86.47445233,139.90134326,1645867.33332513,1496,17,0.944563917876761
"result.4054",5,13,15,136.744213284,86.279086953,139.457392119,1645341.44377352,1499,16.5,0.941263173881442
"result.1762",1,14,6,136.59658712,88.1268304,136.59658712,1644325.71113278,1498,17,0.934887931390912
"result.3730",1,9,14,136.59658712,85.37286695,141.00292864,1644325.71113278,1498,17,0.934887931390912
"result.2017",0,14,7,136.04579443,88.1268304,137.14737981,1644298.97586823,1495,17,0.934720127593196
"result.3985",0,9,15,136.04579443,85.37286695,141.55372133,1644092.61304495,1495,17,0.933424892029568
"result.2498",1,12,9,136.59658712,87.02524502,138.24896519,1643414.03861149,1498,17,0.929165821888767
"result.2753",0,12,10,136.04579443,87.02524502,138.79975788,1643308.4343165,1495,17,0.928502996887785
"result.3558",5,14,13,136.744213284,86.82172272,138.372120585,1642804.759953,1498,16.5,0.925341686445671
"result.3813",4,14,14,136.201577517,86.82172272,138.914756352,1642702.50008621,1495,16.5,0.924699852736998
"result.4068",3,14,15,135.65894175,86.82172272,139.457392119,1642549.11028603,1492,16.5,0.923737102173988
"result.2979",2,10,11,137.14737981,85.92365964,139.35055057,1642135.42458419,1500,17,0.921140605262957
"result.3234",1,10,12,136.59658712,85.92365964,139.90134326,1642005.09016949,1497,17,0.920322561749088
"result.3489",0,10,13,136.04579443,85.92365964,140.45213595,1641822.62198891,1494,17,0.91917730082967
"result.1521",0,15,5,136.04579443,88.67762309,136.04579443,1641286.07864839,1494,17,0.91580968836424
"result.1266",1,15,4,136.59658712,88.67762309,135.49500174,1641259.17628843,1497,17,0.915640835792788
"result.1011",2,15,3,137.14737981,88.67762309,134.94420905,1641178.46920856,1500,17,0.915134278078429
"result.1747",2,13,6,137.14737981,87.57603771,136.59658712,1640637.58138755,1500,17,0.911739397495871
"result.2002",1,13,7,136.59658712,87.57603771,137.14737981,1640637.58138755,1497,17,0.911739397495871
"result.2257",0,13,8,136.04579443,87.57603771,137.6981725,1640584.44504925,1493,17,0.911405887447908
"result.3715",2,8,14,137.14737981,84.82207426,141.00292864,1640304.72734385,1499,17,0.909650240214295
"result.2807",6,15,10,137.286849051,87.364358487,136.744213284,1640107.01684229,1500,16.5,0.908409310918739
"result.3062",5,15,11,136.744213284,87.364358487,137.286849051,1640107.01684229,1497,16.5,0.908409310918739
"result.3970",1,8,15,136.59658712,84.82207426,141.55372133,1640098.86580678,1496,17,0.908358150971876
"result.3317",4,15,12,136.201577517,87.364358487,137.829484818,1640055.56734682,1494,16.5,0.908086388334063
"result.3572",3,15,13,135.65894175,87.364358487,138.372120585,1639952.66835586,1491,16.5,0.90744054316471
"result.3827",2,15,14,135.116305983,87.364358487,138.914756352,1639798.31986943,1488,16.5,0.906471775410682
"result.2483",2,11,9,137.14737981,86.47445233,138.24896519,1639597.41250099,1499,17,0.905210780990949
"result.4082",1,15,15,134.573670216,87.364358487,139.457392119,1639592.52188752,1485,16.5,0.905180085071977
"result.2738",1,11,10,136.59658712,86.47445233,138.79975788,1639518.71056596,1496,17,0.90471680856142
"result.2993",0,11,11,136.04579443,86.47445233,139.35055057,1639387.54067424,1493,17,0.903893521178871
"result.3543",6,13,13,137.286849051,86.279086953,138.372120585,1639015.55254537,1500,16.5,0.901558738943823
"result.3798",5,13,14,136.744213284,86.279086953,138.914756352,1638939.33698841,1497,16.5,0.901080372257828
"result.4053",4,13,15,136.201577517,86.279086953,139.457392119,1638812.31106013,1494,16.5,0.900283094447836
"result.3219",2,9,12,137.14737981,85.37286695,139.90134326,1638057.96254889,1498,17,0.895548428563664
"result.3474",1,9,13,136.59658712,85.37286695,140.45213595,1637902.56382367,1495,17,0.894573068989435
"result.1506",1,14,5,136.59658712,88.1268304,136.04579443,1637695.36552337,1495,17,0.89327258955713
"result.1761",0,14,6,136.04579443,88.1268304,136.59658712,1637695.36552337,1492,17,0.89327258955713
"result.3729",0,9,14,136.04579443,85.37286695,141.00292864,1637695.36552337,1492,17,0.89327258955713
"result.1251",2,14,4,137.14737981,88.1268304,135.49500174,1637641.89499427,1498,17,0.892936981961696
"result.1987",2,12,7,137.14737981,87.02524502,137.14737981,1636892.97339595,1498,17,0.888236378078152
"result.2242",1,12,8,136.59658712,87.02524502,137.6981725,1636866.5723222,1495,17,0.888070671827907
"result.2497",0,12,9,136.04579443,87.02524502,138.24896519,1636787.36910096,1492,17,0.88757355307717
"result.3047",6,14,11,137.286849051,86.82172272,137.286849051,1636387.95331204,1498,16.5,0.885066621226435
"result.3302",5,14,12,136.744213284,86.82172272,137.829484818,1636362.38834534,1495,16.5,0.884906162799267
"result.3557",4,14,13,136.201577517,86.82172272,138.372120585,1636285.69344525,1492,16.5,0.884424787517761
"result.3812",3,14,14,135.65894175,86.82172272,138.914756352,1636157.86861177,1489,16.5,0.88362249538192
"result.3955",2,7,15,137.14737981,84.27128157,141.55372133,1636019.23153124,1497,17,0.882752340214018
