"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,145.40927016,90.88079385,116.76805028,1543079.26426656,1497,17,1
"result.3570",1,15,13,145.96006285,90.88079385,116.21725759,1541618.01496328,1500,17,0.990779401530966
"result.4065",0,14,15,145.40927016,90.33000116,117.31884297,1540961.83131388,1496,17,0.986638830897703
"result.3810",1,14,14,145.96006285,90.33000116,116.76805028,1539536.84171315,1499,17,0.977647034014465
"result.4050",1,13,15,145.96006285,89.77920847,117.31884297,1537367.10789918,1497,17,0.963955842348326
"result.3795",2,13,14,146.51085554,89.77920847,116.76805028,1535923.57070867,1500,17,0.954847008709222
"result.3569",0,15,13,145.40927016,90.88079385,116.21725759,1535800.58849172,1494,17,0.954070981210856
"result.3314",1,15,12,145.96006285,90.88079385,115.6664649,1534311.76844687,1496,17,0.944676409185803
"result.3809",0,14,14,145.40927016,90.33000116,116.76805028,1533727.26872555,1493,17,0.94098816979819
"result.4035",2,12,15,146.51085554,89.22841578,117.31884297,1533701.20184261,1499,17,0.940823685708862
"result.3059",2,15,11,146.51085554,90.88079385,115.11567221,1532767.80691887,1498,17,0.934933890048712
"result.3554",1,14,13,145.96006285,90.33000116,116.21725759,1532274.87547865,1495,17,0.931823453744122
"result.4049",0,13,15,145.40927016,89.77920847,117.31884297,1531565.72258636,1492,17,0.927348643006263
"result.2804",3,15,10,147.06164823,90.88079385,114.56487952,1531168.70390773,1500,17,0.924843423799583
"result.3299",2,14,12,146.51085554,90.33000116,115.6664649,1530767.67493942,1497,17,0.92231289934839
"result.3794",1,13,14,145.96006285,89.77920847,116.76805028,1530149.42194661,1494,17,0.918411674152802
"result.4020",3,11,15,147.06164823,88.67762309,117.31884297,1529964.11314417,1499,17,0.917242360979313
"result.3044",3,14,11,147.06164823,90.33000116,115.11567221,1529205.66710785,1499,17,0.912456506610994
"result.3539",2,13,13,146.51085554,89.77920847,116.21725759,1528678.64820533,1496,17,0.909130975728053
"result.3313",0,15,12,145.40927016,90.88079385,115.6664649,1528521.91271688,1490,17,0.908141962421711
"result.4034",1,12,15,145.96006285,89.22841578,117.31884297,1527935.40785072,1493,17,0.904441070411842
"result.3284",3,13,12,147.06164823,89.77920847,115.6664649,1527153.40136252,1498,17,0.899506547732017
"result.3058",1,15,11,145.96006285,90.88079385,115.11567221,1527005.52193045,1492,17,0.898573416840639
"result.3779",2,12,14,146.51085554,89.22841578,116.76805028,1526500.72671659,1495,17,0.895388119187702
"result.3553",0,14,13,145.40927016,90.33000116,116.21725759,1526492.70613723,1489,17,0.895337508698678
"result.1249",0,14,4,147.531272064,91.648214464,112.883776352,1526299.01848787,1500,17.5,0.894115324339656
"result.3441",0,7,13,147.531272064,87.736400432,117.913251536,1526252.945709,1500,17.5,0.893824601467535
"result.4005",4,10,15,147.61244092,88.1268304,117.31884297,1526155.84180384,1500,17,0.893211868159676
"result.2465",0,10,9,147.531272064,89.41289216,115.677929232,1525930.43625689,1500,17.5,0.891789541362686
