"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,95.42936835,204.9964209,120.1703157,2350853.30662076,1497,28,1
"result.4065",0,14,15,95.42936835,204.28953669,120.1703157,2342746.91590828,1495,28,0.966876042561718
"result.3570",1,15,13,96.13625256,204.9964209,118.75654728,2340405.06970245,1499,28,0.957306899301769
"result.3937",0,6,15,96.27727446,200.399363876,121.23804932,2339155.35231744,1500,28.5,0.952200362133887
"result.3249",0,11,12,96.27727446,203.965188856,119.098554332,2338763.61602231,1500,28.5,0.950599667468743
"result.3794",1,13,14,96.13625256,203.58265248,119.46343149,2338099.25189978,1499,28,0.947884973630436
"result.3825",0,15,14,95.42936835,204.9964209,119.46343149,2337024.75775829,1493,28,0.943494425546459
"result.3473",0,9,13,96.27727446,202.538858864,119.811719328,2336315.26417772,1499,28.5,0.940595325811599
"result.4018",1,11,15,96.13625256,202.16888406,120.1703157,2335601.28261357,1498,28,0.937677887486491
"result.2785",0,14,10,96.27727446,206.104683844,117.67222434,2334993.15418165,1499,28.5,0.93519298131674
"result.4049",0,13,15,95.42936835,203.58265248,120.1703157,2334640.52519579,1492,28,0.933752085123436
"result.3697",0,7,14,96.27727446,201.112528872,120.524884324,2333671.04418557,1498,28.5,0.929790636821883
"result.3009",0,12,11,96.27727446,204.678353852,118.385389336,2332887.5715953,1498,28.5,0.926589247491596
"result.3554",1,14,13,96.13625256,204.28953669,118.75654728,2332334.70739313,1497,28,0.924330159452103
"result.3921",0,5,15,96.27727446,199.68619888,121.23804932,2330830.95604585,1498,28.5,0.918185600499595
"result.3233",0,10,12,96.27727446,203.25202386,119.098554332,2330586.12086139,1497,28.5,0.91718516633388
"result.3778",1,12,14,96.13625256,202.87576827,119.46343149,2329980.85171958,1496,28,0.914711943662615
"result.3809",0,14,14,95.42936835,204.28953669,119.46343149,2328966.05169705,1490,28,0.910565314916638
"result.2545",0,15,9,96.27727446,206.81784884,116.959059344,2328872.27457018,1497,28.5,0.91018212717388
"result.3457",0,8,13,96.27727446,201.825693868,119.811719328,2328088.80197992,1497,28.5,0.906980737843593
"result.4002",1,10,15,96.13625256,201.46199985,120.1703157,2327434.84456247,1495,28,0.904308567400518
"result.2769",0,13,10,96.27727446,205.391518848,117.67222434,2326913.59309451,1496,28.5,0.902178653848164
"result.4033",0,12,15,95.42936835,202.87576827,120.1703157,2326534.1344833,1490,28,0.900628127685152
"result.3314",1,15,12,96.13625256,204.9964209,118.04966307,2326474.08714469,1495,28,0.900382765037462
"result.3681",0,6,14,96.27727446,200.399363876,120.524884324,2325395.61495087,1496,28.5,0.895975962020734
"result.3828",3,15,14,96.674336874,203.15621517,118.391035737,2325199.0401365,1499,27.5,0.895172727139067
"result.3507",2,11,13,96.84313677,202.16888406,118.75654728,2325095.11767447,1500,28,0.894748083998723
"result.2993",0,11,11,96.27727446,203.965188856,118.385389336,2324759.04347128,1496,28.5,0.893374833189876
"result.3538",1,13,13,96.13625256,203.58265248,118.75654728,2324264.34508381,1494,28,0.891353419602434
"result.3569",0,15,13,95.42936835,204.9964209,118.75654728,2323196.20889581,1488,28,0.886988851092919
"result.4052",3,13,15,96.674336874,201.755137824,119.09157441,2322826.87217064,1498,27.5,0.885479684510786
"result.3731",2,9,14,96.84313677,200.75511564,119.46343149,2322578.78096703,1499,28,0.884465945750779
"result.3905",0,4,15,96.27727446,198.973033884,121.23804932,2322506.55977426,1495,28.5,0.884170838865303
"result.3217",0,9,12,96.27727446,202.538858864,119.098554332,2322408.62570048,1495,28.5,0.883770665199017
"result.4083",2,15,15,95.973798201,203.15621517,119.09157441,2322008.64611865,1492,27.5,0.882136287198423
"result.3762",1,11,14,96.13625256,202.16888406,119.46343149,2321862.45153937,1494,28,0.881538913694794
"result.2498",1,12,9,96.990439456,204.678353852,116.959059344,2321852.94051145,1500,28.5,0.881500050174019
"result.3043",2,14,11,96.84313677,204.28953669,117.34277886,2321514.17697542,1499,28,0.880115810338186
"result.3793",0,13,14,95.42936835,203.58265248,119.46343149,2320907.34563582,1488,28,0.877636204286816
"result.2529",0,14,9,96.27727446,206.104683844,116.959059344,2320841.68051994,1494,28.5,0.877367886538445
"result.3410",1,5,13,96.990439456,199.68619888,119.811719328,2320471.70735232,1500,28.5,0.8758561193547
"result.3955",2,7,15,96.84313677,199.34134722,120.1703157,2319868.87989748,1498,28,0.873392873791454
"result.3441",0,7,13,96.27727446,201.112528872,119.811719328,2319862.33978211,1494,28.5,0.873366149875587
"result.2722",1,10,10,96.990439456,203.25202386,117.67222434,2319731.76101706,1499,28.5,0.872832584987206
"result.2865",0,3,11,97.11887715,199.99294702,119.42024894,2319510.29702191,1500,29,0.871927649090356
"result.3267",2,12,12,96.84313677,202.87576827,118.04966307,2319336.57790168,1498,28,0.871217806085158
"result.3986",1,9,15,96.13625256,200.75511564,120.1703157,2319268.40651137,1493,28,0.870939247314543
"result.2753",0,12,10,96.27727446,204.678353852,117.67222434,2318834.03200738,1494,28.5,0.869164326379587
"result.2177",0,8,8,97.11887715,203.58994247,117.26205167,2318555.31098473,1500,29,0.868025429474821
"result.3298",1,14,12,96.13625256,204.28953669,118.04966307,2318451.76270626,1492,28,0.867602315305947
"result.4017",0,11,15,95.42936835,202.16888406,120.1703157,2318427.74377082,1487,28,0.867504170246871
"result.3634",1,3,14,96.990439456,198.259868888,120.524884324,2317610.58152267,1499,28.5,0.864165119800395
"result.1265",0,15,4,97.11887715,208.6257361,114.38445531,2317600.32494756,1500,29,0.864123209859287
"result.2034",1,15,7,96.990439456,206.81784884,115.532729352,2317511.9220113,1499,28.5,0.863761981884728
"result.2946",1,8,11,96.990439456,201.825693868,118.385389336,2317413.26249994,1499,28.5,0.863358843969063
"result.3812",3,14,14,96.674336874,202.455676497,118.391035737,2317181.11241189,1496,27.5,0.862410243055479
"result.3665",0,5,14,96.27727446,199.68619888,120.524884324,2317120.18571617,1493,28.5,0.862161287219585
"result.3491",2,10,13,96.84313677,201.46199985,118.75654728,2316965.41446582,1497,28,0.861528868120749
"result.3089",0,1,12,97.11887715,198.55414884,120.13964803,2316695.6013334,1499,29,0.860426370223518
