"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4017",0,11,15,117.7984134,173.42544195,93.58429509,1911856.20289351,1500,24,1
"result.3553",0,14,13,117.7984134,175.38874884,92.27542383,1906457.90196438,1498,24,0.971922742483983
"result.3777",0,12,14,117.7984134,174.07987758,92.92985946,1905650.67939553,1498,24,0.967724274070373
"result.4001",0,10,15,117.7984134,172.77100632,93.58429509,1904641.65118448,1497,24,0.962476188553361
"result.3746",1,10,14,118.45284903,172.77100632,92.92985946,1901829.82590301,1500,24,0.947851523579286
"result.4083",2,15,15,117.858909532,174.198058594,92.603428918,1901221.85136373,1496,23.5,0.944689369796705
"result.3970",1,8,15,118.45284903,171.46213506,93.58429509,1900713.72858734,1500,24,0.942046557876858
"result.3313",0,15,12,117.7984134,176.04318447,91.6209882,1900000.12141363,1496,24,0.938334995175103
"result.3537",0,13,13,117.7984134,174.73431321,92.27542383,1899344.25307645,1495,24,0.934923739589046
"result.3761",0,11,14,117.7984134,173.42544195,92.92985946,1898486.57909705,1495,24,0.930462866899585
"result.3828",3,15,14,118.506485958,174.198058594,91.955852492,1898299.81670398,1499,23.5,0.929491491669977
"result.4052",3,13,15,118.506485958,172.902905742,92.603428918,1897454.97935952,1499,23.5,0.925097383969953
"result.3985",0,9,15,117.7984134,172.11657069,93.58429509,1897427.09947545,1495,24,0.924952377106721
"result.3058",1,15,11,118.45284903,176.04318447,90.96655257,1896908.85137483,1498,24,0.922256902073122
"result.3282",1,13,12,118.45284903,174.73431321,91.6209882,1896350.80271699,1498,24,0.919354419221909
"result.3506",1,11,13,118.45284903,173.42544195,92.27542383,1895589.82727449,1498,24,0.915396488061161
"result.3730",1,9,14,118.45284903,172.11657069,92.92985946,1894625.92504732,1498,24,0.910383108590881
"result.4067",2,14,15,117.858909532,173.550482168,92.603428918,1894154.11213933,1494,23.5,0.907929148967129
"result.3954",1,7,15,118.45284903,170.80769943,93.58429509,1893459.09603548,1497,24,0.90431428081107
"result.3393",0,4,13,119.01866508,170.593419948,93.231287646,1892949.52193321,1500,24.5,0.901663920358625
"result.3297",0,14,12,117.7984134,175.38874884,91.6209882,1892936.92393626,1493,24,0.901598396556017
"result.3521",0,12,13,117.7984134,174.07987758,92.27542383,1892230.60418852,1492,24,0.897924736694107
"result.3617",0,2,14,119.01866508,169.270990336,93.892502452,1891596.5974302,1500,24.5,0.894627185991792
"result.3745",0,10,14,117.7984134,172.77100632,92.92985946,1891322.47879857,1492,24,0.893201459728796
"result.3812",3,14,14,118.506485958,173.550482168,91.955852492,1891242.94006196,1497,23.5,0.892787768528603
"result.4082",1,15,15,117.211333106,174.198058594,92.603428918,1890775.57745514,1488,23.5,0.89035695549365
"result.3699",2,7,14,119.10728466,170.80769943,92.92985946,1890606.06876873,1500,24,0.889475319011718
"result.4036",3,12,15,118.506485958,172.255329316,92.603428918,1890348.40640311,1496,23.5,0.888135183905049
"result.3969",0,8,15,117.7984134,171.46213506,93.58429509,1890212.54776642,1492,24,0.887428565660083
"result.3841",0,0,15,119.01866508,167.948560724,94.553717258,1890035.53069597,1499,24.5,0.886507877106984
"result.3042",1,14,11,118.45284903,175.38874884,90.96655257,1889857.14560763,1496,24,0.885580073316867
"result.2033",0,15,7,119.01866508,177.866782814,89.26399881,1889671.28179131,1499,24.5,0.884613371700529
"result.2257",0,13,8,119.01866508,176.544353202,89.925213616,1889515.17511789,1499,24.5,0.883801440812048
"result.3923",2,5,15,119.10728466,169.49882817,93.58429509,1889330.7692242,1500,24,0.882842322038826
"result.3266",1,12,12,118.45284903,174.07987758,91.6209882,1889248.36525363,1495,24,0.88241372838827
"result.2481",0,11,9,119.01866508,175.22192359,90.586428422,1889150.92621324,1499,24.5,0.881906935405593
"result.2705",0,9,10,119.01866508,173.899493978,91.247643228,1888578.53507735,1499,24.5,0.878929855481164
"result.3490",1,10,13,118.45284903,172.77100632,92.27542383,1888436.65811496,1495,24,0.878191935150141
"result.3557",4,14,13,119.154062384,173.550482168,91.308276066,1888186.20938072,1499,23.5,0.876889319068152
