"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,120.87719991,116.63589465,132.18734727,1863659.22480039,1500,28,1
"result.3825",0,15,14,120.87719991,116.63589465,131.48046306,1853693.13268916,1496,28,0.948808972597618
"result.4065",0,14,15,120.87719991,115.92901044,132.18734727,1852364.32040766,1496,28,0.941983502277301
"result.4050",1,13,15,121.58408412,115.22212623,132.18734727,1851835.90382788,1500,28,0.939269280161618
"result.3505",0,11,13,121.951214316,114.819564356,131.93552426,1847412.04550517,1500,28.5,0.916546045207042
"result.3745",0,10,14,121.951214316,114.10639936,132.648689256,1845861.42267026,1500,28.5,0.908581240633051
"result.4084",3,15,15,121.893729102,115.588881045,131.000731851,1845742.63914103,1499,27.5,0.907971106707722
"result.3314",1,15,12,121.58408412,116.63589465,130.06669464,1844484.69670334,1497,28,0.90150966072875
"result.3985",0,9,15,121.951214316,113.393234364,133.361854252,1844186.75000856,1499,28.5,0.899979251693141
"result.3569",0,15,13,120.87719991,116.63589465,130.77357885,1843727.04057793,1492,28,0.897617945195236
"result.3554",1,14,13,121.58408412,115.92901044,130.77357885,1843269.62114557,1497,28,0.895268401318358
"result.3809",0,14,14,120.87719991,115.92901044,131.48046306,1842458.62885468,1492,28,0.891102723525842
"result.2289",0,15,8,121.951214316,117.67222434,128.36969928,1842139.92786649,1498,28.5,0.889465709655473
"result.3794",1,13,14,121.58408412,115.22212623,131.48046306,1841933.03803201,1496,28,0.888403015966928
"result.3779",2,12,14,122.29096833,114.51524202,131.48046306,1841276.04950368,1500,28,0.885028381518286
"result.2529",0,14,9,121.951214316,116.959059344,129.082864276,1841147.52925215,1498,28.5,0.884368234728119
"result.4049",0,13,15,120.87719991,115.22212623,132.18734727,1841069.41601493,1491,28,0.8839670045546
"result.4034",1,12,15,121.58408412,114.51524202,132.18734727,1840474.94736268,1495,28,0.880913504674458
"result.2769",0,13,10,121.951214316,116.245894348,129.796029272,1840031.08081102,1497,28.5,0.878633575434846
"result.4019",2,11,15,122.29096833,113.80835781,132.18734727,1839748.37456549,1499,28,0.877181449265396
"result.3009",0,12,11,121.951214316,115.532729352,130.509194268,1838790.5825431,1497,28.5,0.872261731775653
"result.3249",0,11,12,121.951214316,114.819564356,131.222359264,1837426.03444838,1496,28.5,0.865252703750541
"result.3234",1,10,12,122.664379312,114.10639936,131.222359264,1836691.8916138,1500,28.5,0.861481764696095
"result.3573",4,15,13,122.594267775,115.588881045,129.599654505,1836496.34096105,1500,27.5,0.860477314936704
