"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4033",0,12,15,127.81969452,144.73700703,95.23820376,1761929.62904449,1500,22,1
"result.3569",0,15,13,127.81969452,146.61670842,93.9850695,1761327.46580832,1500,22,0.996554024833137
"result.3793",0,13,14,127.81969452,145.36357416,94.61163663,1757915.20747,1498,22,0.977026832220911
"result.4017",0,11,15,127.81969452,144.1104399,95.23820376,1754302.22805296,1497,22,0.956350981219731
"result.3553",0,14,13,127.81969452,145.99014129,93.9850695,1753800.42535615,1497,22,0.953479335247346
"result.3762",1,11,14,128.44626165,144.1104399,94.61163663,1751303.7109578,1499,22,0.93919148886513
"result.3298",1,14,12,128.44626165,145.99014129,93.35850237,1750648.16968966,1499,22,0.935440049396303
"result.3777",0,12,14,127.81969452,144.73700703,94.61163663,1750337.98674815,1495,22,0.933664978037882
"result.4084",3,15,15,128.215668555,144.93945141,94.14870348,1749613.24668637,1497,21.5,0.929517537434905
"result.3313",0,15,12,127.81969452,146.61670842,93.35850237,1749585.28270293,1495,22,0.929357509079303
"result.3986",1,9,15,128.44626165,142.85730564,95.23820376,1747572.16835455,1498,22,0.917837141119495
"result.3522",1,12,13,128.44626165,144.73700703,93.9850695,1747269.61084618,1498,22,0.916105707518498
"result.4001",0,10,15,127.81969452,143.48387277,95.23820376,1746674.82706143,1494,22,0.912701962439463
"result.3829",4,15,14,128.83506792,144.93945141,93.529304115,1746499.26429969,1500,21.5,0.911697276532353
"result.3058",1,15,11,128.44626165,146.61670842,92.73193524,1746361.93832106,1497,22,0.910911406715506
"result.3537",0,13,13,127.81969452,145.36357416,93.9850695,1746273.38490398,1494,22,0.910404645661554
"result.3731",2,9,14,129.07282878,142.85730564,94.61163663,1744543.64149026,1500,22,0.90050591307439
"result.3267",2,12,12,129.07282878,144.73700703,93.35850237,1744087.59139228,1500,22,0.897896093646544
"result.3746",1,10,14,128.44626165,143.48387277,94.61163663,1743689.34699711,1496,22,0.895617076573361
"result.3282",1,13,12,128.44626165,145.36357416,93.35850237,1743134.65823176,1496,22,0.8924427816382
"result.4053",4,13,15,128.83506792,143.70065268,94.14870348,1743039.28387005,1498,21.5,0.891896986640629
"result.2803",2,15,10,129.07282878,146.61670842,92.10536811,1743023.47449698,1499,22,0.891806514981572
"result.2481",0,11,9,129.263484732,145.73824259,92.512101818,1742801.54307994,1500,22.5,0.89053647704844
"result.3761",0,11,14,127.81969452,144.1104399,94.61163663,1742760.7660263,1492,22,0.890303123854853
"result.4068",3,14,15,128.215668555,144.320052045,94.14870348,1742136.26699967,1494,21.5,0.886729328564492
"result.3297",0,14,12,127.81969452,145.99014129,93.35850237,1742108.42252044,1492,22,0.886569984090751
"result.2017",0,14,7,129.263484732,147.639176189,91.244812752,1741348.34346093,1500,22.5,0.882220310436524
"result.4083",2,15,15,127.59626919,144.93945141,94.14870348,1741161.00877967,1490,21.5,0.881148257842264
"result.3955",2,7,15,129.07282878,141.60417138,95.23820376,1740692.55177395,1498,22,0.878467437905921
"result.3491",2,10,13,129.07282878,143.48387277,93.9850695,1740591.20730773,1498,22,0.877887478033067
"result.3169",0,6,12,129.263484732,142.570019925,94.413035417,1739947.04382832,1499,22.5,0.874201149775034
"result.3970",1,8,15,128.44626165,142.23073851,95.23820376,1739907.37814247,1494,22,0.873974156560893
"result.3798",5,13,14,129.454467285,143.70065268,93.529304115,1739896.78516115,1500,21.5,0.873913536535673
"result.3027",2,13,11,129.07282878,145.36357416,92.73193524,1739881.7960442,1498,22,0.873827758923085
"result.3633",0,3,14,129.263484732,140.669086326,95.680324483,1739791.34386914,1499,22.5,0.873310131923758
"result.3506",1,11,13,128.44626165,144.1104399,93.9850695,1739705.67313688,1494,22,0.872819867493561
"result.2705",0,9,10,129.263484732,144.470953524,93.145746351,1739479.94395078,1499,22.5,0.871528096221205
"result.3985",0,9,15,127.81969452,142.85730564,95.23820376,1739047.42606989,1490,22,0.869052943659196
"result.3813",4,14,14,128.83506792,144.320052045,93.529304115,1739035.59223003,1496,21.5,0.868985222623062
"result.3042",1,14,11,128.44626165,145.99014129,92.73193524,1738898.85311456,1494,22,0.868202711224235
"result.3521",0,12,13,127.81969452,144.73700703,93.9850695,1738746.3444518,1490,22,0.867329956075764
"result.2241",0,12,8,129.263484732,146.371887123,91.878457285,1738390.04423652,1499,22.5,0.865290971262267
"result.3828",3,15,14,128.215668555,144.93945141,93.529304115,1738102.63322133,1492,21.5,0.8636462158844
"result.3057",0,15,11,127.81969452,146.61670842,92.73193524,1737843.09959754,1490,22,0.862160993325469
"result.3715",2,8,14,129.07282878,142.23073851,94.61163663,1736892.13429074,1497,22,0.856718942673879
"result.1777",0,15,6,129.263484732,148.272820722,90.611168219,1736677.34468555,1498,22.5,0.855489774898224
"result.3251",2,11,12,129.07282878,144.1104399,93.35850237,1736537.42865898,1497,22,0.854689083118888
"result.2772",3,13,10,129.69939591,145.36357416,92.10536811,1736514.79834128,1500,22,0.854559577516212
"result.4022",5,11,15,129.454467285,142.46185395,94.14870348,1736320.83835447,1499,21.5,0.85344961055417
"result.3730",1,9,14,128.44626165,142.85730564,94.61163663,1736074.98303642,1493,22,0.852042664281591
"result.3393",0,4,13,129.263484732,141.302730859,95.04667995,1736054.54484883,1498,22.5,0.851925703493118
"result.2929",0,7,11,129.263484732,143.203664458,93.779390884,1735950.74487605,1497,22.5,0.851331691592266
"result.3558",5,14,13,129.454467285,144.320052045,92.90990475,1735824.17907576,1499,21.5,0.850607398612295
"result.3266",1,12,12,128.44626165,144.73700703,93.35850237,1735621.14677387,1493,22,0.849445513880095
"result.2787",2,14,10,129.07282878,145.99014129,92.10536811,1735574.6562299,1496,22,0.849179464326772
"result.3857",0,1,15,129.263484732,139.40179726,96.313969016,1735535.5449849,1497,22.5,0.848955643988862
"result.4037",4,12,15,128.83506792,143.081253315,94.14870348,1735526.18350854,1495,21.5,0.84890207144717
"result.2465",0,10,9,129.263484732,145.104598057,92.512101818,1735224.14506654,1497,22.5,0.847173608286308
"result.3745",0,10,14,127.81969452,143.48387277,94.61163663,1735183.54530444,1489,22,0.846941269671824
"result.3573",4,15,13,128.83506792,144.93945141,92.90990475,1734933.04400632,1495,21.5,0.845507736037159
"result.4052",3,13,15,128.215668555,143.70065268,94.14870348,1734659.28731298,1491,21.5,0.843941119694078
"result.3281",0,13,12,127.81969452,145.36357416,93.35850237,1734631.56233795,1489,22,0.843782459102199
"result.2802",1,15,10,128.44626165,146.61670842,92.10536811,1734562.19549457,1492,22,0.843385496276604
"result.2001",0,13,7,129.263484732,147.005531656,91.244812752,1733874.74542032,1497,22.5,0.839451453575244
"result.3460",3,8,13,129.69939591,142.23073851,93.9850695,1733765.21474081,1499,22,0.83882464679105
"result.4067",2,14,15,127.59626919,144.320052045,94.14870348,1733720.14976779,1487,21.5,0.838566755294897
"result.3924",3,5,15,129.69939591,140.35103712,95.23820376,1733663.37831116,1499,22,0.838241871579006
"result.2996",3,11,11,129.69939591,144.1104399,92.73193524,1733256.03259257,1499,22,0.835910770730835
"result.3475",2,9,13,129.07282878,142.85730564,93.9850695,1732990.37234132,1495,22,0.834390487568983
"result.3939",2,6,15,129.07282878,140.97760425,95.23820376,1732990.37234132,1495,22,0.834390487568983
"result.1522",1,15,5,129.897129265,148.272820722,89.977523686,1732986.33977089,1500,22.5,0.834367410541488
"result.3138",1,4,12,129.897129265,141.302730859,94.413035417,1732934.1853728,1500,22.5,0.834068948679542
"result.4082",1,15,15,126.976869825,144.93945141,94.14870348,1732708.77087297,1483,21.5,0.832778978249623
"result.2674",1,7,10,129.897129265,143.203664458,93.145746351,1732673.41338234,1500,22.5,0.832576639369806
"result.3602",1,1,14,129.897129265,139.40179726,95.680324483,1732569.10458616,1500,22.5,0.831979715645911
"result.3782",5,12,14,129.454467285,143.081253315,93.529304115,1732397.23005269,1497,21.5,0.830996136213356
