"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,130.77357885,122.29096833,107.44639992,1718328.77047801,1499,28,1
"result.3825",0,15,14,130.77357885,122.99785254,106.73951571,1716891.16654774,1498,28,0.991990711586902
"result.4084",3,15,15,131.701270524,121.893729102,106.481878296,1709413.11476564,1500,27.5,0.950328420444306
"result.4049",0,13,15,130.77357885,121.58408412,107.44639992,1708396.23423248,1494,28,0.944663098236776
"result.4034",1,12,15,131.48046306,120.87719991,107.44639992,1707644.58284092,1498,28,0.940475440806045
"result.3809",0,14,14,130.77357885,122.29096833,106.73951571,1707023.97593539,1494,28,0.937017868387909
"result.2785",0,14,10,131.93552426,123.377544308,104.835254412,1706495.79489455,1500,28.5,0.934075225980387
"result.3794",1,13,14,131.48046306,121.58408412,106.73951571,1706330.60578426,1497,28,0.93315491183879
"result.3569",0,15,13,130.77357885,122.99785254,106.0326315,1705521.02637192,1493,28,0.928644521410579
"result.3554",1,14,13,131.48046306,122.29096833,106.0326315,1704885.23102193,1497,28,0.925102329974811
"result.2545",0,15,9,131.93552426,124.090709304,104.122089416,1704684.01452956,1499,28.5,0.923981297340638
"result.3539",2,13,13,132.18734727,121.58408412,106.0326315,1704143.46978026,1500,28,0.920969773299748
"result.3969",0,8,15,131.93552426,119.098554332,108.401079392,1703341.95499993,1499,28.5,0.916504313163045
"result.3314",1,15,12,131.48046306,122.99785254,105.32574729,1703308.45855393,1496,28,0.916317695214105
"result.3299",2,14,12,132.18734727,122.29096833,105.32574729,1702624.2721134,1500,28,0.912505903652393
"result.3729",0,9,14,131.93552426,119.811719328,107.687914396,1702268.30737623,1498,28.5,0.91052272582097
"result.3489",0,10,13,131.93552426,120.524884324,106.9747494,1701060.45379957,1498,28.5,0.903793440061137
"result.3059",2,15,11,132.18734727,122.99785254,104.61886308,1700972.9703016,1499,28,0.90330604534005
"result.4083",2,15,15,131.000731851,121.893729102,106.481878296,1700320.49181476,1492,27.5,0.899670907542806
"result.3249",0,11,12,131.93552426,121.23804932,106.261584404,1699718.39426994,1497,28.5,0.896316455883544
"result.4068",3,14,15,131.701270524,121.193190429,106.481878296,1699588.90146239,1496,27.5,0.895595015700156
"result.4053",4,13,15,132.401809197,120.492651756,106.481878296,1698752.79820254,1499,27.5,0.890936853594271
"result.4033",0,12,15,130.77357885,120.87719991,107.44639992,1698463.69798694,1490,28,0.889326196473551
"result.3009",0,12,11,131.93552426,121.951214316,105.548419408,1698242.12878736,1496,28.5,0.888091773288192
"result.3828",3,15,14,131.701270524,121.893729102,105.781339623,1698166.97585271,1495,27.5,0.887673075539818
"result.4018",1,11,15,131.48046306,120.1703157,107.44639992,1697658.35721027,1494,28,0.884839420654912
"result.2994",1,11,11,132.648689256,121.23804932,105.548419408,1697436.89306958,1500,28.5,0.883605582781637
"result.3813",4,14,14,132.401809197,121.193190429,105.781339623,1697388.28593348,1499,27.5,0.883334779006172
"result.3793",0,13,14,130.77357885,121.58408412,106.73951571,1697156.78532305,1489,28,0.882045025188916
"result.4003",2,10,15,132.18734727,119.46343149,107.44639992,1696745.63766338,1497,28,0.879754408060453
"result.2769",0,13,10,131.93552426,122.664379312,104.835254412,1696631.65735181,1496,28.5,0.87911939227508
"result.3778",1,12,14,131.48046306,120.87719991,106.73951571,1696410.07900644,1493,28,0.87788491813602
"result.3573",4,15,13,132.401809197,121.893729102,105.08080095,1695893.82011499,1498,27.5,0.875008697314443
"result.2754",1,12,10,132.648689256,121.951214316,104.835254412,1695885.1820783,1499,28.5,0.874960572427111
"result.3553",0,14,13,130.77357885,122.29096833,106.0326315,1695719.18139278,1489,28,0.874035736775818
"result.3763",2,11,14,132.18734727,120.1703157,106.73951571,1695556.70035889,1497,28,0.873130510075566
"result.3538",1,13,13,131.48046306,121.58408412,106.0326315,1695030.40309694,1492,28,0.870198362720403
"result.2529",0,14,9,131.93552426,123.377544308,104.122089416,1694886.9799633,1495,28.5,0.86939931284421
"result.3748",3,10,14,132.89423148,119.46343149,106.73951571,1694596.64938039,1500,28,0.867781801007557
"result.3523",2,12,13,132.18734727,120.87719991,106.0326315,1694235.65890944,1496,28,0.865770623425692
"result.2514",1,13,9,132.648689256,122.664379312,104.122089416,1694198.53969648,1499,28.5,0.865563822041758
"result.3313",0,15,12,130.77357885,122.99785254,105.32574729,1694150.88619611,1488,28,0.865298331234256
"result.3298",1,14,12,131.48046306,122.29096833,105.32574729,1693519.32948178,1492,28,0.86177975440806
"result.3508",3,11,13,132.89423148,120.1703157,106.0326315,1693334.94883028,1500,28,0.860752518891687
"result.3953",0,7,15,131.93552426,118.385389336,108.401079392,1693142.30257478,1494,28.5,0.859679233413339
"result.2289",0,15,8,131.93552426,124.090709304,103.40892442,1693008.09662182,1494,28.5,0.85893153499558
"result.3283",2,13,12,132.18734727,121.58408412,105.32574729,1692782.51331506,1495,28,0.857674748110831
"result.2274",1,14,8,132.648689256,123.377544308,103.40892442,1692376.9659241,1498,28.5,0.855415331625576
"result.2929",0,7,11,133.08883165,119.42024894,106.47106532,1692198.02644444,1500,29,0.854418410379783
"result.3713",0,8,14,131.93552426,119.098554332,107.687914396,1692135.75792756,1494,28.5,0.854071495280144
"result.1505",0,14,5,133.08883165,124.45604257,102.15467078,1692060.27017397,1500,29,0.853650932162963
"result.3938",1,6,15,132.648689256,117.67222434,108.401079392,1692039.63744774,1498,28.5,0.853535981548506
"result.3268",3,12,12,132.89423148,120.87719991,105.32574729,1691940.43769595,1499,28,0.852983312342569
"result.3058",1,15,11,131.48046306,122.99785254,104.61886308,1691876.85816095,1491,28,0.852629093198992
"result.4082",1,15,15,130.300193178,121.893729102,106.481878296,1691227.86886388,1484,27.5,0.849013394641305
"result.3043",2,14,11,132.18734727,122.29096833,104.61886308,1691197.26357573,1495,28,0.848842884130982
"result.3698",1,7,14,132.648689256,118.385389336,107.687914396,1691095.11771392,1497,28.5,0.848273801332708
"result.3473",0,9,13,131.93552426,119.811719328,106.9747494,1690995.00732738,1493,28.5,0.847716058729191
"result.2689",0,8,10,133.08883165,120.13964803,105.75166623,1690889.34187498,1500,29,0.847127367319992
"result.4067",2,14,15,131.000731851,121.193190429,106.481878296,1690548.53496525,1488,27.5,0.845228637930273
"result.2034",1,15,7,132.648689256,124.090709304,102.695759424,1690420.46076119,1497,28.5,0.844515101178567
"result.3028",3,13,11,132.89423148,121.58408412,104.61886308,1690413.1159774,1498,28,0.844474181360201
"result.3458",1,8,13,132.648689256,119.098554332,106.9747494,1690015.66658955,1497,28.5,0.842259881086083
"result.1265",0,15,4,133.08883165,125.17544166,101.43527169,1689856.16984646,1499,29,0.841371280693842
"result.4052",3,13,15,131.701270524,120.492651756,106.481878296,1689764.68815914,1491,27.5,0.840861610956006
