"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,122.22961971,119.266477414,125.93354758,1835846.18200696,1497,31.5,1
"result.4049",0,13,15,122.72525595,118.26251937,126.4442031,1835185.61687701,1500,32,0.99609735844265
"result.3313",0,15,12,122.72525595,119.75009823,124.21283481,1825476.71775702,1496,32,0.938736847777235
"result.2801",0,15,10,123.218899815,120.231774971,123.218899815,1825466.68816911,1499,32.5,0.938677592626134
"result.3570",1,15,13,122.970405284,119.266477414,124.451976432,1825243.43400393,1498,31.5,0.937358599322718
"result.3041",0,14,11,123.218899815,119.48499376,123.965681026,1825123.10324756,1499,32.5,0.936647681066318
"result.3825",0,15,14,122.22961971,119.266477414,125.192762006,1825047.08681869,1493,31.5,0.93619857338425
"result.3553",0,14,13,122.72525595,119.0063088,124.95662424,1825001.45696093,1496,32,0.935928990611795
"result.3810",1,14,14,122.970405284,118.52569184,125.192762006,1824703.58087349,1497,31.5,0.934169128419436
"result.3827",2,15,14,123.20750316,118.78088628,124.68304212,1824698.47035907,1499,31,0.934138935324102
"result.3281",0,13,12,123.218899815,118.738212549,124.712462237,1824642.0843574,1499,32.5,0.933805804882575
"result.3538",1,13,13,123.46904538,118.26251937,124.95662424,1824586.68390253,1500,32,0.933478497085592
"result.4082",1,15,15,122.46973368,118.78088628,125.4208116,1824504.51169376,1494,31,0.932993020843713
"result.4065",0,14,15,122.22961971,118.52569184,125.93354758,1824443.41069015,1493,31.5,0.932632034008215
"result.3793",0,13,14,122.72525595,118.26251937,125.70041367,1824390.40736597,1496,32,0.932318888541943
"result.4067",2,14,15,123.20750316,118.0431168,125.4208116,1824094.90954342,1499,31,0.930573077220532
"result.4050",1,13,15,122.970405284,117.784906266,125.93354758,1824028.76446045,1497,31.5,0.930182289790332
"result.3521",0,12,13,123.218899815,117.991431338,125.459243448,1824023.63149862,1499,32.5,0.930151964074905
"result.3778",1,12,14,123.46904538,117.51872994,125.70041367,1823903.62509604,1500,32,0.929442962111886
"result.4084",3,15,15,123.436489512,118.293302449,124.90597153,1823840.77193626,1500,30.5,0.929071623477354
"result.4033",0,12,15,122.72525595,117.51872994,126.4442031,1823643.56897212,1496,32,0.927906541567681
