"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4033",0,12,15,121.808660436,128.703490272,117.786676365,1846565.25249357,1499,18.5,1
"result.3793",0,13,14,121.808660436,129.278059425,117.212107212,1845760.99933482,1499,18.5,0.995581075759809
"result.3553",0,14,13,121.808660436,129.852628578,116.637538059,1844876.32086019,1499,18.5,0.990720259095597
"result.3313",0,15,12,121.808660436,130.427197731,116.062968906,1843911.21706969,1498,18.5,0.985417550007367
"result.4002",1,10,15,122.383229589,127.554351966,117.786676365,1838710.50643133,1500,18.5,0.9568425347202
"result.4017",0,11,15,121.808660436,128.128921119,117.786676365,1838321.65761637,1496,18.5,0.954706026538032
"result.3762",1,11,14,122.383229589,128.128921119,117.212107212,1837983.26430618,1499,18.5,0.95284674331999
"result.3777",0,12,14,121.808660436,128.703490272,117.212107212,1837557.61711555,1496,18.5,0.95050804850985
"result.3522",1,12,13,122.383229589,128.703490272,116.637538059,1837175.21750045,1499,18.5,0.948406975097532
"result.3537",0,13,13,121.808660436,129.278059425,116.637538059,1836713.15129886,1495,18.5,0.945868178057648
"result.3282",1,13,12,122.383229589,129.278059425,116.062968906,1836286.36601415,1499,18.5,0.94352323005283
"result.3297",0,14,12,121.808660436,129.852628578,116.062968906,1835788.2601663,1495,18.5,0.940786415181428
"result.3042",1,14,11,122.383229589,129.852628578,115.488399753,1835316.70984728,1498,18.5,0.938195508185881
"result.3057",0,15,11,121.808660436,130.427197731,115.488399753,1834782.94371786,1494,18.5,0.935262759881188
"result.2802",1,15,10,122.383229589,130.427197731,114.9138306,1834266.24899983,1498,18.5,0.932423809496687
"result.3971",2,8,15,122.957798742,126.40521366,117.786676365,1830700.2208431,1500,18.5,0.912830466167534
"result.3986",1,9,15,122.383229589,126.979782813,117.786676365,1830428.02667263,1496,18.5,0.911334910440016
"result.4070",5,14,15,122.98573084,128.08652152,116.1846766,1830235.65356219,1500,18,0.91027792708642
"result.4001",0,10,15,121.808660436,127.554351966,117.786676365,1830078.06273916,1493,18.5,0.909412053076064
"result.3731",2,9,14,122.957798742,126.979782813,117.212107212,1830050.74848094,1500,18.5,0.909261976403756
"result.4085",4,15,15,122.41897632,128.65327604,116.1846766,1829862.45596553,1496,18,0.908227413652512
"result.3746",1,10,14,122.383229589,127.554351966,117.212107212,1829741.18688776,1496,18.5,0.907561107450927
"result.3830",5,15,14,122.98573084,128.65327604,115.61792208,1829366.55828098,1499,18,0.905502731411555
"result.3761",0,11,14,121.808660436,128.128921119,117.212107212,1829354.23489629,1492,18.5,0.905435021259892
"result.3491",2,10,13,122.957798742,127.554351966,116.637538059,1829320.09207351,1499,18.5,0.905247425419506
"result.3506",1,11,13,122.383229589,128.128921119,116.637538059,1828973.54242232,1496,18.5,0.903343327639593
"result.3521",0,12,13,121.808660436,128.703490272,116.637538059,1828549.98173754,1492,18.5,0.901016097019699
"result.3251",2,11,12,122.957798742,128.128921119,116.062968906,1828508.25162081,1499,18.5,0.900786813214784
"result.3266",1,12,12,122.383229589,128.703490272,116.062968906,1828125.09327631,1495,18.5,0.898681571006014
"result.3281",0,13,12,121.808660436,129.278059425,116.062968906,1827665.30326291,1492,18.5,0.896155280355489
