"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3041",0,14,11,150.88425552,92.20704504,107.295470592,1492758.0354687,1500,17.5,1
"result.3281",0,13,12,150.88425552,91.648214464,107.854301168,1491438.67861917,1500,17.5,0.990768407928911
"result.3521",0,12,13,150.88425552,91.089383888,108.413131744,1490025.08199467,1499,17.5,0.980877416424174
"result.4085",4,15,15,150.91719706,91.43158654,107.95536724,1489632.79689655,1499,17,0.978132582073445
"result.3761",0,11,14,150.88425552,90.530553312,108.97196232,1488517.24559521,1498,17.5,0.970327025485788
"result.3830",5,15,14,151.46798975,91.43158654,107.40457455,1487441.50777553,1500,17,0.962800045404389
"result.4001",0,10,15,150.88425552,89.971722736,109.530792896,1486915.16942078,1497,17.5,0.959117235113752
"result.3506",1,11,13,151.443086096,90.530553312,108.413131744,1486368.57872597,1500,17.5,0.955292718398588
"result.2545",0,15,9,150.88425552,92.765875616,106.17780944,1486161.25122105,1497,17.5,0.953842039644559
"result.4070",5,14,15,151.46798975,90.88079385,107.95536724,1486062.97069696,1500,17,0.953154366929499
"result.2785",0,14,10,150.88425552,92.20704504,106.736640016,1484983.25403397,1496,17.5,0.945599546723945
"result.3746",1,10,14,151.443086096,89.971722736,108.97196232,1484807.86334167,1499,17.5,0.94437233111132
"result.4084",3,15,15,150.36640437,91.43158654,107.95536724,1484196.18084948,1493,17,0.940092364514774
"result.2290",1,15,8,151.443086096,92.765875616,105.618978864,1483814.68082438,1499,17.5,0.937422993746695
"result.3025",0,13,11,150.88425552,91.648214464,107.295470592,1483711.01707192,1496,17.5,0.936697654369682
"result.3986",1,9,15,151.443086096,89.41289216,109.530792896,1483152.55914619,1498,17.5,0.93279010217028
"result.2530",1,14,9,151.443086096,92.20704504,106.17780944,1482679.61509034,1498,17.5,0.92948089390141
"result.3265",0,12,12,150.88425552,91.089383888,107.854301168,1482344.5403349,1495,17.5,0.927136362581768
"result.3829",4,15,14,150.91719706,91.43158654,107.40457455,1482032.62956544,1495,17,0.924953910588365
"result.2770",1,13,10,151.443086096,91.648214464,106.736640016,1481449.96054513,1497,17.5,0.920876952402352
"result.2035",2,15,7,152.001916672,92.765875616,105.060148288,1481410.17041792,1500,17.5,0.920598539308143
"result.3731",2,9,14,152.001916672,89.41289216,108.97196232,1481030.41902843,1500,17.5,0.91794140381255
"result.3505",0,11,13,150.88425552,90.530553312,108.413131744,1480883.82382292,1494,17.5,0.916915671360208
"result.4069",4,14,15,150.91719706,90.88079385,107.95536724,1480659.10534898,1494,17,0.915343307307928
"result.2275",2,14,8,152.001916672,92.20704504,105.618978864,1480318.38517313,1500,17.5,0.912959274758313
"result.3010",1,12,11,151.443086096,91.089383888,107.295470592,1480125.71718875,1497,17.5,0.911611169249518
"result.3574",5,15,13,151.46798975,91.43158654,106.85378186,1479813.60260745,1497,17,0.909427291176661
"result.3745",0,10,14,150.88425552,89.971722736,108.97196232,1479328.86753598,1494,17.5,0.906035580704995
"result.3971",2,8,15,152.001916672,88.854061584,109.530792896,1479321.5377757,1499,17.5,0.905984294082378
"result.2515",2,13,9,152.001916672,91.648214464,106.17780944,1479131.66208096,1499,17.5,0.904655726334581
"result.4083",2,15,15,149.81561168,91.43158654,107.95536724,1478759.56480241,1488,17,0.902052146956102
"result.3250",1,11,12,151.443086096,90.530553312,107.854301168,1478706.8850212,1496,17.5,0.901683544442911
"result.3814",5,14,14,151.46798975,90.88079385,107.40457455,1478481.01676484,1496,17,0.9001031353176
"result.2289",0,15,8,150.88425552,92.765875616,105.618978864,1478339.34989883,1493,17.5,0.899111886651679
"result.2755",2,12,10,152.001916672,91.089383888,106.736640016,1477850.00114141,1498,17.5,0.895687894036953
"result.3985",0,9,15,150.88425552,89.41289216,109.530792896,1477679.67147406,1493,17.5,0.894496090616136
"result.3319",6,15,12,152.01878244,91.43158654,106.30298917,1477539.09997552,1498,17,0.893512506279666
"result.2529",0,14,9,150.88425552,92.20704504,106.17780944,1477208.47259923,1492,17.5,0.891199093447889
"result.3490",1,10,13,151.443086096,89.971722736,108.413131744,1477193.46404248,1495,17.5,0.891094077982531
"result.4054",5,13,15,151.46798975,90.33000116,107.95536724,1477056.52845032,1495,17,0.89013593422688
"result.2260",3,13,8,152.560747248,91.648214464,105.618978864,1476756.12167939,1500,17.5,0.888033976166373
"result.3828",3,15,14,150.36640437,91.43158654,107.40457455,1476623.75135535,1490,17,0.887107775772339
"result.2995",2,11,11,152.001916672,90.530553312,107.295470592,1476473.40235449,1498,17.5,0.886055777865426
"result.3559",6,14,13,152.01878244,90.88079385,106.85378186,1476247.78669756,1498,17,0.884477136188278
"result.2769",0,13,10,150.88425552,91.648214464,106.736640016,1475983.35552467,1492,17.5,0.882626900810451
"result.2034",1,15,7,151.443086096,92.765875616,105.060148288,1475963.80949727,1495,17.5,0.882490136483471
"result.3730",1,9,14,151.443086096,89.41289216,108.97196232,1475585.45425259,1494,17.5,0.879842769868377
"result.2500",3,12,9,152.560747248,91.089383888,106.17780944,1475517.39219289,1500,17.5,0.879366536944075
"result.3956",3,7,15,152.560747248,88.295231008,109.530792896,1475422.10530931,1500,17.5,0.878699810850052
"result.4068",3,14,15,150.36640437,90.88079385,107.95536724,1475255.24000099,1489,17,0.877532247686356
