"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4085",4,15,15,136.9487682,110.9334108,107.988276,1640578.83453673,1498,13.5,1
"result.4070",5,14,15,137.439624,110.442555,107.988276,1639173.82839811,1500,13.5,0.991335961230614
"result.3830",5,15,14,137.439624,110.9334108,107.4974202,1638975.14066133,1500,13.5,0.990110743626863
"result.2257",0,13,8,137.461071,111.96829056,106.46984772,1638707.35902294,1500,14,0.988459455114365
"result.2017",0,14,7,137.461071,112.468149,105.96998928,1638295.20928476,1500,14,0.985917913684578
"result.1777",0,15,6,137.461071,112.96800744,105.47013084,1637814.36792354,1500,14,0.982952782016493
"result.4084",3,15,15,136.4579124,110.9334108,107.988276,1634698.62366026,1493,13.5,0.963739393298497
"result.4069",4,14,15,136.9487682,110.442555,107.988276,1633319.63615383,1495,13.5,0.955235799691508
"result.3829",4,15,14,136.9487682,110.9334108,107.4974202,1633121.65801611,1495,13.5,0.954014957864913
"result.3441",0,7,13,137.461071,108.96913992,108.96913992,1632250.34645805,1497,14,0.948641972714367
"result.3201",0,8,12,137.461071,109.46899836,108.46928148,1632216.00064653,1497,14,0.948430177595218
"result.3681",0,6,14,137.461071,108.46928148,109.46899836,1632216.00064653,1497,14,0.948430177595218
"result.2961",0,9,11,137.461071,109.9688568,107.96942304,1632112.96321199,1497,14,0.947794792237771
"result.3921",0,5,15,137.461071,107.96942304,109.9688568,1632112.96321199,1497,14,0.947794792237771
"result.2721",0,10,10,137.461071,110.46871524,107.4695646,1631941.23415441,1497,14,0.946735816642027
"result.4054",5,13,15,137.439624,109.9516992,107.988276,1631888.611383,1497,13.5,0.946411315759727
"result.3814",5,14,14,137.439624,110.442555,107.4974202,1631723.03826902,1497,13.5,0.945390301089933
"result.2481",0,11,9,137.461071,110.96857368,106.96970616,1631700.8134738,1497,14,0.945253250807984
"result.3574",5,15,13,137.439624,110.9334108,107.0065644,1631491.23590945,1497,13.5,0.943960880552223
"result.2241",0,12,8,137.461071,111.46843212,106.46984772,1631391.70117016,1497,14,0.943347094735644
"result.2001",0,13,7,137.461071,111.96829056,105.96998928,1631013.89724349,1497,14,0.941017348425006
"result.3186",1,7,12,137.96092944,108.96913992,108.46928148,1630671.1884915,1499,14,0.938904018217935
"result.3426",1,6,13,137.96092944,108.46928148,108.96913992,1630671.1884915,1499,14,0.938904018217935
"result.2946",1,8,11,137.96092944,109.46899836,107.96942304,1630602.24708075,1499,14,0.938478887651497
"result.3666",1,5,14,137.96092944,107.96942304,109.46899836,1630602.24708075,1499,14,0.938478887651497
"result.1761",0,14,6,137.461071,112.468149,105.47013084,1630567.40169379,1497,14,0.938264011876069
"result.2706",1,9,10,137.96092944,109.9688568,107.4695646,1630464.36425925,1499,14,0.937628626518623
"result.3906",1,4,15,137.96092944,107.4695646,109.9688568,1630464.36425925,1499,14,0.937628626518623
"result.4039",6,12,15,137.9304798,109.4608434,107.988276,1630405.54934779,1499,13.5,0.937265941503153
"result.3799",6,13,14,137.9304798,109.9516992,107.4974202,1630272.61779056,1499,13.5,0.936446212582548
"result.2466",1,10,9,137.96092944,110.46871524,106.96970616,1630257.54002699,1499,14,0.936353234819312
"result.3559",6,14,13,137.9304798,110.442555,107.0065644,1630073.22045473,1499,13.5,0.935216619201639
"result.1521",0,15,5,137.461071,112.96800744,104.9702724,1630052.21452106,1496,14,0.935087085088836
"result.2226",1,11,8,137.96092944,110.96857368,106.46984772,1629981.77438399,1499,14,0.934652712553564
"result.3319",6,15,12,137.9304798,110.9334108,106.5157086,1629807.35734028,1499,13.5,0.93357716136043
"result.1986",1,12,7,137.96092944,111.46843212,105.96998928,1629637.06733024,1499,14,0.932527059721377
"result.1746",1,13,6,137.96092944,111.96829056,105.47013084,1629223.41886573,1499,14,0.929976276322754
"result.4083",2,15,15,135.9670566,110.9334108,107.988276,1628818.41278378,1488,13.5,0.927478786596995
"result.1506",1,14,5,137.96092944,112.468149,104.9702724,1628740.82899047,1499,14,0.927000362357695
"result.1266",1,15,4,137.96092944,112.96800744,104.47041396,1628189.29770447,1498,14,0.923599317826198
"result.4068",3,14,15,136.4579124,110.442555,107.988276,1627465.44390955,1490,13.5,0.919135638152401
"result.3828",3,15,14,136.4579124,110.9334108,107.4974202,1627268.17537089,1490,13.5,0.917919172102963
"result.1251",2,14,4,138.46078788,112.468149,104.47041396,1626858.05405013,1500,14,0.915390139007986
"result.1011",2,15,3,138.46078788,112.96800744,103.97055552,1626269.92886313,1500,14,0.911763436404087
"result.4053",4,13,15,136.9487682,109.9516992,107.988276,1626060.43777092,1492,13.5,0.910471599383015
"result.3813",4,14,14,136.9487682,110.442555,107.4974202,1625895.45598949,1492,13.5,0.909454231194186
"result.3573",4,15,13,136.9487682,110.9334108,107.0065644,1625664.48149549,1492,13.5,0.908029915729825
"result.3185",0,7,12,137.461071,108.96913992,108.46928148,1624762.95954769,1494,14,0.902470636739901
"result.3425",0,6,13,137.461071,108.46928148,108.96913992,1624762.95954769,1494,14,0.902470636739901
