"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.2961",0,9,11,138.24358065,105.48900405,111.7509084,1629683.34852513,1500,13,1
"result.3201",0,8,12,138.24358065,105.0073191,112.23259335,1629234.29391012,1500,13,0.997150727819844
"result.3441",0,7,13,138.24358065,104.52563415,112.7142783,1628721.08863582,1500,13,0.993894416756806
"result.4085",4,15,15,137.449800153,106.275618675,111.471315588,1628324.21476125,1496,12.5,0.991376233774036
"result.3681",0,6,14,138.24358065,104.0439492,113.19596325,1628143.73270224,1500,13,0.990231066810891
"result.3921",0,5,15,138.24358065,103.56226425,113.6776482,1627502.22610937,1499,13,0.986160677982096
"result.3830",5,15,14,137.922136236,106.275618675,110.998979505,1626996.44150674,1497,12.5,0.982951451421993
"result.4070",5,14,15,137.922136236,105.803282592,111.471315588,1626657.96470567,1497,12.5,0.98080380055574
"result.3575",6,15,13,138.394472319,106.275618675,110.526643422,1625621.24777886,1499,12.5,0.974225783985946
"result.3815",6,14,14,138.394472319,105.803282592,110.998979505,1625312.48780777,1499,12.5,0.972266687772336
"result.4055",6,13,15,138.394472319,105.330946509,111.471315588,1624941.97584246,1499,12.5,0.969915772316004
"result.1265",0,15,4,138.24358065,108.37911375,108.37911375,1623813.56320037,1498,13,0.962755942216519
"result.1505",0,14,5,138.24358065,107.8974288,108.8607987,1623781.48787073,1498,13,0.96255242277508
"result.1745",0,13,6,138.24358065,107.41574385,109.34248365,1623685.2618818,1498,13,0.961941864450761
"result.1985",0,12,7,138.24358065,106.9340589,109.8241686,1623524.88523358,1498,13,0.960924267243561
"result.2225",0,11,8,138.24358065,106.45237395,110.30585355,1623300.35792608,1498,13,0.959499631153484
"result.2465",0,10,9,138.24358065,105.970689,110.7875385,1623011.67995929,1497,13,0.957667956180525
"result.4084",3,15,15,136.97746407,106.275618675,111.471315588,1622728.59890296,1490,12.5,0.95587179386185
"result.2705",0,9,10,138.24358065,105.48900405,111.26922345,1622658.85133321,1497,13,0.955429242324688
"result.2945",0,8,11,138.24358065,105.0073191,111.7509084,1622241.87204784,1497,13,0.952783489585971
"result.1010",1,15,3,138.7252656,108.37911375,107.8974288,1622229.35484603,1500,13,0.952704067364921
"result.1250",1,14,4,138.7252656,107.8974288,108.37911375,1622229.35484603,1500,13,0.952704067364921
"result.1490",1,13,5,138.7252656,107.41574385,108.8607987,1622164.98066528,1500,13,0.952295610228093
"result.1730",1,12,6,138.7252656,106.9340589,109.34248365,1622036.23230379,1500,13,0.951478695954441
"result.1970",1,11,7,138.7252656,106.45237395,109.8241686,1621843.10976154,1499,13,0.950253324543959
"result.3185",0,7,12,138.24358065,104.52563415,112.23259335,1621760.74210319,1497,13,0.949730697964374
"result.2210",1,10,8,138.7252656,105.970689,110.30585355,1621585.61303855,1499,13,0.948619495996652
"result.3829",4,15,14,137.449800153,106.275618675,110.998979505,1621424.53588514,1492,12.5,0.947597454051806
"result.2450",1,9,9,138.7252656,105.48900405,110.7875385,1621263.74213481,1499,13,0.946577210312518
"result.3425",0,6,13,138.24358065,104.0439492,112.7142783,1621215.46149925,1497,13,0.946270867459897
"result.4069",4,14,15,137.449800153,105.803282592,111.471315588,1621087.2182512,1492,12.5,0.945457158154275
"result.2690",1,8,10,138.7252656,105.0073191,111.26922345,1620877.49705033,1499,13,0.944126467491555
"result.3665",0,5,14,138.24358065,103.56226425,113.19596325,1620606.03023603,1496,13,0.942403998072542
"result.2930",1,7,11,138.7252656,104.52563415,111.7509084,1620426.87778509,1499,13,0.941267267533769
"result.3574",5,15,13,137.922136236,106.275618675,110.526643422,1620073.05239395,1494,12.5,0.93902222915776
"result.3905",0,4,15,138.24358065,103.0805793,113.6776482,1619932.44831351,1496,13,0.938130089802307
"result.3170",1,6,12,138.7252656,104.0439492,112.23259335,1619911.88433911,1499,13,0.937999610439153
"result.3814",5,14,14,137.922136236,105.803282592,110.998979505,1619765.34621116,1494,12.5,0.93706981927935
"result.4054",5,13,15,137.922136236,105.330946509,111.471315588,1619396.09879181,1494,12.5,0.934726927425258
